chr	start	end	interval_id	num_peaks	num_samples	DFAM71927V3_1_750_R1.bool	MV411_1_590_R1.bool	MV411_4_717_R1.bool	DFAM71927V3_1_750_R1.fc	MV411_1_590_R1.fc	MV411_4_717_R1.fc	DFAM71927V3_1_750_R1.qval	MV411_1_590_R1.qval	MV411_4_717_R1.qval	DFAM71927V3_1_750_R1.pval	MV411_1_590_R1.pval	MV411_4_717_R1.pval	DFAM71927V3_1_750_R1.start	MV411_1_590_R1.start	MV411_4_717_R1.start	DFAM71927V3_1_750_R1.end	MV411_1_590_R1.end	MV411_4_717_R1.end	DFAM71927V3_1_750_R1.summit	MV411_1_590_R1.summit	MV411_4_717_R1.summit
chr10	86939534	86939705	Interval_2728	1	1	FALSE	TRUE	FALSE	NA	8.14202	NA	NA	8.87868	NA	NA	13.23337	NA	NA	86939534	NA	NA	86939705	NA	NA	82	NA
chr10	87025550	87025935	Interval_2729	1	1	FALSE	FALSE	TRUE	NA	NA	47.98956	NA	NA	113.61636	NA	NA	118.12234	NA	NA	87025550	NA	NA	87025935	NA	NA	198
chr10	87094966	87095133	Interval_2730	1	1	FALSE	TRUE	FALSE	NA	6.97887	NA	NA	6.47921	NA	NA	10.68399	NA	NA	87094966	NA	NA	87095133	NA	NA	68	NA
chr10	87106436	87106593	Interval_2731	1	1	FALSE	FALSE	TRUE	NA	NA	5.49431	NA	NA	4.64614	NA	NA	7.74162	NA	NA	87106436	NA	NA	87106593	NA	NA	101
chr10	87203870	87204035	Interval_2732	1	1	FALSE	FALSE	TRUE	NA	NA	7.59525	NA	NA	8.32046	NA	NA	11.61238	NA	NA	87203870	NA	NA	87204035	NA	NA	62
chr10	87249048	87249245	Interval_2733	1	1	FALSE	FALSE	TRUE	NA	NA	12.79721	NA	NA	19.43889	NA	NA	23.04828	NA	NA	87249048	NA	NA	87249245	NA	NA	94
chr10	87349948	87350129	Interval_2734	1	1	FALSE	FALSE	TRUE	NA	NA	10.39774	NA	NA	14.22458	NA	NA	17.71579	NA	NA	87349948	NA	NA	87350129	NA	NA	85
chr10	87500809	87500940	Interval_2735	1	1	FALSE	FALSE	TRUE	NA	NA	6.27921	NA	NA	6.0263	NA	NA	9.20858	NA	NA	87500809	NA	NA	87500940	NA	NA	73
chr10	87700657	87700955	Interval_2736	1	1	TRUE	FALSE	FALSE	5.26777	NA	NA	4.31336	NA	NA	8.05088	NA	NA	87700657	NA	NA	87700955	NA	NA	95	NA	NA
chr10	87746451	87746582	Interval_2737	1	1	FALSE	FALSE	TRUE	NA	NA	4.43674	NA	NA	2.77237	NA	NA	5.70628	NA	NA	87746451	NA	NA	87746582	NA	NA	66
chr10	87763193	87763401	Interval_2738	1	1	FALSE	FALSE	TRUE	NA	NA	10.31466	NA	NA	14.02071	NA	NA	17.49712	NA	NA	87763193	NA	NA	87763401	NA	NA	85
chr10	87816593	87816724	Interval_2739	1	1	FALSE	FALSE	TRUE	NA	NA	5.41117	NA	NA	4.46166	NA	NA	7.53929	NA	NA	87816593	NA	NA	87816724	NA	NA	64
chr10	87916807	87916943	Interval_2740	1	1	FALSE	FALSE	TRUE	NA	NA	7.82497	NA	NA	8.91628	NA	NA	12.22957	NA	NA	87916807	NA	NA	87916943	NA	NA	84
chr10	87975943	87976201	Interval_2741	1	1	FALSE	FALSE	TRUE	NA	NA	11.04764	NA	NA	15.5558	NA	NA	19.07902	NA	NA	87975943	NA	NA	87976201	NA	NA	85
chr10	88021557	88021841	Interval_2742	1	1	FALSE	FALSE	TRUE	NA	NA	18.27605	NA	NA	32.20017	NA	NA	36.02373	NA	NA	88021557	NA	NA	88021841	NA	NA	155
chr10	88064599	88064786	Interval_2743	1	1	FALSE	FALSE	TRUE	NA	NA	6.21429	NA	NA	5.71321	NA	NA	8.87072	NA	NA	88064599	NA	NA	88064786	NA	NA	88
chr10	88064975	88065650	Interval_2744	2	2	TRUE	FALSE	TRUE	14.40866	NA	14.39571	22.03084	NA	24.10464	26.76947	NA	27.80204	88064975	NA	88065054	88065650	NA	88065346	186	NA	132
chr10	88069752	88069966	Interval_2745	1	1	FALSE	FALSE	TRUE	NA	NA	9.66668	NA	NA	12.55348	NA	NA	16.00033	NA	NA	88069752	NA	NA	88069966	NA	NA	113
chr10	88070743	88070997	Interval_2746	1	1	FALSE	FALSE	TRUE	NA	NA	7.08684	NA	NA	7.33274	NA	NA	10.58267	NA	NA	88070743	NA	NA	88070997	NA	NA	79
chr10	88172176	88172474	Interval_2747	1	1	TRUE	FALSE	FALSE	5.74846	NA	NA	4.28305	NA	NA	8.01297	NA	NA	88172176	NA	NA	88172474	NA	NA	187	NA	NA
chr10	88194310	88194617	Interval_2748	2	2	TRUE	FALSE	TRUE	6.71707	NA	8.49043	6.43609	NA	10.17751	10.43099	NA	13.54134	88194310	NA	88194437	88194617	NA	88194599	181	NA	85
chr10	88261080	88261263	Interval_2749	1	1	FALSE	FALSE	TRUE	NA	NA	7.59525	NA	NA	8.32046	NA	NA	11.61238	NA	NA	88261080	NA	NA	88261263	NA	NA	104
chr10	88332496	88332709	Interval_2750	1	1	FALSE	FALSE	TRUE	NA	NA	11.54869	NA	NA	16.55722	NA	NA	20.10633	NA	NA	88332496	NA	NA	88332709	NA	NA	104
chr10	88350900	88351042	Interval_2751	1	1	FALSE	FALSE	TRUE	NA	NA	6.21429	NA	NA	5.71321	NA	NA	8.87072	NA	NA	88350900	NA	NA	88351042	NA	NA	56
chr10	88544233	88544431	Interval_2752	1	1	FALSE	FALSE	TRUE	NA	NA	13.08851	NA	NA	19.97056	NA	NA	23.59091	NA	NA	88544233	NA	NA	88544431	NA	NA	82
chr10	88805528	88805682	Interval_2753	1	1	FALSE	FALSE	TRUE	NA	NA	5.59878	NA	NA	4.88218	NA	NA	8.00848	NA	NA	88805528	NA	NA	88805682	NA	NA	52
chr10	89002418	89002593	Interval_2754	1	1	FALSE	FALSE	TRUE	NA	NA	8.76864	NA	NA	10.86489	NA	NA	14.24037	NA	NA	89002418	NA	NA	89002593	NA	NA	76
chr10	89084342	89084473	Interval_2755	1	1	FALSE	FALSE	TRUE	NA	NA	5.59878	NA	NA	4.88218	NA	NA	8.00848	NA	NA	89084342	NA	NA	89084473	NA	NA	92
chr10	89086676	89086825	Interval_2756	1	1	FALSE	FALSE	TRUE	NA	NA	7.17434	NA	NA	7.7473	NA	NA	11.00838	NA	NA	89086676	NA	NA	89086825	NA	NA	36
chr10	89250933	89251097	Interval_2757	1	1	FALSE	FALSE	TRUE	NA	NA	10.39774	NA	NA	14.22458	NA	NA	17.71579	NA	NA	89250933	NA	NA	89251097	NA	NA	88
chr10	89256317	89256508	Interval_2758	1	1	FALSE	FALSE	TRUE	NA	NA	6.21429	NA	NA	5.71321	NA	NA	8.87072	NA	NA	89256317	NA	NA	89256508	NA	NA	73
chr10	89260268	89260648	Interval_2759	2	2	TRUE	FALSE	TRUE	7.39206	NA	33.29045	7.53382	NA	71.69032	11.60716	NA	75.9151	89260268	NA	89260275	89260583	NA	89260648	202	NA	202
chr10	89332346	89332477	Interval_2760	1	1	FALSE	FALSE	TRUE	NA	NA	6.85352	NA	NA	6.99264	NA	NA	10.21968	NA	NA	89332346	NA	NA	89332477	NA	NA	89
chr10	89334007	89334305	Interval_2761	1	1	TRUE	FALSE	FALSE	6.14128	NA	NA	5.03127	NA	NA	8.87453	NA	NA	89334007	NA	NA	89334305	NA	NA	136	NA	NA
chr10	89368620	89368918	Interval_2762	1	1	TRUE	FALSE	FALSE	5.0174	NA	NA	3.53478	NA	NA	7.17872	NA	NA	89368620	NA	NA	89368918	NA	NA	161	NA	NA
chr10	89393251	89393414	Interval_2763	1	1	FALSE	FALSE	TRUE	NA	NA	8.2535	NA	NA	9.64981	NA	NA	12.98992	NA	NA	89393251	NA	NA	89393414	NA	NA	89
chr10	89498816	89498947	Interval_2764	1	1	FALSE	FALSE	TRUE	NA	NA	6.39861	NA	NA	6.30935	NA	NA	9.5147	NA	NA	89498816	NA	NA	89498947	NA	NA	63
chr10	89699512	89699716	Interval_2765	1	1	FALSE	FALSE	TRUE	NA	NA	14.50002	NA	NA	23.52039	NA	NA	27.21168	NA	NA	89699512	NA	NA	89699716	NA	NA	93
chr10	89738931	89739081	Interval_2766	1	1	FALSE	FALSE	TRUE	NA	NA	8.79809	NA	NA	10.92866	NA	NA	14.31817	NA	NA	89738931	NA	NA	89739081	NA	NA	58
chr10	89969888	89970109	Interval_2767	1	1	FALSE	FALSE	TRUE	NA	NA	10.01441	NA	NA	13.66994	NA	NA	17.14097	NA	NA	89969888	NA	NA	89970109	NA	NA	109
chr10	90126034	90126190	Interval_2768	1	1	FALSE	FALSE	TRUE	NA	NA	8.28573	NA	NA	9.69235	NA	NA	13.0413	NA	NA	90126034	NA	NA	90126190	NA	NA	78
chr10	90181322	90181491	Interval_2769	1	1	FALSE	FALSE	TRUE	NA	NA	8.76864	NA	NA	10.86489	NA	NA	14.24037	NA	NA	90181322	NA	NA	90181491	NA	NA	106
chr10	90193734	90193902	Interval_2770	1	1	FALSE	FALSE	TRUE	NA	NA	6.90477	NA	NA	6.99264	NA	NA	10.22101	NA	NA	90193734	NA	NA	90193902	NA	NA	76
chr10	90227205	90227497	Interval_2771	1	1	FALSE	FALSE	TRUE	NA	NA	8.79809	NA	NA	10.92866	NA	NA	14.31817	NA	NA	90227205	NA	NA	90227497	NA	NA	170
chr10	90227588	90227732	Interval_2772	1	1	FALSE	FALSE	TRUE	NA	NA	6.39861	NA	NA	6.30935	NA	NA	9.5147	NA	NA	90227588	NA	NA	90227732	NA	NA	74
chr10	90235921	90236080	Interval_2773	1	1	FALSE	FALSE	TRUE	NA	NA	6.27921	NA	NA	6.0263	NA	NA	9.20858	NA	NA	90235921	NA	NA	90236080	NA	NA	94
chr10	90630984	90631127	Interval_2774	1	1	FALSE	FALSE	TRUE	NA	NA	6.39861	NA	NA	6.30935	NA	NA	9.5147	NA	NA	90630984	NA	NA	90631127	NA	NA	77
chr10	90777687	90777996	Interval_2775	1	1	FALSE	FALSE	TRUE	NA	NA	13.85842	NA	NA	21.71756	NA	NA	25.37111	NA	NA	90777687	NA	NA	90777996	NA	NA	163
chr10	90847577	90847722	Interval_2776	1	1	FALSE	FALSE	TRUE	NA	NA	7.5108	NA	NA	8.31725	NA	NA	11.60176	NA	NA	90847577	NA	NA	90847722	NA	NA	91
chr10	91006380	91006635	Interval_2777	1	1	FALSE	FALSE	TRUE	NA	NA	13.85842	NA	NA	21.71756	NA	NA	25.37111	NA	NA	91006380	NA	NA	91006635	NA	NA	128
chr10	91142067	91142331	Interval_2778	1	1	FALSE	FALSE	TRUE	NA	NA	22.32746	NA	NA	42.33173	NA	NA	46.28387	NA	NA	91142067	NA	NA	91142331	NA	NA	106
chr10	91247879	91248054	Interval_2779	1	1	FALSE	FALSE	TRUE	NA	NA	8.8448	NA	NA	10.87289	NA	NA	14.24876	NA	NA	91247879	NA	NA	91248054	NA	NA	77
chr10	91341421	91341691	Interval_2780	1	1	FALSE	FALSE	TRUE	NA	NA	11.42253	NA	NA	16.26744	NA	NA	19.80674	NA	NA	91341421	NA	NA	91341691	NA	NA	86
chr10	91493475	91493606	Interval_2781	1	1	FALSE	FALSE	TRUE	NA	NA	5.38939	NA	NA	4.41286	NA	NA	7.48759	NA	NA	91493475	NA	NA	91493606	NA	NA	57
chr10	91672344	91672580	Interval_2782	1	1	FALSE	FALSE	TRUE	NA	NA	13.08851	NA	NA	19.97056	NA	NA	23.59091	NA	NA	91672344	NA	NA	91672580	NA	NA	125
chr10	91762917	91763186	Interval_2783	1	1	FALSE	FALSE	TRUE	NA	NA	12.42859	NA	NA	18.66838	NA	NA	22.26289	NA	NA	91762917	NA	NA	91763186	NA	NA	155
chr10	91798297	91798415	Interval_2784	1	1	FALSE	TRUE	FALSE	NA	7.04765	NA	NA	7.87764	NA	NA	12.17643	NA	NA	91798297	NA	NA	91798415	NA	NA	56	NA
chr10	91924334	91924465	Interval_2785	1	1	FALSE	FALSE	TRUE	NA	NA	5.6331	NA	NA	4.70285	NA	NA	7.80439	NA	NA	91924334	NA	NA	91924465	NA	NA	71
chr10	92238858	92239083	Interval_2786	1	1	FALSE	FALSE	TRUE	NA	NA	13.85842	NA	NA	21.71756	NA	NA	25.37111	NA	NA	92238858	NA	NA	92239083	NA	NA	114
chr10	92385829	92386103	Interval_2787	1	1	FALSE	FALSE	TRUE	NA	NA	20.02384	NA	NA	37.34586	NA	NA	41.23993	NA	NA	92385829	NA	NA	92386103	NA	NA	151
chr10	92430257	92430503	Interval_2788	1	1	FALSE	FALSE	TRUE	NA	NA	13.50572	NA	NA	20.90891	NA	NA	24.54463	NA	NA	92430257	NA	NA	92430503	NA	NA	101
chr10	92486741	92486960	Interval_2789	1	1	FALSE	FALSE	TRUE	NA	NA	11.73811	NA	NA	17.09958	NA	NA	20.65858	NA	NA	92486741	NA	NA	92486960	NA	NA	120
chr10	92574044	92574202	Interval_2790	1	1	FALSE	TRUE	FALSE	NA	7.93258	NA	NA	8.25086	NA	NA	12.58165	NA	NA	92574044	NA	NA	92574202	NA	NA	59	NA
chr10	92584387	92584584	Interval_2791	1	1	FALSE	FALSE	TRUE	NA	NA	10.36294	NA	NA	14.13954	NA	NA	17.62356	NA	NA	92584387	NA	NA	92584584	NA	NA	90
chr10	92590706	92590898	Interval_2792	1	1	FALSE	FALSE	TRUE	NA	NA	9.13803	NA	NA	11.45072	NA	NA	14.85602	NA	NA	92590706	NA	NA	92590898	NA	NA	86
chr10	92697938	92698312	Interval_2793	1	1	FALSE	FALSE	TRUE	NA	NA	31.34299	NA	NA	67.2189	NA	NA	71.40976	NA	NA	92697938	NA	NA	92698312	NA	NA	211
chr10	92756324	92756664	Interval_2794	2	2	TRUE	FALSE	TRUE	7.30849	NA	10.04932	7.31216	NA	13.36793	11.3701	NA	16.83141	92756353	NA	92756324	92756664	NA	92756495	110	NA	79
chr10	92847773	92848004	Interval_2795	1	1	FALSE	FALSE	TRUE	NA	NA	9.47579	NA	NA	12.10817	NA	NA	15.52832	NA	NA	92847773	NA	NA	92848004	NA	NA	107
chr10	93124529	93124939	Interval_2796	2	2	TRUE	FALSE	TRUE	6.68987	NA	20.09865	6.35585	NA	36.67983	10.34586	NA	40.56599	93124529	NA	93124640	93124939	NA	93124887	182	NA	124
chr10	93154659	93154937	Interval_2797	1	1	FALSE	FALSE	TRUE	NA	NA	9.92913	NA	NA	13.09019	NA	NA	16.54436	NA	NA	93154659	NA	NA	93154937	NA	NA	102
chr10	93346654	93346814	Interval_2798	1	1	FALSE	FALSE	TRUE	NA	NA	7.5108	NA	NA	8.31725	NA	NA	11.60176	NA	NA	93346654	NA	NA	93346814	NA	NA	67
chr10	93475982	93476242	Interval_2799	1	1	FALSE	FALSE	TRUE	NA	NA	13.40512	NA	NA	20.74422	NA	NA	24.37798	NA	NA	93475982	NA	NA	93476242	NA	NA	107
chr10	93573472	93573972	Interval_2800	1	1	FALSE	FALSE	TRUE	NA	NA	113.54891	NA	NA	327.9617	NA	NA	333.61057	NA	NA	93573472	NA	NA	93573972	NA	NA	250
chr10	93742810	93742941	Interval_2801	1	1	FALSE	FALSE	TRUE	NA	NA	4.61947	NA	NA	3.14569	NA	NA	6.11557	NA	NA	93742810	NA	NA	93742941	NA	NA	79
chr10	93743079	93743210	Interval_2802	1	1	FALSE	FALSE	TRUE	NA	NA	4.83334	NA	NA	3.32013	NA	NA	6.31143	NA	NA	93743079	NA	NA	93743210	NA	NA	57
chr10	93852753	93852950	Interval_2803	1	1	FALSE	FALSE	TRUE	NA	NA	9.66668	NA	NA	12.55348	NA	NA	16.00033	NA	NA	93852753	NA	NA	93852950	NA	NA	98
chr10	94070947	94071138	Interval_2804	1	1	FALSE	FALSE	TRUE	NA	NA	10.66103	NA	NA	14.6287	NA	NA	18.12589	NA	NA	94070947	NA	NA	94071138	NA	NA	74
chr10	94299387	94299807	Interval_2805	2	2	TRUE	FALSE	TRUE	6.72512	NA	15.88097	5.96423	NA	26.86794	9.92845	NA	30.6135	94299387	NA	94299478	94299807	NA	94299745	216	NA	130
chr10	94403823	94404012	Interval_2806	1	1	FALSE	FALSE	TRUE	NA	NA	7.28907	NA	NA	7.74226	NA	NA	11.00192	NA	NA	94403823	NA	NA	94404012	NA	NA	116
chr10	94549469	94549600	Interval_2807	1	1	FALSE	FALSE	TRUE	NA	NA	5.58005	NA	NA	4.85149	NA	NA	7.9595	NA	NA	94549469	NA	NA	94549600	NA	NA	72
chr10	94612308	94612439	Interval_2808	1	1	FALSE	FALSE	TRUE	NA	NA	5.38939	NA	NA	4.41286	NA	NA	7.48759	NA	NA	94612308	NA	NA	94612439	NA	NA	88
chr10	94617657	94617820	Interval_2809	1	1	FALSE	FALSE	TRUE	NA	NA	9.23895	NA	NA	11.68062	NA	NA	15.09462	NA	NA	94617657	NA	NA	94617820	NA	NA	70
chr10	94677854	94677987	Interval_2810	1	1	FALSE	FALSE	TRUE	NA	NA	5.0072	NA	NA	3.58733	NA	NA	6.62361	NA	NA	94677854	NA	NA	94677987	NA	NA	63
chr10	95266750	95267037	Interval_2811	1	1	FALSE	FALSE	TRUE	NA	NA	7.74196	NA	NA	8.71514	NA	NA	12.02599	NA	NA	95266750	NA	NA	95267037	NA	NA	166
chr10	95531975	95532336	Interval_2812	2	2	TRUE	FALSE	TRUE	5.2972	NA	17.70798	4.37549	NA	30.79365	8.16997	NA	34.60145	95531975	NA	95532112	95532273	NA	95532336	204	NA	115
chr10	95582880	95583180	Interval_2813	1	1	TRUE	FALSE	FALSE	6.18007	NA	NA	5.93167	NA	NA	9.89332	NA	NA	95582880	NA	NA	95583180	NA	NA	122	NA	NA
chr10	95672572	95672704	Interval_2814	1	1	FALSE	FALSE	TRUE	NA	NA	6.39861	NA	NA	6.30935	NA	NA	9.5147	NA	NA	95672572	NA	NA	95672704	NA	NA	126
chr10	95691871	95692053	Interval_2815	1	1	FALSE	FALSE	TRUE	NA	NA	8.87349	NA	NA	10.88065	NA	NA	14.25786	NA	NA	95691871	NA	NA	95692053	NA	NA	86
chr10	95723489	95723632	Interval_2816	1	1	FALSE	FALSE	TRUE	NA	NA	6.90477	NA	NA	6.99264	NA	NA	10.22101	NA	NA	95723489	NA	NA	95723632	NA	NA	59
chr10	95792330	95792788	Interval_2817	1	1	FALSE	FALSE	TRUE	NA	NA	42.11911	NA	NA	100.72826	NA	NA	105.15289	NA	NA	95792330	NA	NA	95792788	NA	NA	179
chr10	95841749	95842024	Interval_2818	1	1	FALSE	FALSE	TRUE	NA	NA	29.2624	NA	NA	60.9482	NA	NA	65.08693	NA	NA	95841749	NA	NA	95842024	NA	NA	130
chr10	95842191	95842445	Interval_2819	1	1	FALSE	FALSE	TRUE	NA	NA	7.4408	NA	NA	8.44399	NA	NA	11.74093	NA	NA	95842191	NA	NA	95842445	NA	NA	126
chr10	96025370	96025668	Interval_2820	1	1	TRUE	FALSE	FALSE	6.03328	NA	NA	5.44501	NA	NA	9.33002	NA	NA	96025370	NA	NA	96025668	NA	NA	202	NA	NA
chr10	96063269	96063474	Interval_2821	1	1	FALSE	FALSE	TRUE	NA	NA	10.47647	NA	NA	17.5608	NA	NA	21.12673	NA	NA	96063269	NA	NA	96063474	NA	NA	110
chr10	96073601	96074014	Interval_2822	1	1	FALSE	FALSE	TRUE	NA	NA	50.3057	NA	NA	124.18913	NA	NA	128.75539	NA	NA	96073601	NA	NA	96074014	NA	NA	236
chr10	96238932	96239125	Interval_2823	1	1	FALSE	FALSE	TRUE	NA	NA	9.24831	NA	NA	11.70288	NA	NA	15.11707	NA	NA	96238932	NA	NA	96239125	NA	NA	91
chr10	96239295	96239501	Interval_2824	1	1	FALSE	FALSE	TRUE	NA	NA	10.87502	NA	NA	16.26086	NA	NA	19.79861	NA	NA	96239295	NA	NA	96239501	NA	NA	112
chr10	96333068	96333427	Interval_2825	1	1	TRUE	FALSE	FALSE	9.97959	NA	NA	12.30478	NA	NA	16.66385	NA	NA	96333068	NA	NA	96333427	NA	NA	163	NA	NA
chr10	96533696	96533827	Interval_2826	1	1	FALSE	FALSE	TRUE	NA	NA	5.38939	NA	NA	4.41286	NA	NA	7.48759	NA	NA	96533696	NA	NA	96533827	NA	NA	68
chr10	96646816	96647014	Interval_2827	1	1	FALSE	FALSE	TRUE	NA	NA	7.90518	NA	NA	8.9227	NA	NA	12.23685	NA	NA	96646816	NA	NA	96647014	NA	NA	107
chr10	96655821	96656043	Interval_2828	1	1	FALSE	FALSE	TRUE	NA	NA	6.83315	NA	NA	6.95585	NA	NA	10.17265	NA	NA	96655821	NA	NA	96656043	NA	NA	109
chr10	96695413	96695598	Interval_2829	1	1	FALSE	FALSE	TRUE	NA	NA	15.16224	NA	NA	24.73708	NA	NA	28.44043	NA	NA	96695413	NA	NA	96695598	NA	NA	82
chr10	96718744	96718947	Interval_2830	1	1	FALSE	FALSE	TRUE	NA	NA	9.11086	NA	NA	11.39002	NA	NA	14.79285	NA	NA	96718744	NA	NA	96718947	NA	NA	97
chr10	96740793	96741000	Interval_2831	1	1	FALSE	FALSE	TRUE	NA	NA	6.75286	NA	NA	6.77571	NA	NA	9.99035	NA	NA	96740793	NA	NA	96741000	NA	NA	77
chr10	96748125	96748369	Interval_2832	1	1	FALSE	FALSE	TRUE	NA	NA	15.75667	NA	NA	26.15022	NA	NA	29.88126	NA	NA	96748125	NA	NA	96748369	NA	NA	114
chr10	96802970	96803194	Interval_2833	1	1	FALSE	FALSE	TRUE	NA	NA	15.19669	NA	NA	24.90811	NA	NA	28.61848	NA	NA	96802970	NA	NA	96803194	NA	NA	115
chr10	96803265	96803494	Interval_2834	1	1	FALSE	FALSE	TRUE	NA	NA	7.69912	NA	NA	8.61557	NA	NA	11.9231	NA	NA	96803265	NA	NA	96803494	NA	NA	111
chr10	96910667	96910798	Interval_2835	1	1	FALSE	FALSE	TRUE	NA	NA	6.27921	NA	NA	6.0263	NA	NA	9.20858	NA	NA	96910667	NA	NA	96910798	NA	NA	56
chr10	96978867	96979096	Interval_2836	1	1	FALSE	FALSE	TRUE	NA	NA	7.69532	NA	NA	8.61447	NA	NA	11.91402	NA	NA	96978867	NA	NA	96979096	NA	NA	104
chr10	97218358	97218656	Interval_2837	1	1	TRUE	FALSE	FALSE	5.2972	NA	NA	4.37549	NA	NA	8.16997	NA	NA	97218358	NA	NA	97218656	NA	NA	133	NA	NA
chr10	97414959	97415090	Interval_2838	1	1	FALSE	FALSE	TRUE	NA	NA	5.03057	NA	NA	3.66354	NA	NA	6.70172	NA	NA	97414959	NA	NA	97415090	NA	NA	77
chr10	97426058	97426249	Interval_2839	1	1	FALSE	TRUE	FALSE	NA	8.50127	NA	NA	9.76773	NA	NA	14.17712	NA	NA	97426058	NA	NA	97426249	NA	NA	83	NA
chr10	97445348	97445490	Interval_2840	1	1	FALSE	FALSE	TRUE	NA	NA	5.6331	NA	NA	4.70285	NA	NA	7.80439	NA	NA	97445348	NA	NA	97445490	NA	NA	26
chr10	97498430	97498558	Interval_2841	1	1	FALSE	TRUE	FALSE	NA	6.00219	NA	NA	4.97589	NA	NA	9.08359	NA	NA	97498430	NA	NA	97498558	NA	NA	92	NA
chr10	97498699	97498856	Interval_2842	1	1	FALSE	TRUE	FALSE	NA	6.9916	NA	NA	6.77562	NA	NA	10.99575	NA	NA	97498699	NA	NA	97498856	NA	NA	55	NA
chr10	97640411	97640765	Interval_2843	1	1	FALSE	TRUE	FALSE	NA	7.92861	NA	NA	10.0302	NA	NA	14.458	NA	NA	97640411	NA	NA	97640765	NA	NA	241	NA
chr10	97653414	97653555	Interval_2844	1	1	FALSE	FALSE	TRUE	NA	NA	5.96445	NA	NA	5.26269	NA	NA	8.39822	NA	NA	97653414	NA	NA	97653555	NA	NA	73
chr10	97842966	97843249	Interval_2845	1	1	FALSE	FALSE	TRUE	NA	NA	21.19235	NA	NA	39.41064	NA	NA	43.33055	NA	NA	97842966	NA	NA	97843249	NA	NA	125
chr10	98169610	98169763	Interval_2846	1	1	FALSE	FALSE	TRUE	NA	NA	5.38939	NA	NA	4.41286	NA	NA	7.48759	NA	NA	98169610	NA	NA	98169763	NA	NA	119
chr10	98488655	98488807	Interval_2847	1	1	FALSE	FALSE	TRUE	NA	NA	7.48406	NA	NA	8.11958	NA	NA	11.39694	NA	NA	98488655	NA	NA	98488807	NA	NA	80
chr10	98619498	98619752	Interval_2848	1	1	FALSE	FALSE	TRUE	NA	NA	22.32746	NA	NA	42.33173	NA	NA	46.28387	NA	NA	98619498	NA	NA	98619752	NA	NA	126
chr10	98664510	98664765	Interval_2849	1	1	FALSE	FALSE	TRUE	NA	NA	32.33632	NA	NA	69.09978	NA	NA	73.30545	NA	NA	98664510	NA	NA	98664765	NA	NA	124
chr10	98778405	98778548	Interval_2850	1	1	FALSE	FALSE	TRUE	NA	NA	6.65512	NA	NA	6.56389	NA	NA	9.77457	NA	NA	98778405	NA	NA	98778548	NA	NA	86
chr10	98957012	98957248	Interval_2851	1	1	FALSE	FALSE	TRUE	NA	NA	8.13671	NA	NA	9.60253	NA	NA	12.9407	NA	NA	98957012	NA	NA	98957248	NA	NA	100
chr10	99366705	99366929	Interval_2852	1	1	FALSE	FALSE	TRUE	NA	NA	12.67528	NA	NA	19.12605	NA	NA	22.72702	NA	NA	99366705	NA	NA	99366929	NA	NA	113
chr10	99403782	99403948	Interval_2853	1	1	FALSE	FALSE	TRUE	NA	NA	5.6331	NA	NA	4.70285	NA	NA	7.80439	NA	NA	99403782	NA	NA	99403948	NA	NA	90
chr10	99430645	99430928	Interval_2854	1	1	FALSE	TRUE	FALSE	NA	11.79906	NA	NA	18.48317	NA	NA	23.32692	NA	NA	99430645	NA	NA	99430928	NA	NA	101	NA
chr10	99561902	99562059	Interval_2855	1	1	FALSE	FALSE	TRUE	NA	NA	6.95722	NA	NA	7.21789	NA	NA	10.46431	NA	NA	99561902	NA	NA	99562059	NA	NA	89
chr10	99619214	99619383	Interval_2856	1	1	FALSE	FALSE	TRUE	NA	NA	7.41604	NA	NA	7.99972	NA	NA	11.27601	NA	NA	99619214	NA	NA	99619383	NA	NA	96
chr10	99620646	99620764	Interval_2857	1	1	FALSE	TRUE	FALSE	NA	4.17054	NA	NA	2.52489	NA	NA	6.40876	NA	NA	99620646	NA	NA	99620764	NA	NA	8	NA
chr10	99654899	99655066	Interval_2858	1	1	FALSE	FALSE	TRUE	NA	NA	6.259	NA	NA	5.85352	NA	NA	9.03037	NA	NA	99654899	NA	NA	99655066	NA	NA	115
chr10	99685726	99685909	Interval_2859	1	1	FALSE	FALSE	TRUE	NA	NA	16.75305	NA	NA	28.50883	NA	NA	32.27294	NA	NA	99685726	NA	NA	99685909	NA	NA	73
chr10	99689648	99689789	Interval_2860	1	1	FALSE	FALSE	TRUE	NA	NA	6.90477	NA	NA	6.99264	NA	NA	10.22101	NA	NA	99689648	NA	NA	99689789	NA	NA	49
chr10	99776000	99776141	Interval_2861	1	1	FALSE	FALSE	TRUE	NA	NA	6.37719	NA	NA	6.26758	NA	NA	9.45852	NA	NA	99776000	NA	NA	99776141	NA	NA	55
chr10	99780342	99780533	Interval_2862	1	1	FALSE	FALSE	TRUE	NA	NA	8.01797	NA	NA	9.15511	NA	NA	12.47412	NA	NA	99780342	NA	NA	99780533	NA	NA	88
chr10	99869970	99870588	Interval_2863	1	1	TRUE	FALSE	FALSE	7.63984	NA	NA	8.23894	NA	NA	12.37475	NA	NA	99869970	NA	NA	99870588	NA	NA	474	NA	NA
chr10	100183834	100183965	Interval_2864	1	1	FALSE	FALSE	TRUE	NA	NA	7.75371	NA	NA	8.74321	NA	NA	12.05446	NA	NA	100183834	NA	NA	100183965	NA	NA	77
