GENE,mr359-MV411-MYB-dTAG-DMSO_1h-r1_tcount,mr360-MV411-MYB-dTAG-DMSO_1h-r2_tcount,mr361-MV411-MYB-dTAG-DMSO_1h-r3_tcount,mr362-MV411-MYB-dTAG-DMSO_1h-r4_tcount,mr363-MV411-MYB-dTAG-DMSO_1h-r5_tcount,mr364-MV411-MYB-dTAG-DMSO_1h-r6_tcount,mr365-MV411-MYB-dTAG-VHL_1h-r1_tcount,mr366-MV411-MYB-dTAG-VHL_1h-r2_tcount,mr367-MV411-MYB-dTAG-VHL_1h-r3_tcount,mr368-MV411-MYB-dTAG-VHL_1h-r4_tcount,mr369-MV411-MYB-dTAG-VHL_1h-r5_tcount,mr370-MV411-MYB-dTAG-VHL_1h-r6_tcount
HRK,0,0,0,0,0,0,0,0,0,0,0,0
TNFSF14,35,43,51,59,23,43,150,153,96,119,27,109
TNFSF13,6,7,3,10,6,4,11,13,8,19,2,9
TNFSF10,4,5,6,6,3,7,7,12,1,1,0,8
TNFSF9,21,7,20,25,8,18,23,40,18,18,2,24
ADAM23,0,0,0,0,0,0,0,0,0,0,0,0
ADAM15,4,4,4,7,2,3,4,3,2,7,1,1
ADAM9,3,4,2,3,3,3,2,6,3,5,0,9
CDS2,20,23,38,36,12,13,17,32,32,28,8,30
PABPC4,21,16,23,25,21,24,22,38,15,19,11,19
CD164,79,68,94,126,95,155,129,219,122,114,32,103
TNFRSF14,3,2,4,4,0,1,7,10,9,7,1,2
RAB11A,27,27,22,44,24,25,25,42,14,13,7,25
RIPK2,4,6,5,3,3,4,2,6,3,0,0,2
TNFRSF6B,0,0,0,0,0,0,0,0,0,0,0,0
FADD,43,31,47,58,20,42,63,65,57,45,21,48
SNAP23,75,82,80,75,48,48,74,88,68,92,71,87
NAPG,16,11,18,21,12,24,21,34,22,21,12,11
NAPA,21,18,22,45,5,19,36,43,30,29,7,30
MTMR1,8,1,5,6,1,7,4,8,7,5,1,4
MPDZ,0,0,0,0,0,0,0,0,0,0,0,0
SIGLEC5,2,0,0,0,0,2,0,0,0,1,0,0
RIOK3,27,32,37,53,35,69,54,78,35,42,11,45
DLK1,0,0,0,0,0,0,0,0,0,0,0,0
FPGT,2,5,3,1,3,4,2,6,0,3,1,4
TNFRSF11A,0,0,0,0,0,1,0,0,0,0,0,0
TNFRSF10D,18,17,26,33,16,30,38,36,18,28,7,35
TNFRSF10C,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF10B,82,70,125,120,62,90,170,231,136,166,51,170
TNFRSF10A,4,8,8,13,2,14,14,13,10,5,1,13
DYRK4,0,0,0,1,2,1,0,0,0,0,0,1
PEX11B,22,8,19,28,13,18,27,34,27,15,9,16
PEX11A,4,2,2,1,4,4,4,13,6,9,3,3
SUCLG2,2,2,4,3,6,8,3,6,7,3,0,3
SUCLG1,4,0,2,1,4,1,3,1,4,4,3,1
SUCLA2,4,3,1,3,4,3,6,4,1,2,0,2
CREG1,22,16,37,33,23,18,38,40,19,20,8,20
TRIM24,24,21,25,32,19,45,26,46,11,20,6,34
CCNK,18,12,21,31,11,20,26,41,19,21,4,34
DPM1,24,25,28,41,14,32,32,56,28,17,8,29
CDKL1,3,1,6,4,1,4,8,10,7,7,3,12
BANF1,17,9,20,34,12,21,24,35,15,26,6,36
DCAF5,22,24,36,49,27,37,47,74,53,27,10,41
FGF18,1,1,2,0,0,1,0,0,0,0,0,0
DPM2,8,5,9,12,8,7,22,10,10,7,9,9
SAP30,2,1,1,3,0,2,2,6,0,0,2,1
HESX1,0,0,0,0,0,2,0,0,0,0,0,1
FGF17,0,0,0,0,0,0,0,0,0,0,0,0
CES2,14,19,23,31,10,22,34,49,26,34,7,29
IQGAP1,43,38,55,87,45,99,88,132,72,42,27,79
NRP2,0,0,0,0,0,0,0,0,0,0,0,0
NRP1,17,11,22,30,16,22,24,24,25,24,7,18
SYNGAP1,2,1,5,1,4,3,4,1,3,6,1,6
CD84,4,8,14,19,9,14,1,1,0,0,1,0
GMPS,0,0,2,2,0,2,0,2,1,0,0,1
TMEM11,87,58,88,120,47,49,103,111,87,67,31,83
SOCS2,31,19,52,66,27,44,83,110,56,50,17,45
GGH,0,0,1,0,1,0,0,0,1,0,0,0
CFLAR,122,98,159,188,87,151,116,162,92,73,25,78
HDAC3,16,10,25,31,10,25,27,37,22,28,8,16
PROM1,0,0,0,0,0,0,0,0,0,0,0,0
HCAR3,0,0,1,1,0,0,0,1,0,0,2,0
KSR1,9,16,27,16,5,20,22,33,14,14,3,25
ALKBH1,14,3,12,32,9,17,14,29,11,12,6,16
DLEU2,11,25,18,26,7,20,9,30,16,16,2,16
TSC22D1,0,0,0,1,1,1,0,2,1,0,0,3
KAT2B,1,1,1,1,0,2,2,6,3,0,2,1
CDK5R1,38,30,59,61,31,49,42,76,32,47,15,53
ASAP2,0,0,0,0,0,0,0,0,1,1,0,0
ALDH1A2,0,0,0,0,0,0,0,0,0,0,0,0
NR1I2,0,0,0,0,0,0,0,0,0,2,0,0
PROZ,0,3,0,0,0,0,0,0,0,0,0,0
STK19,0,0,1,0,0,1,0,1,0,0,0,1
LDB1,22,41,35,49,18,49,61,66,51,52,17,64
PER3,2,1,1,5,1,2,3,7,2,3,1,2
PER2,55,51,81,74,43,73,62,88,49,62,12,58
SYNJ1,9,9,11,13,13,12,24,26,13,7,3,11
ST3GAL5,3,1,5,2,3,2,7,5,3,8,1,4
IER3,12,14,11,25,12,12,20,33,23,28,13,28
SYNJ2,11,20,19,20,17,27,10,20,13,16,10,13
CDC123,11,10,14,18,8,8,13,15,7,13,7,14
ARHGEF7,50,34,48,69,32,57,68,79,55,61,11,59
VNN2,2,0,0,0,0,1,1,1,0,3,0,0
SPHK1,2,0,3,1,0,1,7,9,1,4,2,12
SQSTM1,44,40,63,83,12,48,86,79,56,52,25,51
SGPL1,15,5,23,28,8,9,22,20,15,10,6,16
FUBP1,81,89,134,164,69,143,111,191,86,105,38,98
CDC16,11,12,13,24,10,15,23,22,15,25,2,13
ZPR1,28,16,34,51,20,41,36,49,36,40,16,33
NAE1,2,1,1,0,1,1,1,1,0,1,0,2
SLC5A6,52,43,67,77,27,62,60,86,41,42,16,53
DDX18,51,46,61,71,41,88,68,102,47,52,17,48
TAX1BP1,1,4,6,1,3,10,2,5,2,2,0,4
MCM3AP,3,2,1,2,1,2,4,2,3,5,0,1
EIF2B4,0,0,1,2,0,0,1,3,0,1,1,1
EIF2B3,1,2,0,1,0,0,0,1,0,3,0,0
EIF2B2,6,4,9,6,5,2,6,6,5,2,0,5
EIF2B5,16,13,16,11,7,20,15,22,19,13,3,8
EIF2S2,24,23,46,37,19,33,31,40,31,27,14,36
CPNE3,4,2,5,3,3,7,11,9,4,3,4,3
BUD31,1,2,5,4,5,4,3,2,3,7,0,2
MTMR3,11,15,18,31,15,18,31,26,25,19,4,25
MTMR2,6,4,10,13,5,10,5,16,4,10,3,9
PRPF4B,75,69,97,135,60,171,105,188,97,81,16,109
CCNA1,3,0,4,1,2,1,0,1,0,0,0,0
CPNE1,23,17,31,38,20,35,32,51,23,32,3,28
AP1S2,5,7,10,7,5,15,16,20,16,15,4,10
AP1G2,1,0,0,2,0,0,1,2,0,0,0,0
AP1M1,14,19,20,17,9,17,16,20,18,12,5,18
ENDOU,0,0,0,0,0,0,0,0,0,0,0,0
TIMELESS,10,5,6,9,6,10,8,10,7,12,1,10
BCL10,12,21,19,29,17,34,44,41,25,29,5,27
HERC3,4,1,4,1,3,2,4,2,2,4,0,3
HERC2,11,5,8,2,5,7,17,8,9,4,2,8
HERC1,5,8,7,8,6,12,11,15,8,5,4,3
SNURF,4,3,5,4,2,2,4,7,3,1,0,1
BSN,0,0,0,1,0,1,0,2,0,1,0,0
FOXH1,0,0,0,0,0,0,0,0,0,0,0,0
PHOX2B,0,0,0,0,0,0,0,0,0,0,0,0
MBD4,10,19,18,27,13,18,15,24,9,9,3,16
MBD2,31,16,10,28,12,28,24,34,15,25,7,18
RAB29,8,7,13,9,7,3,12,29,6,7,4,10
SKAP2,2,5,2,2,3,6,9,8,4,7,1,8
WASF1,1,0,2,1,0,0,1,0,2,1,0,0
BAIAP3,0,0,0,0,0,0,0,0,0,0,0,0
FUBP3,10,18,22,24,13,24,19,25,11,12,8,18
KYNU,0,0,1,0,0,0,0,0,0,0,1,0
AP3D1,40,39,68,62,34,44,58,67,36,56,13,47
SNORD73A,14,13,22,21,23,23,22,28,20,20,9,19
BTRC,7,6,5,18,9,10,12,11,8,11,4,11
H2AC11,2,0,1,0,0,0,0,0,0,0,0,1
H1-10,20,14,40,47,16,25,34,62,37,30,19,34
CHRNA6,0,0,0,0,0,0,0,0,0,0,0,0
USP13,6,3,11,11,4,15,9,3,13,6,5,9
WASL,4,14,19,20,6,18,13,33,13,4,5,14
PLOD3,8,1,0,3,0,3,9,5,4,5,1,7
RPS6KA4,14,6,18,12,6,18,6,16,12,3,3,9
STBD1,5,13,9,23,5,16,11,22,7,16,5,9
ATP6V0E1,14,11,25,26,21,31,34,46,28,29,8,29
LIMD1,29,28,51,66,27,42,66,83,58,62,19,53
NOL3,4,0,2,1,2,1,2,4,2,3,0,1
CDKL2,0,0,0,0,0,1,2,0,0,0,0,0
F2RL3,54,32,39,57,22,30,62,76,52,39,19,54
TAF1C,9,10,15,18,6,9,9,12,9,6,3,5
TAF1B,2,0,8,5,0,1,1,6,1,2,0,2
TAF1A,2,0,1,1,1,0,1,2,0,3,0,0
SLC25A14,0,1,0,1,3,0,3,2,2,2,1,3
MPZL1,15,21,26,38,14,28,6,12,9,5,1,3
MAP3K14,14,10,23,10,9,8,22,32,17,10,4,22
SOCS3,115,68,126,135,57,66,151,211,136,118,47,145
BRSK2,0,0,0,0,0,0,0,0,0,0,0,0
RNF8,1,5,6,12,2,5,4,10,4,8,1,6
HIP1R,0,0,0,0,0,0,0,0,0,0,0,0
RHBDL1,1,1,0,0,0,1,0,1,0,0,0,1
BAZ1B,47,36,47,83,31,58,62,97,51,52,15,47
PKD2L1,0,0,0,0,0,0,0,0,0,0,0,0
CCRL2,1,1,1,5,1,0,1,3,1,0,0,1
SEMA5A,0,0,0,0,0,0,0,0,0,1,0,0
UBA3,10,9,9,13,3,8,11,27,11,4,3,9
UBE2M,15,14,20,28,9,11,32,35,25,13,11,21
SPAG9,36,26,36,66,27,58,37,69,36,34,11,47
BTAF1,21,24,30,24,19,44,31,43,20,20,4,22
RPL14,12,11,10,7,4,12,23,15,8,13,9,12
DOK2,25,10,14,35,7,25,47,61,25,37,11,38
ARTN,13,4,9,14,3,6,4,4,2,2,1,3
AIP,2,1,5,5,1,0,4,6,6,5,4,3
PSTPIP2,2,0,4,4,1,5,1,7,1,4,0,2
PSTPIP1,0,0,1,2,0,0,1,0,1,1,0,0
GPRC5A,0,0,0,0,0,0,0,0,0,0,0,0
MAP7,0,0,0,0,0,0,0,0,0,0,0,0
NFS1,3,8,15,16,9,14,9,9,7,13,3,10
PRC1,30,36,55,72,29,51,41,62,39,40,9,51
SLC7A7,0,0,3,1,0,0,2,2,1,0,0,2
SLC7A6,70,58,100,98,41,101,116,190,94,104,18,101
PAPSS2,0,0,0,0,0,0,0,0,0,0,0,0
PAPSS1,1,1,3,4,0,1,2,2,0,1,2,3
PIAS2,4,2,5,6,5,13,7,12,2,3,0,11
MAP3K6,1,0,0,0,0,1,3,0,2,6,0,1
SYT7,0,0,0,0,0,0,0,0,0,0,0,0
ANGPTL1,0,0,0,0,0,0,0,0,0,0,0,0
CLDN12,10,15,15,22,16,21,6,29,9,10,4,13
ASH2L,24,17,34,41,6,30,21,57,23,32,6,16
CLDN10,0,0,0,0,0,0,0,0,0,0,0,0
CLDN1,0,0,0,0,0,0,0,0,0,0,0,0
CLDN9,0,0,0,0,0,0,1,0,0,0,0,1
EIF1AY,0,3,3,1,0,1,2,1,3,1,0,2
TMSB4Y,0,1,1,1,1,1,2,0,1,1,0,3
PKMYT1,3,3,9,6,1,3,9,3,5,5,2,5
PIGQ,4,1,1,0,1,0,1,2,1,0,1,0
SART1,7,2,8,7,1,3,4,4,7,2,0,4
DNAJA3,21,20,26,29,11,19,39,50,24,35,10,21
UNC119,3,8,6,14,5,6,15,11,13,15,7,3
TBX19,0,0,3,0,1,0,1,1,1,0,1,1
TBX18,0,0,0,0,0,0,0,0,0,0,0,0
USP14,19,22,14,26,18,37,21,34,25,14,9,30
USP6,0,0,0,0,0,0,0,0,0,0,0,0
USP2,15,23,28,38,8,19,37,37,28,27,12,24
USP10,14,18,18,20,3,23,22,35,23,16,7,18
USP8,18,18,14,26,28,30,29,45,14,17,6,25
9103,0,1,0,0,0,0,0,1,1,0,0,0
MTMR6,16,8,15,20,11,22,19,24,8,16,3,9
MTMR7,0,0,0,0,0,0,0,0,0,0,0,0
MTMR4,23,16,23,27,17,24,32,40,20,14,5,23
NMI,1,5,2,19,4,6,4,4,2,10,0,5
MTA1,38,25,37,34,11,26,45,48,27,48,8,42
LATS1,88,78,123,167,69,160,133,233,93,106,42,126
ATP6V0D1,8,3,16,12,5,9,19,15,12,21,5,15
SEC22C,19,15,32,51,12,25,41,54,32,21,6,32
SLC16A6,0,1,4,1,0,7,2,3,5,0,0,2
SLC16A5,0,0,0,0,1,0,0,0,0,0,1,1
SLC16A4,0,0,1,1,0,0,0,0,0,1,0,0
SLC16A3,50,19,64,62,6,24,66,61,48,44,18,60
PDLIM1,5,11,12,16,7,8,14,20,17,6,3,9
CNOT9,77,59,86,113,37,79,85,115,69,75,30,74
SMC3,2,4,2,8,5,2,2,5,4,5,0,4
P2RX6,0,0,0,0,0,0,0,0,0,0,0,0
PRPF4,31,25,50,61,28,51,37,82,33,27,26,38
PRPF3,14,4,13,7,5,11,12,21,6,8,3,11
FAM50A,0,1,0,0,0,1,2,3,1,2,0,0
AIFM1,10,11,12,20,13,13,15,28,14,9,5,14
KCNQ4,1,2,0,0,0,0,0,0,0,0,0,0
CCNB2,4,0,4,3,1,4,4,0,0,3,1,5
CCNE2,37,24,36,48,11,51,61,72,25,36,18,37
RABEP1,49,49,35,72,30,55,61,87,44,65,15,50
RRP9,2,0,1,4,2,2,0,4,0,1,1,1
ARHGEF1,12,12,15,13,4,3,12,14,10,12,2,9
CBFA2T2,12,12,21,22,8,16,21,32,20,25,7,14
ATG12,50,47,53,81,29,93,81,105,60,54,12,92
PDCD5,1,3,6,4,3,4,8,6,1,2,0,4
9142,0,0,0,0,0,0,0,0,0,0,0,0
SYNGR3,0,0,1,0,0,0,0,0,0,0,0,0
SYNGR2,9,18,18,23,9,21,34,43,24,23,9,18
SYNGR1,8,10,17,22,6,9,31,43,25,25,5,27
HGS,12,17,34,38,12,19,26,20,26,20,5,17
NEMF,12,3,6,12,4,9,10,12,13,6,2,5
NEURL1,0,0,0,0,0,0,0,0,0,0,0,0
DYRK1B,5,1,2,5,2,5,5,10,0,1,1,2
CTDP1,16,15,19,17,9,9,14,17,17,14,4,15
SLC28A2,0,0,0,0,0,0,0,0,0,0,0,1
SLC28A1,0,0,0,0,0,0,0,0,0,0,0,0
EXO1,2,2,2,1,1,3,3,3,1,2,1,2
FIBP,0,0,0,0,0,0,1,1,0,0,1,0
PCSK7,19,12,13,13,10,11,10,12,9,12,4,23
EBAG9,11,6,12,10,3,15,14,17,17,5,3,9
COX7A2L,12,10,31,32,15,25,29,40,26,21,5,19
TMSB10,35,33,46,55,32,27,64,76,43,42,20,55
SCAF11,49,47,59,84,31,102,58,100,40,42,15,66
LPAR2,9,6,16,21,10,7,19,23,20,25,7,25
MYOM2,1,0,0,0,0,0,1,0,0,1,0,0
MAP3K13,0,0,1,5,0,1,2,5,4,1,3,0
AP4M1,2,1,0,5,0,3,5,4,5,5,1,7
ARHGEF2,82,89,144,175,71,111,96,110,61,71,29,71
ZW10,2,0,6,3,2,5,6,6,8,3,0,1
BUB3,38,41,33,77,37,86,55,86,40,31,9,56
REPS2,1,1,3,1,0,2,4,2,0,1,0,2
SLC24A1,1,0,0,0,0,1,1,0,4,2,0,0
DDX21,249,237,312,378,254,419,335,571,228,226,78,254
ZBED1,37,31,48,60,16,31,44,67,38,54,13,51
DEDD,23,21,15,30,10,15,23,35,24,17,9,23
SLC16A7,0,0,0,0,0,0,0,0,0,0,0,0
KCNAB3,2,1,1,1,1,3,2,2,2,2,0,5
SLC33A1,17,21,19,18,13,22,16,38,15,16,7,28
HACD1,0,0,0,0,0,0,0,0,0,0,0,0
DCLK1,0,0,0,0,0,0,0,0,0,0,0,0
ZMYM4,18,11,7,33,15,21,18,32,19,18,3,29
ZMYM3,16,7,11,16,0,5,8,19,8,14,3,12
ZMYM6,1,0,1,3,1,2,1,6,0,0,0,2
ZMYM5,11,11,12,14,9,17,26,30,13,24,4,12
LRRFIP1,58,66,71,92,43,81,71,89,58,54,10,41
LRRFIP2,3,4,5,3,1,4,6,3,2,4,2,6
AURKB,40,32,40,79,15,54,47,80,44,45,22,43
XPR1,14,9,12,23,15,18,16,24,16,12,3,18
FCMR,0,0,1,0,0,1,0,1,0,0,0,1
VAPB,47,32,66,78,32,78,76,110,54,69,13,48
VAPA,34,34,50,65,38,55,54,95,42,36,13,43
MTA2,20,25,38,59,18,31,37,42,24,37,14,45
TIAF1,1,0,2,0,1,4,8,3,3,4,0,4
NOLC1,112,97,153,188,99,148,117,179,110,101,33,125
MAGI1,0,0,0,1,0,0,2,0,0,0,2,0
LRAT,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP2,0,0,0,0,0,0,0,0,0,0,0,0
RAB11B,6,8,10,21,7,7,11,15,17,5,3,13
DLG5,1,0,1,2,1,2,0,3,1,1,0,2
PTTG1,0,0,1,0,0,0,0,1,0,0,0,1
CCPG1,17,18,20,32,11,30,39,48,21,20,5,25
TBRG4,8,5,11,15,3,9,10,10,8,10,2,12
PNMA1,15,10,17,19,7,16,12,25,8,13,4,18
NOG,5,1,2,1,0,1,1,0,0,0,0,0
CRLF1,0,0,0,0,0,0,0,0,0,0,0,0
UBE2L6,1,1,1,1,0,0,5,0,3,0,1,1
DHRS3,0,0,0,0,0,0,0,0,0,0,0,0
RPS6KA5,9,7,12,12,16,19,21,11,10,10,2,12
NUMBL,10,6,15,17,8,17,28,23,22,21,4,15
CACNA2D2,0,0,0,0,0,0,0,0,0,0,0,0
AIMP1,21,22,31,26,19,37,23,33,20,25,10,29
TSPOAP1,5,4,3,3,2,0,2,4,4,5,0,3
MFHAS1,15,10,6,13,6,7,12,17,12,10,2,18
PDLIM7,57,47,63,86,30,38,81,124,60,85,29,80
MAPKAPK2,63,44,74,91,39,72,37,81,39,38,9,52
STK17B,63,66,78,90,59,108,72,127,62,42,29,54
STK17A,2,6,3,13,3,7,5,12,8,1,0,4
CYTH3,24,18,27,48,16,19,24,36,10,21,9,15
CYTH2,15,22,26,29,7,14,28,33,17,18,9,20
CYTH1,17,12,19,26,7,10,20,31,24,20,4,31
ITGB1BP1,11,8,17,19,9,14,21,43,16,38,8,20
PIWIL1,0,0,0,0,0,0,0,0,0,0,0,0
BCL7C,0,0,3,0,1,0,2,0,0,1,1,2
BCL7B,70,62,97,111,34,73,87,126,89,68,24,77
COPB2,90,79,119,143,58,97,126,184,97,110,28,113
WDR46,4,3,3,8,3,5,7,4,7,6,1,4
ZBTB22,5,5,4,2,4,7,5,10,5,1,4,13
MED14,10,12,8,8,6,13,10,12,8,10,2,11
NPIPA1,0,0,0,3,0,0,0,1,1,0,0,0
ADGRG1,0,0,0,0,0,0,0,0,1,0,0,0
GPR55,7,4,4,11,2,4,6,6,4,6,3,9
S1PR2,3,6,3,3,3,6,9,14,10,7,1,9
SRSF11,44,28,40,38,42,43,40,78,49,30,7,31
ATP6V1F,2,4,6,6,2,8,6,15,7,3,1,8
9297,25,20,31,44,18,30,26,52,20,15,4,26
9298,28,20,34,51,21,30,40,49,25,23,18,40
SNORD30,14,9,15,11,8,16,13,16,14,17,2,16
SNORD28,11,16,10,13,14,15,16,29,18,8,4,12
SNORD27,33,30,33,73,19,33,40,44,35,28,11,43
SNORD26,23,22,40,41,18,26,25,39,24,27,9,27
SNORD25,16,11,26,26,13,16,18,24,11,12,7,17
SNORD22,94,81,116,141,71,129,110,173,80,67,35,112
SOCS6,20,12,26,23,10,20,23,27,9,14,3,16
CD83,19,27,27,49,22,36,57,93,36,47,13,50
ZNF235,1,1,3,1,1,3,3,2,0,2,0,0
ASIC3,0,0,0,0,0,0,0,0,0,0,0,0
KLF4,8,9,18,11,5,10,23,33,14,12,7,18
NREP,8,10,16,20,14,16,17,13,13,14,3,11
PTER,27,18,15,25,10,38,19,36,26,26,8,17
COPS2,32,30,39,62,40,50,64,83,34,31,6,59
TRIP13,9,11,19,22,17,20,16,22,11,23,10,16
TRIP12,35,25,46,55,31,62,53,70,36,32,10,56
TRIP11,20,11,15,15,7,10,12,27,22,13,4,10
TRIP10,5,1,5,3,0,0,6,15,4,7,2,11
HMGN3,4,3,9,11,4,8,6,9,11,3,3,8
TRIP4,1,1,3,5,4,5,4,7,2,1,3,3
ZNHIT3,18,10,15,20,12,14,30,28,4,22,9,13
GTF3C5,5,5,8,14,4,6,8,8,3,15,3,9
GTF3C4,69,55,113,122,36,103,86,133,81,88,27,90
GTF3C3,5,6,5,13,5,13,6,11,5,7,1,7
B4GALT6,4,0,2,0,0,1,1,1,1,3,0,0
TGM5,7,10,16,16,6,17,3,16,3,5,0,9
B4GALT5,85,78,126,133,51,95,108,126,88,99,32,86
CNOT8,49,42,53,73,34,64,41,56,33,21,7,52
VAMP3,43,27,46,61,37,56,71,115,43,48,16,44
SNAP29,26,23,28,47,20,47,37,75,35,41,13,47
EFTUD2,13,13,21,19,12,14,15,19,8,12,5,15
TAOK2,4,4,11,10,4,11,10,16,2,10,3,17
RPL23,7,5,7,8,5,7,9,10,6,4,9,6
SLC9A3R2,0,0,0,0,0,0,0,0,0,0,0,0
TXNL1,33,21,42,39,25,33,39,56,30,37,13,42
SLIT2,0,0,0,0,0,0,0,0,0,0,0,0
UBE4A,29,31,33,49,27,60,59,73,56,57,11,50
LHX2,0,0,0,0,0,0,0,0,0,0,0,0
ITGBL1,0,0,0,0,0,0,0,0,0,0,0,0
PPIG,3,7,3,6,1,2,4,5,2,1,1,6
LONP1,130,98,116,129,57,79,141,192,122,106,51,126
RAB33A,0,0,3,3,1,0,0,0,0,0,0,1
RAB28,3,2,4,2,2,5,6,9,6,4,2,8
RAB9A,7,7,10,12,9,13,17,15,10,6,0,15
SLC9A3R1,31,35,43,55,21,49,58,59,44,59,15,42
NRXN3,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0,0,0,0,0,0,0
KIF3B,16,12,22,21,13,19,24,30,28,19,4,31
ZFYVE9,0,0,0,0,0,0,0,0,1,0,0,0
PLAA,8,10,14,22,12,22,18,28,8,11,4,12
PPT2,0,0,0,0,0,0,0,0,1,0,0,0
TM9SF2,7,14,16,24,12,28,26,29,15,24,3,17
COX5A,2,5,10,2,10,5,7,17,5,6,1,7
NRXN1,0,0,0,0,0,0,0,0,0,0,0,0
NRXN2,0,0,0,0,0,0,4,0,0,0,0,0
GRHPR,0,0,0,2,0,0,1,13,5,1,0,4
OTOF,0,0,0,0,0,0,0,0,0,0,1,0
COG1,0,0,2,0,0,1,1,1,1,1,0,3
TSIX,0,0,0,0,0,0,0,0,0,0,0,0
LIPG,0,0,0,0,0,0,0,0,0,0,0,0
CIAO1,42,45,63,76,39,67,51,89,69,67,12,71
TGFBRAP1,20,10,29,40,4,25,24,45,26,13,9,24
HS6ST1,39,23,47,67,14,33,37,44,29,31,16,50
NMT2,0,2,0,1,0,2,3,3,2,0,0,1
CD101,1,2,0,0,1,2,9,5,2,4,2,3
STOML1,1,0,2,2,0,2,1,2,0,0,0,0
RECQL5,2,1,1,4,4,5,2,8,1,0,0,2
RECQL4,1,2,2,2,0,0,3,0,3,3,0,2
SELENOF,27,12,30,25,26,37,38,55,22,25,5,16
LPXN,7,15,14,27,9,25,29,32,12,15,4,18
ZRANB2,46,41,74,83,43,90,72,118,51,60,18,71
TMPRSS11D,0,0,0,0,0,0,0,0,0,0,0,0
PEX16,1,1,2,2,1,2,1,2,1,1,0,0
SNRNP40,13,8,14,19,18,12,26,24,14,18,4,15
ARHGAP29,0,0,0,0,0,0,0,0,0,0,0,0
MED21,10,14,13,17,10,24,24,34,8,5,2,18
TJP2,7,5,8,5,3,3,10,4,6,5,1,7
FADS2,14,12,24,24,10,21,36,42,34,34,5,28
DDX23,27,29,25,46,11,28,35,28,26,28,12,25
CRIPT,2,3,7,8,2,9,5,16,9,11,3,8
HAND1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF264,29,34,61,67,26,62,53,81,57,55,9,59
NTN1,1,2,2,3,1,1,4,3,0,3,0,2
KCNK6,33,25,33,42,18,34,55,56,50,43,10,48
CDYL,17,13,16,28,5,9,15,20,10,13,7,23
CHST2,0,0,0,0,0,0,0,0,0,0,0,0
NCR1,0,0,0,0,0,0,0,0,0,0,0,0
MED23,7,5,3,10,2,11,5,12,7,5,0,4
MED17,10,11,11,14,11,10,16,25,7,12,0,14
MED26,38,23,45,60,18,29,28,63,24,39,7,38
MED27,1,0,2,5,1,0,3,3,2,2,0,1
MED7,5,1,2,3,0,1,6,5,2,2,1,4
QKI,129,124,137,186,92,209,142,286,132,109,65,161
ITM2B,5,4,10,4,11,10,12,18,12,7,3,12
GSTO1,3,0,2,2,0,3,1,1,0,1,1,1
MAP4K4,36,25,47,51,17,43,19,46,29,28,8,33
LY86,1,0,2,1,1,1,2,2,1,1,0,1
EIF2AK3,7,10,5,15,5,8,7,17,4,4,5,9
ITM2A,0,0,0,0,0,0,0,0,0,0,0,0
GGPS1,6,6,5,5,4,6,5,9,0,6,1,4
HOMER3,7,3,7,7,2,4,5,7,5,6,0,2
HOMER2,0,0,0,1,1,0,0,0,0,0,0,0
HOMER1,4,6,8,8,6,10,6,9,15,10,4,9
ARHGEF6,18,11,20,24,18,22,22,23,11,14,7,9
RASAL2,43,41,58,63,27,48,47,94,51,44,6,65
PICK1,0,1,2,1,0,0,1,0,0,0,0,1
AKAP7,1,1,1,2,0,7,1,3,5,2,1,0
IL27RA,0,2,0,1,0,1,6,1,0,1,0,1
SH3BP5,0,1,1,0,0,1,1,2,0,1,0,0
PCYT1B,0,0,0,0,0,0,0,0,0,0,0,0
CHST3,0,0,0,0,0,0,0,0,0,0,0,0
EIF4E2,43,34,52,57,21,54,52,74,42,47,17,45
THEMIS2,3,6,14,8,3,5,5,4,1,2,1,4
ATG5,29,12,30,36,19,24,30,60,30,18,13,32
ROCK2,22,17,24,36,19,35,32,38,24,11,1,27
MED20,12,18,33,33,18,40,38,54,30,33,11,20
MAPK8IP1,0,0,0,0,0,0,1,1,1,0,0,2
ONECUT2,20,9,17,36,7,19,18,17,7,2,5,12
STX8,0,0,2,1,0,2,2,1,3,1,2,1
CHST10,6,10,13,16,10,22,20,21,13,15,2,13
PIGL,2,3,4,3,1,2,2,5,3,2,3,7
PIGB,0,0,1,0,0,1,1,1,1,1,0,3
PGS1,14,13,15,24,8,7,11,16,18,12,4,11
PSMF1,22,11,32,32,13,18,24,31,17,21,13,18
KIF23,10,5,7,10,1,12,8,19,11,4,0,17
AKAP5,0,0,0,3,1,0,2,5,0,1,1,0
SLC4A7,6,4,11,10,4,5,6,19,6,7,0,13
SLC4A8,1,5,5,4,3,6,4,4,7,2,1,5
RPH3AL,0,0,1,0,0,0,1,0,1,0,0,0
ADAMTS4,0,0,0,0,0,0,0,0,1,0,0,0
ADAMTS2,0,0,0,0,0,0,0,0,0,0,0,0
PMPCB,5,4,8,3,5,12,10,15,4,6,0,3
FXR2,17,6,21,17,7,10,18,15,19,16,6,7
GAL3ST1,0,2,0,0,0,0,0,2,0,1,0,0
