chr	start	end	interval_id	num_peaks	num_samples	MV411_1_430_R1.bool	MV411_2_431_R1.bool	MV411_3_575_R1.bool	MV411_9_718_R1.bool	MV411_1_430_R1.fc	MV411_2_431_R1.fc	MV411_3_575_R1.fc	MV411_9_718_R1.fc	MV411_1_430_R1.qval	MV411_2_431_R1.qval	MV411_3_575_R1.qval	MV411_9_718_R1.qval	MV411_1_430_R1.pval	MV411_2_431_R1.pval	MV411_3_575_R1.pval	MV411_9_718_R1.pval	MV411_1_430_R1.start	MV411_2_431_R1.start	MV411_3_575_R1.start	MV411_9_718_R1.start	MV411_1_430_R1.end	MV411_2_431_R1.end	MV411_3_575_R1.end	MV411_9_718_R1.end	MV411_1_430_R1.summit	MV411_2_431_R1.summit	MV411_3_575_R1.summit	MV411_9_718_R1.summit	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12	4538550	4538783	Interval_1906	3	3	TRUE	TRUE	FALSE	TRUE	3.46372	3.7581	NA	4.84234	1.836	1.48371	NA	3.71656	5.40068	5.0076	NA	7.23377	4538636	4538550	NA	4538568	4538783	4538728	NA	4538747	118	140	NA	99	NA	promoter-TSS (RAD51AP1)	NA	-107	RAD51AP1								
chr12	6167807	6168246	Interval_1907	4	4	TRUE	TRUE	TRUE	TRUE	8.33019	12.43697	6.09767	8.13072	11.76236	21.26518	5.03406	13.36178	16.51346	26.67648	9.54968	17.63488	6167838	6167820	6167910	6167807	6168246	6168206	6168085	6168076	199	121	51	157	NA	Intergenic	NA	-32289	CD9								
chr12	6336309	6336465	Interval_1908	1	1	TRUE	FALSE	FALSE	FALSE	5.44298	NA	NA	NA	7.32258	NA	NA	NA	11.68146	NA	NA	NA	6336309	NA	NA	NA	6336465	NA	NA	NA	73	NA	NA	NA	NA	intron (TNFRSF1A, intron 1 of 9)	NA	5730	TNFRSF1A								
chr12	6430534	6430741	Interval_1909	2	2	FALSE	TRUE	FALSE	TRUE	NA	5.63715	NA	5.0817	NA	5.31507	NA	4.88613	NA	9.48534	NA	8.55169	NA	6430537	NA	6430534	NA	6430721	NA	6430741	NA	102	NA	90	NA	Intergenic	NA	-14247	CD27								
chr12	6461989	6462183	Interval_1910	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.15116	NA	NA	NA	5.91766	NA	NA	NA	9.68372	NA	NA	NA	6461989	NA	NA	NA	6462183	NA	NA	NA	117	NA	TTS (VAMP1)	NA	8591	VAMP1								
chr12	6534256	6535485	Interval_1911	5	3	TRUE	TRUE	FALSE	TRUE	4.96911	4.46189;6.26848;5.26134	NA	7.66704	3.81492	2.38831;5.92883;4.46741	NA	10.36683	7.73307	6.10894;10.16357;8.5263	NA	14.46923	6534639	6534494;6534959;6535252	NA	6534256	6534870	6534679;6535175;6535482	NA	6535485	116	102;128;106	NA	334	NA	promoter-TSS (GAPDH)	NA	452	GAPDH								
chr12	6535556	6535887	Interval_1912	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.32528	NA	NA	NA	4.67655	NA	NA	NA	8.31001	NA	NA	NA	6535556	NA	NA	NA	6535887	NA	NA	NA	88	NA	intron (GAPDH, intron 1 of 7)	NA	1303	GAPDH								
chr12	6535959	6536218	Interval_1913	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.33115	NA	NA	NA	1.58889	NA	NA	NA	4.73092	NA	NA	NA	6535959	NA	NA	NA	6536218	NA	NA	NA	2	NA	intron (GAPDH, intron 1 of 7)	NA	1670	GAPDH								
chr12	6570518	6570660	Interval_1914	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.23013	NA	NA	NA	3.33349	NA	NA	NA	6.7822	NA	NA	NA	6570518	NA	NA	NA	6570660	NA	NA	NA	122	NA	exon (CHD4, exon 40 of 40)	NA	1155	LOC100127974								
chr12	6570901	6571099	Interval_1915	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.44207	NA	NA	NA	5.74949	NA	NA	NA	9.5059	NA	NA	NA	6570901	NA	NA	NA	6571099	NA	NA	NA	98	NA	exon (CHD4, exon 39 of 40)	NA	1566	LOC100127974								
chr12	6607332	6607549	Interval_1916	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.69184	NA	NA	NA	5.51416	NA	NA	NA	9.23064	NA	NA	NA	6607332	NA	NA	NA	6607549	NA	NA	NA	107	NA	promoter-TSS (CHD4)	NA	-57	CHD4								
chr12	6613798	6614050	Interval_1917	2	2	TRUE	FALSE	FALSE	TRUE	3.46372	NA	NA	6.53288	1.836	NA	NA	8.17447	5.40068	NA	NA	12.12849	6613819	NA	NA	6613798	6614050	NA	NA	6614021	207	NA	NA	170	NA	Intergenic	NA	-6540	CHD4								
chr12	6663246	6663460	Interval_1918	3	3	TRUE	TRUE	FALSE	TRUE	4.43219	6.53278	NA	7.34867	3.79907	8.83879	NA	12.45326	7.71637	13.37324	NA	16.67765	6663246	6663255	NA	6663260	6663412	6663446	NA	6663460	116	77	NA	115	NA	promoter-TSS (ING4)	NA	-234	ING4								
chr12	6689352	6689657	Interval_1919	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.7756	NA	NA	NA	9.34428	NA	NA	NA	13.38304	NA	NA	NA	6689352	NA	NA	NA	6689657	NA	NA	NA	190	NA	promoter-TSS (ZNF384)	NA	-178	ZNF384								
chr12	6723946	6724300	Interval_1920	3	3	TRUE	TRUE	FALSE	TRUE	7.61864	7.65613	NA	10.54864	12.39432	11.07244	NA	25.27365	17.18656	15.8292	NA	30.03482	6723957	6723952	NA	6723946	6724143	6724145	NA	6724300	68	110	NA	194	NA	promoter-TSS (COPS7A)	NA	-188	COPS7A								
chr12	6753369	6753535	Interval_1921	1	1	FALSE	TRUE	FALSE	FALSE	NA	5.52754	NA	NA	NA	4.29796	NA	NA	NA	8.32573	NA	NA	NA	6753369	NA	NA	NA	6753535	NA	NA	NA	107	NA	NA	NA	promoter-TSS (MLF2)	NA	-536	MLF2								
chr12	6891061	6891346	Interval_1922	3	3	TRUE	TRUE	FALSE	TRUE	5.12884	5.28115	NA	5.85489	5.49151	5.09404	NA	8.15802	9.64242	9.22858	NA	12.10993	6891061	6891125	NA	6891081	6891256	6891281	NA	6891346	66	83	NA	224	NA	Intergenic	NA	6522	DSTNP2								
chr12	6937969	6938179	Interval_1923	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.33115	NA	NA	NA	1.58889	NA	NA	NA	4.73092	NA	NA	NA	6937969	NA	NA	NA	6938179	NA	NA	NA	121	NA	intron (ATN1, intron 6 of 9)	NA	-5742	RNU7-1								
chr12	6942504	6942720	Interval_1924	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.75953	NA	NA	NA	8.534	NA	NA	NA	12.51333	NA	NA	NA	6942504	NA	NA	NA	6942720	NA	NA	NA	109	NA	TTS (ATN1)	NA	-1204	RNU7-1								
chr12	6943706	6944803	Interval_1925	3	3	TRUE	TRUE	FALSE	TRUE	6.05653	4.88553	NA	8.88307	6.63854	3.65017	NA	18.70892	10.92229	7.59674	NA	23.22303	6943813	6944300	NA	6943706	6944208	6944575	NA	6944803	327	94	NA	140	NA	TTS (RNU7-1)	NA	215	C12orf57								
chr12	6953925	6954111	Interval_1926	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.1649	NA	NA	NA	3.81579	NA	NA	NA	7.78166	NA	NA	NA	6953925	NA	NA	NA	6954111	NA	NA	NA	63	NA	NA	NA	intron (PTPN6, intron 3 of 15)	NA	2733	PTPN6								
chr12	6959427	6959589	Interval_1927	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.95721	NA	NA	NA	2.47697	NA	NA	NA	5.79397	NA	NA	NA	6959427	NA	NA	NA	6959589	NA	NA	NA	69	NA	intron (PTPN6, intron 11 of 15)	NA	-4234	MIR200C								
chr12	7369389	7369625	Interval_1928	3	3	TRUE	TRUE	FALSE	TRUE	5.19558	7.5162	NA	5.27432	6.54708	10.0033	NA	6.45612	10.81923	14.66485	NA	10.26322	7369405	7369389	NA	7369397	7369595	7369625	NA	7369556	87	127	NA	104	NA	exon (CD163L1, exon 15 of 20)	NA	30663	LOC101927882								
chr12	7891093	7891334	Interval_1929	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	11.00324	NA	NA	NA	18.05759	NA	NA	NA	22.54915	NA	NA	NA	7891093	NA	NA	NA	7891334	NA	NA	NA	104	NA	promoter-TSS (SLC2A14)	NA	-17977	SLC2A14								
chr12	7960768	7960910	Interval_1930	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.21472	NA	NA	NA	4.23823	NA	NA	NA	7.82796	NA	NA	NA	7960768	NA	NA	NA	7960910	NA	NA	NA	19	NA	Intergenic	NA	-24543	SLC2A3								
chr12	8057969	8058158	Interval_1931	2	2	TRUE	TRUE	FALSE	FALSE	5.18068	6.76458	NA	NA	5.2598	8.05687	NA	NA	9.39398	12.52187	NA	NA	8057972	8057969	NA	NA	8058158	8058141	NA	NA	73	78	NA	NA	NA	TTS (C3AR1)	NA	8295	C3AR1								
chr12	8066272	8066597	Interval_1932	2	2	TRUE	FALSE	FALSE	TRUE	5.95014	NA	NA	9.56031	5.79973	NA	NA	14.73237	10.00221	NA	NA	19.07521	8066272	NA	NA	8066325	8066574	NA	NA	8066597	129	NA	NA	135	NA	promoter-TSS (C3AR1)	NA	-76	C3AR1								
chr12	8320551	8320720	Interval_1933	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.82207	NA	NA	NA	10.19635	NA	NA	NA	14.28267	NA	NA	NA	8320551	NA	NA	NA	8320720	NA	NA	NA	80	NA	Intergenic	NA	70116	LINC00937								
chr12	9118049	9118618	Interval_1934	3	3	TRUE	TRUE	FALSE	TRUE	7.93352	9.49091	NA	14.90631	10.69746	13.05425	NA	37.34129	15.37183	17.9584	NA	42.47415	9118170	9118188	NA	9118049	9118491	9118589	NA	9118618	190	263	NA	369	NA	Intergenic	NA	-2394	A2M								
chr12	9743276	9743418	Interval_1935	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.12621	NA	NA	NA	2.10581	NA	NA	NA	5.368	NA	NA	NA	9743276	NA	NA	NA	9743418	NA	NA	NA	113	NA	Intergenic	NA	-10048	CLECL1								
chr12	10027680	10028055	Interval_1936	4	4	TRUE	TRUE	TRUE	TRUE	7.61864	6.38877	5.15957	11.29855	12.39432	7.1159	3.23349	19.623	17.18656	11.48466	7.45794	24.17653	10027680	10027777	10027794	10027694	10028004	10028053	10028050	10028055	208	114	34	227	NA	intron (LOC102724020, intron 2 of 2)	NA	2692	LOC102724020								
chr12	10128774	10129020	Interval_1937	3	3	TRUE	TRUE	FALSE	TRUE	6.73615	5.7986	NA	6.08384	7.31379	4.66536	NA	6.08302	11.66736	8.75776	NA	9.86561	10128795	10128778	NA	10128774	10129020	10128919	NA	10128916	54	52	NA	44	NA	intron (CLEC7A, intron 1 of 4)	NA	1360	CLEC7A								
chr12	10212373	10212521	Interval_1938	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.96978	NA	NA	NA	6.92411	NA	NA	NA	10.77412	NA	NA	NA	10212373	NA	NA	NA	10212521	NA	NA	NA	67	NA	promoter-TSS (GABARAPL1)	NA	-389	GABARAPL1								
chr12	10212668	10213073	Interval_1939	3	3	TRUE	TRUE	FALSE	TRUE	6.7044	3.73302	NA	11.51852	9.54338	1.83369	NA	24.67692	14.11589	5.41879	NA	29.41836	10212726	10212791	NA	10212668	10212975	10212963	NA	10213073	143	34	NA	132	NA	promoter-TSS (GABARAPL1)	NA	35	GABARAPL1								
chr12	10213360	10213713	Interval_1940	4	4	TRUE	TRUE	TRUE	TRUE	7.14017	4.88553	4.69052	8.4695	8.65402	3.65017	2.40473	14.41593	13.15274	7.59674	6.46635	18.74379	10213514	10213404	10213406	10213360	10213665	10213596	10213591	10213713	121	119	99	140	NA	intron (GABARAPL1, intron 1 of 3)	NA	701	GABARAPL1								
chr12	10341960	10342230	Interval_1941	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.99723	NA	NA	NA	3.66233	NA	NA	NA	7.16959	NA	NA	NA	10341960	NA	NA	NA	10342230	NA	NA	NA	94	NA	intron (KLRD1, intron 5 of 5)	NA	-21674	RP11-277P12.20								
chr12	10395762	10395971	Interval_1942	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.5184	NA	NA	NA	7.06672	NA	NA	NA	10.92989	NA	NA	NA	10395762	NA	NA	NA	10395971	NA	NA	NA	114	NA	intron (KLRC4-KLRK1, intron 4 of 12)	NA	-5813	KLRK1								
chr12	10721981	10722246	Interval_1943	2	2	TRUE	FALSE	FALSE	TRUE	4.57118	NA	NA	7.96393	3.75439	NA	NA	10.83604	7.66809	NA	NA	14.9638	10722053	NA	NA	10721981	10722212	NA	NA	10722246	80	NA	NA	87	NA	intron (YBX3, intron 1 of 8)	NA	1240	YBX3								
chr12	11554042	11554230	Interval_1944	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.92506	NA	NA	NA	3.00038	NA	NA	NA	6.83473	NA	NA	NA	11554042	NA	NA	NA	11554230	NA	NA	NA	123	NA	NA	NA	intron (RP11-434C1.1, intron 5 of 7)	NA	6106	RP11-434C1.1								
chr12	11648721	11649281	Interval_1945	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.36078	NA	NA	NA	6.50002	NA	NA	NA	10.3124	NA	NA	NA	11648721	NA	NA	NA	11649281	NA	NA	NA	181	NA	promoter-TSS (ETV6)	NA	-853	ETV6								
chr12	11649387	11649853	Interval_1946	2	2	FALSE	TRUE	FALSE	TRUE	NA	6.90943	NA	4.99673	NA	7.18396	NA	5.66124	NA	11.56412	NA	9.39648	NA	11649641	NA	11649387	NA	11649853	NA	11649802	NA	112	NA	327	NA	promoter-TSS (ETV6)	NA	-234	ETV6								
chr12	11649951	11650259	Interval_1947	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	5.15957	NA	NA	NA	3.23349	NA	NA	NA	7.45794	NA	NA	NA	11649951	NA	NA	NA	11650259	NA	NA	NA	39	NA	NA	exon (ETV6, exon 1 of 8)	NA	251	ETV6								
chr12	11773844	11774139	Interval_1948	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.99723	NA	NA	NA	3.66233	NA	NA	NA	7.16959	NA	NA	NA	11773844	NA	NA	NA	11774139	NA	NA	NA	113	NA	intron (ETV6, intron 2 of 7)	NA	86476	LOC101928186								
chr12	11836584	11836727	Interval_1949	1	1	TRUE	FALSE	FALSE	FALSE	3.21631	NA	NA	NA	1.32547	NA	NA	NA	4.73015	NA	NA	NA	11836584	NA	NA	NA	11836727	NA	NA	NA	37	NA	NA	NA	NA	intron (ETV6, intron 2 of 7)	NA	149140	LOC101928186								
chr12	11856916	11857218	Interval_1950	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.60875	NA	NA	NA	2.1582	NA	NA	NA	5.4368	NA	NA	NA	11856916	NA	NA	NA	11857218	NA	NA	NA	218	NA	intron (ETV6, intron 4 of 7)	NA	169551	LOC101928186								
chr12	12010169	12010488	Interval_1951	3	3	TRUE	TRUE	FALSE	TRUE	5.19558	4.98932	NA	5.83539	6.54708	3.55204	NA	6.03898	10.81923	7.46872	NA	9.81333	12010253	12010321	NA	12010169	12010425	12010488	NA	12010474	46	87	NA	169	NA	Intergenic	NA	-39535	LOC102724106								
chr12	12356974	12357116	Interval_1952	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.68324	NA	NA	NA	3.26256	NA	NA	NA	6.70623	NA	NA	NA	12356974	NA	NA	NA	12357116	NA	NA	NA	46	NA	promoter-TSS (LOH12CR1)	NA	22	LOH12CR2								
chr12	12467972	12468270	Interval_1953	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.48025	NA	NA	NA	3.70265	NA	NA	NA	7.21505	NA	NA	NA	12467972	NA	NA	NA	12468270	NA	NA	NA	260	NA	intron (LOH12CR1, intron 4 of 4)	NA	94393	DUSP16								
chr12	12561860	12562294	Interval_1954	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	8.01126	NA	NA	NA	8.46457	NA	NA	NA	13.36063	NA	NA	NA	12561860	NA	NA	NA	12562294	NA	NA	NA	83	NA	NA	promoter-TSS (DUSP16)	NA	437	DUSP16								
chr12	12611790	12611932	Interval_1955	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.44636	NA	NA	NA	5.13967	NA	NA	NA	8.83018	NA	NA	NA	12611790	NA	NA	NA	12611932	NA	NA	NA	60	NA	promoter-TSS (CREBL2)	NA	28	CREBL2								
chr12	12717276	12717794	Interval_1956	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	5.57929	NA	NA	NA	4.60377	NA	NA	NA	9.04738	NA	NA	NA	12717276	NA	NA	NA	12717794	NA	NA	NA	236	NA	NA	exon (CDKN1B, exon 1 of 3)	NA	167	CDKN1B								
chr12	12724062	12724476	Interval_1957	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	8.38963	NA	NA	NA	9.77776	NA	NA	NA	14.77964	NA	NA	NA	12724062	NA	NA	NA	12724476	NA	NA	NA	295	NA	NA	Intergenic	NA	-1648	APOLD1								
chr12	12724683	12724895	Interval_1958	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	6.72172	NA	NA	NA	6.5632	NA	NA	NA	11.25985	NA	NA	NA	12724683	NA	NA	NA	12724895	NA	NA	NA	108	NA	NA	Intergenic	NA	-1128	APOLD1								
chr12	12725357	12725827	Interval_1959	4	4	TRUE	TRUE	TRUE	TRUE	4.57118	5.23518	5.62862	5.0817	3.75439	4.14853	4.11278	4.88613	7.66809	8.16459	8.48668	8.55169	12725647	12725509	12725642	12725357	12725795	12725658	12725827	12725658	62	61	64	218	NA	promoter-TSS (APOLD1)	NA	-325	APOLD1								
chr12	13100898	13101320	Interval_1960	3	3	TRUE	TRUE	FALSE	TRUE	9.85861	10.48139	NA	11.64613	16.15195	16.02955	NA	21.32112	21.17252	21.13491	NA	25.94418	13101024	13100958	NA	13100898	13101320	13101176	NA	13101287	89	104	NA	253	NA	intron (GSG1, intron 1 of 6)	NA	2569	GSG1								
chr12	13101483	13101643	Interval_1961	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	7.77552	NA	NA	NA	7.79671	NA	NA	NA	12.61711	NA	NA	NA	13101483	NA	NA	NA	13101643	NA	NA	NA	80	NA	NA	intron (GSG1, intron 1 of 6)	NA	2115	GSG1								
chr12	14257711	14258088	Interval_1962	3	3	TRUE	TRUE	FALSE	TRUE	6.65064	5.26134	NA	10.89527	7.89873	4.46741	NA	19.52479	12.32886	8.5263	NA	24.0731	14257711	14257826	NA	14257772	14258088	14258084	NA	14257999	188	135	NA	94	NA	Intergenic	NA	-107732	ATF7IP								
chr12	14264933	14265086	Interval_1963	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.0817	NA	NA	NA	4.88613	NA	NA	NA	8.55169	NA	NA	NA	14264933	NA	NA	NA	14265086	NA	NA	NA	60	NA	Intergenic	NA	-100622	ATF7IP								
chr12	14365449	14365937	Interval_1964	3	3	TRUE	TRUE	FALSE	TRUE	6.65182	3.73302	NA	6.25575	7.18158	1.83369	NA	6.34927	11.52909	5.41879	NA	10.14304	14365449	14365796	NA	14365526	14365687	14365937	NA	14365817	107	40	NA	162	NA	promoter-TSS (ATF7IP)	NA	61	ATF7IP								
chr12	14613813	14614004	Interval_1965	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	8.38309	NA	NA	NA	11.93638	NA	NA	NA	16.12466	NA	NA	NA	14613813	NA	NA	NA	14614004	NA	NA	NA	130	NA	intron (GUCY2C, intron 26 of 26)	NA	45732	RP11-695J4.2								
chr12	14770020	14770173	Interval_1966	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.44636	NA	NA	NA	5.13967	NA	NA	NA	8.83018	NA	NA	NA	14770020	NA	NA	NA	14770173	NA	NA	NA	106	NA	TTS (HIST4H4)	NA	1034	HIST4H4								
chr12	15527188	15527384	Interval_1967	1	1	TRUE	FALSE	FALSE	FALSE	5.15679	NA	NA	NA	4.06954	NA	NA	NA	8.0378	NA	NA	NA	15527188	NA	NA	NA	15527384	NA	NA	NA	130	NA	NA	NA	NA	intron (PTPRO, intron 12 of 25)	NA	-19058	PTPRO								
chr12	15939215	15939383	Interval_1968	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.54478	NA	NA	NA	9.7611	NA	NA	NA	13.82505	NA	NA	NA	15939215	NA	NA	NA	15939383	NA	NA	NA	126	NA	intron (DERA, intron 1 of 8)	NA	27981	DERA								
chr12	19428361	19428523	Interval_1969	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.16394	NA	NA	NA	3.45271	NA	NA	NA	6.94001	NA	NA	NA	19428361	NA	NA	NA	19428523	NA	NA	NA	88	NA	Intergenic	NA	-11232	AEBP2								
chr12	19439769	19439966	Interval_1970	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	6.09767	NA	NA	NA	5.03406	NA	NA	NA	9.54968	NA	NA	NA	19439769	NA	NA	NA	19439966	NA	NA	NA	118	NA	NA	promoter-TSS (AEBP2)	NA	194	AEBP2								
chr12	20492273	20492518	Interval_1971	2	2	FALSE	TRUE	FALSE	TRUE	NA	6.01614	NA	5.44636	NA	5.55395	NA	5.13967	NA	9.75624	NA	8.83018	NA	20492353	NA	20492273	NA	20492518	NA	20492482	NA	40	NA	107	NA	intron (PDE3A, intron 1 of 15)	NA	-79468	PDE3A								
chr12	21657970	21658139	Interval_1972	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.64928	NA	NA	NA	5.13967	NA	NA	NA	8.83092	NA	NA	NA	21657970	NA	NA	NA	21658139	NA	NA	NA	71	NA	promoter-TSS (LDHB)	NA	-84	LDHB								
chr12	22042999	22043250	Interval_1973	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.83539	NA	NA	NA	6.03898	NA	NA	NA	9.81333	NA	NA	NA	22042999	NA	NA	NA	22043250	NA	NA	NA	112	NA	Intergenic	NA	-3051	CMAS								
chr12	22544544	22544745	Interval_1974	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.74292	NA	NA	NA	4.09588	NA	NA	NA	7.6621	NA	NA	NA	22544544	NA	NA	NA	22544745	NA	NA	NA	107	NA	promoter-TSS (C2CD5)	NA	-137	C2CD5								
chr12	24172203	24172374	Interval_1975	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.50162	NA	NA	NA	4.65172	NA	NA	NA	8.28447	NA	NA	NA	24172203	NA	NA	NA	24172374	NA	NA	NA	69	NA	intron (SOX5, intron 4 of 17)	NA	-40182	MIR920								
chr12	24661661	24661986	Interval_1976	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.08005	NA	NA	NA	6.08227	NA	NA	NA	9.85951	NA	NA	NA	24661661	NA	NA	NA	24661986	NA	NA	NA	197	NA	Intergenic	NA	-77656	LINC00477								
chr12	24740464	24740682	Interval_1977	2	2	TRUE	FALSE	FALSE	TRUE	5.48542	NA	NA	4.43881	6.06245	NA	NA	2.90941	10.29428	NA	NA	6.31978	24740529	NA	NA	24740464	24740682	NA	NA	24740666	111	NA	NA	119	NA	Intergenic	NA	-156405	LINC00477								
chr12	24838624	24838839	Interval_1978	2	2	TRUE	FALSE	FALSE	TRUE	7.44488	NA	NA	6.08384	8.72241	NA	NA	6.08302	13.23404	NA	NA	9.86561	24838690	NA	NA	24838624	24838839	NA	NA	24838805	67	NA	NA	108	NA	intron (BCAT1, intron 7 of 8)	NA	-63583	LOC102724371								
chr12	25052341	25052676	Interval_1979	2	2	FALSE	TRUE	FALSE	TRUE	NA	6.38877	NA	6.09804	NA	7.1159	NA	7.47949	NA	11.48466	NA	11.37947	NA	25052521	NA	25052341	NA	25052674	NA	25052676	NA	73	NA	172	NA	promoter-TSS (LRMP)	NA	256	LRMP								
chr12	25250429	25250804	Interval_1980	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	8.22068	NA	NA	NA	8.4708	NA	NA	NA	13.36737	NA	NA	NA	25250429	NA	NA	NA	25250804	NA	NA	NA	252	NA	NA	intron (KRAS, intron 1 of 5)	NA	303	KRAS								
chr12	25250972	25251144	Interval_1981	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	6.09767	NA	NA	NA	5.03406	NA	NA	NA	9.54968	NA	NA	NA	25250972	NA	NA	NA	25251144	NA	NA	NA	62	NA	NA	promoter-TSS (KRAS)	NA	-138	KRAS								
chr12	25333866	25334162	Interval_1982	3	3	TRUE	TRUE	FALSE	TRUE	5.63997	8.34053	NA	7.62775	4.76012	10.0361	NA	9.49121	8.816	14.69919	NA	13.5335	25333908	25333911	NA	25333866	25334162	25334147	NA	25334142	193	105	NA	99	NA	Intergenic	NA	-83094	KRAS								
chr12	25385748	25386470	Interval_1983	3	3	TRUE	FALSE	TRUE	TRUE	8.40018	NA	13.33787	6.3847	13.26687	NA	21.62578	9.8691	18.11387	NA	27.58945	13.93964	25386188	NA	25385748	25386136	25386387	NA	25386158	25386470	97	NA	284	201	NA	Intergenic	NA	-135189	KRAS								
chr12	26274632	26275067	Interval_1984	4	4	TRUE	TRUE	TRUE	TRUE	15.23728	10.88053	8.44293	20.71866	41.32479	26.90001	10.26117	59.55487	47.54372	32.567	15.30239	65.19997	26274720	26274707	26274742	26274632	26275067	26275055	26275000	26275060	121	212	78	176	NA	Intergenic	NA	-60073	LOC101928554								
chr12	26299116	26299257	Interval_1985	1	1	FALSE	TRUE	FALSE	FALSE	NA	5.72358	NA	NA	NA	5.76793	NA	NA	NA	9.98544	NA	NA	NA	26299116	NA	NA	NA	26299257	NA	NA	NA	52	NA	NA	NA	Intergenic	NA	-84410	LOC101928554								
chr12	26340805	26340954	Interval_1986	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.05293	NA	NA	NA	6.37232	NA	NA	NA	10.17087	NA	NA	NA	26340805	NA	NA	NA	26340954	NA	NA	NA	122	NA	intron (ITPR2, intron 55 of 56)	NA	-126103	LOC101928554								
chr12	26523804	26523949	Interval_1987	1	1	TRUE	FALSE	FALSE	FALSE	5.25521	NA	NA	NA	3.94402	NA	NA	NA	7.89241	NA	NA	NA	26523804	NA	NA	NA	26523949	NA	NA	NA	53	NA	NA	NA	NA	intron (ITPR2, intron 37 of 56)	NA	-309100	LOC101928554								
chr12	26874598	26874792	Interval_1988	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.42048	NA	NA	NA	5.72035	NA	NA	NA	9.46884	NA	NA	NA	26874598	NA	NA	NA	26874792	NA	NA	NA	110	NA	Intergenic	NA	-41498	ITPR2								
chr12	26938647	26938784	Interval_1989	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	6.40901	NA	NA	NA	5.20746	NA	NA	NA	9.74082	NA	NA	NA	26938647	NA	NA	NA	26938784	NA	NA	NA	32	NA	NA	promoter-TSS (ASUN)	NA	344	FGFR1OP2								
chr12	27179925	27180071	Interval_1990	1	1	FALSE	TRUE	FALSE	FALSE	NA	7.11407	NA	NA	NA	7.49209	NA	NA	NA	11.89585	NA	NA	NA	27179925	NA	NA	NA	27180071	NA	NA	NA	81	NA	NA	NA	intron (LOC729222, intron 6 of 6)	NA	49063	LOC729222								
