GENE,mr522-MV411-DMSO-r1_tcount,mr523-MV411-DMSO-r2_tcount,mr524-MV411-DMSO-r3_tcount,mr525-MV411-DMSO-r4_tcount,mr526-MV411-DMSO-r5_tcount,mr527-MV411-Mebendazole-r1_tcount,mr528-MV411-Mebendazole-r2_tcount,mr529-MV411-Mebendazole-r3_tcount,mr530-MV411-Mebendazole-r4_tcount,mr531-MV411-Mebendazole-r5_tcount
KIF23,11,9,18,30,11,8,19,15,25,7
AKAP5,0,1,1,2,0,5,9,7,15,0
SLC4A7,12,12,9,35,11,18,10,16,15,6
SLC4A8,0,0,2,4,1,2,0,3,1,0
RPH3AL,1,0,0,2,0,0,0,1,0,0
PMPCB,6,7,9,15,4,10,9,11,10,3
FXR2,4,5,10,26,6,2,12,4,10,3
STXBP5L,0,0,0,0,0,0,0,0,0,0
LITAF,4,1,7,4,6,4,4,4,7,8
SPTLC2,75,102,144,299,123,126,157,108,167,80
TBPL1,11,9,8,38,12,11,11,15,9,7
NPEPPS,17,22,25,62,20,25,23,14,32,18
EEF1E1,3,4,4,19,5,8,14,11,12,2
SCAMP1,17,21,14,45,16,24,26,21,25,15
TECR,0,1,0,0,0,1,1,1,1,0
VPS4B,34,34,33,104,29,35,41,41,66,26
MPDU1,8,13,16,45,12,21,26,17,13,12
GOSR1,30,52,42,74,37,47,50,41,45,33
TMEM59,10,16,16,20,14,11,19,15,15,8
BAG5,55,87,70,208,74,87,99,87,102,45
BAG4,67,67,54,162,67,59,82,49,89,55
BAG3,0,7,2,3,1,1,2,0,2,3
BAG2,30,18,20,48,28,21,27,23,31,13
POLR1C,17,14,21,54,30,22,32,16,30,7
ZNF254,13,25,6,28,6,22,21,24,26,7
GMFG,4,6,8,8,3,3,5,7,5,6
TP53I11,0,1,0,0,0,0,0,1,0,0
EI24,30,62,62,155,70,55,72,44,75,33
TP53I3,0,0,0,0,1,0,0,0,0,0
CIR1,4,7,6,17,5,10,19,17,15,6
RAB3D,19,24,23,54,28,45,51,26,45,35
APBA3,0,0,0,0,0,0,3,0,3,0
ATP6V1G1,26,30,46,89,30,44,34,19,46,24
ATP5MF,6,9,8,10,6,5,5,8,9,7
SPAG7,5,4,10,17,12,11,9,15,14,6
MRPL33,41,42,54,102,64,32,44,30,51,24
SEC22B,12,15,7,27,7,19,29,8,21,15
MACROH2A1,32,42,38,89,44,48,79,31,60,29
ATP5MPL,10,12,10,21,11,17,28,11,15,13
CHD1L,1,6,2,7,5,2,6,5,5,1
VPS26A,31,33,39,83,37,52,49,41,48,25
CCL4L2,2,4,7,5,0,7,15,13,2,14
MINPP1,2,3,3,12,6,7,6,3,1,1
H6PD,1,1,1,6,0,5,2,2,3,1
GTPBP1,10,8,13,11,16,9,17,7,6,7
GABBR2,0,0,2,0,0,0,0,0,0,0
GTF2IRD1,0,0,0,2,0,0,3,0,2,1
GOSR2,33,50,39,112,48,32,40,22,48,24
NR1D1,0,0,0,1,1,0,0,0,0,0
CLOCK,38,23,31,109,21,20,34,26,43,14
BABAM2,1,1,0,1,2,4,1,3,1,1
CDC42BPB,0,1,0,2,0,0,0,0,0,0
PREPL,17,20,12,50,24,26,36,27,31,18
APOBEC3B,0,1,2,0,0,0,2,1,5,3
ENTPD4,19,24,14,55,27,29,37,29,43,21
RBM39,208,200,262,751,245,284,358,267,333,193
KIF20B,10,6,4,35,6,10,5,10,6,6
CREB5,4,5,6,6,6,4,10,6,5,4
MAD2L1BP,22,26,57,80,40,34,47,32,44,22
PRDX6,6,32,10,35,18,17,19,12,24,14
WTAP,96,106,114,296,148,140,141,98,137,75
IER2,15,37,36,71,33,46,93,60,103,61
CYTIP,14,15,14,31,12,29,34,33,38,24
PITPNM1,0,0,0,0,0,0,0,1,0,1
PDIA4,9,6,7,36,21,9,8,7,12,5
NFE2L3,12,8,14,26,8,8,20,17,14,5
RNF14,5,19,14,50,12,19,21,23,22,11
VPS9D1,0,0,0,2,0,1,0,1,0,0
RIN1,2,2,2,3,1,2,1,1,1,2
NCOR1,10,16,12,27,14,15,19,17,23,19
NCOR2,2,0,1,11,2,3,4,4,5,2
RNF7,33,25,32,91,36,30,34,26,24,15
MTRF1,2,3,2,7,5,0,3,3,2,1
TRAF4,3,10,7,22,11,2,14,6,11,7
CELSR1,0,0,0,0,0,0,0,0,0,0
GNA14,0,0,0,0,0,0,0,0,0,0
NUP155,3,4,1,19,3,5,4,5,5,1
SEC24C,21,20,25,36,18,14,30,19,29,19
TESMIN,2,4,5,18,5,5,4,0,5,3
ISG15,0,0,0,0,0,0,0,0,0,1
FEZ2,9,8,6,24,9,9,15,8,11,6
ARHGEF10,7,17,13,41,17,16,29,21,38,21
ZNF592,8,13,14,32,25,16,29,22,21,12
IKBKE,0,3,0,2,1,1,0,1,0,2
MORF4L2,28,27,20,55,19,22,30,25,32,16
SH3PXD2A,0,0,0,0,0,1,2,0,2,1
MICAL2,13,11,9,24,16,25,16,14,22,17
CTR9,9,9,7,24,7,7,6,8,10,4
PPM1F,7,6,8,19,5,9,12,7,16,5
GCC2,5,4,1,16,7,10,10,8,11,5
RALGPS1,0,0,0,0,4,0,2,1,1,2
MTFR1,15,18,12,29,16,15,18,20,8,6
TTC37,3,8,3,13,0,7,5,5,6,5
HS2ST1,20,22,20,40,19,19,21,28,32,28
TTLL4,2,6,7,4,3,1,3,8,3,3
SOCS5,24,21,22,59,21,24,26,20,24,12
MDC1,2,4,7,3,7,2,5,3,3,3
IQCB1,33,30,58,133,81,57,74,49,60,32
ZNF516,56,75,63,152,86,64,98,87,102,55
PDE4DIP,1,1,0,0,0,0,0,0,0,0
CEP135,6,12,9,9,5,10,13,16,22,4
LPIN2,15,25,30,54,39,26,29,17,37,17
MARF1,24,14,17,66,25,21,34,12,22,13
DZIP3,0,0,1,0,0,0,0,0,0,1
SAFB2,2,2,1,9,5,5,6,1,8,3
ZNF432,7,3,3,8,9,4,11,9,6,4
EIF5B,29,31,46,79,42,31,46,34,47,21
IPO13,1,3,3,2,0,1,0,2,2,1
SLC25A44,24,37,41,82,43,39,43,44,47,39
KIAA0040,1,1,0,2,3,0,1,1,0,0
TTI1,2,2,9,14,2,6,5,4,4,1
PPIP5K1,4,2,2,23,5,5,5,6,7,6
PHF14,3,3,5,18,3,6,11,9,10,4
FAM53B,6,17,21,37,8,20,18,19,22,19
DEPDC5,1,2,2,11,0,2,0,0,5,0
KDM4A,11,13,13,25,24,17,14,17,22,10
N4BP1,5,5,13,21,6,16,15,7,14,5
LRRC14,13,19,28,42,17,20,25,16,27,10
CLINT1,31,40,22,81,44,42,46,27,36,25
VGLL4,15,28,20,41,28,19,18,11,17,20
GREB1,0,0,0,1,0,0,0,0,0,0
NUP93,2,3,5,11,4,8,2,2,6,0
BZW1,57,75,36,166,75,66,92,71,73,59
UBE3C,24,27,32,73,29,32,34,29,34,24
PRORP,1,2,3,2,4,3,6,4,3,1
RAPGEF2,3,6,1,11,7,7,4,2,6,4
EMC2,8,10,12,31,12,14,14,12,17,5
EDEM1,95,137,74,255,112,169,198,189,192,119
TRAM2,12,14,22,46,24,16,28,8,26,10
PUM1,43,46,45,135,39,47,69,55,65,38
ESPL1,0,1,1,0,4,0,3,2,0,0
PPP6R2,0,0,1,6,3,1,1,2,1,0
CEP57,19,21,15,53,24,29,32,18,23,13
KIAA0100,4,9,17,45,10,13,10,15,12,8
DHX34,3,0,1,8,1,0,0,4,4,2
PCDHGA8,8,11,15,17,13,7,11,5,7,5
HERPUD1,27,63,72,120,82,88,68,73,86,48
GARRE1,0,0,0,6,1,2,1,3,2,2
RUBCN,5,4,5,14,4,9,11,2,5,5
USP6NL,6,2,9,15,8,8,6,5,2,1
FAM131B,0,0,0,0,0,0,1,1,0,0
AQR,3,2,2,3,0,4,7,7,0,1
ECE2,2,2,3,4,7,1,1,0,1,1
ADAMTSL2,0,0,0,0,0,0,1,0,0,0
UTP14C,37,43,22,121,33,37,60,43,53,28
TMEM63A,0,1,1,0,0,0,1,2,1,0
ZNF646,3,2,1,1,4,3,3,4,3,1
RAB11FIP3,0,1,5,3,1,1,0,1,2,4
SECISBP2L,17,15,8,44,8,22,19,8,21,10
DCAF1,9,8,8,35,19,11,9,14,18,8
CEP104,2,1,2,6,0,3,5,5,3,1
DOCK4,1,0,0,1,0,1,0,0,0,0
SART3,11,13,16,48,8,19,19,13,17,5
HDAC9,8,15,9,28,11,5,10,8,7,7
KNTC1,3,0,1,3,0,0,0,1,1,0
USP34,4,6,10,35,9,8,12,11,15,4
GPRASP1,0,0,0,1,0,0,0,0,0,0
CCP110,37,30,27,82,26,36,29,29,40,25
SETD1A,5,2,1,6,5,5,4,5,4,5
LAPTM4A,3,5,3,28,13,15,11,9,18,3
IFT140,0,0,0,1,1,0,0,0,0,0
ARHGAP32,4,1,1,0,2,0,2,1,4,3
ACAP1,0,0,0,0,0,2,0,0,0,0
ZNF536,0,0,2,6,0,2,0,0,1,0
CLSTN3,0,0,0,0,1,0,0,0,0,2
TCAF1,1,1,4,6,4,0,0,0,4,0
SLK,21,18,11,47,23,29,20,31,33,17
PHACTR2,26,15,8,54,19,25,25,31,24,10
ZSCAN12,36,44,52,132,70,55,53,35,71,27
STARD8,9,7,16,25,15,21,21,16,19,10
TBKBP1,5,2,0,2,2,1,2,5,4,2
KMT2B,0,1,4,1,0,1,4,4,3,1
HDAC4,8,21,18,24,15,16,22,13,25,10
MLEC,84,107,125,260,118,94,115,85,151,75
LZTS3,0,0,0,0,1,0,3,3,2,1
KIAA0513,0,0,0,1,0,0,0,1,0,0
ZFYVE16,7,2,1,5,2,5,9,8,10,4
SUSD6,11,29,32,36,17,19,27,33,38,24
JADE3,5,3,5,32,3,9,10,7,1,6
PCLAF,16,21,19,64,19,21,30,22,33,13
RASSF2,119,121,127,310,168,249,282,252,301,177
TMEM94,1,0,1,4,0,2,4,2,0,0
BCLAF1,141,150,87,387,136,154,184,147,187,87
EIF4A3,1,19,8,18,8,6,11,8,16,7
ATG13,14,40,33,77,24,25,33,28,20,26
TM9SF4,14,22,22,56,20,32,37,35,43,25
KIAA0232,45,47,39,126,72,61,86,55,86,43
TBC1D5,8,19,20,61,26,25,38,32,41,25
PIEZO1,0,3,1,7,3,3,6,2,7,4
RNF144A,12,13,12,36,23,14,19,10,16,12
MATR3,51,63,45,150,42,65,64,63,89,29
RIMS3,2,4,3,1,1,1,7,2,3,2
SNX17,4,7,13,17,5,5,6,8,9,10
DHX38,0,1,0,8,1,4,4,3,0,3
KIAA0586,1,1,2,4,5,6,3,1,5,3
DLGAP5,1,2,2,7,2,2,0,0,2,2
MTSS1,0,0,0,0,0,0,0,0,2,0
SPCS2,5,9,3,16,2,3,14,7,4,5
BMS1,11,12,23,55,15,14,30,17,28,10
PTDSS1,46,53,56,116,87,69,81,56,73,55
SERTAD2,30,41,47,138,63,48,50,46,51,34
CKAP5,15,12,10,37,15,9,10,11,14,9
MAML1,7,19,16,56,21,15,23,16,35,22
PHYHIP,2,0,0,0,0,0,0,0,0,0
TATDN2,7,10,19,36,18,14,22,18,18,12
IST1,52,61,54,177,70,62,77,55,80,46
MRPL19,23,31,16,84,36,36,27,27,36,21
DAZAP2,98,127,166,338,162,176,166,139,180,116
TOMM20,117,140,135,338,139,122,160,147,172,95
SCRN1,0,0,0,0,0,0,0,1,3,0
SPOCK2,0,0,1,0,0,0,1,0,1,0
IP6K1,18,18,47,45,17,18,19,26,20,16
RNF40,8,15,12,46,29,22,20,14,18,10
CTIF,2,3,6,10,3,1,5,6,5,1
DELE1,11,20,11,53,14,12,26,20,24,15
EFCAB14,38,44,47,106,38,45,44,51,60,30
SFI1,0,0,0,0,0,0,0,0,1,0
GIT2,32,27,23,84,24,41,57,35,47,15
URB2,5,8,8,38,10,14,15,9,12,10
KEAP1,15,42,41,93,58,44,41,48,61,26
NUP58,55,51,52,105,54,52,65,52,60,34
TSC22D2,6,6,0,6,0,10,6,7,8,6
CUL7,0,0,0,1,0,0,0,2,0,0
RB1CC1,21,17,14,45,9,20,22,16,16,9
ARHGAP11A,43,28,39,70,41,29,55,39,48,26
SPATA2,6,17,24,14,12,17,27,16,20,14
ARHGEF11,0,0,0,1,0,1,0,0,0,0
RGP1,0,0,0,5,2,0,1,0,1,0
ARHGEF17,0,1,0,1,0,0,1,3,1,0
TRIM14,6,12,23,39,16,12,14,21,15,7
ZNF623,34,36,11,70,18,23,42,23,47,23
MELK,4,4,5,15,1,6,7,10,2,1
LCMT2,12,12,10,51,24,20,29,15,26,16
GINS1,23,15,19,72,27,24,37,32,31,18
ZEB2,327,427,341,1006,469,431,527,452,520,314
TESPA1,0,0,0,0,1,0,2,0,2,0
ZBTB24,25,20,14,55,20,31,21,20,27,14
PLEKHM1,5,11,12,8,4,11,12,7,17,12
HEPH,1,0,0,0,0,0,0,0,0,0
ELMO1,3,7,11,19,12,9,18,18,19,9
GAB2,11,28,20,62,25,36,61,46,55,42
C2CD5,13,15,16,33,13,13,24,13,14,10
ZNF518A,26,25,19,59,26,35,50,18,42,20
KIAA0753,15,12,9,24,9,13,19,15,10,10
EPM2AIP1,98,97,100,298,117,116,152,107,142,76
C2CD2L,1,3,3,6,1,4,3,3,6,2
FARP2,0,1,0,0,0,2,0,2,0,0
CEP350,56,56,69,149,69,72,73,54,82,38
CEP170,33,42,41,107,35,84,70,71,81,38
LRIG2,5,7,21,27,5,5,13,11,12,10
PSMD6,1,7,2,11,4,10,9,1,7,2
MED24,7,8,14,19,6,5,9,7,7,3
MAGI2,0,0,0,1,3,0,0,3,2,1
TRIM66,6,16,7,41,27,10,15,12,11,14
PJA2,55,60,37,109,54,69,59,61,92,38
TOMM70,35,52,43,162,49,57,53,52,42,32
SETDB1,1,5,9,31,9,5,7,4,14,9
AREL1,15,23,20,67,15,25,28,29,31,13
SEC24D,2,3,3,9,0,3,2,2,7,4
FCHSD2,13,19,22,68,21,21,36,23,37,14
TLK1,8,16,10,30,18,23,25,13,20,7
URB1,7,13,12,17,13,10,8,7,8,12
ZC3H11A,65,55,77,202,63,79,97,74,107,53
TOX4,12,13,14,39,22,17,20,20,31,12
DDX46,14,9,8,23,16,14,9,16,20,5
ZBTB39,32,30,41,100,40,35,49,28,42,25
TRANK1,0,0,0,0,1,0,1,0,1,0
TBC1D4,1,0,0,2,0,1,0,4,0,1
POM121,12,13,9,29,14,14,11,15,12,4
LRRC37A,0,1,0,2,0,0,0,0,3,0
OSBPL2,6,2,15,16,11,8,4,11,7,8
SMG7,26,36,57,84,30,42,63,53,58,25
ZBED4,10,27,28,52,35,23,31,29,25,7
NUAK1,0,0,1,8,0,0,0,0,0,0
TELO2,1,0,1,1,2,1,3,1,2,0
TECPR2,8,3,2,9,6,7,10,4,5,3
FIG4,0,1,0,0,0,0,1,0,1,0
WASHC5,4,6,5,5,4,2,8,5,5,2
UBAP2L,12,13,19,40,14,9,29,21,18,12
SV2B,3,0,3,8,1,8,7,3,5,3
SRGAP3,2,4,0,4,2,5,2,3,2,1
MRC2,5,2,6,12,3,6,10,4,5,2
KLHL21,16,19,23,44,21,22,27,24,19,14
RBM19,7,5,8,10,10,4,13,3,7,2
SGSM2,0,0,2,0,0,1,0,0,0,0
SLC35E2A,18,23,25,47,13,22,26,16,32,11
AP5Z1,3,3,5,13,1,2,6,3,2,1
G3BP2,101,107,121,308,133,91,143,93,142,87
DENND4B,8,11,10,17,1,8,10,3,10,3
RABGAP1L,8,10,2,15,5,8,11,9,16,4
ARHGAP44,3,16,3,20,10,15,16,15,18,8
SUPT7L,14,16,23,44,14,27,29,24,31,19
FAM20B,24,36,24,100,35,47,42,37,50,24
NCAPD2,10,10,9,26,6,10,10,10,8,13
SEC16A,5,17,17,30,12,16,17,16,23,12
KBTBD11,33,32,41,111,52,34,52,36,52,26
RNF10,1,8,3,9,2,6,3,7,5,4
IQSEC1,4,3,3,4,7,5,6,9,11,5
ZBTB40,18,19,37,112,28,30,27,26,40,24
PAN2,3,2,0,13,4,1,4,1,1,3
ZBTB5,15,27,24,73,25,28,48,27,41,30
LPGAT1,2,2,2,4,1,6,2,1,1,0
MFN2,14,17,12,70,35,26,38,26,25,28
KIF14,15,9,11,26,9,9,20,8,16,12
JOSD1,14,27,15,36,24,30,42,49,53,21
HELZ,29,22,24,62,14,25,42,33,43,15
PUM3,5,26,11,51,18,10,17,8,12,8
P2RY14,0,0,0,0,2,0,0,0,0,0
CD302,10,18,9,19,9,22,17,11,16,6
DCLRE1A,4,3,6,16,4,8,3,4,4,0
ARHGAP25,9,9,6,7,3,10,9,12,4,6
RBM8A,38,52,40,98,60,61,64,52,69,36
DLEC1,0,0,0,0,0,0,0,0,0,0
EXOG,4,8,10,16,4,7,15,5,8,7
XYLB,0,1,0,7,1,2,9,0,1,1
OXSR1,27,38,45,118,45,35,61,57,49,48
CRYZL1,3,7,6,4,2,4,6,2,2,1
WDR1,25,17,32,54,35,72,82,69,80,49
AMMECR1,17,24,19,70,27,19,31,26,25,14
GOLGA5,3,5,11,14,17,16,10,9,17,9
HS3ST3B1,6,9,1,9,8,3,15,10,5,5
USP15,35,44,26,117,53,47,65,49,59,30
USP3,15,24,34,69,29,34,59,39,41,18
MVP,0,0,0,0,0,0,0,0,0,0
SLC23A2,41,52,35,118,45,47,57,50,62,38
SLC23A1,0,0,0,0,0,0,0,0,0,0
THRAP3,27,35,27,117,46,29,51,39,60,26
MED12,1,0,2,2,0,0,4,1,1,0
MED13,47,28,38,125,47,42,76,53,74,23
NR1I3,0,0,0,0,0,0,0,0,0,0
NUP153,23,34,41,80,39,43,48,34,39,31
CCS,1,0,0,3,0,1,1,1,0,0
NR1D2,5,12,14,23,10,22,14,14,14,6
RBX1,1,2,3,8,4,4,0,1,6,3
DOP1B,2,3,5,3,2,3,0,0,7,1
THOC1,2,2,5,3,0,0,5,2,5,2
REC8,0,0,2,0,0,1,0,1,0,0
RCE1,2,4,4,7,0,5,5,7,7,3
HNRNPDL,352,365,384,1087,503,460,541,393,553,300
DMTF1,43,56,60,130,43,52,79,49,80,35
PPP4R1,30,34,39,114,54,49,56,37,54,36
SLC12A6,9,13,6,25,10,18,23,19,13,4
PTBP3,82,101,66,227,96,138,154,114,160,89
DGCR2,6,10,15,14,7,10,12,8,14,9
CASP8AP2,4,7,6,16,6,4,7,4,5,5
SCO2,5,5,1,3,0,1,2,1,2,2
AKT3,10,8,7,26,9,9,18,4,4,7
MED6,14,18,19,45,13,16,21,5,21,10
NR2E3,0,0,0,0,0,0,0,0,0,0
NAALAD2,0,0,0,0,0,0,0,0,0,0
ACOT8,0,2,0,4,2,0,1,1,1,0
ABI1,19,29,17,37,17,22,34,14,27,10
GNPDA1,8,10,10,20,10,14,13,10,21,7
KCNE3,6,19,22,36,16,13,24,23,21,12
ZBTB33,158,226,146,465,198,218,252,199,251,116
TANK,2,3,3,11,9,7,5,6,9,5
SRA1,6,14,19,36,9,16,23,19,25,17
HDAC6,3,3,9,18,4,3,3,4,8,2
HDAC5,2,1,5,2,1,1,4,4,1,0
PDCD6IP,32,23,27,97,35,42,52,35,64,41
PDCD6,22,18,23,51,22,21,32,12,21,10
BCL2L11,30,53,55,91,45,48,50,44,50,33
SH2B3,58,62,57,119,62,67,147,98,107,76
GNE,17,19,31,71,34,23,38,15,26,22
FRAT1,2,9,19,24,13,13,15,4,22,11
TROAP,3,1,9,5,1,3,2,2,2,2
MED16,0,1,1,0,0,0,1,0,1,0
PIGK,6,5,7,16,10,4,4,3,9,3
CHAF1A,2,5,6,11,5,7,10,8,5,5
PARP2,1,1,5,4,1,1,0,3,2,0
PARP3,0,2,0,1,1,0,0,0,0,0
TOM1L1,3,3,2,6,4,8,5,1,6,1
HMGXB4,59,69,72,181,82,76,87,72,95,66
TOM1,0,1,0,3,1,1,0,1,2,1
SH2D3C,0,0,0,3,3,0,0,1,0,1
SH2D3A,0,0,0,0,0,0,0,0,1,0
RANBP9,19,22,18,47,25,28,29,26,31,20
DNAJB6,27,22,27,64,34,28,26,24,42,28
SMC4,56,70,43,181,61,73,105,70,86,34
UBA2,49,57,63,117,54,68,66,38,83,45
SAE1,19,35,43,103,36,44,49,52,56,24
FARSB,24,22,33,81,42,30,45,24,39,26
ABCC5,2,3,4,10,9,10,11,6,9,8
ABCB6,0,0,0,1,0,0,0,0,0,0
DNM1L,28,22,25,49,26,41,38,30,36,22
ABCF2,10,9,17,25,14,16,19,11,26,12
NR1H3,0,0,0,0,0,0,0,0,0,0
COX17,1,1,0,3,0,3,3,2,1,0
SCAMP2,8,15,12,27,7,13,12,10,14,12
SCAMP3,0,2,3,1,2,2,3,2,5,1
IL18BP,4,9,2,3,3,1,1,6,6,3
RWDD2B,4,12,1,28,14,15,17,14,23,8
DPP3,1,0,3,9,4,4,1,6,3,2
SNUPN,4,4,13,12,11,1,6,5,7,2
HUWE1,13,15,15,31,16,12,24,10,26,8
TSPAN32,0,1,0,0,0,0,0,0,0,0
TSSC4,3,1,0,4,0,0,2,2,2,1
ATP9A,0,0,0,0,0,0,2,0,0,0
PDCD7,15,18,25,43,18,13,23,11,27,12
PQBP1,0,1,0,0,1,0,0,2,0,0
CERT1,22,21,14,41,22,19,17,21,26,12
UST,0,1,2,0,0,0,0,1,2,0
ARPC5,41,44,45,155,58,99,117,87,123,57
ARPC4,10,25,20,45,13,24,37,30,21,18
ARPC3,9,9,24,46,24,18,29,26,18,11
ARPC1B,2,0,4,11,1,5,9,2,1,4
ACTR3,54,59,54,145,48,125,136,112,131,62
ACTR2,116,127,89,350,121,163,221,136,226,99
TSPAN5,0,0,0,0,0,0,0,0,0,0
TSPAN3,26,32,24,77,36,31,24,23,30,28
TSPAN2,3,0,0,1,2,1,3,2,0,0
NUBP2,1,1,0,9,2,0,1,1,2,3
TSFM,7,10,14,24,15,17,12,8,24,7
PPIF,106,130,192,387,160,201,272,174,217,157
CTDSP2,37,30,60,92,43,32,42,46,63,31
ARPC2,26,22,19,87,43,39,54,49,65,29
RAD50,8,19,12,37,12,19,29,13,17,12
KIF20A,10,6,7,12,2,10,12,3,11,4
PREB,29,42,34,100,50,38,54,27,39,24
HIPK3,75,68,63,160,85,75,104,84,116,57
FEM1B,81,82,68,240,85,93,107,72,121,62
ACTR1B,3,3,5,7,9,14,13,14,9,10
ACTR1A,10,19,20,49,24,26,28,12,38,15
ARL4C,9,12,18,22,19,23,21,13,27,7
ARL4A,52,62,49,131,57,81,91,78,102,54
RASGRP1,0,0,0,0,0,0,0,0,0,0
DNAL4,1,3,6,13,4,0,5,2,0,6
ZNF263,36,36,58,91,67,38,46,33,47,30
LRPPRC,15,22,13,54,21,18,24,22,37,11
FRY,8,9,12,36,12,22,20,5,19,10
PDIA6,39,35,47,87,36,26,37,35,52,22
TRAP1,0,3,3,0,0,0,0,2,0,0
OPTN,0,0,0,1,0,1,1,3,1,3
BCAP31,3,4,6,8,4,3,5,5,5,4
NAMPT,8,10,5,41,17,32,33,25,23,19
RBM12,46,38,48,145,48,38,55,42,52,39
YAF2,21,19,17,60,28,33,30,24,34,16
ARFRP1,0,1,5,1,4,4,3,2,5,2
TOB1,6,5,4,6,9,14,9,9,9,4
AKAP9,3,0,0,2,2,2,1,2,1,1
FAM13A,0,0,0,0,0,1,0,0,1,0
G3BP1,48,49,21,119,32,52,53,39,56,34
SUGP2,23,31,31,71,47,34,50,43,34,21
ADGRG2,0,0,0,0,0,0,0,0,0,0
10151,3,1,1,8,3,2,3,2,2,3
ABI2,21,18,12,43,15,8,22,17,33,12
CEBPZ,4,2,1,7,1,1,2,1,4,1
PLXNC1,0,4,3,5,3,6,6,1,2,0
TRIM28,3,12,17,30,12,6,21,9,7,10
RASA4,0,0,0,0,0,0,1,0,0,2
ATP6AP2,11,14,12,39,17,12,16,13,12,7
FARP1,0,0,0,0,0,0,0,0,1,0
LPCAT3,3,5,6,11,5,4,5,1,1,0
WASF2,26,50,63,132,42,35,56,63,62,46
CHST4,1,1,3,0,0,0,1,3,0,1
SLC25A13,14,14,9,47,15,21,26,19,16,13
SLC25A15,7,7,3,20,13,6,9,7,8,4
ZNF197,9,13,15,46,12,13,22,21,17,9
SERF2,36,46,54,144,46,63,88,68,80,39
DHRS9,3,1,2,0,3,2,2,1,3,2
RCL1,2,6,12,34,15,8,13,5,10,5
SORBS3,0,1,1,2,1,0,0,2,1,1
CNIH1,17,5,12,34,18,6,15,10,11,7
RBM7,32,32,23,84,21,31,43,25,39,28
RBM6,0,2,0,5,2,0,1,0,1,0
RBM5,24,34,36,89,46,38,39,31,37,22
LHFPL2,6,8,7,11,3,6,7,7,9,6
LHFPL6,0,0,0,0,0,0,0,0,0,0
TNK2,1,0,0,1,0,0,0,0,1,0
ALYREF,6,3,4,8,1,4,3,0,4,8
TXNDC9,8,10,3,20,9,13,25,15,18,7
RNF41,53,91,109,277,117,146,130,116,156,92
TSHZ1,13,9,22,43,18,15,24,22,24,6
ALG3,8,14,15,17,16,13,25,10,14,15
PRMT3,12,22,17,69,14,26,11,13,18,5
PSME3,54,82,70,186,78,65,61,54,79,56
MPHOSPH9,19,27,26,89,39,38,38,24,47,23
MPHOSPH10,2,0,0,0,1,2,0,0,3,0
MPHOSPH6,8,4,8,20,9,11,16,7,15,3
NME6,10,20,14,37,13,22,27,21,32,21
DHRS2,2,0,0,0,0,0,0,1,0,1
NUTF2,18,15,19,53,17,20,24,17,32,19
MPZL2,0,0,0,0,0,0,0,0,0,0
TRIM13,36,44,21,115,35,28,35,23,48,15
USPL1,5,7,9,12,3,11,7,4,7,4
EIF1,152,168,244,400,241,192,311,240,271,217
TOPORS,7,8,3,39,13,12,19,8,16,10
FLOT1,1,3,2,12,2,1,4,3,6,5
DDX39A,56,92,88,258,119,109,142,88,136,92
PSMD14,11,4,8,34,8,18,15,4,8,3
PRG4,0,1,0,0,0,0,0,0,0,0
KLRG1,1,1,0,5,0,0,0,0,0,0
GDF11,4,7,9,26,12,11,11,8,14,5
TRIB1,27,41,37,89,51,68,98,73,66,53
ZNF443,2,0,0,2,1,4,1,1,2,2
PLIN3,7,18,14,23,18,15,16,12,26,11
MFSD10,2,0,0,1,1,5,2,3,3,1
STX6,19,32,24,48,19,33,31,28,34,15
COQ7,9,7,6,32,11,5,15,15,11,5
NBR2,3,2,5,7,10,6,6,3,9,4
LRRC23,0,1,0,3,0,0,0,0,0,0
LRRC17,1,0,0,0,0,0,0,0,0,0
RASGRP2,0,0,0,0,0,0,0,0,0,2
HNRNPR,24,28,16,74,29,27,42,23,37,19
SLC35B1,2,9,5,11,6,3,2,2,4,5
DCAF7,39,55,78,164,45,65,83,60,68,56
AP3S2,10,19,14,36,13,26,16,15,22,12
MRPS31,2,3,0,0,1,0,1,0,3,0
CALCOCO2,17,25,49,65,44,28,42,31,31,20
GPHN,2,1,3,3,2,5,4,0,3,3
RABEPK,0,0,0,0,0,0,1,1,0,0
TIMM17B,3,3,0,4,3,2,3,2,1,1
RIDA,2,6,2,6,6,5,2,3,6,2
POP7,13,19,32,42,22,29,28,16,23,21
SRRM1,18,27,19,51,27,35,26,29,32,18
SPRY3,0,0,0,5,2,1,1,1,2,3
SPRY2,5,4,8,19,5,8,6,8,12,4
STAM2,15,11,18,30,27,21,15,17,17,14
ABCC4,28,32,19,53,27,37,51,26,39,34
DENND4A,17,21,25,43,19,33,30,25,35,11
IGSF6,0,0,1,0,0,0,0,0,0,0
SF3B4,2,6,3,10,4,4,10,3,10,2
CDK2AP2,8,6,10,19,15,13,11,12,10,7
IRX5,4,11,10,16,10,6,11,12,9,4
ZMPSTE24,17,26,19,54,24,20,36,26,22,16
AKAP8,42,44,48,107,52,47,54,42,67,41
FSTL3,1,0,2,3,1,5,1,0,3,3
STUB1,2,3,4,20,3,7,2,4,5,2
STAG1,3,5,10,15,2,8,8,9,9,3
NET1,20,23,11,73,13,26,35,20,50,10
