,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
NRXN2,1,7,2,0,0,2,0,1
GRHPR,3,4,4,2,2,3,6,3
COG1,0,1,0,0,0,1,0,0
TSIX,0,0,0,0,0,0,0,1
CIAO1,74,99,83,42,91,89,87,115
TGFBRAP1,54,57,59,21,34,88,79,64
HS6ST1,16,41,48,18,19,65,37,36
NMT2,0,0,1,1,1,1,0,1
CD101,2,1,0,0,4,1,2,0
STOML1,3,0,3,0,1,5,4,1
RECQL5,1,8,7,4,5,4,7,12
RECQL4,2,2,2,3,2,2,2,6
GRAP2,0,0,0,1,0,0,0,0
SELENOF,27,45,72,26,43,73,66,68
LPXN,6,30,20,8,25,30,28,31
ZRANB2,112,85,111,30,78,156,103,101
PEX16,4,1,2,0,0,4,7,5
SNRNP40,30,32,27,25,17,32,34,61
MED21,43,62,55,28,31,76,33,50
TJP2,9,4,3,6,0,5,12,3
FADS2,28,53,82,15,32,48,60,78
DDX23,37,51,49,28,36,60,44,61
CRIPT,12,19,15,4,12,24,15,17
ZNF264,25,55,44,28,30,72,68,58
NTN1,0,0,0,1,2,0,1,1
KCNK6,31,31,40,16,29,40,23,29
CDYL,22,33,26,20,21,42,42,27
CHST2,3,4,6,2,3,7,7,3
MED23,9,5,8,3,10,9,7,12
MED17,17,33,13,7,17,27,23,30
MED26,59,115,120,33,65,173,119,92
MED27,1,2,8,6,4,7,8,5
MED7,7,5,3,2,1,6,8,6
QKI,152,151,191,60,146,263,198,193
ITM2B,10,20,19,6,10,27,10,18
GSTO1,2,1,2,1,2,6,5,6
MAP4K4,59,75,80,39,45,118,86,69
LY86,2,1,1,1,2,6,4,1
EIF2AK3,9,20,8,10,5,16,12,17
GGPS1,7,9,6,5,2,15,8,7
HOMER3,11,16,13,10,13,11,7,18
HOMER2,0,1,0,0,0,0,0,0
HOMER1,8,15,7,4,13,20,12,12
ARHGEF6,29,31,44,18,36,43,36,50
RASAL2,50,78,102,24,65,108,95,82
PICK1,0,1,3,2,1,2,1,1
AKAP7,4,3,7,0,1,6,8,8
IL27RA,4,4,0,3,2,7,6,7
SH3BP5,1,2,11,2,3,5,5,8
EIF4E2,45,76,73,35,48,84,81,69
THEMIS2,26,10,18,24,36,12,19,49
ATG5,48,49,61,28,48,80,60,61
ROCK2,34,37,44,18,38,59,41,47
MED20,51,71,76,28,40,104,84,76
MAPK8IP1,0,1,0,0,0,0,0,0
ONECUT2,149,206,158,82,145,266,242,264
STX8,0,2,3,0,2,2,0,2
CHST10,24,33,43,15,20,39,36,28
PIGL,4,3,4,1,2,8,4,7
PIGB,3,7,3,2,3,3,5,3
PGS1,16,20,30,14,26,31,21,35
PSMF1,30,52,70,32,31,51,50,55
KIF23,14,25,30,9,20,30,19,28
AKAP5,0,0,1,2,1,2,0,2
SLC4A7,17,15,13,3,17,30,8,14
SLC4A8,0,1,2,0,1,1,1,2
MAGED1,0,0,0,0,0,0,0,0
RPH3AL,0,0,0,0,0,0,1,0
ADAMTS4,0,1,1,0,2,1,3,0
PMPCB,6,4,3,1,4,9,6,6
FXR2,13,27,35,17,19,28,25,34
STXBP5L,0,0,0,0,0,0,0,0
LITAF,15,25,18,16,8,37,19,27
SPTLC2,424,506,492,213,415,697,560,570
TBPL1,8,14,19,6,11,32,23,18
NPEPPS,11,31,22,13,12,27,22,26
EEF1E1,11,4,3,0,4,7,3,16
SCAMP1,23,47,29,8,24,65,35,25
TECR,0,0,0,0,0,0,0,0
VPS4B,33,66,64,24,38,79,73,64
MPDU1,12,30,29,14,17,48,37,39
GOSR1,84,111,145,62,98,176,158,144
TMEM59,16,15,16,3,9,27,19,16
BAG5,197,274,263,107,189,414,274,272
BAG4,158,183,182,52,110,279,193,188
BAG3,11,11,25,7,12,16,18,19
BAG2,36,45,27,19,21,53,31,35
POLR1C,13,17,28,19,25,25,22,26
ZNF254,43,55,52,15,66,99,56,62
GMFG,13,12,19,7,13,5,8,18
TP53I11,1,0,1,2,2,0,2,1
EI24,114,142,143,66,95,173,163,150
TP53I3,0,0,0,0,0,0,0,0
CIR1,7,12,9,6,7,14,13,9
RAB3D,115,253,266,86,113,332,218,189
APBA3,1,0,0,0,1,0,1,1
ATP6V1G1,36,44,36,26,38,73,51,77
ATP5MF,6,5,5,3,2,2,4,7
SPAG7,3,8,10,7,8,12,11,15
MRPL33,46,60,52,38,56,81,43,69
SEC22B,9,18,11,3,16,6,19,13
MACROH2A1,68,120,122,36,82,150,142,124
ATP5MPL,14,9,15,12,13,18,18,22
CHD1L,4,5,3,0,2,5,5,10
VPS26A,56,68,53,40,69,101,66,81
MINPP1,1,6,8,3,3,8,14,8
H6PD,6,21,16,2,9,15,18,17
GTPBP1,30,56,58,31,38,41,51,79
GTF2IRD1,2,0,1,0,1,4,5,4
GOSR2,80,105,83,29,88,98,90,116
NR1D1,5,9,1,4,9,4,8,4
CLOCK,32,47,45,17,37,88,55,44
BABAM2,3,7,7,2,4,2,5,5
CDC42BPB,0,0,1,0,1,1,3,1
SOX13,0,3,1,1,1,5,2,2
PREPL,30,13,17,9,19,25,26,18
ENTPD4,22,46,31,14,21,33,30,35
RBM39,350,389,403,175,355,541,376,438
KIF20B,12,22,11,6,10,13,8,13
CREB5,4,7,6,1,2,3,12,7
MAD2L1BP,40,54,69,33,49,84,63,84
PRDX6,7,18,20,6,12,19,12,26
WTAP,137,169,179,76,129,238,195,196
IER2,316,336,339,347,407,469,337,656
CYTIP,74,30,24,37,61,52,43,110
PITPNM1,0,2,0,0,1,0,1,2
PDIA4,10,19,22,9,7,20,17,14
NFE2L3,10,9,14,4,22,21,15,18
RNF14,11,41,32,7,17,33,33,21
VPS9D1,0,1,0,0,1,0,1,4
RAB36,1,2,0,2,1,3,1,2
RIN1,6,1,7,2,2,2,5,7
NCOR1,32,34,33,15,27,40,34,36
NCOR2,13,19,25,13,17,31,22,25
RNF7,44,65,76,32,57,89,73,79
MTRF1,3,2,3,2,0,4,6,3
TRAF4,19,26,21,18,19,35,21,39
CELSR1,0,0,0,0,1,0,0,0
AATK,0,0,0,0,0,0,0,0
GNA14,0,0,0,0,0,1,0,0
NUP155,0,3,0,2,3,1,3,2
SEC24C,63,64,73,40,33,50,60,94
TESMIN,9,22,16,1,13,16,12,8
ISG15,1,0,1,0,0,0,0,0
FEZ2,13,11,4,5,18,37,15,22
FEZ1,0,0,0,0,0,0,0,0
ZNF592,46,126,109,43,61,149,132,125
IKBKE,7,16,15,8,9,14,7,10
MORF4L2,19,22,22,8,25,33,23,29
SH3PXD2A,0,1,2,1,0,0,4,0
MICAL2,36,33,42,18,31,32,54,58
CTR9,13,10,6,4,7,18,10,13
PPM1F,18,38,59,11,24,39,37,42
GCC2,9,7,9,7,7,17,10,11
RALGPS1,0,3,3,1,0,1,1,2
MTFR1,11,35,23,11,14,52,34,22
TTC37,3,1,1,1,1,8,3,3
HS2ST1,14,22,41,7,15,36,25,29
TTLL4,3,7,5,5,2,6,4,6
SOCS5,28,25,34,13,31,60,39,30
IQCB1,75,65,64,35,68,89,70,91
ZNF516,330,522,490,179,310,609,549,567
PDE4DIP,0,0,0,0,5,2,0,0
CEP135,11,17,17,11,9,16,16,13
LPIN2,70,53,68,48,83,67,52,153
MARF1,2,0,2,0,2,4,0,0
DZIP3,0,5,1,1,0,1,1,2
SAFB2,3,8,8,1,6,6,6,13
ZNF432,29,38,36,25,37,63,36,34
EIF5B,51,47,52,26,34,66,49,54
IPO13,0,0,1,4,2,3,6,3
SDC3,1,0,0,1,0,0,1,0
SLC25A44,112,156,148,85,103,189,160,170
KIAA0040,1,4,5,1,5,3,1,2
TTI1,7,12,5,6,6,3,11,20
PPIP5K1,1,8,7,3,11,7,7,9
PHF14,9,3,5,2,8,5,3,9
FAM53B,101,239,253,111,118,300,232,191
DEPDC5,6,5,12,4,1,4,5,9
KDM4A,17,52,56,32,34,61,47,72
N4BP1,24,24,26,15,12,30,35,38
LRRC14,46,94,140,56,83,113,98,105
CLINT1,60,68,68,21,63,106,80,78
VGLL4,85,114,95,57,104,176,121,110
GREB1,0,0,0,0,0,2,1,0
NUP93,1,3,1,3,4,2,3,0
BZW1,53,51,59,27,60,86,48,64
UBE3C,52,91,86,36,35,80,85,82
PRORP,3,4,7,2,0,4,4,6
RAPGEF2,22,25,27,14,24,33,24,32
EMC2,19,14,7,2,3,13,7,16
EDEM1,322,318,298,168,303,382,336,456
CROCC,0,0,0,0,0,0,1,0
TRAM2,30,61,54,19,36,57,46,63
PUM1,90,112,99,38,94,152,137,147
ESPL1,1,2,3,0,2,2,3,1
PPP6R2,2,6,7,1,1,1,3,7
CEP57,28,20,23,14,27,37,34,26
KIAA0100,12,26,20,26,21,23,27,38
DHX34,9,2,9,7,6,9,11,12
ULK2,2,4,7,3,4,5,4,4
PCDHGA8,47,84,90,27,40,84,75,55
HERPUD1,105,119,97,79,104,160,101,144
RUBCN,12,10,9,7,12,10,23,35
USP6NL,5,8,6,2,8,16,15,4
FAM131B,0,0,0,0,0,0,1,0
AQR,1,2,4,0,0,1,1,2
ECE2,1,6,2,1,1,4,1,7
ADAMTSL2,0,0,1,1,0,1,2,1
CCDC144A,0,0,0,0,0,1,0,0
UTP14C,27,40,35,13,32,60,54,41
TMEM63A,1,2,1,0,1,1,1,1
ZNF646,13,33,30,13,12,23,32,30
SECISBP2L,13,18,23,8,16,32,17,25
DCAF1,10,18,20,15,9,12,17,33
CEP104,4,4,5,2,7,7,11,7
DOCK4,0,0,0,0,0,0,0,0
SART3,15,31,35,26,16,36,41,38
HDAC9,13,16,11,9,14,20,24,19
KNTC1,1,0,0,2,2,1,0,2
USP34,9,29,14,10,10,20,12,25
GPRASP1,0,0,0,0,0,0,0,1
CCP110,47,56,76,21,43,108,66,69
SETD1A,20,37,44,15,22,44,46,46
LAPTM4A,12,19,17,12,24,28,23,39
IFT140,1,0,0,0,1,2,1,1
ARHGAP32,9,10,22,6,6,19,16,22
ACAP1,0,0,0,0,0,0,0,0
ZNF536,1,3,2,2,2,5,3,0
CLSTN3,0,6,3,3,2,2,6,6
TCAF1,3,2,10,1,9,4,6,9
SLK,21,36,39,7,14,42,45,22
PHACTR2,44,40,44,25,40,75,49,59
SNPH,0,0,0,0,0,0,0,1
ZSCAN12,45,44,71,30,55,91,79,49
STARD8,33,44,66,24,40,47,46,42
TBKBP1,3,15,11,9,6,10,12,9
KMT2B,6,18,12,5,4,9,13,20
HDAC4,96,123,122,45,100,197,143,127
TOX,0,1,0,1,0,0,0,1
MLEC,231,442,350,172,256,411,432,390
LZTS3,1,0,0,0,0,1,1,3
KIAA0513,2,3,3,2,3,1,2,3
ZFYVE16,2,3,2,0,2,5,0,10
SUSD6,88,134,148,58,92,158,164,169
JADE3,14,10,13,7,13,18,17,20
PCLAF,15,28,28,17,22,32,33,35
RASSF2,192,328,286,126,204,390,311,334
TMEM94,2,5,2,1,3,4,8,13
BCLAF1,127,197,165,66,165,272,147,190
EIF4A3,24,21,27,6,22,41,34,22
ATG13,64,117,128,52,76,158,138,120
TM9SF4,61,82,81,39,40,91,73,111
KIAA0232,82,107,131,35,85,184,164,117
TBC1D5,65,95,82,40,67,119,105,78
PIEZO1,4,4,7,2,7,5,2,8
RNF144A,99,99,133,51,95,163,123,161
MATR3,74,70,61,42,65,119,88,71
RIMS3,5,13,7,3,7,8,8,5
SNX17,20,45,36,22,17,41,33,39
DHX38,4,3,10,0,6,9,6,4
KIAA0586,5,2,4,2,1,4,4,2
DLGAP5,3,1,6,2,1,4,5,2
MTSS1,0,0,0,0,0,0,0,0
SPCS2,1,7,7,3,1,2,2,6
BMS1,6,18,16,12,9,20,13,20
PTDSS1,114,161,171,69,135,159,135,235
SERTAD2,111,247,240,72,130,363,286,193
CKAP5,7,24,14,6,11,15,27,11
MAML1,114,145,153,64,123,175,160,183
PHYHIP,1,1,1,1,0,0,1,0
TATDN2,71,87,113,69,93,101,82,148
IST1,86,136,148,75,131,160,158,197
MRPL19,45,65,84,23,44,127,88,63
DAZAP2,231,294,315,213,255,425,305,382
TOMM20,284,337,333,144,274,531,431,350
SPOCK2,0,0,0,0,1,0,0,1
IP6K1,95,140,179,78,78,147,138,158
RNF40,52,68,85,54,56,83,69,117
CTIF,6,8,16,9,2,20,17,14
DELE1,17,26,22,13,25,22,29,28
EFCAB14,108,136,151,63,104,205,177,149
SFI1,0,0,0,0,0,0,0,0
GIT2,64,76,85,51,60,87,81,99
URB2,28,43,47,18,34,72,49,41
KEAP1,72,114,149,81,90,136,118,144
NUP58,39,49,50,21,43,78,44,77
TSC22D2,18,18,23,8,28,49,28,25
CUL7,0,0,0,0,1,0,0,0
RB1CC1,16,18,18,6,17,27,21,17
ARHGAP11A,2,12,10,6,6,16,19,10
SPATA2,53,80,79,49,61,112,102,92
ARHGEF11,0,3,3,0,0,0,0,0
RGP1,3,3,2,0,1,0,1,6
ARHGEF17,1,1,3,0,1,2,5,1
DNAJC6,0,1,0,0,0,0,0,0
TRIM14,30,53,73,23,32,71,57,54
ZNF623,2,0,2,2,5,5,1,1
MELK,4,9,8,3,2,8,4,9
LCMT2,77,72,77,32,47,100,64,78
GINS1,32,56,54,26,27,95,59,75
ZEB2,755,1110,1024,378,745,1710,1112,994
TESPA1,0,0,0,0,1,0,0,0
ZBTB24,51,61,62,21,41,104,89,54
HEPH,0,1,0,0,0,0,0,0
ELMO1,23,45,36,15,36,42,51,41
GAB2,176,370,369,165,185,455,345,339
C2CD5,16,16,12,7,11,14,7,12
ZNF518A,29,38,40,13,25,67,42,60
KIAA0753,9,19,14,9,12,20,28,10
EPM2AIP1,120,131,158,73,141,229,200,195
RUSC2,1,0,0,0,1,3,1,0
C2CD2L,13,28,25,13,15,17,32,33
FARP2,1,1,3,1,0,0,0,2
CEP350,108,129,135,30,107,168,148,122
PPP1R26,2,6,3,0,0,4,3,2
CEP170,0,0,2,1,0,0,1,0
LRIG2,17,19,20,10,18,25,19,14
PSMD6,1,1,0,4,1,3,5,2
MED24,12,22,23,7,16,11,14,21
MAGI2,1,1,0,1,4,1,4,6
TRIM66,11,23,22,11,24,23,26,37
PJA2,92,86,86,28,51,123,97,99
TOMM70,105,141,124,61,113,177,138,143
SETDB1,5,19,17,5,9,17,18,16
AREL1,57,67,61,23,55,76,59,64
SEC24D,8,4,8,6,3,7,7,6
FCHSD2,71,93,136,47,74,144,126,124
TLK1,13,26,20,3,3,38,29,15
URB1,20,22,22,17,21,32,33,39
ZC3H11A,59,67,57,25,42,78,86,79
TOX4,27,37,51,18,25,58,31,42
DDX46,8,20,14,7,17,19,17,27
ZBTB39,106,148,163,53,111,192,178,150
TRANK1,0,0,2,0,0,1,1,0
TBC1D4,3,2,0,0,0,0,1,1
POM121,33,53,77,31,52,61,66,75
OSBPL2,24,28,27,10,20,26,33,27
RHOBTB1,1,1,1,0,0,0,1,2
SMG7,85,102,131,37,75,118,118,119
ZBED4,89,129,132,54,82,182,145,134
NUAK1,6,10,22,7,11,16,9,10
TELO2,5,10,11,7,7,8,10,13
TECPR2,7,9,9,3,5,12,11,11
FIG4,0,0,0,1,0,0,2,1
WASHC5,0,6,10,1,1,5,5,5
UBAP2L,27,35,33,15,19,40,31,36
SV2B,3,10,9,0,8,10,1,7
SV2A,0,0,1,0,0,2,2,0
SRGAP3,9,4,2,5,6,18,19,11
MRC2,18,36,51,27,26,24,35,50
KLHL21,194,311,386,165,241,407,320,359
RBM19,5,19,18,3,6,11,17,17
SGSM2,4,3,1,6,6,3,2,4
SLC35E2A,32,42,57,17,26,52,66,68
AP5Z1,12,12,16,8,13,7,17,20
G3BP2,217,272,242,88,179,417,291,263
DENND4B,32,31,46,15,35,43,37,48
RABGAP1L,28,18,35,10,21,37,23,37
TMCC2,1,0,0,0,1,1,0,1
ARHGAP44,48,88,98,41,70,98,94,94
SUPT7L,11,20,36,4,31,26,25,29
FAM20B,81,117,97,43,73,175,97,115
NCAPD2,24,28,24,14,22,21,31,24
SEC16A,58,97,95,54,87,112,86,122
KBTBD11,1,8,8,1,3,7,5,2
RNF10,10,11,14,4,9,15,10,11
IQSEC1,23,39,38,17,27,46,45,48
ZBTB40,37,53,76,33,48,66,67,73
PAN2,2,3,2,4,2,5,1,3
ZBTB5,56,99,90,34,53,131,104,102
LPGAT1,3,0,1,1,4,0,2,1
MFN2,47,64,84,49,82,87,83,121
KIF14,15,14,14,6,17,19,18,24
JOSD1,165,80,107,113,159,105,90,264
HELZ,55,75,55,25,53,116,59,65
PUM3,15,16,16,5,12,16,10,20
CD302,30,20,36,11,15,35,27,28
DCLRE1A,11,8,6,2,5,4,7,10
ARHGAP25,13,13,8,4,7,15,17,11
RBM8A,36,65,48,21,40,72,58,69
DLEC1,0,0,0,0,0,0,0,0
EXOG,10,16,22,8,15,14,17,24
XYLB,1,8,10,2,3,6,10,7
OXSR1,64,83,93,41,77,76,96,83
CRYZL1,3,2,6,0,1,2,1,3
WDR1,100,125,97,81,123,133,127,186
AMMECR1,33,42,45,25,35,70,66,56
GOLGA5,14,22,12,7,16,23,18,13
HS3ST4,0,0,0,0,0,1,0,0
HS3ST3B1,62,86,103,48,57,131,106,72
USP15,53,54,58,16,34,99,65,51
USP3,44,75,51,35,66,107,76,74
MVP,0,2,0,0,1,1,0,0
SLC23A2,115,137,164,58,124,179,142,188
SLC23A1,0,0,0,0,0,0,0,0
TNFSF15,0,2,0,0,0,0,0,0
THRAP3,67,100,76,54,80,114,117,124
MED12,0,2,2,1,0,2,6,3
MED13,79,90,71,35,53,123,103,80
NR1I3,0,0,0,0,0,0,0,0
NUP153,59,97,84,45,67,118,100,94
CCS,0,1,0,0,0,1,0,1
NR1D2,37,40,24,9,24,46,28,33
RBX1,3,6,7,5,4,5,6,4
DOP1B,6,4,5,1,2,8,6,6
THOC1,2,1,1,0,0,3,2,0
REC8,0,2,1,1,0,1,0,0
RCE1,6,11,15,4,6,11,13,16
HNRNPDL,371,490,497,216,350,583,462,502
DMTF1,42,36,53,17,55,47,48,67
PPP4R1,50,51,60,23,57,49,54,62
SLC12A6,25,29,36,8,33,27,33,34
PTBP3,264,305,297,99,259,510,342,313
DGCR2,50,77,108,52,56,141,103,129
CASP8AP2,5,8,5,2,5,10,5,7
SCO2,2,2,6,3,2,6,3,6
AKT3,0,0,0,0,0,1,0,0
MED6,15,19,17,15,25,32,23,24
NR2E3,0,0,0,0,0,0,0,0
NAALAD2,0,0,0,0,0,0,0,0
NAALADL1,0,0,0,0,0,0,0,0
ACOT8,1,1,0,0,0,0,3,2
ABI1,13,24,19,8,22,42,22,29
GNPDA1,20,23,28,10,17,29,23,27
KCNE3,24,43,61,12,28,58,61,42
ZBTB33,347,474,472,155,329,845,508,395
TANK,2,4,6,3,3,11,2,8
SRA1,24,38,44,31,39,50,46,68
HDAC6,6,13,9,4,8,12,6,10
HDAC5,3,6,2,4,6,5,6,10
PDCD6IP,33,38,40,13,41,36,36,45
PDCD6,31,26,23,19,27,31,25,44
BCL2L10,4,10,1,2,4,14,10,7
BCL2L11,201,267,287,93,176,398,296,246
SH2B3,528,481,517,364,595,682,504,839
GNE,55,69,76,22,47,85,78,69
FRAT1,75,70,107,80,98,133,94,125
TROAP,1,13,4,2,3,2,4,1
MED16,0,0,0,0,0,0,0,1
PIGK,4,7,9,0,2,9,1,8
CHAF1A,26,30,37,16,30,34,30,48
PARP2,0,0,0,0,0,2,0,4
PARP3,1,0,0,1,0,0,0,0
TOM1L1,1,1,0,0,0,2,0,3
HMGXB4,112,166,187,79,111,203,163,176
TOM1,6,7,5,4,5,4,3,8
SH2D3C,3,7,6,9,4,11,7,8
SH2D3A,2,1,0,0,2,0,0,1
RANBP9,75,63,83,50,98,95,88,85
DNAJB6,32,32,49,28,41,65,52,49
SMC4,96,97,96,47,83,165,102,131
GJC1,0,0,0,1,0,0,1,0
UBA2,50,69,42,23,43,90,70,62
SAE1,104,133,139,67,105,170,153,130
FARSB,37,46,42,27,37,52,38,62
ABCC5,7,4,9,5,8,9,4,13
ABCB6,0,1,0,0,0,0,0,0
DNM1L,14,19,14,12,17,30,18,28
ABCF2,33,31,38,12,26,27,34,36
NR1H3,0,0,0,1,0,0,0,0
COX17,2,2,2,1,1,0,2,4
SCAMP2,36,65,85,37,50,72,68,83
IL18BP,2,11,8,3,1,5,5,7
RWDD2B,16,17,27,9,14,30,13,37
DPP3,4,8,10,2,7,8,6,8
SNUPN,7,11,9,4,10,18,7,10
HUWE1,22,22,34,23,23,29,20,40
PTPRU,0,1,2,1,0,2,0,2
TSPAN32,0,0,1,0,0,2,0,0
TSSC4,7,9,17,6,9,8,5,12
ATP9A,0,2,1,0,1,0,0,0
PDCD7,62,84,90,43,58,106,97,117
PQBP1,0,1,2,2,0,0,0,1
CERT1,31,22,18,10,19,45,32,36
KCNK7,0,0,0,0,0,0,0,0
UST,2,1,0,0,0,0,0,0
ARPC5,94,120,117,49,90,186,132,138
ARPC4,71,144,142,60,92,118,108,158
ARPC3,17,36,26,21,18,35,32,44
ARPC1B,6,11,12,9,5,15,12,24
ACTR3,116,115,112,83,103,181,118,150
ACTR2,202,258,251,86,224,429,299,294
TSPAN5,2,0,1,0,2,0,0,0
TSPAN3,43,43,65,35,50,68,69,50
TSPAN2,3,0,1,0,3,0,0,2
NUBP2,4,10,7,9,3,14,7,8
TSFM,21,31,48,13,24,40,31,35
PPIF,374,463,530,354,429,571,512,679
CTDSP2,94,207,217,64,104,206,182,161
ARPC2,44,70,70,34,42,69,56,69
RAD50,21,17,24,5,14,34,23,23
KIF20A,5,18,15,3,4,10,15,9
PREB,144,216,238,127,147,220,227,250
HIPK3,180,211,163,62,158,367,208,221
FEM1B,185,237,243,99,196,390,313,267
ACTR1B,27,16,33,16,19,25,18,44
ACTR1A,43,67,100,40,36,97,73,76
ARL4C,46,91,74,21,44,133,84,68
ARL4A,47,73,57,32,45,98,83,62
RASGRP1,0,0,0,0,0,0,0,0
DNAL4,2,14,8,6,6,13,10,14
ZNF263,112,133,191,110,103,151,122,172
LRPPRC,30,49,39,19,28,65,51,49
FRY,43,46,45,30,31,73,60,55
PDIA6,65,87,74,35,57,132,90,102
TRAP1,2,3,3,2,3,2,2,3
OPTN,3,0,0,0,0,1,3,1
BCAP31,8,17,21,9,9,29,15,19
NAMPT,26,16,21,10,17,28,20,25
RBM12,119,134,138,60,106,235,145,163
YAF2,17,39,33,25,18,50,31,41
ARFRP1,10,15,22,9,6,12,15,12
TOB1,21,22,9,12,20,21,24,24
AKAP9,3,3,3,0,1,1,0,2
FAM13A,0,0,2,0,1,0,0,0
G3BP1,67,89,71,30,68,149,103,94
SUGP2,60,138,142,51,73,119,141,133
ADGRG2,0,0,0,0,0,0,1,0
HNRNPA3P1,4,1,4,3,2,3,4,4
ABI2,6,8,10,10,16,22,15,16
CEBPZ,2,3,0,2,1,4,1,1
PLXNC1,5,11,13,5,6,11,11,9
TRIM28,12,38,48,27,24,27,29,63
RASA4,0,1,0,0,1,0,0,1
ATP6AP2,20,18,12,13,23,22,25,30
FARP1,0,0,1,0,0,0,0,0
LPCAT3,9,13,9,8,14,12,11,11
WASF2,165,296,294,122,158,307,294,270
CHST4,3,3,2,1,1,3,5,1
SLC25A13,10,25,17,8,21,24,36,21
SLC25A15,16,21,32,15,22,29,24,22
ZNF197,19,21,29,12,11,35,28,23
SERF2,85,113,108,63,60,104,95,156
DHRS9,2,1,9,1,2,2,3,3
RCL1,20,30,39,14,22,36,33,30
ZNF256,3,1,2,2,5,4,0,3
SORBS3,7,4,14,5,6,11,8,4
CNIH1,14,15,12,9,8,27,25,19
RBM7,41,41,41,21,26,65,54,47
RBM6,0,1,2,0,0,0,0,0
RBM5,31,48,49,30,41,49,55,62
LHFPL2,14,11,26,9,13,20,16,18
LHFPL6,0,0,1,1,0,0,0,0
TNK2,2,4,5,6,2,5,4,5
ALYREF,13,21,26,11,22,24,25,25
TXNDC9,17,19,14,3,11,25,18,12
RNF41,243,359,341,146,262,404,355,391
TSHZ1,58,131,123,37,62,186,122,108
ALG3,31,63,59,22,30,56,57,51
PRMT3,19,19,18,3,8,16,23,24
PSME3,155,214,245,132,169,261,261,266
MPHOSPH9,29,38,31,11,30,39,39,51
MPHOSPH10,2,0,1,0,0,2,0,1
MPHOSPH6,14,15,11,5,11,12,5,15
NME6,30,44,30,27,29,57,46,50
DHRS2,0,0,0,0,0,0,0,0
NUTF2,28,51,44,20,25,42,42,53
MPZL2,0,0,0,1,2,0,0,0
TRIM13,65,110,104,33,53,152,122,77
USPL1,2,16,9,3,7,13,10,5
EIF1,414,490,612,353,531,631,539,684
TOPORS,14,17,23,1,20,37,18,15
DDX39A,172,304,328,178,204,346,256,366
PSMD14,4,9,18,7,5,17,22,12
PRG4,0,0,0,0,0,0,0,0
CTDSPL,0,1,1,1,0,2,3,0
KLRG1,0,1,1,0,0,0,0,0
GDF11,18,34,29,13,24,38,31,32
TRIB1,277,191,173,177,302,251,175,436
ZNF443,1,1,3,0,1,3,2,4
PLIN3,53,85,112,44,62,114,105,107
MFSD10,6,8,14,7,3,16,6,19
STX6,56,67,75,37,66,91,70,90
COQ7,24,13,17,8,19,18,19,17
NBR2,6,12,7,2,10,7,3,4
LRRC23,0,0,1,2,0,2,1,2
LRRC17,0,0,2,0,0,4,0,0
RASGRP2,1,2,2,2,1,0,1,2
HNRNPR,41,54,39,15,33,72,45,57
SLC35B1,6,3,9,6,1,14,8,10
DCAF7,239,367,393,181,233,472,468,409
AP3S2,20,22,53,22,13,51,45,34
MRPS31,0,0,0,2,0,0,0,0
CALCOCO2,48,62,79,38,61,82,72,72
GPHN,3,8,14,5,2,10,9,6
RABEPK,0,0,1,0,0,0,0,0
TIMM17B,2,5,7,5,0,4,3,6
RIDA,1,3,6,2,0,0,2,1
POP7,18,40,48,21,29,62,54,58
SRRM1,61,74,75,28,57,89,91,100
SPRY3,0,1,0,0,2,3,1,2
SPRY1,5,0,1,3,5,3,1,5
SPRY2,20,11,17,7,12,27,17,22
STAM2,19,27,33,14,28,49,34,25
ABCC4,13,25,23,11,14,35,24,20
DENND4A,41,32,36,9,42,51,32,60
IGSF6,0,0,1,0,0,0,0,0
SF3B4,21,25,23,19,20,47,40,30
CDK2AP2,26,47,42,27,27,56,46,61
IRX5,27,30,41,20,33,57,37,45
ZMPSTE24,14,41,27,18,26,49,35,25
AKAP8,87,128,149,55,99,131,100,139
FSTL3,4,6,5,1,4,8,3,12
STUB1,6,15,17,7,14,11,15,13
STAG1,13,11,7,5,7,16,13,9
NET1,32,36,22,15,29,55,56,37
UBE4B,5,17,14,5,11,14,8,6
SIGMAR1,86,141,154,70,76,165,118,139
BET1,28,24,28,14,17,37,31,20
CWC27,9,20,11,12,25,23,30,32
SAP18,78,83,84,53,90,156,89,89
SMNDC1,45,52,50,15,35,86,48,68
BCAS2,16,17,17,4,12,23,26,19
RGS19,36,55,69,25,34,74,78,63
EIF1B,20,36,38,10,21,72,38,30
SF3A1,81,117,114,67,119,152,96,153
TRAIP,4,5,3,10,6,6,6,13
DNAJA2,48,65,63,32,42,118,77,68
BCKDK,5,3,5,4,9,7,10,12
MAEA,51,62,64,32,41,72,46,88
APC2,0,0,0,0,0,0,1,0
PAK4,9,17,18,10,5,30,19,19
MARCHF6,56,80,60,25,51,95,74,82
KATNB1,2,0,0,1,0,1,5,1
SNAPC5,11,12,18,6,7,15,8,33
APBB3,2,3,1,2,0,1,1,4
ZNF267,59,86,61,28,59,165,99,58
VPS26C,46,61,65,35,43,90,65,74
TCIRG1,0,2,3,1,3,2,2,4
