,DMSO,YLK
TCF20,0.0,0.25
VPS72,22.0,16.25
MLX,145.0,105.75
TCN2,0.0,0.0
TCOF1,22.5,14.5
TCP1,17.5,12.75
TCTA,39.75,26.5
DYNLT3,2.25,2.5
PPP1R11,1.5,1.5
DYNLT1,8.75,15.0
TDG,64.5,48.0
PRDX2,10.5,9.5
TEAD3,36.5,16.75
TEC,62.0,49.25
TEF,47.0,24.0
TMBIM6,429.5,296.75
TEP1,24.5,19.0
TERC,0.0,0.25
TERF1,23.0,15.0
TERF2,34.25,30.75
TERT,0.5,0.5
TESK1,7.75,7.0
TFAM,117.75,62.0
TFAP2A,0.25,0.25
TFAP2C,0.5,0.0
TFAP4,56.75,39.25
TFCP2,31.25,33.5
NR2F2,0.0,0.0
TFDP1,83.5,75.75
TFDP2,14.25,8.75
TFE3,32.75,20.75
TFR2,1.25,1.25
TFRC,843.25,531.75
TGFA,7.0,4.5
TGFB1,19.25,9.25
TGFB3,1.25,1.0
TGFBI,1.75,4.75
TGFBR1,283.25,167.0
TGM4,0.25,0.25
TGFBR2,253.75,190.0
TGFBR3,3.0,1.75
TGIF1,36.25,33.0
TGM2,0.75,0.25
THBD,247.5,121.75
THBS1,1.25,40.25
THBS2,0.0,0.0
THBS3,3.5,1.25
THBS4,0.75,0.5
THOP1,3.0,2.0
THRA,13.75,6.5
THRSP,0.0,0.0
KLF10,248.0,315.5
TIA1,38.5,32.25
TIAL1,50.25,37.5
TIAM1,8.5,5.5
TIMP1,2.0,2.25
TIMP2,22.25,20.75
TIMP3,0.25,1.0
TK1,17.75,15.0
TK2,56.75,28.5
TKT,206.5,136.75
TLE1,4.0,3.75
TLE3,168.25,122.5
TLE4,62.0,53.25
TLN1,21.0,11.25
SEC62,109.0,86.5
TLR1,2.25,0.25
TLR2,14.5,5.5
TLR4,61.0,32.0
TLR5,0.5,0.5
TSPAN4,0.5,0.0
GPR137B,4.25,2.5
TM7SF2,0.0,0.25
TMF1,24.5,18.75
TMOD1,2.5,1.5
TMPO,177.5,113.5
TMSB4X,185.5,202.0
CLEC3B,0.0,0.0
TNFAIP1,35.5,27.0
TNFAIP2,38.75,17.75
TNFAIP3,118.5,42.75
TNFRSF1A,57.0,48.75
TNFRSF1B,143.75,160.0
TNNI2,0.0,0.0
TNNT1,0.0,0.0
TNS1,51.25,32.0
TOP1,82.5,64.0
TOP2A,74.5,44.5
TOP2B,15.25,11.5
TOP3A,60.0,59.25
TP53,114.5,71.0
TP53BP1,0.25,0.5
TP53BP2,36.5,34.25
TP73,2.25,1.5
TPD52,24.75,22.0
TPD52L2,61.0,47.0
TPH1,0.25,0.25
TPI1,105.75,74.0
TPM1,1.25,1.25
TPM3,325.0,263.0
TPM4,221.25,357.25
TPMT,6.75,7.0
TPP2,22.5,19.0
TPR,4.75,8.0
TPT1,153.25,125.75
NR2C1,7.75,4.0
NR2C2,108.0,58.25
HSP90B1,39.75,32.75
TRAF1,1.25,3.5
TRAF2,39.0,21.25
TRAF3,109.0,60.25
TRAF5,0.0,0.0
TRAF6,106.25,59.0
HSP90B2P,43.5,36.5
CCT3,273.5,227.0
TRIO,6.25,4.25
TRIP6,7.25,10.25
TRPC2,1.75,2.5
TRPM2,22.5,18.75
TSN,138.5,94.5
TSC1,31.25,25.5
TSC2,0.25,0.25
TSG101,8.75,5.5
TSHR,0.75,0.5
TSNAX,35.75,20.75
TSPYL1,98.75,59.25
EIPR1,7.75,3.25
TST,5.0,2.75
TTC1,25.5,20.5
DNAJC7,110.0,93.75
TTC3,16.0,13.75
TTC4,56.75,39.75
TTF1,169.0,150.25
TTK,6.0,1.75
TTN,1.25,0.5
TUB,1.0,0.0
TUBA4A,4.75,0.5
TUBG1,5.25,3.5
TUFM,19.5,10.75
TUFT1,1.75,0.5
TULP1,0.25,0.0
TULP3,10.25,8.75
HIRA,26.75,17.5
TNFSF4,2.25,0.5
TNFRSF4,0.0,0.0
TXK,2.75,1.75
TXN,6.25,5.5
TXNRD1,363.25,200.75
TYK2,11.25,6.75
TYMS,46.5,32.5
TYRO3,2.25,2.0
TYRO3P,3.5,4.5
TYROBP,12.0,22.5
U2AF1,1.75,1.75
UBA52,72.25,63.5
UBB,16.75,11.75
UBC,16.0,14.25
UBA1,7.0,2.75
UBA7,0.5,0.0
UBE2A,43.25,26.75
UBE2B,21.5,15.5
UBE2D1,10.25,7.0
UBE2D2,90.25,66.25
UBE2D3,198.0,150.0
UBE2E1,14.75,9.75
UBE2E2,0.25,0.5
UBE2G1,144.75,93.0
UBE2G2,76.0,60.25
UBE2H,56.75,48.25
UBE2I,73.0,57.0
UBE2L3,88.25,61.5
UBE2N,116.0,74.5
UBE2V1,127.5,101.25
UBE2V2,85.75,65.0
UBE3A,165.25,112.25
SUMO1,71.0,61.5
UBP1,199.0,118.5
UBTF,319.5,192.75
UCHL3,2.75,2.5
UCN,0.75,0.0
UCP2,34.0,21.5
UCP3,5.75,2.5
UFD1,4.5,4.75
SLC35A2,50.25,41.75
UGCG,1010.75,706.75
UGDH,5.0,2.25
UGP2,19.0,7.5
UGT2B17,0.0,0.5
UGT8,0.25,0.0
UCK2,277.75,164.25
UMPS,55.75,44.75
UNG,95.25,57.0
USP4,49.75,37.5
NR1H2,28.75,26.0
UPP1,0.25,1.5
UPK3A,0.25,0.25
UQCRB,125.25,79.25
UQCRC1,6.25,2.75
UQCRC2,10.5,10.25
UQCRFS1,24.5,14.25
UQCRH,11.75,7.5
UROD,1.0,1.75
UROS,2.5,0.5
USF1,32.0,30.0
USF2,12.5,6.75
USP1,69.25,41.5
USH2A,0.0,0.0
UTRN,16.0,10.75
KDM6A,17.5,9.5
UTY,21.75,16.5
UVRAG,111.5,76.75
VASP,166.0,107.5
VAV1,10.75,6.0
VAV2,37.0,25.5
VBP1,27.0,16.75
VCL,53.25,48.75
VCP,104.5,82.25
VDAC1,198.75,126.25
VDAC2,11.25,8.25
VDAC3,62.0,37.0
VDR,76.5,52.5
VEGFA,91.25,65.25
VEGFB,2.5,3.5
VGF,1.5,3.0
VHL,131.75,105.5
EZR,56.25,67.25
VIM,111.75,71.25
VIPR1,0.0,0.0
VLDLR,93.75,59.0
BEST1,4.25,3.5
TRPV1,3.5,2.75
VRK1,10.5,5.25
VRK2,9.25,6.5
WARS1,40.5,37.0
WAS,6.25,6.25
WIPF1,73.0,66.75
EIF4H,201.75,148.5
CLIP2,9.75,7.75
LAT2,127.25,65.5
CORO2A,2.5,0.75
WEE1,146.25,95.75
NSD2,161.5,103.75
NELFA,16.5,10.5
WNT6,3.0,1.5
WNT10B,29.0,23.25
GET1,9.5,3.25
WRN,6.5,5.75
WT1,154.75,77.5
XBP1,1522.5,1245.75
XIST,0.25,0.0
XK,9.5,4.25
XPA,11.25,7.75
XPC,61.0,60.0
XPNPEP1,52.75,50.25
XPO1,69.25,68.5
XRCC1,0.5,1.25
XRCC2,73.75,46.25
XRCC3,28.5,28.25
XRCC4,6.5,6.75
XRCC5,102.5,76.5
YES1,115.75,68.75
YY1,104.5,72.5
YWHAB,263.75,187.75
YWHAE,12.25,4.75
YWHAG,1049.5,702.75
YWHAH,246.75,206.0
YWHAZ,322.0,297.5
SF1,520.5,394.25
ZFP36,564.25,678.75
ZFP37,0.5,0.5
ZBTB14,55.0,28.0
ZFPL1,5.25,6.75
ZFX,310.75,164.0
ZFY,51.5,33.25
ZIC2,37.75,23.75
ZNF2,31.25,19.75
ZNF3,136.0,87.5
ZNF7,8.5,5.25
ZNF8,19.25,13.5
CNBP,648.25,472.25
ZNF10,6.0,6.75
ZNF12,194.0,134.5
ZNF708,62.75,36.25
ZNF16,23.0,13.25
ZNF17,10.25,6.25
ZNF18,20.0,12.25
ZNF19,2.75,2.75
ZNF20,4.0,0.5
ZNF182,25.5,17.75
ZNF22,71.25,48.5
ZNF23,8.75,7.0
ZNF24,462.0,270.25
ZNF26,19.0,21.25
ZNF28,36.5,23.75
ZSCAN20,7.5,1.0
ZNF32,1.25,0.75
ZNF33A,51.5,42.5
ZNF33B,32.25,20.0
ZKSCAN1,268.75,198.75
ZNF37A,72.25,69.75
ZSCAN21,3.25,5.0
ZNF41,24.5,12.75
MZF1,6.75,5.25
ZNF43,2.25,1.25
ZNF45,31.0,17.25
ZBTB25,3.0,1.5
ZNF70,17.5,11.25
ZNF74,39.5,22.5
ZNF75D,4.0,5.25
ZNF75A,29.25,23.5
ZNF76,2.75,6.0
ZNF79,3.25,3.5
ZNF84,45.25,36.5
ZNF221,2.25,0.0
ZNF91,16.25,16.5
ZNF121,21.75,10.0
ZNF124,184.75,105.75
MKRN3,17.0,8.75
MKRN7P,0.0,0.25
ZNF131,65.0,43.25
ZNF132,3.75,2.0
ZNF133,1.25,1.75
ZNF134,238.75,151.5
ZNF136,53.0,29.0
ZNF138,35.0,28.0
ZNF140,43.5,33.25
ZNF141,1.5,0.25
ZNF142,119.25,69.0
ZNF143,17.25,13.75
ZBTB16,2.5,1.75
ZNF146,437.75,363.75
TRIM25,231.0,342.25
ZNF148,86.5,49.0
ZBTB17,0.75,1.5
ZNF154,0.25,0.25
ZNF155,40.5,22.25
VEZF1,130.0,76.5
ZNF165,0.25,1.0
ZNF174,10.25,4.75
ZNF175,24.25,12.75
ZNF177,0.75,0.5
ZNF180,52.25,29.0
RNF113A,4.0,1.25
ZNF184,10.5,7.5
ZNF185,14.75,11.5
ZSCAN26,12.5,11.5
ZNF189,296.25,234.5
ZKSCAN8,130.0,73.0
ZSCAN9,13.25,8.25
ZNF195,270.5,213.0
ZMYM2,19.5,12.25
ZNF200,103.5,70.75
ZNF202,73.25,54.75
ZNF207,116.25,71.0
ZNF213,27.5,16.75
ZFAND5,245.0,168.5
ZNF217,444.5,287.75
ZNF223,0.5,0.5
ZNF224,38.0,27.0
ZNF225,41.5,23.75
ZNF226,3.25,1.25
ZNF227,30.25,22.75
ZNF229,29.5,22.25
ZNF230,39.25,25.0
ZNF232,1.0,0.75
ZNF236,34.25,21.5
SLC30A1,31.5,14.75
SLC30A3,0.0,0.0
MAP3K12,0.0,0.0
ZXDA,16.25,5.75
ZYX,60.25,48.0
LUZP1,132.0,86.0
PRDM2,74.0,54.25
DNALI1,0.0,0.0
PTP4A1,196.0,126.75
LRP8,134.5,88.0
LAPTM5,157.5,150.0
CSDE1,125.5,90.5
EVI5,31.5,22.5
DAP3,16.25,19.25
BTG2,377.5,925.5
ALMS1,0.25,0.5
MOGS,6.0,4.75
RNF103,10.75,8.25
TUBA1A,2.75,1.0
PAX8,0.75,0.0
CXCR4,174.75,84.5
FZD5,35.75,16.0
SCG2,0.0,0.0
BRPF1,75.25,51.75
IFRD2,34.5,23.75
MAPKAPK3,74.25,58.75
SLMAP,27.75,19.0
MANF,23.75,19.5
USP7,275.25,196.5
RAB7A,201.5,130.5
KCNAB1,0.0,0.0
SLBP,135.5,108.25
ST8SIA4,120.5,64.75
REEP5,17.0,12.75
DEK,108.75,81.25
ALDH5A1,14.25,7.0
DDX39B,1.25,0.0
SLC39A7,0.0,0.0
LST1,0.0,0.0
TFEB,4.25,3.0
EPM2A,13.5,9.75
AIMP2,9.75,7.25
MAFK,192.5,131.0
FZD3,14.0,6.25
MTERF1,40.75,32.5
SEM1,10.0,3.75
ST7,4.0,4.0
ZNF212,38.25,26.5
UBXN8,21.5,12.75
KAT6A,148.0,95.5
PSCA,0.0,0.0
NR4A3,1.5,208.5
BRD3,169.5,89.5
NUP214,20.25,14.75
STAM,17.0,8.25
MLLT10,61.5,47.5
CCDC6,101.0,60.75
NCOA4,140.25,95.5
SLC25A16,4.75,3.0
SHOC2,100.75,64.75
ADAM12,0.25,0.0
PDHX,13.0,8.75
FOSL1,270.5,189.0
CUL5,65.25,49.5
PTP4A2,238.25,169.0
USP5,10.0,9.0
MLF2,86.5,78.25
KMT2D,141.0,72.75
AAAS,1.0,0.0
FXR1,57.0,41.5
YEATS4,31.0,17.75
CDK2AP1,4.75,8.0
IFT88,0.0,0.25
PABPN1,47.0,31.5
DPF3,1.75,1.0
GPR68,2.25,5.0
ANP32A,145.25,98.25
NPRL3,3.25,2.75
GAN,16.75,11.25
SLC7A5,446.0,461.75
RND2,0.0,0.0
COIL,65.25,43.5
AKAP1,58.75,49.5
SLC14A2,0.25,0.0
MADCAM1,0.0,0.0
SF3A2,2.0,3.25
ELL,116.5,76.0
SYMPK,0.5,2.0
CLPP,7.5,6.75
DPF1,0.75,1.5
MKKS,61.0,35.25
NCOA3,51.25,35.0
NRIP1,255.0,137.25
CHAF1B,13.75,11.0
GATD3A,0.5,1.0
LZTR1,9.5,7.5
CLTCL1,11.25,8.75
ESS2,44.25,45.75
GTPBP6,7.75,3.25
PUDP,42.0,33.5
AKAP17A,102.5,93.0
PNPLA4,0.75,2.0
ZRSR2,0.0,0.25
USP11,3.0,3.0
USP9X,32.0,25.25
RBM10,10.5,11.75
KDM5C,19.0,16.5
SMC1A,97.0,72.75
NAA10,2.0,0.25
F8A1,8.75,6.75
UBL4A,201.5,130.0
TMEM187,2.0,1.75
LAGE3,2.25,1.0
SLC10A3,3.75,3.25
TKTL1,1.5,0.0
KDM5D,3.5,3.25
USP9Y,0.0,0.5
EPX,0.0,0.0
ARID1A,341.25,224.25
COLQ,1.75,0.0
SERF1A,0.0,0.25
TRRAP,22.25,16.25
PICALM,60.0,42.75
SNN,82.75,34.5
ACOX3,10.0,8.25
AXIN1,118.5,74.25
AXIN2,4.0,0.5
BAP1,32.75,24.5
BRAP,82.25,55.25
CDC7,34.25,24.5
CDC45,0.75,0.75
FZD1,31.0,28.75
FZD6,0.75,0.5
FZD7,28.5,16.25
FZD8,9.25,3.25
FZD9,0.0,0.0
H2AC13,0.25,0.5
H2AC14,0.0,0.25
H2AC16,0.5,0.25
H2AC6,2.0,1.0
H2AC17,0.5,0.5
H2AC20,0.25,0.0
H2BC13,0.25,0.0
H2BC9,0.25,0.0
H2BC4,0.0,0.0
H2BC17,0.0,0.0
H2BC21,2.75,2.0
H3C3,0.0,0.0
H3C10,1.0,1.25
H4C1,0.25,0.5
H4C11,0.0,0.0
H4C3,6.5,6.25
HYAL3,3.25,3.75
MAD1L1,4.5,3.5
PIP5K1A,75.75,32.5
PIP5K1B,1.5,0.25
PIP4K2B,0.5,1.0
PLA2G6,2.75,2.25
SLC25A11,25.0,16.25
SPOP,60.0,42.25
SRPX,0.5,0.0
TAGLN2,242.0,186.25
ULK1,18.0,8.75
UXT,13.25,11.5
EEA1,29.25,12.75
ANXA9,0.0,0.0
STX7,20.25,7.75
CMAHP,39.75,59.5
LTBP4,0.0,0.0
ZNF282,68.25,52.25
STK24,42.75,28.0
UTF1,0.0,1.25
RECK,2.0,3.0
RAD54L,3.25,0.5
NSMAF,52.75,37.5
NCK2,127.75,85.0
GNPAT,5.0,4.75
DYRK2,94.0,52.0
DUSP11,3.0,1.5
DOC2A,1.25,0.25
CUL4B,15.25,12.0
CUL4A,32.25,28.0
CUL3,35.0,21.5
CUL2,27.5,22.0
CUL1,14.5,8.25
ATRN,245.25,148.25
TTF2,16.75,17.5
TPST2,10.0,10.25
KLF11,181.5,146.75
TEAD2,0.0,0.0
SUPT3H,1.5,2.75
SMARCA5,23.5,25.5
OGT,69.0,64.75
GPR65,11.25,10.5
HIRIP3,14.75,11.75
RAE1,30.0,22.25
OFD1,0.25,0.5
SEMA7A,27.0,15.75
GEMIN2,4.75,1.75
RGS5,1.75,1.5
MAP4K3,12.75,4.75
PRSS12,0.0,0.5
PPM1D,55.0,28.75
PPFIBP2,4.5,2.0
PPFIBP1,7.0,3.25
PPFIA4,11.0,6.25
RANBP3,42.75,27.75
PPFIA1,13.25,12.25
SLC43A1,25.5,15.0
PKP4,12.5,8.25
PIK3R3,29.75,21.25
PEX3,1.75,0.5
PARG,16.0,9.5
CNTNAP1,0.25,0.0
ENC1,14.5,25.5
NIPSNAP1,10.75,7.0
NDST2,6.75,5.5
MBL1P,1.0,0.5
KCNAB2,136.0,101.0
ELP1,3.0,2.75
IFITM1,5.5,2.25
HAT1,11.75,12.25
GAS7,13.5,4.75
DGKZ,10.75,14.0
DGKE,63.75,76.25
DGKD,45.75,51.5
CST7,0.0,3.25
YBX3,46.0,41.5
COPS3,32.25,31.0
CBX4,105.0,89.25
CAMK1,0.5,0.25
API5,62.0,45.75
AGPS,58.5,41.25
PPFIA3,25.0,12.75
APOL1,0.75,0.0
LMO4,54.5,44.75
PIR,0.0,0.0
CGGBP1,144.5,101.5
AP3B1,15.5,9.0
BLZF1,20.0,10.0
MAPKAPK5,6.75,4.5
INE2,0.0,0.0
INE1,10.25,4.25
BHLHE40,60.75,52.75
PIAS1,89.75,62.5
CDC14B,1.0,1.75
CDC14A,41.25,28.0
TCAP,0.25,0.75
CDK10,10.25,10.5
PRPF18,8.5,2.75
DEGS1,72.25,47.0
DENR,33.25,30.0
THOC5,3.75,1.75
KMO,1.25,0.25
YARS1,69.0,58.0
PDXK,121.75,70.5
MADD,51.75,41.0
RRP1,15.0,12.25
MKNK1,46.5,21.75
KHSRP,122.0,86.0
CASK,1.25,0.5
AKR7A2,35.0,30.75
PRKRA,7.75,4.5
STK16,15.75,11.75
TMEFF1,0.0,0.0
RGS20,0.0,0.0
NOP14,40.25,25.75
FAM193A,31.0,18.75
SLC25A12,20.5,18.25
RUVBL1,17.5,12.25
KLF7,102.5,73.25
PLPP1,0.25,0.5
PLPP3,0.25,0.75
USO1,11.75,11.5
NPFF,0.5,0.5
CDK13,62.0,49.5
PDE8B,0.0,0.0
ASMTL,1.25,2.0
PSMG1,37.5,31.75
RFXANK,3.25,2.25
TP63,0.0,0.25
JRK,230.0,148.0
HSD17B6,0.25,0.0
DNAH17,0.0,0.0
UNC5C,304.25,171.0
RTCA,16.0,10.5
RNASET2,2.5,0.5
SSNA1,14.5,15.0
EIF4EBP3,5.25,4.0
OASL,1.0,2.75
AOC3,0.5,0.25
PCDHGB4,83.25,42.25
DCHS1,0.0,0.0
PTCH2,0.0,0.25
AKR1C3,0.0,0.0
KCNK5,83.5,56.25
NCOA1,25.25,11.5
LAMTOR3,61.0,44.75
NUMB,61.0,41.0
SOCS1,17.5,12.0
DDX3Y,172.0,207.5
PDE5A,0.25,0.0
DYNLL1,108.0,78.25
TNKS,85.5,48.25
ALDH4A1,11.75,7.75
IRS2,61.5,58.5
EIF3A,84.75,55.25
EIF3B,55.25,44.75
EIF3C,0.25,0.0
EIF3D,12.25,11.0
EIF3F,6.75,3.75
EIF3G,2.75,4.0
EIF3H,18.5,19.0
EIF3I,21.75,17.0
EIF3J,163.75,114.75
EIF4G3,24.5,21.5
VAMP8,102.75,61.25
VAMP4,13.25,12.0
STX16,69.75,61.25
STX11,25.75,24.0
STX10,5.0,4.25
BECN1,24.0,19.75
JMJD7-PLA2G4B,0.75,1.25
PEA15,138.5,122.25
SRSF9,26.0,22.0
MARCO,0.25,0.0
JRKL,20.5,13.75
HYAL2,4.0,2.0
GALNT4,30.5,11.5
DGAT1,2.0,1.5
CDC23,42.25,38.5
DNAH11,0.25,0.25
B4GALT4,14.5,10.0
B4GALT3,15.5,10.75
B4GALT2,16.5,9.0
B3GALNT1,0.0,0.0
TNK1,0.75,0.25
TRADD,2.0,2.0
MBTPS1,9.75,8.75
EDF1,22.25,15.75
CTSF,0.0,0.0
SNX4,38.5,26.25
SNX3,37.75,20.5
URI1,33.0,21.75
EED,5.0,1.75
CTNNAL1,0.25,0.0
GBF1,11.25,7.5
RNMT,155.25,110.0
RNGTT,53.25,35.25
GPAA1,0.75,1.5
MYOM1,0.0,0.0
RIPK1,78.75,44.75
CRADD,1.75,0.75
TNFSF14,30.5,47.25
TNFSF13,16.75,8.5
TNFSF10,14.5,8.75
TNFSF9,175.25,202.25
ADAM23,0.0,0.0
ADAM15,2.5,1.25
ADAM9,0.0,0.0
CDS2,38.25,24.75
PABPC4,31.0,21.5
CD164,246.75,147.75
RAB11A,76.0,54.0
RIPK2,3.75,6.75
TNFRSF6B,0.0,0.0
FADD,144.5,108.0
SNAP23,82.5,82.0
NAPG,44.75,24.25
NAPA,28.25,32.0
MTMR1,5.0,3.0
SIGLEC5,1.0,0.5
RIOK3,71.25,48.75
FPGT,13.0,7.0
TNFRSF11A,0.0,0.0
TNFRSF10D,198.5,105.0
TNFRSF10C,1.0,0.25
TNFRSF10B,426.0,416.25
TNFRSF10A,15.0,7.5
DYRK4,0.25,0.0
PEX11B,48.75,35.0
PEX11A,9.25,5.5
SUCLG2,9.75,7.75
SUCLG1,4.0,4.0
SUCLA2,7.5,3.25
CREG1,60.0,47.75
TRIM24,55.0,41.5
CCNK,39.0,40.25
DPM1,45.75,41.5
CDKL1,15.0,7.75
BANF1,46.75,34.5
DCAF5,65.0,42.0
FGF18,0.75,1.0
DPM2,30.75,25.75
SAP30,2.25,0.5
HESX1,0.0,0.0
CES2,63.5,60.25
IQGAP1,86.25,68.25
NRP1,7.5,4.0
SYNGAP1,0.25,0.0
CD84,25.5,11.0
GMPS,1.75,1.75
TMEM11,216.5,152.25
SOCS2,92.5,54.0
GGH,0.0,0.5
CFLAR,249.75,160.0
HDAC3,30.25,26.75
HCAR3,1.0,1.25
KSR1,9.5,6.75
ALKBH1,35.0,27.25
DLEU2,15.75,12.5
TSC22D1,5.75,3.0
KAT2B,1.5,2.75
CDK5R1,79.25,34.0
ASAP2,2.25,1.25
NR1I2,0.5,0.25
PROZ,0.0,0.0
LDB1,79.5,40.0
APLN,0.0,0.0
PER3,4.0,3.5
PER2,97.75,62.75
SYNJ1,26.25,20.5
ST3GAL5,2.25,3.75
SYNJ2,51.5,38.25
CDC123,20.5,15.0
ARHGEF7,55.5,44.0
VNN2,0.25,0.25
SPHK1,1.5,2.25
SQSTM1,72.5,53.5
SGPL1,25.75,17.5
FUBP1,104.5,80.75
CDC16,6.75,5.0
ZPR1,42.75,39.75
NAE1,1.25,0.5
SLC5A6,102.75,75.25
DDX18,87.25,88.0
TAX1BP1,13.25,6.75
MCM3AP,3.0,2.75
EIF2B4,1.25,0.75
EIF2B3,1.25,2.0
EIF2B2,11.0,6.75
EIF2B5,13.5,15.75
EIF2S2,81.0,58.25
CPNE3,18.75,11.5
BUD31,5.5,6.75
MTMR3,34.75,24.25
MTMR2,14.75,9.0
PRPF4B,145.75,114.75
CCNA1,7.0,4.0
CPNE1,71.5,52.0
AP1S2,30.25,29.0
AP1G2,0.5,0.25
AP1M1,45.25,31.5
GYG2,0.0,0.0
TIMELESS,19.75,13.25
BCL10,60.5,41.0
HERC3,5.75,8.0
HERC1,5.0,7.0
SNURF,6.75,4.5
BSN,1.0,1.5
FOXH1,0.25,0.25
MBD4,23.0,15.0
MBD2,21.0,14.5
RTL8C,2.75,0.75
RAB29,28.75,20.0
SKAP2,20.5,17.0
WASF1,0.25,0.0
BAIAP3,0.25,0.0
FUBP3,23.5,16.0
KYNU,0.75,0.75
AP3D1,85.25,75.25
SNORD73A,35.25,25.75
BTRC,19.0,11.0
H2AC11,1.0,0.25
H1-10,56.5,48.75
CHRNA6,0.0,0.0
USP13,20.5,14.0
WASL,37.5,22.75
PLOD3,2.75,2.5
RPS6KA4,48.0,30.25
STBD1,24.5,16.0
ATP6V0E1,108.0,83.75
LIMD1,84.5,66.5
NOL3,0.5,0.0
F2RL3,17.5,8.5
TAF1C,17.5,12.75
TAF1B,4.75,2.25
TAF1A,1.5,1.5
SLC25A14,4.75,3.0
MPZL1,30.25,13.25
MAP3K14,19.25,16.0
SOCS3,102.5,146.25
BRSK2,0.0,0.0
RNF8,12.25,9.75
HIP1R,1.0,0.25
RHBDL1,0.0,0.0
BAZ1B,144.25,95.0
CCRL2,3.0,5.0
UBA3,16.5,12.25
UBE2M,55.25,38.75
SPAG9,54.0,40.0
BTAF1,50.0,39.75
RPL14,4.75,5.0
DOK2,53.75,71.25
SH2D2A,0.0,0.5
ARTN,2.0,0.75
AIP,6.75,4.25
PSTPIP2,29.0,30.75
PSTPIP1,0.25,0.0
MAP7,0.0,0.0
NFS1,20.5,15.75
PRC1,114.0,79.0
SLC7A7,3.25,2.25
SLC7A6,58.5,48.0
PAPSS2,0.0,0.0
PAPSS1,2.0,1.75
PIAS2,8.5,7.0
MAP3K6,0.5,0.25
SYT7,0.0,0.0
CLDN12,46.25,34.25
ASH2L,54.25,35.75
EIF1AY,3.75,1.5
TMSB4Y,0.5,1.75
PKMYT1,8.25,7.5
PIGQ,5.75,3.75
SART1,6.25,3.25
DNAJA3,1.5,0.75
UNC119,15.25,10.75
TBX19,1.0,1.75
USP14,43.75,36.0
USP6,0.0,0.25
USP2,47.25,39.5
USP10,37.25,24.75
USP8,44.75,31.25
FCGR2C,0.75,0.75
MTMR6,35.5,30.25
MTMR7,0.0,0.0
MTMR4,47.75,32.25
NMI,10.0,6.0
MTA1,34.0,23.0
LATS1,257.0,156.5
ATP6V0D1,33.0,21.5
SEC22C,32.75,26.25
SLC16A6,1.0,0.5
SLC16A5,0.75,0.0
SLC16A4,0.25,0.5
SLC16A3,52.75,47.5
PDLIM1,28.25,17.75
CNOT9,209.0,150.5
SMC3,12.75,5.0
P2RX6,0.25,0.0
PRPF4,86.25,101.0
PRPF3,20.25,9.0
FAM50A,0.25,0.25
AIFM1,32.5,28.5
KCNQ4,1.25,0.75
CCNB2,8.0,4.75
CCNE2,73.75,42.5
RABEP1,103.0,80.75
RRP9,5.25,2.25
ARHGEF1,7.0,7.25
CBFA2T2,29.75,20.75
ATG12,102.25,75.5
PDCD5,3.0,3.75
SYNGR3,4.25,1.25
SYNGR2,49.5,30.5
SYNGR1,14.25,9.75
HGS,23.0,22.0
NEMF,16.75,9.5
DYRK1B,5.75,2.25
CTDP1,43.0,38.75
EXO1,8.0,5.75
FIBP,0.5,0.25
PCSK7,16.5,15.5
EBAG9,26.5,22.5
COX7A2L,76.75,50.5
TMSB10,57.0,43.25
SCAF11,79.75,52.25
LPAR2,12.5,9.0
MYOM2,0.0,0.0
MAP3K13,0.75,0.0
AP4M1,5.25,2.25
ARHGEF2,300.25,149.75
ZW10,11.25,3.0
BUB3,136.0,70.5
REPS2,1.0,0.25
SLC24A1,1.75,0.75
DDX21,751.5,559.25
ZBED1,159.25,105.0
DEDD,49.0,37.25
SLC16A7,0.0,0.0
KCNAB3,1.5,1.25
SLC33A1,15.5,10.25
HACD1,0.25,0.0
ZMYM4,43.25,33.25
ZMYM3,16.75,9.25
ZMYM6,2.0,1.5
ZMYM5,13.75,8.5
LRRFIP1,71.75,56.75
LRRFIP2,4.25,2.75
AURKB,106.0,87.0
XPR1,39.25,22.75
FCMR,1.25,1.75
VAPB,103.25,81.0
VAPA,159.5,106.0
MTA2,59.5,39.5
TIAF1,6.0,4.5
NOLC1,236.25,184.5
MAGI1,1.5,0.75
RAB11B,19.0,11.0
PTTG1,0.75,1.5
CCPG1,50.5,21.5
TBRG4,16.5,17.25
PNMA1,27.0,19.0
NOG,3.0,7.5
CRLF1,0.0,0.0
UBE2L6,3.25,0.75
DHRS3,1.0,0.75
RPS6KA5,13.5,10.75
NUMBL,9.5,9.0
CACNA2D2,0.0,0.25
AIMP1,39.5,26.75
TSPOAP1,1.0,1.0
MFHAS1,39.75,22.25
PDLIM7,28.25,15.5
MAPKAPK2,192.75,137.25
STK17B,128.0,127.25
STK17A,16.25,9.75
CYTH3,33.5,26.75
CYTH2,36.75,22.75
CYTH1,27.5,24.25
ITGB1BP1,25.5,19.0
BCL7C,1.0,1.5
BCL7B,158.5,112.25
COPB2,124.75,106.0
MED14,14.5,13.25
GPR55,4.5,2.5
S1PR2,6.25,2.25
SRSF11,71.5,49.5
ATP6V1F,22.5,15.25
SNORD29,39.5,23.75
SNORD31,40.75,26.75
SNORD30,27.5,11.5
SNORD28,19.5,12.75
SNORD27,48.0,33.0
SNORD26,39.25,25.0
SNORD25,31.75,21.25
