PeakID (cmd=annotatePeaks.pl OCIAML3_1_195_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OCIAML3_1_195_R1_peak_11121	chr16	28491451	28492562	+	625	NA	promoter-TSS (CLN3)	NA	296	CLN3								
OCIAML3_1_195_R1_peak_26339	chr6	43769660	43773407	+	625	NA	promoter-TSS (VEGFA)	NA	1324	VEGFA								
OCIAML3_1_195_R1_peak_22055	chr3	150603266	150604798	+	625	NA	promoter-TSS (LOC101928061)	NA	753	SELT								
OCIAML3_1_195_R1_peak_9605	chr14	102139903	102140904	+	625	NA	promoter-TSS (HSP90AA1)	NA	551	WDR20								
OCIAML3_1_195_R1_peak_25486	chr5	181242255	181245053	+	624	NA	promoter-TSS (SNORD95)	NA	252	GNB2L1								
OCIAML3_1_195_R1_peak_591	chr1	31643759	31645560	+	624	NA	promoter-TSS (PEF1)	NA	578	PEF1								
OCIAML3_1_195_R1_peak_1066	chr1	62435670	62438263	+	624	NA	exon (USP1, exon 1 of 9)	NA	662	USP1								
OCIAML3_1_195_R1_peak_16829	chr2	70123986	70125860	+	624	NA	intron (LOC100133985, intron 1 of 1)	NA	393	LOC100133985								
OCIAML3_1_195_R1_peak_21545	chr3	99817066	99818544	+	624	NA	promoter-TSS (CMSS1)	NA	-29	CMSS1								
OCIAML3_1_195_R1_peak_1492	chr1	111449386	111450494	+	624	NA	promoter-TSS (WDR77)	NA	-732	WDR77								
OCIAML3_1_195_R1_peak_23833	chr5	271607	272471	+	624	NA	promoter-TSS (LOC102467073)	NA	418	PDCD6								
OCIAML3_1_195_R1_peak_14524	chr19	4669417	4670418	+	624	NA	intron (C19orf10, intron 1 of 5)	NA	486	C19orf10								
OCIAML3_1_195_R1_peak_23888	chr5	6377304	6378576	+	623	NA	intron (MED10, intron 1 of 3)	NA	586	MED10								
OCIAML3_1_195_R1_peak_3718	chr10	31030675	31033744	+	623	NA	promoter-TSS (ZNF438)	NA	-272	ZNF438								
OCIAML3_1_195_R1_peak_2646	chr1	206611596	206612517	+	623	NA	intron (EIF2D, intron 1 of 13)	NA	495	EIF2D								
OCIAML3_1_195_R1_peak_3790	chr10	42972038	42975642	+	623	NA	Intergenic	NA	-23790	MIR5100								
OCIAML3_1_195_R1_peak_30321	chr8	131903634	131905020	+	622	NA	intron (EFR3A, intron 1 of 22)	NA	218	EFR3A								
OCIAML3_1_195_R1_peak_29491	chr8	43055336	43057669	+	622	NA	exon (FNTA, exon 1 of 9)	NA	203	FNTA								
OCIAML3_1_195_R1_peak_16901	chr2	74507032	74508105	+	622	NA	promoter-TSS (PCGF1)	NA	-131	PCGF1								
OCIAML3_1_195_R1_peak_30982	chr9	90801263	90802661	+	622	NA	promoter-TSS (SYK)	NA	37	SYK								
OCIAML3_1_195_R1_peak_7154	chr12	57429306	57431683	+	622	NA	promoter-TSS (R3HDM2)	NA	-4191	INHBC								
OCIAML3_1_195_R1_peak_15020	chr19	18571776	18573543	+	622	NA	promoter-TSS (UBA52)	NA	-86	UBA52								
OCIAML3_1_195_R1_peak_2442	chr1	197902143	197903262	+	622	NA	exon (C1orf53, exon 1 of 3)	NA	150	C1orf53								
OCIAML3_1_195_R1_peak_21264	chr3	50088813	50090116	+	621	NA	intron (RBM5, intron 1 of 22)	NA	-4337	RBM5								
OCIAML3_1_195_R1_peak_15796	chr19	55406854	55408176	+	621	NA	intron (UBE2S, intron 1 of 3)	NA	442	UBE2S								
OCIAML3_1_195_R1_peak_8740	chr14	22917712	22919244	+	621	NA	intron (RBM23, intron 1 of 10)	NA	706	RBM23								
OCIAML3_1_195_R1_peak_12603	chr17	32444427	32445494	+	620	NA	intron (PSMD11, intron 1 of 13)	NA	497	PSMD11								
OCIAML3_1_195_R1_peak_6099	chr11	113773068	113773722	+	620	NA	intron (ZW10, intron 1 of 14)	NA	368	ZW10								
OCIAML3_1_195_R1_peak_5116	chr11	44065616	44066911	+	620	NA	promoter-TSS (ACCS)	NA	-69	ACCS								
OCIAML3_1_195_R1_peak_3308	chr1	247330952	247332925	+	620	NA	promoter-TSS (ZNF496)	NA	39	ZNF496								
OCIAML3_1_195_R1_peak_30734	chr9	33816148	33819194	+	620	NA	exon (UBE2R2, exon 1 of 5)	NA	507	UBE2R2								
OCIAML3_1_195_R1_peak_9736	chr15	31215356	31216387	+	620	NA	Intergenic	NA	14959	RP11-16E12.2								
OCIAML3_1_195_R1_peak_19231	chr20	49278682	49281516	+	619	NA	promoter-TSS (SNORD12)	NA	-214	SNORD12B								
OCIAML3_1_195_R1_peak_24876	chr5	134003006	134005794	+	619	NA	intron (VDAC1, intron 1 of 8)	NA	566	VDAC1								
OCIAML3_1_195_R1_peak_27508	chr7	4641815	4643136	+	619	NA	Intergenic	NA	-39824	FOXK1								
OCIAML3_1_195_R1_peak_5597	chr11	66842524	66844039	+	618	NA	promoter-TSS (RCE1)	NA	-131	RCE1								
OCIAML3_1_195_R1_peak_28942	chr7	151226397	151227289	+	617	NA	intron (ABCF2, intron 1 of 15)	NA	531	ABCF2								
OCIAML3_1_195_R1_peak_12115	chr17	4947224	4950814	+	617	NA	promoter-TSS (PFN1)	NA	67	PFN1								
OCIAML3_1_195_R1_peak_19268	chr20	50112231	50113901	+	616	NA	intron (UBE2V1, intron 1 of 4)	NA	132	UBE2V1								
OCIAML3_1_195_R1_peak_22361	chr3	186570574	186571334	+	616	NA	promoter-TSS (TBCCD1)	NA	276	DNAJB11								
OCIAML3_1_195_R1_peak_19412	chr20	62182254	62184069	+	616	NA	TTS (SS18L1)	NA	-5629	MTG2								
OCIAML3_1_195_R1_peak_14701	chr19	10835847	10836844	+	616	NA	promoter-TSS (C19orf38)	NA	-779	TMED1								
OCIAML3_1_195_R1_peak_30311	chr8	130015463	130017258	+	616	NA	intron (FAM49B, intron 1 of 13)	NA	-7907	MIR5194								
OCIAML3_1_195_R1_peak_23931	chr5	14664074	14665737	+	616	NA	exon (FAM105B, exon 1 of 7)	NA	231	FAM105B								
OCIAML3_1_195_R1_peak_5509	chr11	65121157	65122227	+	616	NA	promoter-TSS (MRPL49)	NA	-491	MRPL49								
OCIAML3_1_195_R1_peak_16171	chr2	27211334	27213283	+	615	NA	promoter-TSS (SLC5A6)	NA	277	ATRAID								
OCIAML3_1_195_R1_peak_6914	chr12	49130436	49131426	+	615	NA	intron (TUBA1B, intron 1 of 3)	NA	590	TUBA1B								
OCIAML3_1_195_R1_peak_26352	chr6	44247022	44248559	+	615	NA	promoter-TSS (HSP90AB1)	NA	1624	HSP90AB1								
OCIAML3_1_195_R1_peak_23968	chr5	17216495	17219555	+	615	NA	promoter-TSS (AC091878.1)	NA	464	BASP1								
OCIAML3_1_195_R1_peak_14537	chr19	5621603	5622872	+	614	NA	promoter-TSS (SAFB)	NA	690	SAFB2								
OCIAML3_1_195_R1_peak_13205	chr17	63550456	63552173	+	614	NA	intron (DCAF7, intron 1 of 7)	NA	879	DCAF7								
OCIAML3_1_195_R1_peak_12990	chr17	50372517	50373673	+	614	NA	promoter-TSS (EME1)	NA	106	MRPL27								
OCIAML3_1_195_R1_peak_26898	chr6	127342763	127343951	+	613	NA	promoter-TSS (ECHDC1)	NA	-487	ECHDC1								
OCIAML3_1_195_R1_peak_28321	chr7	92528713	92529513	+	613	NA	promoter-TSS (PEX1)	NA	333	RBM48								
OCIAML3_1_195_R1_peak_29863	chr8	91662375	91663853	+	613	NA	Intergenic	NA	413826	SLC26A7								
OCIAML3_1_195_R1_peak_18890	chr20	31722452	31724009	+	613	NA	promoter-TSS (BCL2L1)	NA	719	BCL2L1								
OCIAML3_1_195_R1_peak_26605	chr6	85676305	85678708	+	613	NA	promoter-TSS (SNORD50A)	NA	-138	SNORD50A								
OCIAML3_1_195_R1_peak_12931	chr17	47896169	47897533	+	612	NA	intron (SP2, intron 1 of 6)	NA	664	SP2								
OCIAML3_1_195_R1_peak_13134	chr17	59893091	59894092	+	612	NA	promoter-TSS (TUBD1)	NA	545	RPS6KB1								
OCIAML3_1_195_R1_peak_22989	chr4	73256961	73259982	+	612	NA	exon (ANKRD17, exon 1 of 34)	NA	314	ANKRD17								
OCIAML3_1_195_R1_peak_5058	chr11	33256513	33260065	+	612	NA	promoter-TSS (HIPK3)	NA	-47	HIPK3								
OCIAML3_1_195_R1_peak_6399	chr12	6383385	6385393	+	612	NA	exon (LTBR, exon 1 of 7)	NA	356	LTBR								
OCIAML3_1_195_R1_peak_16003	chr2	10811541	10812831	+	610	NA	intron (PDIA6, intron 1 of 13)	NA	4061	LOC102724007								
OCIAML3_1_195_R1_peak_6126	chr11	117097364	117099154	+	610	NA	promoter-TSS (SIK3)	NA	156	SIK3								
OCIAML3_1_195_R1_peak_24622	chr5	97182247	97184351	+	610	NA	promoter-TSS (RIOK2)	NA	-4381	LOC101926909								
OCIAML3_1_195_R1_peak_14347	chr19	1269222	1270673	+	610	NA	exon (CIRBP-AS1, exon 1 of 2)	NA	313	CIRBP-AS1								
OCIAML3_1_195_R1_peak_30030	chr8	103414101	103415273	+	610	NA	promoter-TSS (DCAF13)	NA	-27	DCAF13								
OCIAML3_1_195_R1_peak_17104	chr2	101252834	101253759	+	610	NA	exon (CNOT11, exon 1 of 7)	NA	413	CNOT11								
OCIAML3_1_195_R1_peak_27393	chr6	170087176	170089658	+	610	NA	Intergenic	NA	-58743	LOC101929614								
OCIAML3_1_195_R1_peak_7017	chr12	53371362	53372361	+	610	NA	Intergenic	NA	-9352	SP1								
OCIAML3_1_195_R1_peak_17202	chr2	112541597	112543072	+	610	NA	exon (POLR1B, exon 1 of 12)	NA	419	POLR1B								
OCIAML3_1_195_R1_peak_32158	chrX	49269284	49270662	+	610	NA	exon (PPP1R3F, exon 1 of 4)	NA	130	PPP1R3F								
OCIAML3_1_195_R1_peak_30445	chr8	143280824	143281762	+	610	NA	exon (LOC100507316, exon 1 of 2)	NA	384	LOC100507316								
OCIAML3_1_195_R1_peak_3447	chr10	7508279	7510133	+	610	NA	Intergenic	NA	91366	LOC101928171								
OCIAML3_1_195_R1_peak_8796	chr14	24429475	24431023	+	610	NA	promoter-TSS (CBLN3)	NA	514	KHNYN								
OCIAML3_1_195_R1_peak_27389	chr6	169750222	169752674	+	610	NA	promoter-TSS (ERMARD)	NA	67	TCTE3								
OCIAML3_1_195_R1_peak_12417	chr17	21213046	21215159	+	610	NA	exon (TMEM11, exon 1 of 3)	NA	493	TMEM11								
OCIAML3_1_195_R1_peak_6856	chr12	45729020	45733707	+	610	NA	intron (ARID2, intron 3 of 20)	NA	1672	ARID2								
OCIAML3_1_195_R1_peak_1694	chr1	150233727	150236133	+	610	NA	promoter-TSS (ANP32E)	NA	1226	ANP32E								
OCIAML3_1_195_R1_peak_2178	chr1	172443447	172444123	+	610	NA	promoter-TSS (PIGC)	NA	-42	PIGC								
OCIAML3_1_195_R1_peak_30839	chr9	70412188	70414508	+	610	NA	exon (KLF9, exon 1 of 2)	NA	1309	KLF9								
OCIAML3_1_195_R1_peak_26872	chr6	122470708	122472400	+	610	NA	promoter-TSS (PKIB)	NA	253	SERINC1								
OCIAML3_1_195_R1_peak_11048	chr16	21518985	21520887	+	610	NA	exon (SLC7A5P2, exon 1 of 1)	NA	508	SLC7A5P2								
OCIAML3_1_195_R1_peak_28302	chr7	88220035	88220427	+	610	NA	promoter-TSS (SRI)	NA	3583	LOC102723885								
OCIAML3_1_195_R1_peak_27745	chr7	26198324	26200797	+	610	NA	intron (HNRNPA2B1, intron 1 of 13)	NA	1215	HNRNPA2B1								
OCIAML3_1_195_R1_peak_7940	chr12	131929160	131930405	+	610	NA	exon (PUS1, exon 1 of 6)	NA	582	PUS1								
OCIAML3_1_195_R1_peak_26215	chr6	37818442	37820905	+	608	NA	promoter-TSS (ZFAND3)	NA	-184	ZFAND3								
OCIAML3_1_195_R1_peak_29690	chr8	66923056	66925763	+	608	NA	intron (SNHG6, intron 1 of 3)	NA	1133	SNHG6								
OCIAML3_1_195_R1_peak_14087	chr18	59139435	59140276	+	608	NA	promoter-TSS (SEC11C)	NA	-29	SEC11C								
OCIAML3_1_195_R1_peak_2310	chr1	183022427	183024130	+	606	NA	promoter-TSS (LAMC1)	NA	-182	LAMC1								
OCIAML3_1_195_R1_peak_13631	chr17	81702328	81704380	+	606	NA	promoter-TSS (MRPL12)	NA	-16	MRPL12								
OCIAML3_1_195_R1_peak_5039	chr11	27505978	27507472	+	606	NA	promoter-TSS (BDNF-AS)	NA	54	LIN7C								
OCIAML3_1_195_R1_peak_10349	chr15	74614886	74617096	+	606	NA	intron (CLK3, intron 1 of 6)	NA	997	CLK3								
OCIAML3_1_195_R1_peak_3378	chr10	5684731	5686195	+	606	NA	intron (FAM208B, intron 1 of 18)	NA	625	FAM208B								
OCIAML3_1_195_R1_peak_581	chr1	31063995	31065844	+	606	NA	intron (PUM1, intron 1 of 21)	NA	798	PUM1								
OCIAML3_1_195_R1_peak_10848	chr16	3457276	3459425	+	605	NA	intron (NAA60, intron 1 of 6)	NA	14672	NAA60								
OCIAML3_1_195_R1_peak_29881	chr8	93739589	93741085	+	605	NA	promoter-TSS (RBM12B)	NA	226	RBM12B-AS1								
OCIAML3_1_195_R1_peak_2827	chr1	225466894	225468569	+	605	NA	Intergenic	NA	-39665	LBR								
OCIAML3_1_195_R1_peak_22127	chr3	155870531	155872426	+	604	NA	intron (GMPS, intron 1 of 15)	NA	942	GMPS								
OCIAML3_1_195_R1_peak_4067	chr10	72353659	72355041	+	604	NA	intron (DNAJB12, intron 1 of 8)	NA	799	DNAJB12								
OCIAML3_1_195_R1_peak_24527	chr5	83473839	83474978	+	604	NA	intron (VCAN, intron 1 of 14)	NA	2734	VCAN								
OCIAML3_1_195_R1_peak_13608	chr17	81392261	81394007	+	603	NA	promoter-TSS (LOC100507520)	NA	-187	LOC100507520								
OCIAML3_1_195_R1_peak_271	chr1	15683516	15685420	+	603	NA	exon (PLEKHM2, exon 1 of 20)	NA	331	PLEKHM2								
OCIAML3_1_195_R1_peak_26757	chr6	108557284	108558557	+	603	NA	Intergenic	NA	-1903	FOXO3								
OCIAML3_1_195_R1_peak_7545	chr12	105107173	105108317	+	603	NA	promoter-TSS (KIAA1033)	NA	31	KIAA1033								
OCIAML3_1_195_R1_peak_6260	chr11	126267717	126268924	+	603	NA	promoter-TSS (FOXRED1)	NA	662	SRPR								
OCIAML3_1_195_R1_peak_22694	chr4	17614464	17615447	+	603	NA	intron (MED28, intron 1 of 3)	NA	305	MED28								
OCIAML3_1_195_R1_peak_23185	chr4	83283485	83286459	+	602	NA	promoter-TSS (COQ2)	NA	-2322	COQ2								
OCIAML3_1_195_R1_peak_23497	chr4	139206903	139208462	+	602	NA	Intergenic	NA	72656	MGARP								
OCIAML3_1_195_R1_peak_10335	chr15	73632288	73633392	+	602	NA	intron (NPTN, intron 1 of 8)	NA	572	NPTN								
OCIAML3_1_195_R1_peak_25345	chr5	177005825	177007102	+	602	NA	promoter-TSS (UIMC1)	NA	16108	UIMC1								
OCIAML3_1_195_R1_peak_7258	chr12	68610831	68612596	+	602	NA	intron (RAP1B, intron 1 of 7)	NA	874	RAP1B								
OCIAML3_1_195_R1_peak_296	chr1	16643664	16645420	+	602	NA	intron (LOC101927663, intron 1 of 3)	NA	140	LOC101927663								
OCIAML3_1_195_R1_peak_2260	chr1	179882752	179883998	+	602	NA	intron (TOR1AIP1, intron 1 of 9)	NA	1333	TOR1AIP1								
OCIAML3_1_195_R1_peak_20000	chr22	19644037	19645722	+	601	NA	Intergenic	NA	-69585	SEPT5								
OCIAML3_1_195_R1_peak_2622	chr1	205630881	205632059	+	601	NA	intron (ELK4, intron 1 of 4)	NA	1435	ELK4								
OCIAML3_1_195_R1_peak_14256	chr18	77130786	77133242	+	600	NA	intron (MBP, intron 1 of 7)	NA	-114915	MBP								
OCIAML3_1_195_R1_peak_31155	chr9	100351642	100353078	+	600	NA	intron (TEX10, intron 1 of 14)	NA	617	TEX10								
OCIAML3_1_195_R1_peak_813	chr1	42681086	42682236	+	599	NA	promoter-TSS (YBX1)	NA	-734	YBX1								
OCIAML3_1_195_R1_peak_22739	chr4	26318813	26322287	+	599	NA	promoter-TSS (RBPJ)	NA	840	RBPJ								
OCIAML3_1_195_R1_peak_29986	chr8	100950113	100952108	+	598	NA	promoter-TSS (YWHAZ)	NA	-539	YWHAZ								
OCIAML3_1_195_R1_peak_15631	chr19	49875613	49876692	+	598	NA	promoter-TSS (AKT1S1)	NA	-1273	TBC1D17								
OCIAML3_1_195_R1_peak_7161	chr12	57546211	57547279	+	598	NA	intron (DCTN2, intron 1 of 14)	NA	586	DCTN2								
OCIAML3_1_195_R1_peak_18942	chr20	34110857	34112275	+	598	NA	intron (EIF2S2, intron 1 of 8)	NA	713	EIF2S2								
OCIAML3_1_195_R1_peak_26317	chr6	43170524	43172839	+	598	NA	exon (SRF, exon 1 of 7)	NA	499	SRF								
OCIAML3_1_195_R1_peak_6218	chr11	123740479	123741975	+	598	NA	intron (ZNF202, intron 1 of 8)	NA	393	ZNF202								
OCIAML3_1_195_R1_peak_5949	chr11	93739182	93742523	+	598	NA	promoter-TSS (C11orf54)	NA	685	TAF1D								
OCIAML3_1_195_R1_peak_25112	chr5	149999807	150001716	+	598	NA	promoter-TSS (HMGXB3)	NA	-153	TIGD6								
OCIAML3_1_195_R1_peak_17105	chr2	101307704	101308754	+	598	NA	exon (RNF149, exon 1 of 6)	NA	487	RNF149								
OCIAML3_1_195_R1_peak_12373	chr17	18182949	18183372	+	598	NA	promoter-TSS (ALKBH5)	NA	-393	ALKBH5								
OCIAML3_1_195_R1_peak_2423	chr1	193057546	193061147	+	598	NA	promoter-TSS (TROVE2)	NA	-76	TROVE2								
OCIAML3_1_195_R1_peak_10530	chr15	88466744	88468260	+	598	NA	promoter-TSS (MRPS11)	NA	-100	MRPL46								
OCIAML3_1_195_R1_peak_29556	chr8	54100365	54101881	+	598	NA	intron (LYPLA1, intron 1 of 8)	NA	431	LYPLA1								
OCIAML3_1_195_R1_peak_26034	chr6	31665064	31665852	+	597	NA	promoter-TSS (GPANK1)	NA	404	GPANK1								
OCIAML3_1_195_R1_peak_28511	chr7	105531696	105533117	+	597	NA	promoter-TSS (PUS7)	NA	321	RINT1								
OCIAML3_1_195_R1_peak_17562	chr2	152716568	152719555	+	597	NA	promoter-TSS (PRPF40A)	NA	168	ARL6IP6								
OCIAML3_1_195_R1_peak_4382	chr10	97737114	97738057	+	597	NA	promoter-TSS (ZFYVE27)	NA	462	ZFYVE27								
OCIAML3_1_195_R1_peak_23018	chr4	73868140	73872925	+	597	NA	exon (CXCL1, exon 4 of 4)	NA	1140	CXCL1								
OCIAML3_1_195_R1_peak_3319	chr1	248824750	248826666	+	596	NA	promoter-TSS (MIR3124)	NA	247	SH3BP5L								
OCIAML3_1_195_R1_peak_26535	chr6	73461707	73463054	+	595	NA	intron (MTO1, intron 1 of 11)	NA	566	MTO1								
OCIAML3_1_195_R1_peak_19804	chr21	39182457	39184483	+	595	NA	promoter-TSS (PSMG1)	NA	44	PSMG1								
OCIAML3_1_195_R1_peak_21810	chr3	127672052	127673134	+	595	NA	promoter-TSS (ABTB1)	NA	-345	ABTB1								
OCIAML3_1_195_R1_peak_12771	chr17	42153861	42155049	+	595	NA	intron (RAB5C, intron 1 of 6)	NA	589	RAB5C								
OCIAML3_1_195_R1_peak_20903	chr3	19947116	19948359	+	595	NA	intron (RAB5A, intron 1 of 5)	NA	657	RAB5A								
OCIAML3_1_195_R1_peak_2546	chr1	201982542	201983701	+	593	NA	promoter-TSS (RNPEP)	NA	483	RNPEP								
OCIAML3_1_195_R1_peak_31414	chr9	125189092	125190462	+	593	NA	exon (PPP6C, exon 1 of 8)	NA	162	PPP6C								
OCIAML3_1_195_R1_peak_7135	chr12	56722729	56725347	+	593	NA	intron (NACA, intron 2 of 8)	NA	1244	NACA								
OCIAML3_1_195_R1_peak_8923	chr14	49598098	49600418	+	593	NA	intron (LRR1, intron 1 of 3)	NA	561	LRR1								
OCIAML3_1_195_R1_peak_1547	chr1	115977820	115979725	+	593	NA	intron (SLC22A15, intron 1 of 10)	NA	2222	SLC22A15								
OCIAML3_1_195_R1_peak_30754	chr9	35070847	35072715	+	593	NA	intron (VCP, intron 1 of 16)	NA	961	VCP								
OCIAML3_1_195_R1_peak_5793	chr11	74748727	74749461	+	593	NA	exon (RNF169, exon 1 of 6)	NA	226	RNF169								
OCIAML3_1_195_R1_peak_10692	chr16	228559	229541	+	592	NA	promoter-TSS (LUC7L)	NA	399	LUC7L								
OCIAML3_1_195_R1_peak_17376	chr2	135741678	135743492	+	592	NA	intron (UBXN4, intron 1 of 9)	NA	966	UBXN4								
OCIAML3_1_195_R1_peak_30025	chr8	102863128	102865320	+	591	NA	promoter-TSS (AZIN1)	NA	41	LOC100506753								
OCIAML3_1_195_R1_peak_11020	chr16	19067505	19068593	+	591	NA	promoter-TSS (LOC102723385)	NA	132	COQ7								
OCIAML3_1_195_R1_peak_2370	chr1	186373679	186376757	+	591	NA	promoter-TSS (C1orf27)	NA	107	TPR								
OCIAML3_1_195_R1_peak_2136	chr1	167713759	167714790	+	591	NA	promoter-TSS (TRNAP11)	NA	-451	TRNAP11								
OCIAML3_1_195_R1_peak_21948	chr3	138187016	138188514	+	591	NA	intron (ARMC8, intron 1 of 20)	NA	517	ARMC8								
OCIAML3_1_195_R1_peak_7831	chr12	122974682	122975238	+	591	NA	exon (OGFOD2, exon 1 of 8)	NA	153	OGFOD2								
OCIAML3_1_195_R1_peak_8133	chr13	32314890	32316666	+	590	NA	intron (BRCA2, intron 1 of 26)	NA	298	BRCA2								
OCIAML3_1_195_R1_peak_6430	chr12	6688192	6689605	+	590	NA	promoter-TSS (ZNF384)	NA	674	ZNF384								
OCIAML3_1_195_R1_peak_3324	chr1	248905722	248906590	+	590	NA	promoter-TSS (PGBD2)	NA	-87	PGBD2								
OCIAML3_1_195_R1_peak_22621	chr4	7066768	7068065	+	590	NA	intron (GRPEL1, intron 1 of 3)	NA	657	GRPEL1								
OCIAML3_1_195_R1_peak_13266	chr17	67244131	67245883	+	590	NA	promoter-TSS (LOC101928021)	NA	224	HELZ								
OCIAML3_1_195_R1_peak_22779	chr4	37977213	37977999	+	589	NA	intron (TBC1D1, intron 1 of 18)	NA	17171	PTTG2								
OCIAML3_1_195_R1_peak_623	chr1	32816201	32817438	+	589	NA	promoter-TSS (S100PBP)	NA	1213	YARS								
OCIAML3_1_195_R1_peak_14801	chr19	13151944	13155219	+	589	NA	exon (IER2, exon 2 of 2)	NA	3113	IER2								
OCIAML3_1_195_R1_peak_13948	chr18	36129388	36130548	+	589	NA	promoter-TSS (ELP2)	NA	94	ELP2								
OCIAML3_1_195_R1_peak_9104	chr14	67359970	67361484	+	589	NA	promoter-TSS (ATP6V1D)	NA	410	EIF2S1								
OCIAML3_1_195_R1_peak_25284	chr5	172005180	172007729	+	589	NA	intron (FBXW11, intron 1 of 14)	NA	-89995	FBXW11								
OCIAML3_1_195_R1_peak_18036	chr2	206158036	206161120	+	588	NA	promoter-TSS (NDUFS1)	NA	-16	EEF1B2								
OCIAML3_1_195_R1_peak_8760	chr14	23469477	23470385	+	588	NA	intron (NGDN, intron 1 of 9)	NA	242	NGDN								
OCIAML3_1_195_R1_peak_8125	chr13	32114468	32119329	+	588	NA	intron (FRY, intron 3 of 60)	NA	56012	FRY								
OCIAML3_1_195_R1_peak_7970	chr12	133079797	133081288	+	588	NA	promoter-TSS (ZNF140)	NA	123	ZNF140								
OCIAML3_1_195_R1_peak_14768	chr19	12681144	12682515	+	588	NA	promoter-TSS (DHPS)	NA	58	DHPS								
OCIAML3_1_195_R1_peak_23160	chr4	83240716	83241855	+	588	NA	Intergenic	NA	41365	COQ2								
OCIAML3_1_195_R1_peak_23076	chr4	78774826	78777030	+	588	NA	promoter-TSS (BMP2K)	NA	-475	BMP2K								
OCIAML3_1_195_R1_peak_19660	chr21	32770470	32771884	+	588	NA	promoter-TSS (C21orf49)	NA	681	PAXBP1								
OCIAML3_1_195_R1_peak_6213	chr11	123060868	123062148	+	588	NA	promoter-TSS (HSPA8)	NA	827	HSPA8								
OCIAML3_1_195_R1_peak_27293	chr6	158559511	158560933	+	588	NA	exon (TMEM181, exon 1 of 17)	NA	141	TMEM181								
OCIAML3_1_195_R1_peak_20279	chr22	36480392	36482151	+	587	NA	promoter-TSS (TXN2)	NA	754	TXN2								
OCIAML3_1_195_R1_peak_13136	chr17	59963901	59965309	+	587	NA	promoter-TSS (RP11-178C3.2)	NA	151	RNFT1								
OCIAML3_1_195_R1_peak_28606	chr7	118184108	118186453	+	587	NA	intron (LSM8, intron 1 of 3)	NA	1248	LSM8								
OCIAML3_1_195_R1_peak_10488	chr15	82538775	82540501	+	587	NA	intron (RPS17, intron 2 of 4)	NA	819	RPS17								
OCIAML3_1_195_R1_peak_6894	chr12	48715254	48716814	+	586	NA	intron (CCNT1, intron 1 of 7)	NA	964	CCNT1								
OCIAML3_1_195_R1_peak_29118	chr8	11867074	11868734	+	586	NA	promoter-TSS (CTSB)	NA	233	CTSB								
OCIAML3_1_195_R1_peak_13228	chr17	64145881	64147346	+	585	NA	TTS (TEX2)	NA	274	SNORA76								
OCIAML3_1_195_R1_peak_11461	chr16	56930996	56934368	+	585	NA	intron (HERPUD1, intron 1 of 7)	NA	592	HERPUD1								
OCIAML3_1_195_R1_peak_5852	chr11	78078335	78080758	+	585	NA	intron (NDUFC2, intron 1 of 2)	NA	673	NDUFC2								
OCIAML3_1_195_R1_peak_27821	chr7	30593876	30596242	+	585	NA	promoter-TSS (GARS)	NA	-765	GARS								
OCIAML3_1_195_R1_peak_14815	chr19	13846267	13848186	+	585	NA	Intergenic	NA	-10567	MIR23A								
OCIAML3_1_195_R1_peak_5918	chr11	86067479	86069843	+	585	NA	exon (PICALM, exon 1 of 20)	NA	420	PICALM								
OCIAML3_1_195_R1_peak_15170	chr19	34171927	34173779	+	585	NA	intron (LSM14A, intron 1 of 9)	NA	355	LSM14A								
OCIAML3_1_195_R1_peak_2763	chr1	220271399	220272488	+	585	NA	intron (RAB3GAP2, intron 1 of 34)	NA	558	RAB3GAP2								
OCIAML3_1_195_R1_peak_20799	chr3	14947495	14948500	+	585	NA	promoter-TSS (FGD5-AS1)	NA	268	NR2C2								
OCIAML3_1_195_R1_peak_29435	chr8	38786528	38788697	+	585	NA	exon (TACC1, exon 2 of 15)	NA	408	TACC1								
OCIAML3_1_195_R1_peak_31645	chr9	133374400	133376079	+	585	NA	exon (SURF4, exon 2 of 7)	NA	927	SURF4								
OCIAML3_1_195_R1_peak_28323	chr7	92589054	92590528	+	585	NA	intron (FAM133B, intron 1 of 11)	NA	603	FAM133B								
OCIAML3_1_195_R1_peak_22308	chr3	184248113	184250389	+	585	NA	promoter-TSS (ECE2)	NA	-280	ALG3								
OCIAML3_1_195_R1_peak_10787	chr16	2267021	2268948	+	585	NA	promoter-TSS (RNPS1)	NA	428	RNPS1								
OCIAML3_1_195_R1_peak_32051	chrX	41332778	41335616	+	584	NA	exon (DDX3X, exon 1 of 17)	NA	799	DDX3X								
OCIAML3_1_195_R1_peak_11249	chr16	30377276	30378343	+	584	NA	promoter-TSS (ZNF48)	NA	3007	MYLPF								
OCIAML3_1_195_R1_peak_970	chr1	51877154	51878900	+	584	NA	promoter-TSS (NRD1)	NA	910	NRD1								
OCIAML3_1_195_R1_peak_8530	chr13	102595635	102596911	+	584	NA	promoter-TSS (TPP2)	NA	-664	TPP2								
