PeakID (cmd=annotatePeaks.pl OCIAML2_1_168_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OCIAML2_1_168_R1_peak_4291	chr2	6780741	6781143	+	300	NA	Intergenic	NA	-10631	LINC00487								
OCIAML2_1_168_R1_peak_2011	chr12	53365990	53366222	+	300	NA	Intergenic	NA	-15107	SP1								
OCIAML2_1_168_R1_peak_58	chr1	17640399	17640625	+	300	NA	TTS (ARHGEF10L)	NA	100641	ARHGEF10L								
OCIAML2_1_168_R1_peak_6852	chr5	115841444	115841700	+	300	NA	promoter-TSS (AP3S1)	NA	279	ATG12								
OCIAML2_1_168_R1_peak_2535	chr14	20179365	20179620	+	300	NA	Intergenic	NA	-17844	OR11G2								
OCIAML2_1_168_R1_peak_2604	chr14	49892933	49893164	+	300	NA	promoter-TSS (ARF6)	NA	30	ARF6								
OCIAML2_1_168_R1_peak_5619	chr3	21573972	21574234	+	300	NA	intron (ZNF385D, intron 3 of 9)	NA	23828	ZNF385D								
OCIAML2_1_168_R1_peak_2050	chr12	64088391	64088622	+	300	NA	intron (SRGAP1, intron 11 of 17)	NA	133790	C12orf66								
OCIAML2_1_168_R1_peak_9131	chrX	12956970	12957221	+	300	NA	Intergenic	NA	-18012	TMSB4X								
OCIAML2_1_168_R1_peak_5414	chr22	30591777	30592013	+	300	NA	promoter-TSS (PES1)	NA	45	PES1								
OCIAML2_1_168_R1_peak_8182	chr8	11251089	11251303	+	300	NA	Intergenic	NA	-47548	MTMR9								
OCIAML2_1_168_R1_peak_4688	chr2	146210000	146210283	+	300	NA	Intergenic	NA	-376916	PABPC1P2								
OCIAML2_1_168_R1_peak_9027	chr9	127917784	127918039	+	300	NA	promoter-TSS (ST6GALNAC4)	NA	-885	ST6GALNAC4								
OCIAML2_1_168_R1_peak_8557	chr8	108749491	108749765	+	300	NA	Intergenic	NA	21000	LOC102723368								
OCIAML2_1_168_R1_peak_2334	chr13	30690869	30691070	+	300	NA	Intergenic	NA	-16932	TRNAN7								
OCIAML2_1_168_R1_peak_5948	chr3	136195718	136195960	+	299	NA	promoter-TSS (MSL2)	NA	1415	MSL2								
OCIAML2_1_168_R1_peak_775	chr1	215001685	215001920	+	298	NA	Intergenic	NA	-81415	KCNK2								
OCIAML2_1_168_R1_peak_1461	chr11	16817387	16817622	+	298	NA	intron (PLEKHA7, intron 10 of 28)	NA	78903	C11orf58								
OCIAML2_1_168_R1_peak_8692	chr8	141278588	141278838	+	298	NA	intron (SLC45A4, intron 1 of 7)	NA	-50139	SLC45A4								
OCIAML2_1_168_R1_peak_8986	chr9	120926563	120926789	+	297	NA	exon (TRAF1, exon 1 of 8)	NA	2497	TRAF1								
OCIAML2_1_168_R1_peak_4607	chr2	111698932	111699188	+	297	NA	Intergenic	NA	72030	MIR4771-2								
OCIAML2_1_168_R1_peak_5214	chr20	60228353	60228592	+	297	NA	intron (RP5-1043L13.1-2, intron 3 of 4)	NA	-80062	MIR646								
OCIAML2_1_168_R1_peak_7683	chr6	152587471	152587817	+	297	NA	intron (SYNE1, intron 2 of 146)	NA	49249	SYNE1								
OCIAML2_1_168_R1_peak_3244	chr16	55368318	55368551	+	297	NA	Intergenic	NA	43940	IRX6								
OCIAML2_1_168_R1_peak_4313	chr2	9543667	9543870	+	296	NA	intron (ADAM17, intron 1 of 18)	NA	12020	ADAM17								
OCIAML2_1_168_R1_peak_6752	chr5	72812465	72812781	+	296	NA	Intergenic	NA	-4025	TNPO1								
OCIAML2_1_168_R1_peak_16	chr1	9629715	9629975	+	296	NA	promoter-TSS (PIK3CD)	NA	-21887	PIK3CD								
OCIAML2_1_168_R1_peak_5204	chr20	57628022	57628269	+	296	NA	Intergenic	NA	-7667	ZBP1								
OCIAML2_1_168_R1_peak_1816	chr12	219846	220121	+	296	NA	TTS (SLC6A13)	NA	-5826	SLC6A12								
OCIAML2_1_168_R1_peak_5903	chr3	122272947	122273231	+	296	NA	intron (CASR, intron 4 of 6)	NA	-52075	CSTA								
OCIAML2_1_168_R1_peak_7311	chr6	36692300	36692588	+	296	NA	Intergenic	NA	-5407	RAB44								
OCIAML2_1_168_R1_peak_936	chr1	241818030	241818318	+	296	NA	Intergenic	NA	-30557	EXO1								
OCIAML2_1_168_R1_peak_3404	chr17	4645683	4645966	+	296	NA	Intergenic	NA	-4159	ALOX15								
OCIAML2_1_168_R1_peak_2162	chr12	108129462	108129716	+	296	NA	promoter-TSS (WSCD2)	NA	22	WSCD2								
OCIAML2_1_168_R1_peak_5601	chr3	16912455	16912691	+	296	NA	intron (PLCL2, intron 1 of 5)	NA	13564	PLCL2								
OCIAML2_1_168_R1_peak_3024	chr15	85413503	85413748	+	296	NA	intron (AKAP13, intron 1 of 36)	NA	33038	AKAP13								
OCIAML2_1_168_R1_peak_8380	chr8	54267689	54267931	+	296	NA	Intergenic	NA	-62876	RNU105C								
OCIAML2_1_168_R1_peak_81	chr1	23567311	23567543	+	296	NA	Intergenic	NA	-7633	ID3								
OCIAML2_1_168_R1_peak_3461	chr17	18258024	18258275	+	296	NA	intron (FLII, intron 1 of 28)	NA	562	FLII								
OCIAML2_1_168_R1_peak_1499	chr11	36500528	36500787	+	296	NA	intron (TRAF6, intron 3 of 7)	NA	9656	TRAF6								
OCIAML2_1_168_R1_peak_6227	chr4	10006271	10006486	+	296	NA	intron (SLC2A9, intron 2 of 10)	NA	15112	SLC2A9								
OCIAML2_1_168_R1_peak_7944	chr7	75617946	75618248	+	296	NA	intron (HIP1, intron 1 of 30)	NA	-75026	LOC102723650								
OCIAML2_1_168_R1_peak_3108	chr16	8850545	8850782	+	296	NA	Intergenic	NA	17698	CARHSP1								
OCIAML2_1_168_R1_peak_5340	chr21	44503907	44504259	+	296	NA	intron (TSPEAR, intron 11 of 11)	NA	-1961	TSPEAR-AS1								
OCIAML2_1_168_R1_peak_5876	chr3	116038564	116038823	+	295	NA	intron (LSAMP, intron 2 of 6)	NA	-321331	LSAMP-AS1								
OCIAML2_1_168_R1_peak_5693	chr3	46053882	46054106	+	295	NA	Intergenic	NA	-26507	XCR1								
OCIAML2_1_168_R1_peak_2106	chr12	92911399	92911741	+	295	NA	intron (EEA1, intron 1 of 28)	NA	17761	EEA1								
OCIAML2_1_168_R1_peak_1652	chr11	75340689	75341080	+	295	NA	intron (ARRB1, intron 1 of 14)	NA	-5757	MIR326								
OCIAML2_1_168_R1_peak_4086	chr19	18659375	18659587	+	295	NA	promoter-TSS (KLHL26)	NA	-206	KLHL26								
OCIAML2_1_168_R1_peak_4321	chr2	10445486	10445725	+	295	NA	intron (ODC1, intron 1 of 11)	NA	1244	SNORA80B								
OCIAML2_1_168_R1_peak_4606	chr2	111122029	111122238	+	295	NA	promoter-TSS (BCL2L11)	NA	1219	BCL2L11								
OCIAML2_1_168_R1_peak_8748	chr9	12954516	12954774	+	295	NA	Intergenic	NA	179655	LURAP1L								
OCIAML2_1_168_R1_peak_1548	chr11	59772255	59772519	+	295	NA	intron (STX3, intron 1 of 10)	NA	17381	STX3								
OCIAML2_1_168_R1_peak_5198	chr20	56722174	56722462	+	295	NA	Intergenic	NA	93016	TFAP2C								
OCIAML2_1_168_R1_peak_4113	chr19	35903585	35903875	+	295	NA	TTS (TYROBP)	NA	1250	HCST								
OCIAML2_1_168_R1_peak_822	chr1	224330326	224330533	+	294	NA	promoter-TSS (NVL)	NA	-242	NVL								
OCIAML2_1_168_R1_peak_7030	chr5	173868579	173868836	+	293	NA	Intergenic	NA	-19621	CPEB4								
OCIAML2_1_168_R1_peak_3052	chr15	92899888	92900110	+	292	NA	promoter-TSS (CHD2)	NA	-322	CHD2								
OCIAML2_1_168_R1_peak_8395	chr8	57362745	57362983	+	292	NA	intron (RP11-756K15.2, intron 8 of 8)	NA	19077	RP11-756K15.2								
OCIAML2_1_168_R1_peak_5178	chr20	51631424	51631683	+	291	NA	intron (ATP9A, intron 15 of 27)	NA	-68722	NFATC2								
OCIAML2_1_168_R1_peak_512	chr1	160863821	160864063	+	291	NA	Intergenic	NA	-1040	CD244								
OCIAML2_1_168_R1_peak_2598	chr14	44112835	44113103	+	290	NA	Intergenic	NA	394327	FSCB								
OCIAML2_1_168_R1_peak_1001	chr10	6275264	6275541	+	290	NA	Intergenic	NA	-51142	RP11-563J2.2								
OCIAML2_1_168_R1_peak_6713	chr5	50853210	50853526	+	290	NA	Intergenic	NA	116819	LOC100287592								
OCIAML2_1_168_R1_peak_6858	chr5	119309036	119309271	+	290	NA	intron (TNFAIP8, intron 1 of 1)	NA	40461	TNFAIP8								
OCIAML2_1_168_R1_peak_8156	chr8	6953696	6953922	+	290	NA	Intergenic	NA	-2210	DEFA8P								
OCIAML2_1_168_R1_peak_3918	chr18	79791682	79792023	+	290	NA	Intergenic	NA	-71816	KCNG2								
OCIAML2_1_168_R1_peak_5994	chr3	153130577	153130821	+	290	NA	Intergenic	NA	-31513	RAP2B								
OCIAML2_1_168_R1_peak_3943	chr19	1904347	1904620	+	290	NA	promoter-TSS (SCAMP4)	NA	-889	ADAT3								
OCIAML2_1_168_R1_peak_2883	chr15	52679339	52679558	+	290	NA	promoter-TSS (FAM214A)	NA	-993	FAM214A								
OCIAML2_1_168_R1_peak_5101	chr20	36957970	36958255	+	290	NA	Intergenic	NA	-6269	SAMHD1								
OCIAML2_1_168_R1_peak_6388	chr4	89829507	89829763	+	290	NA	intron (SNCA, intron 2 of 5)	NA	-6766	RP11-67M1.1								
OCIAML2_1_168_R1_peak_8351	chr8	43056182	43056512	+	290	NA	promoter-TSS (FNTA)	NA	48	FNTA								
OCIAML2_1_168_R1_peak_4142	chr19	40823742	40824015	+	290	NA	Intergenic	NA	24735	EGLN2								
OCIAML2_1_168_R1_peak_4704	chr2	157468922	157469182	+	290	NA	Intergenic	NA	-24960	CYTIP								
OCIAML2_1_168_R1_peak_5987	chr3	151351346	151351561	+	290	NA	intron (MED12L, intron 16 of 43)	NA	-21904	P2RY13								
OCIAML2_1_168_R1_peak_4598	chr2	106537195	106537455	+	289	NA	Intergenic	NA	-68986	RGPD3								
OCIAML2_1_168_R1_peak_3811	chr18	24490577	24490852	+	289	NA	Intergenic	NA	30085	HRH4								
OCIAML2_1_168_R1_peak_7088	chr6	1326622	1326833	+	289	NA	Intergenic	NA	14287	FOXQ1								
OCIAML2_1_168_R1_peak_8990	chr9	121353632	121353838	+	288	NA	intron (STOM, intron 3 of 6)	NA	16569	STOM								
OCIAML2_1_168_R1_peak_9137	chrX	15855128	15855371	+	288	NA	promoter-TSS (AP1S2)	NA	-283	AP1S2								
OCIAML2_1_168_R1_peak_2768	chr14	96962363	96962643	+	288	NA	Intergenic	NA	18924	LINC00618								
OCIAML2_1_168_R1_peak_3260	chr16	58384723	58385001	+	288	NA	Intergenic	NA	-7532	GINS3								
OCIAML2_1_168_R1_peak_182	chr1	37996671	37996891	+	287	NA	TTS (FHL3)	NA	-6440	SF3A3								
OCIAML2_1_168_R1_peak_8498	chr8	95228334	95228568	+	287	NA	Intergenic	NA	-12077	C8orf69								
OCIAML2_1_168_R1_peak_4557	chr2	98012698	98012981	+	287	NA	Intergenic	NA	-16913	TMEM131								
OCIAML2_1_168_R1_peak_7723	chr6	163122454	163122765	+	287	NA	intron (PACRG, intron 5 of 5)	NA	-68448	RP1-257A15.1								
OCIAML2_1_168_R1_peak_7403	chr6	54217143	54217372	+	287	NA	exon (MLIP, exon 12 of 12)	NA	-91148	TINAG								
OCIAML2_1_168_R1_peak_6084	chr3	183592131	183592476	+	287	NA	Intergenic	NA	-36592	KLHL6								
OCIAML2_1_168_R1_peak_6464	chr4	123617020	123617300	+	287	NA	Intergenic	NA	-108239	TRNAC16								
OCIAML2_1_168_R1_peak_2210	chr12	115380561	115380883	+	287	NA	Intergenic	NA	17710	LOC101928225								
OCIAML2_1_168_R1_peak_3860	chr18	56468423	56468722	+	287	NA	Intergenic	NA	170117	TXNL1								
OCIAML2_1_168_R1_peak_8794	chr9	35114869	35115201	+	287	NA	intron (FAM214B, intron 1 of 8)	NA	1273	FAM214B								
OCIAML2_1_168_R1_peak_8519	chr8	100720857	100721243	+	287	NA	intron (PABPC1, intron 1 of 14)	NA	1037	PABPC1								
OCIAML2_1_168_R1_peak_3837	chr18	45102974	45103200	+	287	NA	Intergenic	NA	76826	LOC101927961								
OCIAML2_1_168_R1_peak_3569	chr17	44348183	44348467	+	287	NA	intron (GRN, intron 1 of 12)	NA	3202	GRN								
OCIAML2_1_168_R1_peak_3987	chr19	6970030	6970324	+	286	NA	intron (EMR4P, intron 10 of 15)	NA	20669	EMR4P								
OCIAML2_1_168_R1_peak_7484	chr6	102887983	102888218	+	286	NA	Intergenic	NA	-1433805	LOC101927388								
OCIAML2_1_168_R1_peak_1826	chr12	1842407	1842644	+	286	NA	intron (CACNA2D4, intron 25 of 37)	NA	22258	LRTM2								
OCIAML2_1_168_R1_peak_4479	chr2	65228308	65228582	+	286	NA	intron (ACTR2, intron 1 of 9)	NA	750	ACTR2								
OCIAML2_1_168_R1_peak_160	chr1	33039932	33040217	+	286	NA	Intergenic	NA	-3163	AK2								
OCIAML2_1_168_R1_peak_1672	chr11	78812591	78812845	+	286	NA	intron (TENM4, intron 13 of 33)	NA	-237854	NARS2								
OCIAML2_1_168_R1_peak_1076	chr10	28984442	28984746	+	286	NA	Intergenic	NA	59688	LOC101929236								
OCIAML2_1_168_R1_peak_4506	chr2	69762828	69763095	+	286	NA	intron (ANXA4, intron 1 of 12)	NA	42165	ANXA4								
OCIAML2_1_168_R1_peak_8326	chr8	38957566	38957858	+	286	NA	intron (PLEKHA2, intron 10 of 11)	NA	-16528	HTRA4								
OCIAML2_1_168_R1_peak_7958	chr7	77906260	77906512	+	286	NA	intron (PHTF2, intron 5 of 17)	NA	66256	PHTF2								
OCIAML2_1_168_R1_peak_1668	chr11	77994867	77995128	+	286	NA	promoter-TSS (INTS4)	NA	-279	INTS4								
OCIAML2_1_168_R1_peak_4280	chr19	56111596	56111836	+	286	NA	intron (ZNF787, intron 1 of 2)	NA	9564	ZNF787								
OCIAML2_1_168_R1_peak_2558	chr14	22556292	22556562	+	286	NA	Intergenic	NA	32810	DAD1								
OCIAML2_1_168_R1_peak_6134	chr3	192930165	192930609	+	286	NA	Intergenic	NA	-12226	MB21D2								
OCIAML2_1_168_R1_peak_4930	chr2	234292547	234292790	+	286	NA	Intergenic	NA	204385	ARL4C								
OCIAML2_1_168_R1_peak_2340	chr13	31012294	31012558	+	286	NA	Intergenic	NA	44221	LOC102723392								
OCIAML2_1_168_R1_peak_8079	chr7	134293145	134293409	+	286	NA	exon (SLC35B4, exon 10 of 10)	NA	23798	SLC35B4								
OCIAML2_1_168_R1_peak_3623	chr17	60170560	60170834	+	286	NA	Intergenic	NA	20756	CA4								
OCIAML2_1_168_R1_peak_7504	chr6	107713310	107713563	+	285	NA	intron (SCML4, intron 5 of 6)	NA	6679	LOC101927442								
OCIAML2_1_168_R1_peak_6548	chr4	159102957	159103199	+	285	NA	promoter-TSS (RAPGEF2)	NA	-994	RAPGEF2								
OCIAML2_1_168_R1_peak_2218	chr12	118016523	118016768	+	285	NA	promoter-TSS (RFC5)	NA	-56	RFC5								
OCIAML2_1_168_R1_peak_8953	chr9	112332988	112333239	+	285	NA	promoter-TSS (PTBP3)	NA	551	PTBP3								
OCIAML2_1_168_R1_peak_1620	chr11	69712185	69712557	+	285	NA	Intergenic	NA	-8033	FGF19								
OCIAML2_1_168_R1_peak_5501	chr22	42931452	42931750	+	285	NA	intron (PACSIN2, intron 1 of 10)	NA	28730	PACSIN2								
OCIAML2_1_168_R1_peak_7702	chr6	157607318	157607558	+	285	NA	intron (ZDHHC14, intron 3 of 8)	NA	78263	MIR3692								
OCIAML2_1_168_R1_peak_8763	chr9	22030036	22030434	+	284	NA	intron (CDKN2B-AS1, intron 2 of 13)	NA	-20922	CDKN2B								
OCIAML2_1_168_R1_peak_3963	chr19	4242109	4242354	+	284	NA	Intergenic	NA	-4883	CCDC94								
OCIAML2_1_168_R1_peak_210	chr1	41802861	41803168	+	284	NA	intron (HIVEP3, intron 1 of 8)	NA	-174193	HIVEP3								
OCIAML2_1_168_R1_peak_8466	chr8	80055042	80055243	+	284	NA	intron (TPD52, intron 1 of 4)	NA	-24871	MRPS28								
OCIAML2_1_168_R1_peak_2744	chr14	91396283	91396534	+	284	NA	intron (CCDC88C, intron 3 of 29)	NA	21436	CCDC88C								
OCIAML2_1_168_R1_peak_7420	chr6	71727874	71728244	+	284	NA	Intergenic	NA	-158920	RIMS1								
OCIAML2_1_168_R1_peak_989	chr10	3761256	3761518	+	283	NA	Intergenic	NA	23894	KLF6								
OCIAML2_1_168_R1_peak_7968	chr7	87219607	87219912	+	283	NA	promoter-TSS (TMEM243)	NA	814	TMEM243								
OCIAML2_1_168_R1_peak_7357	chr6	43338350	43338600	+	282	NA	exon (ZNF318, exon 10 of 10)	NA	-29208	CRIP3								
OCIAML2_1_168_R1_peak_6217	chr4	6854155	6854396	+	282	NA	intron (KIAA0232, intron 4 of 9)	NA	29947	KIAA0232								
OCIAML2_1_168_R1_peak_9082	chr9	136240052	136240309	+	281	NA	intron (QSOX2, intron 1 of 11)	NA	5661	QSOX2								
OCIAML2_1_168_R1_peak_134	chr1	28326560	28326793	+	281	NA	Intergenic	NA	-3607	MED18								
OCIAML2_1_168_R1_peak_7138	chr6	11552441	11552721	+	281	NA	intron (TMEM170B, intron 1 of 2)	NA	14354	TMEM170B								
OCIAML2_1_168_R1_peak_8194	chr8	11897302	11897619	+	281	NA	Intergenic	NA	-29323	CTSB								
OCIAML2_1_168_R1_peak_2416	chr13	50713943	50714191	+	281	NA	intron (DLEU7, intron 1 of 1)	NA	-1330	LOC102723697								
OCIAML2_1_168_R1_peak_4945	chr2	239267489	239267736	+	281	NA	intron (HDAC4, intron 2 of 26)	NA	-13861	LOC102723762								
OCIAML2_1_168_R1_peak_4097	chr19	32238127	32238421	+	281	NA	Intergenic	NA	-107334	ZNF507								
OCIAML2_1_168_R1_peak_3234	chr16	50611703	50611930	+	281	NA	intron (NKD1, intron 2 of 7)	NA	4127	NKD1								
OCIAML2_1_168_R1_peak_1813	chr12	180449	180719	+	281	NA	Intergenic	NA	-23061	LOC101929384								
OCIAML2_1_168_R1_peak_3334	chr16	84726529	84726795	+	280	NA	intron (USP10, intron 2 of 14)	NA	26713	USP10								
OCIAML2_1_168_R1_peak_8176	chr8	9889465	9889741	+	280	NA	Intergenic	NA	13726	LINC00599								
OCIAML2_1_168_R1_peak_7242	chr6	30617396	30617847	+	280	NA	promoter-TSS (PPP1R10)	NA	-88	MRPS18B								
OCIAML2_1_168_R1_peak_516	chr1	161045896	161046141	+	279	NA	promoter-TSS (USF1)	NA	-39	USF1								
OCIAML2_1_168_R1_peak_1655	chr11	75801777	75802023	+	279	NA	TTS (DGAT2)	NA	13064	LOC100506113								
OCIAML2_1_168_R1_peak_8375	chr8	53944895	53945173	+	279	NA	intron (RGS20, intron 2 of 4)	NA	77422	TCEA1								
OCIAML2_1_168_R1_peak_2696	chr14	76720334	76720625	+	279	NA	Intergenic	NA	-41413	VASH1								
OCIAML2_1_168_R1_peak_5703	chr3	47227764	47228040	+	279	NA	TTS (KIF9)	NA	54708	KIF9								
OCIAML2_1_168_R1_peak_9043	chr9	129803019	129803239	+	279	NA	promoter-TSS (TOR1B)	NA	-24	TOR1B								
OCIAML2_1_168_R1_peak_7234	chr6	28900962	28901210	+	278	NA	Intergenic	NA	4556	HCG14								
OCIAML2_1_168_R1_peak_4971	chr20	1492297	1492556	+	278	NA	promoter-TSS (SIRPB2)	NA	-839	SIRPB2								
OCIAML2_1_168_R1_peak_5405	chr22	29597160	29597397	+	278	NA	Intergenic	NA	-6278	NF2								
OCIAML2_1_168_R1_peak_816	chr1	223177852	223178080	+	278	NA	Intergenic	NA	-34702	TLR5								
OCIAML2_1_168_R1_peak_1777	chr11	123452768	123453033	+	277	NA	intron (GRAMD1B, intron 1 of 20)	NA	-71388	MIR4493								
OCIAML2_1_168_R1_peak_3042	chr15	90233840	90234071	+	277	NA	promoter-TSS (CIB1)	NA	87	CIB1								
OCIAML2_1_168_R1_peak_4703	chr2	156331958	156332189	+	277	NA	intron (NR4A2, intron 1 of 7)	NA	702	NR4A2								
OCIAML2_1_168_R1_peak_3316	chr16	81403517	81403749	+	277	NA	Intergenic	NA	18570	MIR4720								
OCIAML2_1_168_R1_peak_8286	chr8	29999387	29999616	+	277	NA	Intergenic	NA	-42162	MIR3148								
OCIAML2_1_168_R1_peak_295	chr1	82586558	82586832	+	277	NA	Intergenic	NA	399513	RP11-170N11.1								
OCIAML2_1_168_R1_peak_4422	chr2	47072779	47073054	+	277	NA	intron (TTC7A, intron 19 of 19)	NA	82462	C2orf61								
OCIAML2_1_168_R1_peak_4924	chr2	233331722	233331982	+	277	NA	intron (SAG, intron 10 of 15)	NA	-22651	DGKD								
OCIAML2_1_168_R1_peak_7601	chr6	134511014	134511257	+	277	NA	Intergenic	NA	13381	LOC101928249								
OCIAML2_1_168_R1_peak_2850	chr15	47460904	47461130	+	277	NA	intron (SEMA6D, intron 2 of 19)	NA	-257057	SEMA6D								
OCIAML2_1_168_R1_peak_6326	chr4	56681530	56681774	+	277	NA	promoter-TSS (HOPX)	NA	-465	HOPX								
OCIAML2_1_168_R1_peak_9166	chrX	39802464	39802711	+	277	NA	Intergenic	NA	-34974	MIR1587								
OCIAML2_1_168_R1_peak_502	chr1	160134877	160135124	+	277	NA	intron (ATP1A2, intron 14 of 22)	NA	-16603	ATP1A4								
OCIAML2_1_168_R1_peak_9142	chrX	16484407	16484641	+	277	NA	Intergenic	NA	142552	MIR548AM								
OCIAML2_1_168_R1_peak_6302	chr4	40621689	40621963	+	277	NA	intron (RBM47, intron 1 of 6)	NA	8040	RBM47								
OCIAML2_1_168_R1_peak_4188	chr19	45791079	45791312	+	277	NA	intron (DMWD, intron 1 of 4)	NA	1607	DMWD								
OCIAML2_1_168_R1_peak_7072	chr5	179923497	179923798	+	276	NA	Intergenic	NA	-15791	TBC1D9B								
OCIAML2_1_168_R1_peak_5120	chr20	40782581	40782837	+	276	NA	Intergenic	NA	-65790	LOC101927098								
OCIAML2_1_168_R1_peak_2529	chr13	113296752	113297081	+	276	NA	promoter-TSS (LAMP1)	NA	-238	LAMP1								
OCIAML2_1_168_R1_peak_192	chr1	40050984	40051210	+	276	NA	intron (CAP1, intron 1 of 12)	NA	10514	CAP1								
OCIAML2_1_168_R1_peak_8821	chr9	74172955	74173238	+	276	NA	Intergenic	NA	101985	LOC101927329								
OCIAML2_1_168_R1_peak_3207	chr16	30904182	30904466	+	276	NA	TTS (CTF1)	NA	7717	CTF1								
OCIAML2_1_168_R1_peak_3355	chr16	87780815	87781005	+	276	NA	Intergenic	NA	-1762	LOC102724467								
OCIAML2_1_168_R1_peak_4471	chr2	64838101	64838344	+	276	NA	Intergenic	NA	25409	AC007880.1								
OCIAML2_1_168_R1_peak_266	chr1	59696786	59697046	+	276	NA	intron (FGGY, intron 12 of 13)	NA	36375	MIR4711								
OCIAML2_1_168_R1_peak_159	chr1	32981217	32981466	+	276	NA	Intergenic	NA	-16469	RNF19B								
OCIAML2_1_168_R1_peak_4613	chr2	112674191	112674485	+	276	NA	Intergenic	NA	-1880	LOC102724955								
OCIAML2_1_168_R1_peak_4892	chr2	229660446	229660700	+	276	NA	intron (DNER, intron 1 of 11)	NA	53997	DNER								
OCIAML2_1_168_R1_peak_7926	chr7	67918194	67918538	+	276	NA	Intergenic	NA	-106125	LOC102723427								
OCIAML2_1_168_R1_peak_4637	chr2	121610503	121610900	+	276	NA	intron (CLASP1, intron 1 of 39)	NA	-38953	NIFK-AS1								
OCIAML2_1_168_R1_peak_2333	chr13	30690367	30690614	+	276	NA	Intergenic	NA	-16453	TRNAN7								
OCIAML2_1_168_R1_peak_3138	chr16	15590901	15591289	+	276	NA	Intergenic	NA	19957	MIR6506								
OCIAML2_1_168_R1_peak_2971	chr15	72686005	72686261	+	276	NA	promoter-TSS (BBS4)	NA	16	HIGD2B								
OCIAML2_1_168_R1_peak_8249	chr8	25211155	25211402	+	275	NA	intron (DOCK5, intron 1 of 50)	NA	-85362	DOCK5								
OCIAML2_1_168_R1_peak_6914	chr5	139475518	139475783	+	275	NA	exon (TMEM173, exon 7 of 7)	NA	7108	TMEM173								
OCIAML2_1_168_R1_peak_7757	chr7	726486	726747	+	274	NA	promoter-TSS (HEATR2)	NA	-85	HEATR2								
OCIAML2_1_168_R1_peak_7042	chr5	176389498	176389718	+	274	NA	promoter-TSS (NOP16)	NA	825	HIGD2A								
OCIAML2_1_168_R1_peak_7177	chr6	16093113	16093328	+	274	NA	Intergenic	NA	-35866	MYLIP								
OCIAML2_1_168_R1_peak_1605	chr11	67312655	67312924	+	274	NA	TTS (SSH3)	NA	-5050	LOC100130987								
OCIAML2_1_168_R1_peak_2047	chr12	61870935	61871220	+	274	NA	intron (FAM19A2, intron 2 of 5)	NA	321691	FAM19A2								
OCIAML2_1_168_R1_peak_2185	chr12	110694458	110694677	+	274	NA	intron (HVCN1, intron 1 of 7)	NA	-4755	HVCN1								
OCIAML2_1_168_R1_peak_3415	chr17	7239612	7239921	+	274	NA	promoter-TSS (PHF23)	NA	-836	PHF23								
OCIAML2_1_168_R1_peak_5742	chr3	52247398	52247627	+	274	NA	intron (PPM1M, intron 3 of 9)	NA	1746	PPM1M								
OCIAML2_1_168_R1_peak_4379	chr2	27628754	27629046	+	274	NA	promoter-TSS (GPN1)	NA	-96	GPN1								
OCIAML2_1_168_R1_peak_4605	chr2	110994375	110994616	+	274	NA	intron (ACOXL, intron 13 of 17)	NA	119690	FLJ44006								
OCIAML2_1_168_R1_peak_3478	chr17	27336250	27336476	+	274	NA	Intergenic	NA	42283	WSB1								
OCIAML2_1_168_R1_peak_5951	chr3	138842459	138842761	+	274	NA	Intergenic	NA	-7672	PIK3CB								
OCIAML2_1_168_R1_peak_5257	chr21	26469779	26470065	+	274	NA	intron (CYYR1, intron 4 of 4)	NA	63979	LOC100996571								
OCIAML2_1_168_R1_peak_2064	chr12	69102906	69103155	+	274	NA	Intergenic	NA	-136507	CPSF6								
OCIAML2_1_168_R1_peak_2834	chr15	41291190	41291425	+	273	NA	intron (OIP5-AS1, intron 3 of 3)	NA	7304	OIP5-AS1								
OCIAML2_1_168_R1_peak_161	chr1	33061886	33062153	+	273	NA	Intergenic	NA	-21935	ADC								
OCIAML2_1_168_R1_peak_7930	chr7	69493935	69494224	+	273	NA	Intergenic	NA	103416	LOC100507468								
OCIAML2_1_168_R1_peak_5042	chr20	18005423	18005688	+	271	NA	Intergenic	NA	-36564	SNX5								
OCIAML2_1_168_R1_peak_1916	chr12	24705839	24706102	+	271	NA	Intergenic	NA	-121802	LINC00477								
OCIAML2_1_168_R1_peak_651	chr1	191261212	191261507	+	271	NA	Intergenic	NA	636469	RP11-463J7.2								
OCIAML2_1_168_R1_peak_8441	chr8	67393001	67393277	+	271	NA	Intergenic	NA	49411	LOC102724708								
OCIAML2_1_168_R1_peak_3249	chr16	56911877	56912107	+	271	NA	intron (SLC12A3, intron 25 of 25)	NA	7728	MIR6863								
OCIAML2_1_168_R1_peak_3331	chr16	84607819	84608068	+	271	NA	intron (COTL1, intron 2 of 3)	NA	10153	COTL1								
OCIAML2_1_168_R1_peak_3147	chr16	17449462	17449698	+	271	NA	intron (XYLT1, intron 1 of 11)	NA	21301	XYLT1								
