PeakID (cmd=annotatePeaks.pl D9_1_155_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
D9_1_155_R1_peak_24315	chr9	123834981	123835468	+	640	NA	intron (DENND1A, intron 2 of 21)	NA	93432	DENND1A								
D9_1_155_R1_peak_18656	chr5	54738046	54738457	+	639	NA	intron (LOC102467080, intron 1 of 2)	NA	6007	LOC102467080								
D9_1_155_R1_peak_23247	chr8	120857271	120857796	+	639	NA	Intergenic	NA	-45464	SNTB1								
D9_1_155_R1_peak_4307	chr11	72815668	72816036	+	639	NA	intron (ATG16L2, intron 1 of 16)	NA	1445	ATG16L2								
D9_1_155_R1_peak_22256	chr7	137899341	137899849	+	639	NA	intron (CREB3L2, intron 8 of 11)	NA	-52734	DGKI								
D9_1_155_R1_peak_9850	chr17	42964152	42964622	+	639	NA	intron (PTGES3L-AARSD1, intron 6 of 16)	NA	111	AARSD1								
D9_1_155_R1_peak_5135	chr12	31838143	31838537	+	639	NA	Intergenic	NA	-46099	H3F3C								
D9_1_155_R1_peak_17246	chr3	197736753	197737266	+	639	NA	promoter-TSS (KIAA0226)	NA	-12544	FYTTD1								
D9_1_155_R1_peak_16033	chr3	48528741	48529066	+	639	NA	intron (PFKFB4, intron 9 of 13)	NA	21113	MIR6823								
D9_1_155_R1_peak_20105	chr6	27753198	27753671	+	639	NA	promoter-TSS (TRNAV7)	NA	38	TRNAV7								
D9_1_155_R1_peak_4938	chr12	10158989	10159481	+	639	NA	exon (OLR1, exon 5 of 5)	NA	12956	OLR1								
D9_1_155_R1_peak_18982	chr5	98963677	98964222	+	639	NA	Intergenic	NA	-31082	LOC102724810								
D9_1_155_R1_peak_7241	chr14	75175818	75176727	+	639	NA	intron (TMED10, intron 1 of 4)	NA	374	TMED10								
D9_1_155_R1_peak_6390	chr13	46751605	46752132	+	639	NA	exon (LRCH1, exon 19 of 19)	NA	45364	ESD								
D9_1_155_R1_peak_11499	chr19	33199477	33199901	+	639	NA	intron (LRP3, intron 2 of 6)	NA	4913	LRP3								
D9_1_155_R1_peak_11674	chr19	42452667	42453261	+	639	NA	intron (LIPE-AS1, intron 1 of 1)	NA	-9980	CXCL17								
D9_1_155_R1_peak_11399	chr19	17523223	17523616	+	639	NA	exon (FAM129C, exon 1 of 16)	NA	-3844	FAM129C								
D9_1_155_R1_peak_1927	chr1	201982433	201982977	+	638	NA	promoter-TSS (RNPEP)	NA	-786	RNPEP								
D9_1_155_R1_peak_17022	chr3	179956372	179956951	+	638	NA	intron (PEX5L, intron 1 of 14)	NA	57124	RP11-791G22.1								
D9_1_155_R1_peak_17003	chr3	177932882	177933279	+	637	NA	Intergenic	NA	116215	LOC102724550								
D9_1_155_R1_peak_13753	chr2	206970908	206971447	+	637	NA	Intergenic	NA	31623	CPO								
D9_1_155_R1_peak_8844	chr16	31117474	31118012	+	637	NA	promoter-TSS (KAT8)	NA	79	KAT8								
D9_1_155_R1_peak_13937	chr2	227374151	227374556	+	637	NA	intron (TM4SF20, intron 1 of 3)	NA	4953	TM4SF20								
D9_1_155_R1_peak_23419	chr8	133685818	133686327	+	636	NA	Intergenic	NA	91280	LOC101927798								
D9_1_155_R1_peak_4078	chr11	62728407	62729009	+	636	NA	exon (TTC9C, exon 1 of 3)	NA	630	TTC9C								
D9_1_155_R1_peak_5859	chr12	111196166	111196911	+	636	NA	intron (CUX2, intron 2 of 22)	NA	-107604	MIR6760								
D9_1_155_R1_peak_16965	chr3	172140421	172140905	+	636	NA	intron (FNDC3B, intron 3 of 25)	NA	-41182	LOC101928615								
D9_1_155_R1_peak_390	chr1	26786701	26787387	+	635	NA	promoter-TSS (PIGV)	NA	-1144	PIGV								
D9_1_155_R1_peak_10338	chr17	78159542	78160122	+	635	NA	promoter-TSS (C17orf99)	NA	-1208	C17orf99								
D9_1_155_R1_peak_5005	chr12	13165519	13166092	+	635	NA	Intergenic	NA	-30863	EMP1								
D9_1_155_R1_peak_9361	chr17	3841213	3841603	+	635	NA	intron (C17orf85, intron 2 of 14)	NA	4838	C17orf85								
D9_1_155_R1_peak_812	chr1	59696885	59697538	+	635	NA	intron (FGGY, intron 14 of 15)	NA	36085	MIR4711								
D9_1_155_R1_peak_8130	chr15	75946048	75946406	+	633	NA	intron (NRG4, intron 5 of 5)	NA	-13097	FBXO22-AS1								
D9_1_155_R1_peak_928	chr1	75745280	75745763	+	633	NA	intron (ACADM, intron 6 of 10)	NA	21174	ACADM								
D9_1_155_R1_peak_19212	chr5	135425677	135426026	+	633	NA	Intergenic	NA	21497	C5orf20								
D9_1_155_R1_peak_15151	chr22	23580195	23580673	+	632	NA	promoter-TSS (IGLL1)	NA	-126	IGLL1								
D9_1_155_R1_peak_341	chr1	25232942	25233478	+	632	NA	promoter-TSS (SYF2)	NA	-688	SYF2								
D9_1_155_R1_peak_5281	chr12	50167181	50167499	+	632	NA	promoter-TSS (CERS5)	NA	31	CERS5								
D9_1_155_R1_peak_6009	chr12	122081777	122082236	+	632	NA	intron (MLXIP, intron 1 of 17)	NA	3243	MLXIP								
D9_1_155_R1_peak_23457	chr8	141214532	141214883	+	632	NA	intron (SLC45A4, intron 7 of 7)	NA	23127	SLC45A4								
D9_1_155_R1_peak_8639	chr16	14975647	14975955	+	631	NA	intron (PDXDC1, intron 1 of 22)	NA	838	PDXDC1								
D9_1_155_R1_peak_20231	chr6	32670681	32671189	+	631	NA	Intergenic	NA	-4246	HLA-DQB1								
D9_1_155_R1_peak_21452	chr7	23595337	23595767	+	631	NA	Intergenic	NA	-1827	CCDC126								
D9_1_155_R1_peak_21300	chr7	2792874	2793352	+	631	NA	intron (GNA12, intron 3 of 4)	NA	51212	GNA12								
D9_1_155_R1_peak_17243	chr3	197297890	197298591	+	631	NA	promoter-TSS (DLG1)	NA	-7	DLG1-AS1								
D9_1_155_R1_peak_22330	chr7	142496591	142497045	+	631	NA	Intergenic	NA	-169481	MTRNR2L6								
D9_1_155_R1_peak_1339	chr1	149775539	149775926	+	631	NA	intron (HIST2H2BF, intron 1 of 1)	NA	-6945	FCGR1A								
D9_1_155_R1_peak_6228	chr13	31803317	31803694	+	631	NA	TTS (RXFP2)	NA	-43278	EEF1DP3								
D9_1_155_R1_peak_11368	chr19	16338792	16339227	+	631	NA	Intergenic	NA	14169	KLF2								
D9_1_155_R1_peak_472	chr1	31663851	31664253	+	631	NA	intron (COL16A1, intron 56 of 70)	NA	-6032	LOC101929444								
D9_1_155_R1_peak_25038	chrX	78653084	78653601	+	631	NA	Intergenic	NA	5986	ZCCHC5								
D9_1_155_R1_peak_20975	chr6	137722673	137723056	+	631	NA	Intergenic	NA	49350	LOC102723649								
D9_1_155_R1_peak_10058	chr17	59154345	59155102	+	630	NA	promoter-TSS (PRR11)	NA	716	SKA2								
D9_1_155_R1_peak_5011	chr12	14442214	14442800	+	630	NA	intron (ATF7IP, intron 5 of 14)	NA	76875	ATF7IP								
D9_1_155_R1_peak_3096	chr10	75904572	75904982	+	630	NA	intron (C10orf11, intron 1 of 5)	NA	352319	MIR606								
D9_1_155_R1_peak_25065	chrX	101431274	101431646	+	628	NA	intron (ARMCX4, intron 2 of 15)	NA	23327	HNRNPH2								
D9_1_155_R1_peak_9055	chr16	70251679	70252249	+	628	NA	promoter-TSS (EXOSC6)	NA	-34	EXOSC6								
D9_1_155_R1_peak_24834	chrX	39862865	39863514	+	628	NA	Intergenic	NA	25628	MIR1587								
D9_1_155_R1_peak_23477	chr8	143351992	143352655	+	628	NA	intron (TOP1MT, intron 2 of 15)	NA	7654	TOP1MT								
D9_1_155_R1_peak_18788	chr5	72834989	72835455	+	628	NA	intron (TNPO1, intron 1 of 23)	NA	-12881	TNPO1								
D9_1_155_R1_peak_15354	chr22	38181448	38182144	+	627	NA	promoter-TSS (PLA2G6)	NA	50	PLA2G6								
D9_1_155_R1_peak_24477	chr9	131598111	131598557	+	627	NA	intron (RAPGEF1, intron 14 of 25)	NA	43345	LOC102723804								
D9_1_155_R1_peak_10066	chr17	59707105	59707796	+	627	NA	promoter-TSS (PTRH2)	NA	45	PTRH2								
D9_1_155_R1_peak_2619	chr10	17230038	17230865	+	627	NA	promoter-TSS (VIM-AS1)	NA	2516	VIM								
D9_1_155_R1_peak_6755	chr13	113528105	113528513	+	627	NA	intron (TMCO3, intron 7 of 11)	NA	37316	TMCO3								
D9_1_155_R1_peak_2557	chr10	12043173	12043733	+	627	NA	promoter-TSS (UPF2)	NA	-612	UPF2								
D9_1_155_R1_peak_10486	chr18	432626	433200	+	627	NA	intron (COLEC12, intron 2 of 5)	NA	67810	COLEC12								
D9_1_155_R1_peak_16886	chr3	160449679	160450204	+	626	NA	promoter-TSS (TRIM59)	NA	-103	TRIM59								
D9_1_155_R1_peak_8590	chr16	10851985	10852783	+	626	NA	Intergenic	NA	-24814	CIITA								
D9_1_155_R1_peak_3730	chr11	13463159	13463731	+	626	NA	promoter-TSS (BTBD10)	NA	-23171	BTBD10								
D9_1_155_R1_peak_16173	chr3	58350480	58351021	+	626	NA	intron (PXK, intron 1 of 14)	NA	17860	PXK								
D9_1_155_R1_peak_4341	chr11	74748583	74749410	+	626	NA	exon (RNF169, exon 1 of 6)	NA	128	RNF169								
D9_1_155_R1_peak_23334	chr8	128973346	128973798	+	626	NA	Intergenic	NA	267668	LINC00977								
D9_1_155_R1_peak_20768	chr6	110859330	110859692	+	626	NA	intron (AMD1, intron 1 of 8)	NA	-15273	AMD1								
D9_1_155_R1_peak_9585	chr17	19570340	19570812	+	626	NA	intron (SLC47A1, intron 14 of 16)	NA	13016	SNORA59B								
D9_1_155_R1_peak_6977	chr14	49598434	49599362	+	626	NA	exon (LRR1, exon 1 of 5)	NA	201	LRR1								
D9_1_155_R1_peak_15873	chr3	37902613	37903049	+	625	NA	intron (CTDSPL, intron 1 of 8)	NA	40653	CTDSPL								
D9_1_155_R1_peak_22358	chr7	148726369	148726807	+	625	NA	intron (CUL1, intron 1 of 21)	NA	27747	CUL1								
D9_1_155_R1_peak_8384	chr15	96042617	96043186	+	625	NA	Intergenic	NA	91710	LOC101927192								
D9_1_155_R1_peak_3792	chr11	27355573	27355992	+	625	NA	intron (CCDC34, intron 2 of 5)	NA	7466	CCDC34								
D9_1_155_R1_peak_19209	chr5	135397683	135398114	+	625	NA	intron (H2AFY, intron 1 of 8)	NA	1989	H2AFY								
D9_1_155_R1_peak_8655	chr16	17171647	17172180	+	624	NA	intron (XYLT1, intron 5 of 11)	NA	37425	LOC102723692								
D9_1_155_R1_peak_1610	chr1	166876071	166876586	+	624	NA	promoter-TSS (TADA1)	NA	89	TADA1								
D9_1_155_R1_peak_25078	chrX	103686459	103687256	+	624	NA	promoter-TSS (MORF4L2)	NA	-39	MORF4L2								
D9_1_155_R1_peak_14351	chr20	24948862	24949499	+	624	NA	promoter-TSS (CST7)	NA	-50	CST7								
D9_1_155_R1_peak_20747	chr6	109697294	109697630	+	623	NA	intron (FIG4, intron 1 of 20)	NA	6199	FIG4								
D9_1_155_R1_peak_4155	chr11	65354467	65354815	+	623	NA	promoter-TSS (TIGD3)	NA	-170	TIGD3								
D9_1_155_R1_peak_24787	chrX	30597566	30598056	+	623	NA	Intergenic	NA	-19895	CXorf21								
D9_1_155_R1_peak_22546	chr8	19886606	19887183	+	622	NA	Intergenic	NA	-52177	LPL								
D9_1_155_R1_peak_6194	chr13	29898155	29898539	+	622	NA	Intergenic	NA	-9942	LINC00297								
D9_1_155_R1_peak_8740	chr16	27268634	27269065	+	622	NA	promoter-TSS (NSMCE1)	NA	-475	NSMCE1								
D9_1_155_R1_peak_6853	chr14	23988641	23989030	+	622	NA	promoter-TSS (DHRS4L2)	NA	18820	DHRS4L2								
D9_1_155_R1_peak_22034	chr7	101108279	101108580	+	621	NA	Intergenic	NA	-18660	SERPINE1								
D9_1_155_R1_peak_17946	chr4	109815075	109815925	+	620	NA	promoter-TSS (GAR1)	NA	-316	GAR1								
D9_1_155_R1_peak_14821	chr21	26061402	26061830	+	620	NA	intron (APP, intron 3 of 15)	NA	109204	APP								
D9_1_155_R1_peak_17255	chr4	124269	124686	+	620	NA	promoter-TSS (ZNF718)	NA	-61	ZNF718								
D9_1_155_R1_peak_5919	chr12	117077019	117077486	+	619	NA	intron (TESC, intron 1 of 7)	NA	22194	TESC								
D9_1_155_R1_peak_3058	chr10	73916799	73917230	+	619	NA	exon (PLAU, exon 11 of 11)	NA	5763	C10orf55								
D9_1_155_R1_peak_5492	chr12	66240144	66240800	+	619	NA	intron (IRAK3, intron 8 of 11)	NA	-10619	MIR6502								
D9_1_155_R1_peak_12667	chr2	69387058	69387452	+	619	NA	promoter-TSS (GFPT1)	NA	-1	GFPT1								
D9_1_155_R1_peak_12481	chr2	54532987	54533471	+	618	NA	intron (SPTBN1, intron 2 of 35)	NA	4007	RPL23AP32								
D9_1_155_R1_peak_23435	chr8	140104664	140105074	+	617	NA	intron (TRAPPC9, intron 16 of 21)	NA	352875	TRAPPC9								
D9_1_155_R1_peak_13461	chr2	172280748	172281283	+	617	NA	Intergenic	NA	-146571	ITGA6								
D9_1_155_R1_peak_4957	chr12	11657511	11657955	+	617	NA	intron (ETV6, intron 1 of 7)	NA	7879	ETV6								
D9_1_155_R1_peak_18989	chr5	100708487	100708991	+	617	NA	Intergenic	NA	107826	MIR548P								
D9_1_155_R1_peak_21422	chr7	19708905	19709344	+	617	NA	promoter-TSS (TWISTNB)	NA	-87	TWISTNB								
D9_1_155_R1_peak_7554	chr14	103931367	103931827	+	617	NA	intron (TDRD9, intron 1 of 35)	NA	3158	TDRD9								
D9_1_155_R1_peak_13069	chr2	113232761	113233163	+	616	NA	intron (PAX8, intron 7 of 9)	NA	-3307	PAX8-AS1								
D9_1_155_R1_peak_4306	chr11	72813269	72813707	+	616	NA	promoter-TSS (ATG16L2)	NA	-919	ATG16L2								
D9_1_155_R1_peak_9778	chr17	39629984	39630374	+	616	NA	intron (PPP1R1B, intron 4 of 6)	NA	1681	PPP1R1B								
D9_1_155_R1_peak_23515	chr8	144878670	144879417	+	616	NA	exon (ZNF250, exon 6 of 6)	NA	22418	ZNF250								
D9_1_155_R1_peak_10748	chr18	45467209	45467673	+	616	NA	intron (FLJ44087, intron 5 of 6)	NA	36570	FLJ44087								
D9_1_155_R1_peak_19227	chr5	137994991	137995414	+	616	NA	intron (FAM13B, intron 6 of 22)	NA	37911	FAM13B								
D9_1_155_R1_peak_3675	chr11	9574451	9575016	+	616	NA	promoter-TSS (WEE1)	NA	1052	WEE1								
D9_1_155_R1_peak_15084	chr22	17673043	17673537	+	616	NA	intron (BCL2L13, intron 2 of 4)	NA	34706	BCL2L13								
D9_1_155_R1_peak_4770	chr12	949850	950382	+	616	NA	promoter-TSS (RAD52)	NA	40752	RAD52								
D9_1_155_R1_peak_9006	chr16	67514916	67515274	+	615	NA	Intergenic	NA	13650	LOC100505942								
D9_1_155_R1_peak_21655	chr7	44747667	44748284	+	615	NA	promoter-TSS (ZMIZ2)	NA	-594	ZMIZ2								
D9_1_155_R1_peak_14281	chr20	18493677	18494091	+	615	NA	intron (RBBP9, intron 2 of 3)	NA	3371	RBBP9								
D9_1_155_R1_peak_14621	chr20	49936069	49936531	+	614	NA	promoter-TSS (RNF114)	NA	-77	RNF114								
D9_1_155_R1_peak_15651	chr3	11273759	11274308	+	614	NA	intron (ATG7, intron 1 of 18)	NA	1652	ATG7								
D9_1_155_R1_peak_9339	chr17	2593817	2594402	+	614	NA	intron (PAFAH1B1, intron 1 of 10)	NA	480	PAFAH1B1								
D9_1_155_R1_peak_24626	chrX	1620973	1621349	+	614	NA	intron (ASMT, intron 1 of 6)	NA	25706	ASMT								
D9_1_155_R1_peak_14122	chr20	1963794	1964414	+	614	NA	intron (RP4-684O24.5, intron 2 of 3)	NA	16858	RP4-684O24.5								
D9_1_155_R1_peak_13067	chr2	112887841	112888444	+	613	NA	Intergenic	NA	-24829	IL37								
D9_1_155_R1_peak_10370	chr17	78875699	78876194	+	613	NA	intron (TIMP2, intron 1 of 4)	NA	21029	LOC100653515								
D9_1_155_R1_peak_2691	chr10	24457601	24458074	+	613	NA	intron (KIAA1217, intron 1 of 13)	NA	99688	LOC101928997								
D9_1_155_R1_peak_23192	chr8	115412779	115413123	+	613	NA	exon (TRPS1, exon 7 of 7)	NA	255061	TRPS1								
D9_1_155_R1_peak_8694	chr16	20881551	20881930	+	613	NA	intron (DCUN1D3, intron 1 of 2)	NA	18499	DCUN1D3								
D9_1_155_R1_peak_22682	chr8	37853628	37854043	+	613	NA	Intergenic	NA	-3922	BRF2								
D9_1_155_R1_peak_10467	chr17	82623689	82624108	+	613	NA	intron (WDR45B, intron 5 of 9)	NA	3385	WDR45B								
D9_1_155_R1_peak_8015	chr15	69760222	69761237	+	613	NA	Intergenic	NA	-74505	LINC00593								
D9_1_155_R1_peak_11753	chr19	45691818	45692485	+	613	NA	promoter-TSS (QPCTL)	NA	34	SNRPD2								
D9_1_155_R1_peak_16676	chr3	141231012	141231519	+	613	NA	promoter-TSS (ACPL2)	NA	-31354	ACPL2								
D9_1_155_R1_peak_12563	chr2	62287845	62288210	+	613	NA	Intergenic	NA	82145	MIR5192								
D9_1_155_R1_peak_25174	chrX	130173209	130173762	+	612	NA	intron (RAB33A, intron 1 of 1)	NA	1686	RAB33A								
D9_1_155_R1_peak_18917	chr5	90409479	90410216	+	612	NA	promoter-TSS (CETN3)	NA	-61	CETN3								
D9_1_155_R1_peak_8982	chr16	66229613	66230034	+	612	NA	Intergenic	NA	-95856	LOC101927676								
D9_1_155_R1_peak_5749	chr12	104303572	104304059	+	612	NA	promoter-TSS (EID3)	NA	83	EID3								
D9_1_155_R1_peak_8398	chr15	98683308	98683731	+	611	NA	intron (IGF1R, intron 1 of 21)	NA	34472	IGF1R								
D9_1_155_R1_peak_5331	chr12	53380363	53380899	+	610	NA	promoter-TSS (SP1)	NA	436	SP1								
D9_1_155_R1_peak_4490	chr11	102560651	102561096	+	610	NA	Intergenic	NA	-30126	MMP7								
D9_1_155_R1_peak_3594	chr11	2301823	2302337	+	610	NA	promoter-TSS (TSPAN32)	NA	67	TSPAN32								
D9_1_155_R1_peak_7448	chr14	93206728	93207562	+	610	NA	promoter-TSS (C14orf142)	NA	-31	C14orf142								
D9_1_155_R1_peak_6900	chr14	31262030	31262526	+	610	NA	Intergenic	NA	-54795	HECTD1								
D9_1_155_R1_peak_9561	chr17	17433213	17433757	+	610	NA	Intergenic	NA	14141	SMCR9								
D9_1_155_R1_peak_20059	chr6	26103691	26104431	+	610	NA	exon (HIST1H4C, exon 1 of 1)	NA	113	HIST1H4C								
D9_1_155_R1_peak_10811	chr18	54086369	54086740	+	609	NA	Intergenic	NA	135858	SNORA37								
D9_1_155_R1_peak_8732	chr16	24748295	24748646	+	608	NA	intron (TNRC6A, intron 2 of 23)	NA	-27845	TNRC6A								
D9_1_155_R1_peak_16784	chr3	151875799	151876244	+	608	NA	intron (SUCNR1, intron 1 of 2)	NA	2378	SUCNR1								
D9_1_155_R1_peak_9208	chr16	85982551	85982892	+	607	NA	Intergenic	NA	64374	MIR6774								
D9_1_155_R1_peak_22333	chr7	142717220	142717772	+	607	NA	Intergenic	NA	-31972	PRSS1								
D9_1_155_R1_peak_13408	chr2	165794465	165794951	+	607	NA	promoter-TSS (GALNT3)	NA	669	LOC102724230								
D9_1_155_R1_peak_16307	chr3	81744505	81744975	+	607	NA	intron (GBE1, intron 1 of 15)	NA	17059	GBE1								
D9_1_155_R1_peak_22933	chr8	69681939	69682498	+	607	NA	exon (SLCO5A1, exon 7 of 10)	NA	150951	SLCO5A1								
D9_1_155_R1_peak_2247	chr1	232589754	232590151	+	607	NA	intron (SIPA1L2, intron 1 of 23)	NA	40130	SIPA1L2								
D9_1_155_R1_peak_1924	chr1	201613850	201614182	+	607	NA	intron (NAV1, intron 1 of 31)	NA	74680	NAV1								
D9_1_155_R1_peak_6890	chr14	31026404	31026828	+	607	NA	promoter-TSS (STRN3)	NA	-27	AP4S1								
D9_1_155_R1_peak_15474	chr22	43345832	43346289	+	607	NA	Intergenic	NA	-2711	SCUBE1								
D9_1_155_R1_peak_23095	chr8	100212840	100213478	+	606	NA	exon (SPAG1, exon 11 of 19)	NA	54824	SPAG1								
D9_1_155_R1_peak_20389	chr6	42448394	42448837	+	606	NA	intron (TRERF1, intron 2 of 17)	NA	3430	TRERF1								
D9_1_155_R1_peak_14350	chr20	24947895	24948413	+	606	NA	Intergenic	NA	-1076	CST7								
D9_1_155_R1_peak_10642	chr18	21612198	21612832	+	606	NA	intron (SNRPD1, intron 1 of 3)	NA	216	SNRPD1								
D9_1_155_R1_peak_10500	chr18	2088080	2088754	+	605	NA	Intergenic	NA	430843	LOC101926997								
D9_1_155_R1_peak_11014	chr19	1856593	1857039	+	605	NA	intron (KLF16, intron 1 of 1)	NA	6749	KLF16								
D9_1_155_R1_peak_7046	chr14	55356819	55357356	+	603	NA	Intergenic	NA	24250	FBXO34								
D9_1_155_R1_peak_22775	chr8	52714150	52714770	+	603	NA	promoter-TSS (RB1CC1)	NA	-52867	RB1CC1								
D9_1_155_R1_peak_21307	chr7	4706447	4706821	+	602	NA	intron (FOXK1, intron 1 of 8)	NA	24335	FOXK1								
D9_1_155_R1_peak_22245	chr7	135147261	135147797	+	602	NA	promoter-TSS (TMEM140)	NA	-485	TMEM140								
D9_1_155_R1_peak_2375	chr1	244341512	244342246	+	602	NA	Intergenic	NA	-10756	C1orf100								
D9_1_155_R1_peak_13510	chr2	175999264	175999782	+	602	NA	intron (KIAA1715, intron 1 of 12)	NA	3316	KIAA1715								
D9_1_155_R1_peak_11611	chr19	40348119	40348687	+	602	NA	promoter-TSS (PLD3)	NA	6	C19orf47								
D9_1_155_R1_peak_19207	chr5	135226082	135226547	+	602	NA	intron (C5orf66, intron 3 of 5)	NA	21863	LOC340073								
D9_1_155_R1_peak_15557	chr3	3589485	3590100	+	602	NA	Intergenic	NA	-209645	LRRN1								
D9_1_155_R1_peak_1661	chr1	171741781	171742507	+	602	NA	promoter-TSS (VAMP4)	NA	95	VAMP4								
D9_1_155_R1_peak_1229	chr1	114040367	114041110	+	602	NA	Intergenic	NA	61347	OLFML3								
D9_1_155_R1_peak_8263	chr15	88467599	88468042	+	602	NA	promoter-TSS (MRPL46)	NA	114	MRPS11								
D9_1_155_R1_peak_1034	chr1	92485857	92486336	+	602	NA	promoter-TSS (GFI1)	NA	-1144	GFI1								
D9_1_155_R1_peak_142	chr1	10390688	10391041	+	602	NA	Intergenic	NA	-8164	PGD								
D9_1_155_R1_peak_17228	chr3	196568232	196568979	+	601	NA	promoter-TSS (FBXO45)	NA	151	WDR53								
D9_1_155_R1_peak_4090	chr11	63502118	63502632	+	601	NA	Intergenic	NA	-3677	LGALS12								
D9_1_155_R1_peak_18	chr1	1607118	1607458	+	601	NA	Intergenic	NA	-7192	C1orf233								
D9_1_155_R1_peak_19320	chr5	143661465	143661840	+	601	NA	intron (NR3C1, intron 1 of 8)	NA	-18271	MIR5197								
D9_1_155_R1_peak_3171	chr10	88833678	88834042	+	601	NA	intron (ANKRD22, intron 1 of 5)	NA	18115	ANKRD22								
D9_1_155_R1_peak_12176	chr2	26068553	26069036	+	601	NA	intron (RAB10, intron 1 of 5)	NA	34934	RAB10								
D9_1_155_R1_peak_4178	chr11	65711780	65712733	+	600	NA	exon (KAT5, exon 1 of 14)	NA	254	KAT5								
D9_1_155_R1_peak_20949	chr6	136593686	136594323	+	600	NA	intron (MAP3K5, intron 22 of 30)	NA	-35151	RP3-325F22.3								
D9_1_155_R1_peak_6487	chr13	52623763	52624113	+	600	NA	intron (HNRNPA1L2, intron 2 of 5)	NA	6468	HNRNPA1L2								
D9_1_155_R1_peak_11257	chr19	11888232	11888660	+	600	NA	intron (ZNF69, intron 1 of 4)	NA	648	ZNF69								
D9_1_155_R1_peak_970	chr1	84505278	84505790	+	600	NA	promoter-TSS (SPATA1)	NA	-755	SPATA1								
D9_1_155_R1_peak_2250	chr1	232704684	232705152	+	600	NA	Intergenic	NA	37797	RP11-66A2.2								
D9_1_155_R1_peak_7315	chr14	81165147	81165516	+	600	NA	exon (LOC101928431, exon 2 of 4)	NA	918	LOC101928431								
D9_1_155_R1_peak_12299	chr2	37146156	37146612	+	600	NA	intron (EIF2AK2, intron 2 of 13)	NA	10663	EIF2AK2								
D9_1_155_R1_peak_2694	chr10	24921361	24921755	+	600	NA	intron (PRTFDC1, intron 3 of 7)	NA	31861	PRTFDC1								
D9_1_155_R1_peak_19263	chr5	140273429	140274112	+	600	NA	TTS (PFDN1)	NA	29316	PFDN1								
D9_1_155_R1_peak_19857	chr6	11392935	11393399	+	599	NA	Intergenic	NA	-10819	NEDD9								
D9_1_155_R1_peak_22921	chr8	67384311	67384720	+	599	NA	Intergenic	NA	40787	LOC102724708								
D9_1_155_R1_peak_9401	chr17	6846118	6846513	+	599	NA	Intergenic	NA	-7261	ALOX12P2								
D9_1_155_R1_peak_23071	chr8	96590826	96591200	+	599	NA	intron (SDC2, intron 1 of 4)	NA	-54214	CPQ								
D9_1_155_R1_peak_19307	chr5	142821944	142822496	+	599	NA	intron (ARHGAP26, intron 1 of 22)	NA	46690	ARHGAP26-AS1								
D9_1_155_R1_peak_15107	chr22	19687578	19688479	+	599	NA	Intergenic	NA	-26436	SEPT5								
D9_1_155_R1_peak_18891	chr5	83368257	83369448	+	599	NA	Intergenic	NA	-102822	VCAN								
D9_1_155_R1_peak_19630	chr5	177306937	177307439	+	599	NA	TTS (PRELID1)	NA	3426	PRELID1								
D9_1_155_R1_peak_7868	chr15	58870490	58870804	+	599	NA	Intergenic	NA	63477	SLTM								
D9_1_155_R1_peak_18320	chr4	184448758	184449165	+	599	NA	intron (IRF2, intron 1 of 8)	NA	25611	IRF2								
D9_1_155_R1_peak_13227	chr2	136116754	136117378	+	598	NA	promoter-TSS (CXCR4)	NA	1089	CXCR4								
D9_1_155_R1_peak_23397	chr8	133074744	133075528	+	598	NA	intron (SLA, intron 1 of 8)	NA	27930	SLA								
D9_1_155_R1_peak_15613	chr3	9396401	9397274	+	598	NA	promoter-TSS (SETD5)	NA	653	THUMPD3-AS1								
D9_1_155_R1_peak_18288	chr4	179836531	179836898	+	598	NA	Intergenic	NA	1322435	LINC00290								
D9_1_155_R1_peak_14958	chr21	38386865	38387335	+	598	NA	intron (ERG, intron 10 of 10)	NA	-53760	LOC102724678								
D9_1_155_R1_peak_24976	chrX	65750692	65751140	+	597	NA	Intergenic	NA	162539	MSN								
D9_1_155_R1_peak_4936	chr12	10130923	10131477	+	597	NA	promoter-TSS (CLEC7A)	NA	-931	CLEC7A								
D9_1_155_R1_peak_25258	chrX	154040381	154040855	+	597	NA	intron (MECP2, intron 2 of 4)	NA	19771	MECP2								
D9_1_155_R1_peak_10745	chr18	44735122	44735533	+	597	NA	intron (SETBP1, intron 2 of 5)	NA	55149	SETBP1								
D9_1_155_R1_peak_4733	chr11	128726656	128727152	+	594	NA	intron (FLI1, intron 1 of 9)	NA	-30881	SENCR								
D9_1_155_R1_peak_18789	chr5	72847960	72848513	+	594	NA	exon (TNPO1, exon 1 of 25)	NA	133	TNPO1								
D9_1_155_R1_peak_7185	chr14	70817602	70818072	+	594	NA	Intergenic	NA	7893	LOC100506411								
D9_1_155_R1_peak_133	chr1	9893228	9893670	+	594	NA	intron (CTNNBIP1, intron 1 of 5)	NA	16809	CTNNBIP1								
D9_1_155_R1_peak_5877	chr12	112116635	112117146	+	594	NA	Intergenic	NA	-8059	NAA25								
