,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2
UCHL3,18,6,18,5,2,4,3,1,1,1,1,5,0,1
UCN,2,0,1,13,0,5,0,1,4,0,0,8,0,1
UCP2,6,4,4,11,5,7,5,5,0,0,1,0,0,0
UCP3,15,2,9,18,4,4,10,20,3,4,0,13,0,20
UFD1,11,8,6,11,1,11,4,5,0,1,0,11,11,0
SLC35A2,82,21,18,61,25,40,8,16,44,0,3,38,11,10
UGCG,39,41,29,40,36,42,4,10,18,0,0,3,4,4
UGDH,2,1,0,0,0,0,0,0,6,0,0,7,0,0
UGP2,22,8,5,14,7,3,2,11,7,0,3,1,1,7
UCK2,44,24,34,21,24,26,32,17,56,2,4,21,15,17
UMPS,47,42,27,20,14,43,29,20,20,3,0,9,0,2
UNG,25,43,26,18,15,34,10,34,23,0,5,12,8,25
USP4,2,0,6,6,4,8,0,6,20,3,3,26,0,0
NR1H2,5,3,2,0,0,6,0,2,7,0,0,3,4,0
UQCRB,371,327,213,307,140,209,127,115,150,12,14,90,50,50
UQCRC1,3,1,4,0,2,1,3,9,15,0,0,3,0,0
UQCRC2,34,26,23,29,22,23,15,5,3,12,4,8,4,5
UQCRFS1,75,83,55,125,68,83,85,26,111,0,6,42,32,30
UQCRH,94,61,33,59,44,46,48,45,85,6,14,26,19,5
UROD,2,4,1,0,3,0,0,7,0,0,0,0,0,0
UROS,2,0,0,2,4,1,0,1,0,0,4,0,5,0
USF2,40,17,22,2,3,14,8,24,14,0,8,0,4,0
USP1,102,73,66,83,39,63,33,26,75,10,0,42,13,22
UTRN,2,5,5,10,9,7,5,0,8,1,0,6,1,3
KDM6A,7,3,6,11,8,16,0,2,7,4,6,5,4,0
UTY,27,12,29,17,11,12,0,6,3,0,1,5,0,0
UVRAG,26,11,14,24,36,36,15,7,23,23,11,28,46,20
VARS1,2,0,4,6,0,0,0,8,2,0,0,0,3,0
VASP,17,26,24,60,35,13,12,5,12,7,0,6,1,1
VAV1,22,10,18,6,13,23,34,12,16,11,5,8,15,3
VAV2,13,6,5,26,13,21,0,0,9,7,0,1,2,0
VBP1,10,13,22,6,11,1,2,4,29,0,0,4,6,6
VCL,16,4,17,23,12,22,11,13,5,3,16,1,7,3
VCP,75,52,85,124,69,108,36,28,76,1,10,22,29,10
VDAC1,20,13,13,16,13,28,8,6,20,6,6,5,7,1
VDAC2,44,23,40,24,29,22,34,5,10,0,0,3,11,6
VDAC3,80,59,53,49,39,45,42,38,44,0,4,7,12,4
VDR,12,10,4,14,8,10,11,8,5,0,0,21,1,0
VEGFA,55,40,33,22,20,31,7,1,19,3,0,8,6,1
VEGFB,3,0,0,0,0,0,0,0,0,0,0,0,0,0
VGF,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VHL,69,31,23,53,50,57,47,36,61,0,0,1,6,19
EZR,73,28,25,32,13,24,7,16,39,9,5,17,26,9
VIM,74,42,29,58,47,92,41,10,24,1,7,12,9,3
VLDLR,27,8,4,12,2,30,11,4,15,2,5,1,6,1
BEST1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TRPV1,5,0,0,0,0,1,0,0,0,0,1,0,0,0
VRK1,35,11,7,11,9,11,21,18,16,9,8,11,1,6
VRK2,0,4,7,1,6,2,0,0,2,0,0,0,0,0
WARS1,17,1,8,2,3,8,0,3,9,16,0,0,6,5
WAS,15,3,3,5,7,11,10,8,5,0,12,0,0,1
WIPF1,10,9,12,1,7,8,5,0,12,2,5,0,7,0
EIF4H,30,6,23,26,25,32,1,7,8,6,0,19,16,5
CLIP2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LAT2,47,15,28,18,10,22,9,14,45,16,7,6,8,1
CORO2A,46,35,30,14,3,14,10,30,33,3,24,9,3,2
WEE1,30,20,44,33,29,31,7,18,23,6,5,7,19,4
WFS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NSD2,100,82,81,69,55,77,62,34,101,35,23,37,51,32
NELFA,53,35,38,41,27,49,24,11,29,7,2,35,7,4
WNT6,0,2,0,0,2,2,0,0,0,0,1,0,0,0
WNT7B,7,4,0,4,0,0,2,0,4,0,0,0,0,0
WNT10B,20,13,1,0,0,7,0,30,10,0,0,0,0,0
GET1,1,4,0,1,3,0,0,4,0,0,0,0,0,0
WRN,2,3,2,3,7,2,0,3,11,0,0,0,0,3
WT1,189,79,106,66,49,78,40,14,110,20,17,13,23,12
XBP1,385,274,218,289,124,187,213,92,256,20,22,106,65,63
XK,8,6,2,10,0,0,7,3,1,0,0,1,6,0
XPA,5,12,16,12,3,0,9,4,10,0,0,0,0,0
XPC,29,5,2,11,3,17,5,0,4,3,3,4,1,0
XPNPEP1,18,19,33,15,12,10,16,24,23,5,8,0,1,7
XPO1,86,30,38,33,55,25,23,3,39,16,9,18,11,23
XRCC1,0,4,0,0,0,0,5,0,0,0,0,0,0,0
XRCC2,8,9,8,0,2,4,3,0,20,1,0,4,3,0
XRCC3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
XRCC4,2,2,2,2,3,6,0,0,6,0,1,2,1,0
XRCC5,76,48,55,55,25,69,35,28,45,20,20,4,33,22
YES1,45,24,13,20,3,5,8,16,3,6,2,1,5,0
YY1,118,106,64,70,42,68,37,42,67,9,14,15,38,16
YWHAB,280,268,160,280,101,286,164,123,246,5,7,100,150,96
YWHAE,102,82,75,134,50,67,56,10,39,20,19,37,39,9
YWHAG,171,114,121,66,85,81,79,88,96,11,8,44,40,17
YWHAH,82,60,39,101,30,53,48,10,53,4,4,9,17,7
YWHAZ,84,110,85,120,83,132,59,63,127,19,20,66,50,35
SF1,86,46,70,64,57,71,58,40,59,2,22,33,20,20
ZFP36,59,24,37,120,98,144,7,11,34,9,9,18,15,2
ZBTB14,18,14,11,4,0,14,0,1,7,0,0,0,0,0
ZFPL1,5,2,1,5,3,2,0,3,0,0,0,0,0,0
ZFX,51,29,34,17,12,19,15,7,26,4,17,16,10,9
ZFY,10,20,19,7,7,5,5,1,8,0,5,0,7,6
ZIC2,0,0,0,6,0,1,0,3,0,0,3,0,0,0
ZNF2,2,4,0,11,0,5,0,0,0,0,0,1,0,0
ZNF3,54,26,17,29,22,18,32,29,46,0,0,7,6,8
ZNF7,15,11,0,9,9,8,4,3,9,0,3,6,8,1
ZNF8,0,0,0,0,0,3,0,0,2,0,0,0,0,0
CNBP,288,265,230,226,98,171,162,134,250,11,14,86,99,58
ZNF10,0,2,3,2,4,6,4,0,7,0,0,0,0,0
ZNF12,73,67,58,47,23,47,35,50,26,1,7,45,0,14
ZNF708,50,42,37,17,26,45,11,3,58,10,16,6,6,6
ZNF16,126,86,98,58,70,78,55,66,172,12,1,43,34,27
ZNF17,11,14,6,14,10,11,2,3,15,0,0,0,0,0
ZNF18,17,17,14,9,4,28,5,13,17,2,0,0,7,8
ZNF20,4,5,0,5,4,2,1,0,0,0,0,0,3,0
ZNF182,53,22,37,37,9,27,4,9,25,0,0,0,0,8
ZNF22,151,113,76,73,41,75,55,29,83,3,2,30,20,19
ZNF23,10,8,6,4,18,19,1,0,9,1,0,17,5,3
ZNF24,91,71,75,71,56,68,38,33,71,9,7,17,28,10
ZNF26,6,10,0,0,0,3,2,2,1,0,0,0,0,0
ZNF28,12,1,10,7,11,6,1,0,0,0,0,0,0,0
ZSCAN20,0,1,8,1,0,0,0,0,0,0,0,0,0,0
ZNF32,1,10,3,0,0,0,0,10,0,0,0,0,3,5
ZNF33A,79,44,53,44,30,28,16,15,52,10,17,18,7,7
ZNF33B,47,34,21,46,19,36,8,15,31,2,8,11,4,19
ZKSCAN1,138,138,91,221,105,203,93,93,106,5,27,95,98,76
ZNF37A,41,58,35,26,11,16,33,16,25,4,7,14,5,0
ZSCAN21,0,2,1,0,1,5,0,0,0,0,0,4,0,0
ZNF41,0,4,1,0,0,0,0,0,0,0,0,6,0,0
MZF1,7,4,5,0,0,1,0,0,0,0,0,0,0,0
ZNF45,14,0,2,10,5,3,0,0,6,0,0,0,1,1
ZNF69,6,11,0,1,4,0,0,0,3,0,0,0,0,0
ZNF70,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ZNF74,4,0,7,0,0,1,3,0,0,0,0,0,0,0
ZNF75D,0,0,4,0,0,0,0,0,3,0,3,0,0,0
ZNF75A,23,32,32,25,12,21,12,1,10,1,0,11,3,4
ZNF76,21,21,13,22,3,25,11,4,6,1,1,6,0,1
ZNF79,6,0,2,2,0,3,0,0,0,0,0,0,0,0
ZNF84,5,15,15,6,8,17,7,5,7,0,7,2,5,0
ZNF222,0,8,0,5,2,2,0,3,0,0,0,0,4,0
ZNF124,35,30,39,49,40,50,11,14,24,1,6,12,8,5
ZNF131,78,24,32,67,54,88,17,24,25,13,13,21,23,14
ZNF133,3,5,0,0,5,7,0,0,0,1,4,2,0,0
ZNF134,28,34,17,26,18,19,6,10,30,6,6,4,9,3
ZNF136,9,14,5,14,6,20,5,6,12,0,5,0,6,3
ZNF138,3,0,0,0,0,0,0,0,1,0,0,0,2,0
ZNF140,63,56,50,42,24,33,18,17,20,10,14,32,19,9
ZNF142,13,4,25,6,0,7,26,3,10,0,0,0,0,1
ZNF143,35,9,23,22,6,17,4,0,20,5,0,7,2,10
PCGF2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZBTB16,6,8,8,12,9,14,7,0,15,3,8,1,10,4
ZNF146,145,93,67,52,73,82,38,22,104,16,18,34,29,8
TRIM25,173,127,132,151,109,145,53,49,91,24,45,63,56,22
ZNF148,68,92,84,44,30,62,77,54,83,41,76,36,65,42
ZBTB17,12,6,4,9,1,15,5,9,1,0,0,0,0,9
ZNF155,8,4,0,0,3,3,2,0,2,0,0,0,0,1
VEZF1,44,32,36,62,19,46,24,11,11,1,1,23,5,10
TRIM26,31,28,9,18,20,28,11,24,28,2,5,5,10,5
ZNF174,4,2,0,0,2,3,5,0,0,0,0,0,0,0
ZNF175,5,8,15,1,4,1,5,3,9,0,0,3,10,0
ZNF177,0,3,0,0,0,0,0,0,0,0,0,1,0,0
ZNF180,29,43,19,68,26,39,15,11,13,0,4,16,18,7
RNF113A,13,24,27,23,16,31,14,8,22,0,0,4,29,16
ZNF184,9,20,1,22,11,10,4,1,9,0,0,5,0,0
ZNF185,8,4,4,5,8,2,10,0,0,4,1,9,6,2
ZSCAN26,2,5,4,1,2,5,6,0,4,0,0,0,0,0
ZNF189,9,10,1,5,0,4,0,0,0,0,0,0,0,0
ZKSCAN8,18,15,12,33,9,16,11,9,16,0,4,2,16,0
ZSCAN9,33,22,21,23,11,30,20,12,28,2,0,6,0,9
ZNF195,43,41,39,41,12,29,18,14,18,2,0,13,1,2
ZMYM2,46,31,18,30,45,39,34,47,57,22,21,12,13,21
ZNF200,25,5,16,30,6,10,1,9,7,0,0,7,0,0
ZNF202,12,5,7,13,16,12,1,0,1,6,0,11,1,8
ZNF205,0,3,0,0,0,2,0,0,0,0,0,0,0,0
ZNF207,83,49,58,22,15,20,5,17,43,5,0,8,0,0
ZNF213,0,0,1,2,0,2,0,0,0,0,0,0,0,0
ZNF215,1,3,3,0,0,0,0,0,0,0,0,0,0,0
ZFAND5,37,36,34,97,49,82,65,16,38,1,3,21,9,26
ZNF217,71,70,25,50,26,42,21,29,75,8,10,17,17,6
ZNF224,8,0,3,2,3,8,2,0,4,0,0,2,1,1
ZNF225,14,8,2,0,7,7,8,1,10,0,1,0,0,0
ZNF226,15,19,9,6,2,10,9,5,4,0,0,3,0,0
ZNF227,74,8,13,13,13,17,6,1,45,16,4,1,0,1
ZNF230,26,11,8,13,15,19,7,0,8,0,1,2,0,0
ZNF232,0,1,5,6,0,0,0,0,0,0,0,7,0,0
ZNF236,11,8,6,7,6,15,7,0,12,0,2,2,4,0
SLC30A1,12,0,6,4,3,5,4,3,9,0,0,0,5,0
ZYX,6,8,2,2,0,3,0,0,9,0,3,11,0,0
LUZP1,2,11,0,8,4,0,0,5,6,0,4,3,0,5
PRDM2,22,9,24,19,38,31,3,0,6,0,0,14,1,2
PTP4A1,267,228,149,175,100,161,95,122,106,14,23,48,40,11
LRP8,383,278,266,240,100,229,130,135,210,47,101,104,127,106
LAPTM5,43,32,9,2,12,19,18,5,3,0,1,0,7,7
CSDE1,660,574,419,468,295,405,353,169,384,62,96,239,156,130
EVI5,9,15,16,15,5,9,19,1,18,0,0,31,5,21
DAP3,19,3,7,25,15,21,23,2,3,6,4,4,8,0
BTG2,10,11,4,11,8,27,9,3,9,0,0,0,0,2
ALMS1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MOGS,9,0,7,16,3,9,0,1,4,0,0,3,0,3
RNF103,7,15,7,12,16,19,6,0,0,4,5,0,0,1
TUBA1A,36,9,17,35,19,17,3,7,10,0,0,2,2,2
CXCR4,413,531,312,263,114,284,234,221,321,6,14,34,25,15
FZD5,31,11,15,22,4,2,2,1,11,0,0,0,0,0
BRPF1,103,107,98,105,58,93,72,72,104,20,11,73,44,30
IFRD2,84,39,43,53,18,18,39,56,66,1,2,5,10,3
MAPKAPK3,4,13,2,3,2,8,5,1,6,0,0,4,2,1
SLMAP,0,5,5,8,8,4,0,7,4,0,0,0,0,0
MANF,26,18,11,24,28,56,4,3,12,0,0,8,3,1
USP7,145,112,81,174,70,115,85,82,101,32,71,118,59,49
RAB7A,39,22,34,33,13,29,26,12,20,16,6,19,0,4
SLBP,46,26,20,63,42,40,17,0,40,3,7,12,1,3
ST8SIA4,22,28,34,6,0,19,1,4,13,2,8,6,6,0
REEP5,22,22,21,13,6,11,13,2,5,0,5,7,5,0
DEK,29,17,11,26,11,32,11,9,6,0,4,7,6,7
ALDH5A1,15,9,2,8,11,1,6,0,13,0,0,1,0,2
PRRC2A,8,6,5,10,5,24,9,6,5,3,1,8,9,4
BAG6,9,16,7,19,5,11,14,15,9,0,2,0,6,5
GPANK1,65,39,24,28,5,19,9,1,16,0,1,0,11,0
DDX39B,48,10,19,30,25,36,11,19,29,11,12,19,9,8
ABHD16A,21,23,22,53,29,24,12,3,36,0,1,21,8,10
SLC39A7,33,32,21,32,9,40,15,29,28,0,8,17,4,6
HSD17B8,2,0,0,0,0,0,2,0,2,0,0,0,0,0
NELFE,3,0,5,9,2,0,0,0,2,0,0,0,0,0
LST1,18,8,12,5,1,10,9,7,28,1,0,0,4,1
TFEB,0,0,0,3,1,0,0,0,1,0,0,0,0,0
EPM2A,0,0,0,3,0,0,0,7,0,1,0,0,0,0
AIMP2,30,33,50,84,51,30,38,59,14,5,11,38,25,15
MAFK,16,20,25,29,13,20,22,23,13,2,7,2,10,6
FZD3,101,67,55,65,70,123,95,66,105,48,52,31,27,17
MTERF1,2,3,13,17,2,2,0,4,5,0,0,0,0,0
SEM1,20,10,18,17,3,5,27,0,3,2,1,7,0,0
ST7,3,0,4,8,0,4,0,0,0,0,0,4,4,2
ZNF212,86,63,55,73,33,62,34,55,92,1,3,44,22,37
UBXN8,33,30,44,32,10,6,17,4,13,0,5,10,11,12
KAT6A,198,148,164,215,102,132,114,131,159,49,108,148,109,90
BRD3,238,180,183,336,196,252,132,179,167,44,26,188,82,90
NUP214,33,42,17,32,11,29,20,18,38,8,8,22,23,25
STAM,10,4,2,5,2,2,7,4,0,0,0,0,0,0
MLLT10,24,26,8,21,11,20,8,7,22,4,16,11,12,2
CUBN,0,0,0,0,0,4,0,0,0,0,0,0,3,0
CCDC6,30,17,29,29,13,4,22,4,30,13,16,6,18,1
NCOA4,132,125,89,53,64,37,127,39,134,19,24,15,19,11
SLC25A16,0,0,0,1,2,0,0,0,0,0,0,4,0,0
SHOC2,20,14,18,16,8,8,18,1,14,0,0,6,3,4
RASSF7,6,6,1,15,1,0,0,0,0,0,0,0,0,1
PDHX,3,3,5,1,0,3,0,2,5,0,0,5,0,0
FOSL1,14,22,18,24,8,18,13,0,29,4,4,10,0,0
CUL5,57,38,21,13,32,34,15,14,9,26,5,36,21,22
PTP4A2,265,171,109,207,109,206,132,110,237,22,35,99,95,80
USP5,9,1,2,6,10,4,2,3,9,0,0,1,5,8
MLF2,2,1,3,14,5,3,1,6,0,0,0,0,0,0
KMT2D,31,23,8,17,20,9,6,5,10,0,7,22,10,6
AAAS,3,0,0,0,0,0,0,0,2,0,0,0,0,0
FXR1,37,57,34,57,44,62,31,16,57,37,28,23,23,21
YEATS4,9,19,3,15,5,11,20,5,17,1,0,6,7,0
CDK2AP1,12,0,0,2,0,0,0,0,0,0,0,0,0,0
IFT88,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PABPN1,229,126,122,196,80,248,135,90,208,9,28,65,94,35
ANP32A,44,37,41,32,12,27,33,20,49,5,6,10,3,11
NPRL3,1,4,4,0,0,0,0,0,4,0,0,0,0,0
GAN,0,10,8,7,11,5,2,2,1,0,0,0,0,0
SLC7A5,48,71,59,54,20,62,31,12,36,12,6,22,3,12
TAF15,15,9,3,18,4,6,3,5,20,0,5,12,2,0
COIL,43,13,18,17,9,20,16,4,28,0,0,6,5,1
AKAP1,82,42,41,26,34,39,5,11,64,3,10,14,5,0
SF3A2,0,0,2,4,0,2,7,14,0,0,0,6,0,1
ELL,52,21,27,57,39,48,16,26,25,15,14,14,13,2
SYMPK,61,52,52,61,17,63,55,29,56,25,53,51,41,30
MIA,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CLPP,43,40,39,33,12,20,39,36,45,5,9,13,14,11
MKKS,32,7,12,3,5,1,3,5,16,0,0,10,6,0
NCOA3,62,66,63,50,18,48,64,41,39,27,32,41,35,19
NRIP1,0,3,0,0,0,0,0,0,12,0,2,0,0,0
CHAF1B,17,7,6,20,5,10,2,0,2,0,2,0,0,3
GATD3A,5,9,9,11,2,9,3,4,10,1,4,5,1,9
LZTR1,1,0,0,0,0,3,0,0,0,0,0,0,0,0
CLTCL1,15,2,6,4,0,3,0,4,0,1,0,5,0,4
ESS2,2,1,3,10,5,2,4,1,0,0,0,0,0,0
GTPBP6,8,1,0,0,1,1,0,0,3,1,0,0,1,0
PUDP,8,12,2,10,6,8,0,3,0,7,3,0,5,3
AKAP17A,54,40,31,69,41,47,23,3,76,10,10,26,22,14
PNPLA4,0,0,0,0,2,0,3,0,0,0,0,0,2,0
ZRSR2,17,5,7,25,10,12,5,6,1,3,3,15,25,9
USP11,18,13,6,25,19,20,9,7,9,0,2,30,12,15
USP9X,10,3,8,8,7,15,24,8,26,11,6,3,4,2
RBM10,12,22,5,40,25,23,8,7,8,2,2,14,13,2
KDM5C,11,2,1,11,5,10,0,0,0,5,0,2,12,0
SMC1A,46,11,19,29,19,29,5,16,10,5,1,20,20,5
NAA10,0,0,0,0,0,0,0,2,0,0,0,0,0,0
F8A1,7,3,1,8,5,9,0,0,10,0,0,0,0,0
UBL4A,70,60,40,18,11,22,21,33,41,0,0,0,0,12
TMEM187,1,1,3,3,0,3,6,0,0,0,1,0,0,1
LAGE3,12,2,0,12,8,12,0,0,14,3,1,1,0,1
SLC10A3,0,1,4,0,1,2,1,0,0,0,0,0,0,0
KDM5D,1,3,0,0,6,1,4,0,0,0,0,0,0,0
EPX,0,0,1,0,0,0,0,0,3,0,0,0,0,0
ARID1A,109,56,81,74,55,86,63,25,113,40,43,49,43,19
DYSF,4,0,0,0,6,7,0,0,0,0,0,0,0,3
COLQ,9,3,0,3,0,1,0,3,8,0,0,0,0,0
SERF1A,6,8,1,8,4,5,9,4,9,0,0,0,0,1
TRRAP,1,0,0,1,0,3,1,0,2,0,0,2,6,1
PICALM,38,17,25,41,23,32,34,15,50,19,12,4,21,21
SNN,4,3,7,0,1,0,0,6,0,0,0,3,0,0
ACOX3,0,6,3,7,1,0,0,0,3,0,0,0,0,0
AXIN1,49,43,14,19,20,34,39,21,25,11,14,5,1,1
AXIN2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BAP1,5,4,4,10,0,2,2,7,0,0,0,0,8,3
BRAP,54,32,18,25,20,24,21,21,26,1,1,16,14,6
CDC7,0,3,8,8,6,10,0,0,3,0,0,1,1,0
CDC45,10,0,4,5,2,3,3,4,5,0,0,1,4,5
FZD1,0,1,3,0,1,0,0,0,0,0,0,0,0,0
FZD7,2,0,0,0,4,6,0,0,0,0,0,0,0,0
FZD8,0,2,5,0,0,0,0,0,0,0,0,0,0,0
FZD9,7,14,4,25,2,15,0,0,0,0,0,0,0,0
H2AC14,1,7,2,0,0,0,1,2,0,0,0,0,0,0
H2AC17,0,0,0,2,0,0,0,0,0,0,0,0,0,0
H2AC18,0,4,3,13,2,7,0,0,0,0,2,0,0,0
H2BC21,0,2,0,39,13,24,0,0,0,0,0,0,2,0
H3C1,4,0,0,0,0,2,0,0,0,0,0,0,0,0
H3C4,0,1,0,10,2,6,0,0,0,0,0,0,7,0
H4C11,0,0,0,0,1,0,0,0,0,2,0,0,0,3
H4C3,395,594,287,686,154,482,127,174,178,144,144,419,211,164
HYAL3,0,0,0,1,0,4,0,0,0,0,0,0,0,0
MAD1L1,16,6,13,7,4,17,1,10,0,0,0,4,14,0
PIP5K1A,65,34,33,18,21,65,33,9,53,10,17,27,23,12
PIP4K2B,8,2,2,5,2,5,0,1,12,3,1,0,0,0
PLA2G6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC25A11,13,7,5,19,2,8,13,11,4,0,0,0,5,0
SPOP,112,104,47,96,69,59,42,38,144,40,55,39,29,23
TAGLN2,365,422,220,230,61,200,162,219,197,6,4,59,57,40
ULK1,58,36,20,42,25,41,54,55,77,4,3,12,6,21
UXT,6,9,9,22,10,17,11,1,18,5,17,12,4,1
EEA1,10,8,5,3,2,5,0,1,5,4,0,0,0,1
STX7,24,14,2,15,15,10,4,11,12,0,0,0,3,2
CMAHP,14,15,1,4,2,1,0,0,4,0,0,1,4,0
LTBP4,0,0,1,0,0,4,0,7,6,0,0,10,2,0
ZNF282,5,4,0,2,1,6,0,0,0,0,0,0,4,0
STK24,28,28,27,30,16,35,17,28,16,4,7,1,14,5
RECK,0,4,0,3,5,3,0,0,9,0,0,2,0,8
RAD54L,12,11,11,18,10,15,7,0,16,7,0,7,7,0
NSMAF,68,23,50,26,17,26,17,19,34,0,1,9,0,1
NCK2,17,22,17,20,15,21,18,17,27,11,15,15,10,12
GNPAT,6,4,10,0,10,5,2,2,0,6,0,0,0,0
DYRK3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DYRK2,46,42,29,8,9,17,7,23,25,0,2,0,0,1
DUSP11,20,1,10,14,8,4,0,0,0,0,0,1,13,0
DOC2A,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DHX16,14,2,6,0,4,8,3,0,4,0,0,0,3,4
CUL4B,24,17,3,14,8,10,36,5,22,7,0,7,0,0
CUL4A,33,21,11,22,12,13,16,17,14,4,5,27,9,2
CUL3,24,8,21,17,10,16,19,1,26,1,7,7,8,0
CUL2,27,2,12,6,4,15,9,0,13,7,2,21,12,4
CUL1,15,27,22,18,7,12,20,22,23,16,5,14,8,9
ATRN,31,11,16,28,43,47,2,0,18,11,5,17,17,8
TTF2,14,20,5,3,0,6,5,3,16,2,2,0,0,0
TPST2,0,0,4,10,0,4,0,0,0,0,6,0,0,0
TPST1,0,0,0,0,0,0,0,0,0,0,3,0,3,0
KLF11,73,58,45,42,34,47,31,25,49,1,5,4,11,1
SUPT3H,5,7,4,3,0,0,7,0,3,0,0,0,0,0
SMARCA5,11,7,8,22,5,24,0,0,3,0,2,1,21,5
OGT,43,13,11,20,3,9,10,5,18,18,2,0,0,0
GPR65,2,2,4,2,1,2,2,0,5,0,0,0,0,0
HIRIP3,4,10,3,3,4,5,0,0,2,0,0,1,0,0
RAE1,73,36,45,86,56,88,91,75,79,5,15,57,34,8
OFD1,11,9,9,4,0,1,16,0,0,0,0,0,0,0
SEMA7A,0,0,0,3,1,2,1,0,0,0,0,0,0,0
GEMIN2,8,1,1,0,2,3,1,0,0,3,0,0,0,0
RGS5,0,0,2,3,1,0,0,0,0,0,0,0,3,0
MAP4K3,13,3,3,1,2,0,1,1,0,0,0,0,0,6
PRSS12,3,0,0,0,0,4,0,1,3,0,0,0,0,0
PPM1D,18,19,14,19,28,20,9,4,19,5,2,17,2,9
PPFIBP2,0,2,1,2,1,5,7,9,2,0,0,21,0,0
PPFIBP1,15,5,9,4,7,0,21,2,2,0,0,6,6,1
PPFIA4,8,9,3,0,4,0,2,3,5,0,0,0,0,0
RANBP3,9,9,11,30,7,15,5,6,5,5,1,0,3,9
PPFIA1,8,2,5,6,8,7,11,0,3,4,0,4,0,1
SLC43A1,74,47,28,33,17,31,50,63,75,9,5,11,9,4
PKP4,47,23,26,52,18,50,6,1,24,2,14,43,32,16
PIK3R3,26,11,17,11,4,0,14,7,0,3,5,8,6,2
PEX3,5,0,4,0,3,4,0,0,0,5,0,0,0,0
PARG,9,13,12,8,1,7,0,0,3,5,6,0,1,0
ENC1,0,2,0,9,3,8,0,0,0,0,0,0,0,0
NIPSNAP1,6,6,0,22,7,3,0,0,2,5,0,1,0,1
NDST2,0,0,1,0,2,4,0,0,0,0,0,0,5,0
KCNAB2,11,1,12,10,23,11,11,0,29,1,0,29,22,17
ITGA10,0,0,0,0,0,0,0,6,0,0,0,0,0,0
IKBKG,0,8,8,13,3,8,19,6,16,0,0,5,4,21
ELP1,9,1,3,0,5,0,0,0,5,8,0,2,0,0
IFITM1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HAT1,10,2,11,4,3,8,7,2,10,5,2,12,0,0
GAS7,12,19,15,10,1,11,24,12,10,15,10,38,14,10
DGKZ,74,34,52,57,11,51,13,38,41,7,2,7,7,3
DGKE,44,27,46,26,16,41,10,22,10,2,1,19,3,6
DGKD,13,9,14,8,0,3,3,4,0,2,1,9,4,4
CST7,1,0,3,0,0,3,1,5,1,0,1,0,3,1
YBX3,102,91,70,73,43,56,69,32,95,8,29,12,14,20
COPS3,90,53,47,53,52,49,47,21,70,3,4,33,15,14
CBX4,66,72,49,148,44,161,76,42,44,1,10,30,33,6
CAMK1,4,0,3,0,0,0,5,7,0,4,0,0,0,0
API5,14,10,7,16,7,7,7,4,6,2,9,7,5,0
AGPS,9,11,3,11,0,3,4,5,7,8,9,7,0,13
PPFIA3,7,0,2,5,6,0,0,0,0,0,0,0,0,0
APOL1,0,4,0,4,0,0,0,3,0,1,0,0,0,0
LMO4,268,174,109,101,73,125,66,25,101,14,13,8,23,10
PIR,9,0,0,0,0,1,0,0,0,0,0,0,0,5
CGGBP1,19,15,12,20,15,30,1,11,28,0,2,10,32,3
AP3B1,2,6,1,12,7,3,0,0,7,0,3,0,5,0
BLZF1,17,10,10,4,2,12,4,0,8,1,4,0,0,0
MAPKAPK5,18,13,11,5,8,10,1,2,27,0,3,12,7,0
INE1,0,0,0,3,0,0,0,0,0,0,0,0,1,0
BHLHE40,30,21,6,6,3,9,6,0,12,0,0,0,1,1
PIAS1,30,52,38,42,48,40,47,20,54,28,22,21,9,8
CDC14A,6,16,18,11,7,6,12,8,14,11,24,10,12,2
TCAP,0,5,0,0,0,0,0,0,0,0,0,0,0,0
CDK10,0,2,3,8,7,4,2,1,10,0,0,0,3,0
PRPF18,10,1,0,0,2,0,3,2,0,2,0,0,3,0
