GENE,VHL_6h,VHL_3h,DMSO_3h,DMSO_6h
RBL1,11.0,17.5,102.0,14.0
RBL2,6.0,5.5,42.5,9.0
RBM3,61.0,106.0,322.5,76.5
RBM4,26.5,37.0,166.5,27.5
RBMS1,3.0,5.5,22.0,2.0
RBMS2,0.0,1.0,5.0,1.5
RBP2,0.0,0.0,0.0,0.0
RCN1,14.0,12.0,56.5,15.5
RCN2,2.0,4.0,9.0,3.5
RDH5,0.0,0.0,0.5,0.0
RDX,5.0,9.0,52.0,6.0
RECQL,4.0,6.5,29.0,6.5
REL,5.5,15.5,100.5,9.0
RELA,15.0,28.0,99.5,18.0
RELB,3.0,3.5,15.5,1.5
UPF1,42.0,67.0,223.0,31.5
DPF2,11.5,20.5,69.0,17.0
REST,20.5,27.5,172.5,20.0
RET,0.0,0.0,1.5,0.0
REV3L,0.5,1.5,15.0,1.0
RFC1,15.0,24.0,69.5,21.5
RFC2,7.0,12.5,45.5,8.5
RFC3,14.5,20.5,125.0,16.5
RFC4,1.0,1.5,7.5,2.5
RFC5,7.5,9.0,46.5,13.0
RFNG,1.5,1.5,5.0,1.0
TRIM27,21.0,24.5,125.5,24.0
RFX1,2.0,3.5,15.5,1.5
RFX2,9.0,29.0,52.0,7.0
RFX3,1.0,5.0,24.0,1.0
RFX5,15.5,20.0,76.0,16.0
RFXAP,14.0,23.0,102.5,15.5
RGS1,15.0,4.0,6.5,11.0
RGS2,2.5,2.5,5.0,5.5
RGS3,1.0,0.5,5.0,0.0
RGS10,2.0,4.0,8.5,3.0
RGS12,6.5,7.0,23.0,4.0
RGS13,0.0,0.0,0.0,0.0
RGS16,101.5,328.5,691.5,159.0
RHCE,0.0,0.0,0.0,0.0
RHEB,10.5,19.5,47.0,11.5
RING1,3.5,5.5,22.0,3.5
RIT1,25.0,41.5,136.5,22.5
RLF,3.0,7.0,14.5,2.5
RMRP,1.0,0.0,2.0,0.0
RN7SL1,1.5,5.0,9.5,3.0
RNASE2,1.0,4.5,7.0,3.5
RNASE3,0.0,0.0,3.5,0.5
RNASE4,0.0,0.0,0.5,0.0
RNASE6,1.5,0.0,3.0,0.0
RNASEL,4.0,4.0,21.0,6.5
6043,4.5,9.0,43.0,11.5
6044,4.0,6.0,26.0,7.5
RNF2,3.0,3.5,25.5,2.5
BRD2,74.0,110.5,265.5,71.5
RNF4,73.5,186.5,599.5,82.0
RNF5,4.5,12.0,51.5,12.0
RNF6,15.0,14.5,94.0,10.5
RNH1,4.5,13.5,35.5,5.0
RNPEP,2.0,8.5,19.5,4.0
ABCE1,22.5,35.5,179.0,38.0
RNU1-4,0.0,0.0,0.5,0.0
RNU2-1,1.5,3.5,9.5,2.0
SNORD15A,2.0,3.0,4.0,1.0
6080,4.0,6.0,32.5,5.5
SNORD20,0.5,1.5,7.5,1.5
SNORD21,0.0,1.0,6.0,3.5
ROBO1,0.0,0.0,0.0,0.0
ROCK1,7.5,12.5,58.5,9.0
ROM1,0.5,0.0,0.5,0.0
RORC,0.5,1.5,5.5,1.0
RP9,8.0,13.5,40.0,12.0
RP2,7.0,10.0,43.0,8.5
RPGR,0.0,1.5,3.0,0.5
RPA1,10.0,22.5,60.5,12.0
RPA2,14.5,14.0,75.5,12.5
RPA3,1.0,0.0,2.0,0.5
RPE,12.5,14.5,103.5,10.0
RPL3,0.5,0.5,2.0,0.5
RPL4,21.5,31.5,67.5,17.0
RPL5,16.5,14.0,37.5,14.0
RPL6,2.0,6.0,11.5,3.5
RPL7,3.5,2.5,19.0,3.0
RPL7A,9.5,17.5,37.0,14.0
RPL8,20.0,22.5,43.0,18.0
RPL9,1.5,1.0,6.5,2.0
RPL10,49.0,69.5,150.5,59.5
RPL11,2.0,3.0,11.0,1.5
RPL12,2.0,1.0,5.0,1.0
RPL13,51.5,69.5,121.5,45.0
RPL15,66.0,89.5,278.5,62.0
RPL17,3.0,0.5,4.0,2.5
RPL18,71.5,105.0,218.0,66.5
RPL18A,1.5,1.5,5.0,2.5
RPL19,22.5,31.5,81.0,25.5
RPL21,12.0,11.0,22.0,8.5
RPL22,12.0,20.5,78.5,12.5
RPL23A,3.5,6.0,32.5,4.0
MRPL23,1.5,0.0,1.0,0.0
RPL24,2.0,6.5,16.0,4.5
RPL26,27.5,24.0,67.5,21.0
RPL27,2.0,1.0,9.0,3.0
RPL30,9.5,9.5,39.5,11.0
RPL27A,49.5,60.0,196.0,52.5
RPL28,39.5,83.0,247.0,56.5
RPL29,27.5,40.0,60.0,24.0
RPL31,12.0,15.0,49.0,24.5
RPL32,17.5,18.5,52.5,19.0
RPL34,8.5,10.0,32.0,9.5
RPL35A,2.5,7.0,11.5,9.0
RPL36AL,12.5,25.5,85.5,15.0
RPL37,8.5,23.5,62.5,10.0
RPL37A,18.0,26.0,50.0,11.5
RPL38,32.5,26.0,58.5,26.5
RPL39,2.5,5.0,19.0,4.0
RPL41,11.0,15.0,39.0,15.0
RPL36A,66.0,77.0,295.5,107.0
RPLP0,5.5,8.0,29.5,5.5
RPLP1,3.5,4.0,17.0,5.5
RPLP2,6.5,4.5,22.5,9.5
MRPL12,11.0,14.0,33.0,7.0
MRPS12,12.0,23.0,43.0,14.5
RPN1,7.0,30.5,62.5,11.5
RPN2,5.0,8.0,33.5,6.0
RPS2,16.0,16.5,43.5,11.0
RPS3,11.0,14.0,60.0,13.5
RPS3A,46.5,63.5,208.5,80.5
RPS4X,13.5,14.5,32.5,10.5
RPS4Y1,0.5,2.0,7.5,1.5
RPS5,17.0,22.5,37.5,11.5
RPS6,9.5,16.0,43.5,12.0
RPS6KA1,24.5,37.5,132.5,23.0
RPS6KA2,0.5,0.5,0.5,0.0
RPS6KA3,20.0,57.0,227.0,28.0
RPS6KB1,13.5,36.5,99.0,15.5
RPS6KB2,0.0,1.0,1.5,0.5
RPS7,1.0,1.5,4.5,0.5
RPS8,9.0,13.0,27.5,6.0
RPS9,25.0,41.0,58.5,30.0
RPS10,2.0,4.0,9.5,4.0
RPS11,18.5,23.5,45.0,15.0
RPS12,2.5,2.0,10.5,4.5
RPS13,0.0,1.0,3.5,0.5
RPS14,6.0,7.0,13.5,5.0
RPS15,15.0,19.5,34.0,9.5
RPS15A,3.5,2.0,19.0,4.0
RPS16,23.5,25.5,68.5,29.5
RPS17,80.0,114.5,235.0,71.0
RPS18,4.5,3.5,14.0,8.5
RPS19,3.0,2.0,5.0,3.5
RPS20,9.0,12.0,30.5,16.0
RPS21,3.5,1.5,14.5,4.5
RPS23,17.5,28.5,110.5,26.5
RPS24,9.0,12.0,38.0,14.5
RPS25,1.5,1.5,6.0,4.5
RPS26,1.5,1.5,3.5,1.0
RPS27,1.0,1.5,4.0,1.5
RPS27A,7.0,10.5,29.5,9.0
RPS28,6.5,6.5,21.0,6.0
RPS29,16.5,19.0,68.5,12.5
RRAS,0.0,0.0,0.5,0.5
RRBP1,5.0,7.5,30.5,2.5
RREB1,86.5,121.0,449.0,89.5
RRM1,15.0,11.0,51.0,18.0
RRM2,75.5,168.0,655.0,121.0
RTKN,0.0,0.0,2.5,0.5
RS1,0.0,0.0,0.0,0.0
RSC1A1,0.5,2.5,10.0,2.5
CLIP1,4.5,6.5,33.5,6.0
RSU1,2.5,2.5,19.0,4.5
RTN2,0.5,2.0,0.0,0.0
RXRA,40.5,55.5,219.5,32.5
RXRB,12.5,16.5,64.0,10.5
RYK,0.0,0.5,0.0,0.0
RYR2,0.0,0.0,1.5,0.0
RYR3,0.0,0.0,0.0,0.0
S100A1,0.0,0.0,0.0,0.0
SORT1,1.0,4.0,15.0,3.0
S100A4,5.5,7.5,24.0,7.0
S100A6,2.0,1.5,5.0,0.0
S100A8,1.0,0.0,0.0,0.5
S100A9,0.0,0.0,0.5,0.5
S100A10,8.0,8.5,21.0,10.5
S100A11,4.5,8.0,17.5,6.5
S100A12,0.0,0.0,0.0,0.0
S100A13,0.0,0.0,0.5,0.0
S100B,0.0,0.0,0.0,0.0
S100P,0.0,0.0,0.0,0.0
VPS52,5.0,4.5,17.0,2.5
SAFB,9.5,11.0,27.5,6.0
ACSM3,0.0,0.0,0.5,0.0
MAPK12,3.0,7.0,15.5,2.5
SARS1,2.0,2.5,7.0,3.0
TSPAN31,2.0,2.0,9.0,1.0
SAT1,20.5,12.5,30.5,14.0
SATB1,81.5,127.5,580.0,97.0
SBF1,6.0,10.5,33.0,2.5
MSMO1,10.5,24.5,30.0,4.5
SC5D,1.5,5.0,19.5,1.5
ATXN1,21.5,42.5,152.5,23.0
ATXN2,10.0,28.5,102.0,19.5
ATXN7,16.0,30.0,134.0,25.5
SCD,77.5,168.0,276.5,49.5
CLEC11A,9.5,13.5,28.0,10.0
SCML1,1.0,0.0,6.5,0.5
SCN1B,0.0,0.0,0.5,0.0
SCN4A,0.0,0.0,1.5,0.0
SCN4B,0.0,0.0,0.0,0.0
SCN5A,0.0,0.0,0.0,0.0
SCN9A,0.0,0.0,0.0,0.0
SCNN1A,0.0,0.0,0.0,0.0
SCNN1D,0.0,0.0,0.0,0.0
SCO1,13.0,23.0,76.0,14.0
SCP2,3.0,3.5,18.0,2.5
SRL,0.0,0.0,0.5,0.0
CCL1,0.0,0.0,2.0,0.0
CCL2,35.0,24.5,155.0,71.0
CCL3,1.0,1.5,0.5,1.0
CCL3L3,1.5,2.0,1.5,1.0
CCL4,1.5,0.0,0.0,0.0
CCL5,1.0,1.0,1.5,0.5
CCL22,0.0,0.0,0.5,0.0
CCL23,0.0,0.0,0.0,0.0
CCL24,0.0,0.0,0.0,0.0
CCL25,0.0,0.0,0.0,0.0
SDC2,77.5,112.5,328.5,66.5
SDC4,0.5,1.5,17.5,2.5
SDCBP,7.0,8.0,31.5,5.5
SDF2,17.0,24.5,73.5,19.5
SDHA,5.0,15.0,47.0,9.0
SDHB,2.0,2.0,5.0,1.0
SDHC,3.5,4.0,25.5,1.5
SDHD,9.0,13.0,53.0,12.0
SEC13,6.0,10.0,25.5,6.0
SEC14L1,10.0,19.0,64.0,5.5
TRAPPC2,7.0,10.5,26.0,7.5
SEL1L,17.0,44.0,184.0,20.0
SELL,0.0,0.0,0.0,0.0
SELPLG,11.5,11.0,19.0,8.5
SEMA3F,0.0,0.0,1.5,0.0
SELENOP,0.0,0.0,0.0,0.0
SELENOW,1.0,0.0,5.0,0.5
MAP2K4,7.5,20.5,66.5,14.0
SET,79.5,133.5,553.0,73.0
SETMAR,0.5,1.5,8.5,2.0
SFPQ,6.0,39.5,180.0,16.0
SRSF1,117.0,298.0,992.0,154.0
SRSF2,203.0,450.5,1067.0,276.0
SRSF3,49.5,99.5,429.0,67.0
SRSF4,31.0,30.0,146.0,29.0
SRSF5,20.5,36.0,126.0,24.5
SRSF6,80.0,147.0,583.0,110.5
SRSF7,28.0,49.0,155.0,44.5
SFSWAP,1.5,2.0,7.5,0.0
TRA2B,46.5,72.0,329.0,71.0
SFTPB,0.0,0.0,0.0,0.0
SGCB,1.5,2.5,9.5,1.5
SGK1,0.0,0.0,3.5,0.0
SCG5,0.0,0.0,0.5,0.0
SGSH,0.0,0.5,1.0,1.0
SGTA,21.5,34.5,106.5,21.5
SH3BGR,0.0,0.0,0.0,0.0
SH3BGRL,1.0,3.0,7.5,1.0
SH3BP2,27.5,61.0,163.0,26.5
ITSN1,1.0,2.0,4.0,0.0
SH3GL1,27.0,70.0,191.5,32.0
SH3GL3,0.0,0.0,0.0,0.0
SHB,7.0,20.5,38.5,4.5
SHC1,21.5,36.0,93.0,14.0
FBXW4,0.5,3.0,2.5,1.0
SHH,0.0,0.0,0.0,0.0
SHMT1,3.0,1.0,13.0,3.5
SHMT2,18.0,15.5,52.5,16.5
SHOX2,4.0,8.0,30.5,3.5
SIAH1,7.5,16.0,52.0,13.0
SIAH2,39.0,52.5,154.5,46.0
ST6GAL1,16.5,19.0,61.0,17.0
ST3GAL1,128.0,356.5,853.5,118.0
ST3GAL2,6.5,4.0,19.5,4.0
ST3GAL4,12.0,13.5,40.5,10.0
ST3GAL3,20.5,37.0,60.5,15.0
STIL,7.5,14.0,53.5,11.0
SIM2,0.0,0.0,0.0,0.0
SIPA1,2.0,0.0,3.0,0.0
SIX1,0.5,0.0,0.5,0.5
SKI,20.5,75.5,298.0,32.0
SKIL,19.5,36.5,185.0,27.5
SKIV2L,0.0,0.0,1.5,0.0
SKP1,7.0,10.0,47.0,10.0
SKP2,9.5,15.0,75.5,9.5
SLA,200.5,169.0,574.5,170.0
SLAMF1,0.0,0.0,1.5,0.0
SLC1A2,0.0,0.0,0.0,0.0
SLC1A3,0.0,0.0,0.5,0.0
SLC4A3,0.0,0.0,0.0,0.0
SLC1A4,38.5,69.5,227.0,34.0
SLC1A5,124.5,163.5,297.0,122.0
SLC2A1,95.0,160.5,345.5,103.5
SLC2A3,13.0,19.0,70.5,15.0
SLC2A4,0.5,0.0,1.5,0.5
SLC2A5,18.5,57.0,132.0,29.0
SLC3A1,0.0,0.0,0.0,0.0
SLC3A2,16.0,23.5,61.5,16.0
SLC4A2,1.0,0.5,1.0,0.5
SLC5A2,0.0,0.0,0.0,0.0
SMTN,2.0,4.5,11.5,2.5
SLC5A3,25.5,40.5,127.5,16.0
SLC6A4,0.0,0.0,0.0,0.0
SLC6A6,123.0,228.5,610.0,133.0
SLC6A8,0.0,0.5,1.0,0.0
SLC6A9,4.0,3.0,6.0,1.5
SLC6A12,0.0,0.0,0.5,0.0
SLC6A13,0.0,0.5,0.5,0.0
SLC7A1,146.5,256.5,905.0,184.5
SLC8A2,0.0,0.0,0.0,0.0
SLC8A1,0.0,0.5,16.5,2.0
SLC9A1,7.0,10.5,49.0,10.5
SLC9A3,30.0,76.5,187.0,54.0
SLC9A5,0.0,0.5,1.0,0.0
SLC11A1,0.0,0.0,1.0,0.0
SLC12A2,2.0,3.5,23.0,5.5
SLC12A3,0.0,1.5,5.0,1.0
SLC12A4,0.0,1.5,7.0,0.0
SLC14A1,0.0,0.0,2.0,0.5
SLC15A2,4.5,6.5,28.5,9.0
SLC16A1,28.5,53.5,163.0,37.5
SLC18A2,0.0,0.0,0.0,0.0
SLC19A1,4.0,3.5,15.0,2.5
SLC20A1,30.0,36.5,154.0,35.5
SLC20A2,4.5,6.5,29.0,10.0
SLC25A1,7.0,12.5,31.5,7.5
SLC22A4,1.0,0.0,2.5,0.0
SLC22A5,0.0,0.0,0.5,0.0
SLIT1,0.0,0.0,1.0,0.0
SLPI,0.0,0.0,0.0,0.0
SMARCA2,4.0,5.5,18.0,6.5
HLTF,14.5,20.5,86.0,22.5
SMARCA4,7.5,15.0,41.5,9.0
SMARCB1,9.5,11.5,28.5,14.0
SMARCC1,45.0,61.5,245.5,53.0
SMARCC2,5.5,16.5,43.0,6.5
SMARCD1,21.5,36.5,120.5,21.5
SMARCD2,6.5,11.5,37.5,9.0
SMARCD3,0.0,0.0,0.0,0.0
SMARCE1,6.5,12.5,55.5,8.5
SMN1,9.5,17.0,85.0,9.0
SMN2,9.5,17.0,85.0,9.0
SMPD1,2.0,5.0,15.5,3.0
SMPD2,0.0,0.0,0.0,0.0
SMS,0.5,1.0,6.0,1.5
SUMO3,32.0,55.5,227.0,52.5
SUMO2,12.5,22.0,76.0,17.0
SIGLEC1,0.0,0.0,0.0,0.0
SNAI1,2.5,10.0,19.5,3.0
SNAP25,0.0,0.0,0.0,0.0
SNAPC1,2.5,2.5,11.0,2.0
SNAPC2,3.5,7.5,25.5,3.5
SNAPC3,3.0,5.5,24.0,4.5
SNCB,0.0,0.0,0.0,0.0
SNAPC4,0.5,1.0,6.5,0.0
FSCN1,0.0,0.5,4.0,0.0
SNRNP70,7.0,17.5,33.5,11.0
SNRPA,18.5,21.5,45.0,18.0
SNRPA1,12.0,17.0,49.0,16.0
SNRPB,8.0,14.5,41.0,12.0
SNRPB2,4.5,10.0,32.0,10.0
SNRPC,12.0,11.5,45.5,10.5
SNRPD1,14.0,20.5,93.5,13.0
SNRPD2,10.0,18.5,32.5,7.5
SNRPD3,20.5,52.5,178.0,22.0
SNRPE,4.0,1.5,15.5,5.0
SNRPF,1.5,1.5,5.5,2.0
SNRPG,0.5,3.0,6.0,2.0
SNRPN,0.0,0.0,0.5,0.0
SNTA1,0.0,0.0,0.0,0.0
SNTB1,5.5,29.0,98.0,12.5
SNX1,26.0,49.5,214.5,32.0
SNX2,2.5,4.0,16.5,5.5
SNTB2,0.0,0.5,0.5,0.0
SOAT1,2.0,2.0,10.5,2.5
SOD1,5.5,11.5,15.0,10.5
SOD2,7.0,16.5,58.5,10.5
CAPN15,9.5,24.5,45.0,7.0
SON,35.5,66.0,239.0,43.0
SORD,13.0,19.5,71.5,7.0
SORL1,9.0,10.5,40.5,22.5
SOS1,12.0,11.5,46.0,7.0
SOS2,5.0,4.0,31.5,4.5
SOX4,391.5,571.0,1702.0,419.0
SOX5,0.0,0.0,0.0,0.0
SOX10,0.0,0.0,0.0,0.0
SOX15,0.0,0.0,0.0,0.0
SOX12,12.5,22.5,69.0,11.0
SP1,59.5,126.5,538.0,69.0
SP2,4.0,9.5,47.5,5.5
SP3,18.0,25.5,149.0,19.5
SP4,1.0,3.5,26.5,1.5
SP100,20.0,25.5,80.5,13.0
SPAG1,0.0,0.5,5.0,1.0
UAP1,2.5,1.5,10.0,0.5
SPAG4,0.0,0.0,0.5,0.0
SPAST,9.0,14.0,43.5,9.5
SPG7,3.0,5.5,18.0,4.0
SPI1,10.0,13.0,30.5,7.5
SPIB,1.5,8.5,32.5,4.5
SPINT1,0.0,0.5,1.0,0.0
SPN,127.5,370.5,1252.5,187.0
SPOCK1,1.0,3.5,13.5,0.0
SPP1,0.0,0.0,0.0,0.0
SPR,1.5,4.5,12.5,4.5
SPTA1,0.0,0.0,0.0,0.0
SPTAN1,1.5,2.0,10.5,2.0
SPTB,0.0,0.0,1.0,0.0
SPTBN1,0.0,0.0,0.5,0.0
SQLE,7.0,4.5,17.5,1.5
SRC,34.5,46.0,129.0,17.0
SRD5A1,0.5,1.0,4.5,0.5
SRD5A2,0.0,0.0,0.0,0.0
SRI,1.0,0.0,8.0,1.5
SREBF1,4.5,6.0,12.5,2.0
SREBF2,13.5,27.0,55.5,9.0
SRF,52.0,97.0,231.5,74.5
SRM,12.0,12.5,30.0,10.5
SRP9,20.5,37.5,203.0,26.5
SRP14,3.5,5.0,28.0,5.5
SRP19,34.0,51.0,157.0,31.5
SRP54,0.0,1.5,15.0,1.5
SRP68,25.0,41.0,148.0,29.5
SRP72,15.5,20.5,86.0,20.0
SRPK1,37.0,79.0,339.5,50.0
SRPK2,4.0,5.0,24.0,3.5
SRPRA,35.0,77.0,198.0,38.5
TRIM21,3.0,5.5,22.0,6.0
RO60,3.0,6.0,37.5,6.0
SSB,4.5,16.0,39.5,7.5
SSBP1,2.0,4.0,14.0,0.0
ITPRID2,7.0,12.5,50.0,9.0
SSR1,20.5,61.5,216.0,21.5
SSR2,30.0,73.0,179.5,41.0
SSR3,27.5,87.0,327.0,32.0
SSR4,0.5,1.0,6.5,1.5
SSRP1,12.5,14.5,50.0,14.5
SSTR3,0.0,0.0,0.5,0.0
SS18,21.0,30.0,137.5,18.0
DENND2B,0.0,0.0,1.0,0.0
ST13,16.0,19.0,52.5,11.5
ST14,0.0,2.0,5.5,1.0
STAR,3.0,7.0,31.0,5.5
STAT1,26.0,23.5,109.5,20.5
STAT2,12.5,9.0,27.0,6.0
STAT3,8.0,15.5,58.0,8.0
STAT5A,2.5,1.5,4.0,0.5
STAT5B,5.5,9.0,38.5,5.0
STAT6,33.0,58.0,158.0,39.5
STAU1,18.0,28.5,103.0,19.0
HSPA13,7.5,19.0,75.5,7.5
STIM1,5.5,9.0,40.5,10.5
NEK4,0.5,3.0,5.0,2.0
STK3,5.5,2.5,12.0,3.0
STK4,32.5,65.5,267.0,33.0
AURKA,33.0,31.5,124.0,25.0
6791,4.5,13.0,43.5,7.5
STK10,16.5,54.0,184.0,21.5
STK11,2.0,6.0,10.5,1.0
STRN,11.5,23.5,112.5,15.0
STX1A,7.5,15.5,30.5,7.0
STX3,6.5,9.5,41.5,10.5
STX4,0.5,1.0,3.5,0.0
STX5,4.5,6.0,29.5,2.5
STXBP1,1.5,5.0,15.5,3.0
STXBP2,0.5,0.0,0.5,0.0
STXBP3,1.5,0.0,13.0,1.5
STYX,9.5,9.0,44.5,3.5
SULT1A1,1.0,0.0,1.0,0.0
SULT1A3,3.0,1.5,12.0,1.0
SUOX,3.0,3.5,9.0,0.5
SUPT4H1,18.0,21.0,76.5,26.5
SUPT5H,7.0,5.5,26.0,2.5
SUPT6H,6.0,10.0,28.5,5.5
SUPV3L1,0.5,0.0,1.0,0.0
SURF1,0.0,0.0,0.5,0.0
SURF2,0.5,0.0,4.0,0.0
SURF4,62.0,140.5,511.5,96.0
MED22,25.5,43.0,133.0,24.5
SURF6,65.5,134.0,334.5,60.0
SUV39H1,27.0,32.5,91.5,25.5
SVIL,0.0,0.5,1.0,0.0
VAMP1,22.0,59.0,209.5,48.0
VAMP2,22.0,26.0,79.0,25.5
VAMP7,7.0,15.5,57.5,11.0
SYCP1,0.0,0.0,0.0,0.0
SYK,7.5,14.5,48.0,10.5
SYN1,0.0,0.5,0.5,0.0
SYP,0.0,0.0,1.5,0.0
SYPL1,10.0,9.0,51.5,4.5
SYT5,0.0,0.0,0.5,0.0
TACR2,0.0,0.0,0.0,0.0
TACC1,57.0,125.0,487.5,67.0
ADAM17,19.0,27.0,62.0,21.0
TACR1,0.0,0.0,0.0,0.0
TADA2A,2.0,3.5,11.0,0.5
TAF1,10.0,25.0,94.0,12.5
TAF2,12.0,21.5,83.0,15.0
TAF4,8.0,14.5,50.0,7.0
TAF4B,9.0,17.5,55.5,12.5
TAGLN,0.5,0.5,1.5,0.5
TAF5,5.5,7.0,29.0,2.5
TAF6,5.0,10.0,27.0,4.0
TAF7,19.0,22.5,86.5,21.5
TAF9,1.0,1.0,13.0,1.5
TAF10,1.5,3.0,8.5,0.5
TAF11,15.5,16.0,78.0,14.0
TAF12,3.0,3.5,12.5,4.0
TAF13,2.0,1.5,18.0,0.5
MAP3K7,8.0,13.0,59.5,17.0
TAL1,0.0,0.0,0.0,0.0
TAL2,0.0,0.0,0.0,0.0
TALDO1,3.0,4.5,13.0,4.0
TAP1,2.5,1.0,2.5,0.0
TAP2,12.0,17.0,50.0,6.5
TAPBP,17.0,28.5,86.0,15.0
TARBP1,9.0,5.0,10.0,3.0
TARBP2,1.5,1.5,4.5,0.5
TARS1,16.5,19.5,57.0,14.5
TBX1,1.5,4.5,6.5,3.5
TAZ,4.0,1.5,5.0,2.0
TBCA,1.5,2.5,7.0,3.0
TBCC,20.5,28.5,100.0,27.5
TBCD,4.0,2.5,9.0,4.0
TBCE,5.0,5.5,14.0,6.0
TBL1X,21.0,40.0,87.0,19.0
TBP,0.5,3.5,18.5,2.0
TBX6,0.0,0.0,0.0,0.0
TBX15,0.0,0.0,3.0,0.0
TBXA2R,0.0,0.0,0.0,0.0
TBXAS1,2.5,0.0,2.0,1.0
TCEA1,13.5,22.0,96.5,15.0
TCEA2,0.0,0.0,0.0,0.0
TCEA3,0.0,0.0,0.0,0.0
ELOC,7.0,4.0,44.0,4.0
ELOB,3.5,3.5,10.5,4.0
ELOA,20.0,40.0,142.0,25.0
TCF4,43.0,47.0,162.0,44.5
TBX3,4.5,7.0,33.0,6.0
HNF1A,0.0,0.0,0.0,0.0
TCF3,46.5,105.0,314.0,36.0
TCF7,0.0,0.0,0.5,0.0
TCF7L2,0.0,1.0,8.0,0.0
GCFC2,4.5,0.0,7.0,3.5
TCF12,14.0,63.0,217.5,33.5
ZNF354A,1.0,2.0,7.5,0.5
TCF19,22.0,38.5,193.0,25.5
TCF20,10.0,16.5,42.0,9.0
VPS72,7.5,11.0,35.5,5.0
MLX,16.5,46.0,183.0,22.5
TCOF1,10.0,10.5,35.5,9.5
TCP1,5.0,6.5,22.0,4.5
TCTA,6.5,8.5,29.0,7.5
DYNLT3,0.0,0.5,7.0,2.5
TCTE3,0.0,0.0,0.0,0.0
PPP1R11,14.0,14.0,97.0,16.5
DYNLT1,2.5,5.5,10.5,3.5
TDG,15.5,28.0,103.0,20.0
PRDX2,5.5,4.5,15.5,4.0
TEAD3,6.5,29.0,89.5,8.5
TEC,12.0,28.0,70.0,15.0
TEF,4.0,6.5,25.5,8.0
TMBIM6,84.5,150.5,485.5,112.0
TEP1,9.0,14.5,57.0,7.0
7012,0.0,0.0,0.0,0.0
TERF1,6.5,7.5,44.0,5.5
TERF2,4.0,5.0,22.5,2.5
TERT,0.0,0.0,1.5,0.0
TESK1,4.5,15.5,50.5,3.0
TFAM,18.0,26.5,130.5,23.5
TFAP2A,0.5,0.0,0.5,0.0
TFAP2B,0.0,0.0,0.0,0.0
TFAP4,14.5,12.5,55.5,7.0
TFCP2,7.5,7.0,40.5,9.5
NR2F2,0.5,0.0,1.0,0.5
TFDP1,8.0,12.5,56.5,7.5
TFDP2,1.0,4.0,14.5,3.0
TFE3,10.5,11.5,43.0,7.5
TFR2,1.0,1.0,2.5,0.0
TFRC,128.0,218.5,710.0,144.5
TGFA,1.5,2.5,8.0,2.5
TGFB1,2.0,8.0,25.5,4.5
TGFB2,0.0,0.0,1.5,0.0
TGFB3,0.0,0.0,0.5,0.0
TGFBI,0.0,0.0,0.0,0.0
TGFBR1,57.5,139.0,449.0,73.0
TGM4,0.0,0.0,0.0,0.0
TGFBR2,39.0,47.5,153.0,37.0
TGFBR3,0.0,0.0,0.0,0.0
TGIF1,24.5,29.0,49.0,21.0
TGM2,0.0,0.0,0.0,0.0
THBD,305.0,539.5,595.0,90.0
THBS1,0.0,0.0,0.5,0.0
THBS2,0.0,0.0,0.0,0.0
THBS3,1.0,1.0,1.0,0.0
THBS4,0.0,1.0,3.0,0.5
THOP1,1.0,1.0,6.0,1.0
THRA,1.5,3.5,9.5,1.0
THRSP,0.0,0.0,0.0,0.0
THY1,0.0,0.0,0.0,0.0
KLF10,133.0,292.0,493.5,169.0
TIA1,12.0,17.0,66.0,13.5
TIAL1,12.0,20.5,74.5,11.0
TIAM1,0.0,0.0,0.0,0.0
TIMP1,2.0,3.0,10.5,2.0
TIMP2,2.5,5.5,18.0,3.5
TIMP3,1.5,3.0,18.5,3.0
NKX2-1,0.0,0.0,0.0,0.0
TK1,6.0,6.5,17.5,3.5
TK2,7.5,7.0,24.5,5.5
TKT,55.0,115.5,249.0,49.0
TLE1,0.0,0.0,1.5,0.0
TLE3,71.5,198.5,364.5,67.0
TLE4,3.5,4.5,22.5,5.5
TLN1,3.0,14.0,50.5,5.5
SEC62,22.5,28.5,126.0,23.0
TLR1,0.0,0.0,0.0,0.0
TLR2,0.0,1.0,7.5,1.5
TLR4,5.5,2.0,21.0,7.0
TLR5,0.0,0.0,0.0,0.0
TSPAN4,0.0,0.0,0.0,0.0
GPR137B,1.5,1.5,6.5,0.5
TM7SF2,0.5,0.0,0.0,0.0
TRAPPC10,2.0,1.5,3.5,1.5
TMF1,2.5,11.5,41.5,10.5
TMOD1,1.0,1.0,3.5,0.5
TMPO,39.0,39.5,265.0,43.5
TMSB4X,114.5,219.5,412.5,110.0
CLEC3B,0.0,0.0,0.0,0.0
TNF,117.5,407.0,1140.5,322.0
TNFAIP1,5.5,11.0,34.5,5.0
TNFAIP2,16.0,44.5,119.5,21.0
TNFAIP3,39.5,84.5,215.0,60.5
TNFRSF1A,10.0,20.0,54.0,11.5
TNFRSF1B,48.5,72.0,111.5,37.5
TNNC1,0.0,0.0,0.0,0.0
TNNI2,1.0,2.0,5.0,1.0
TNNT1,0.0,0.0,0.0,0.0
TNS1,13.5,14.0,48.5,7.5
TOP1,22.0,35.5,134.0,30.5
TOP2A,20.0,23.5,134.0,26.5
TOP2B,2.0,8.0,19.5,1.5
