chr	start	end	interval_id	num_peaks	num_samples	MV411_1_320_R1.bool	MV411_3_568_R1.bool	MV411_7_714_R1.bool	MV411_8_715_R1.bool	MV411_1_320_R1.fc	MV411_3_568_R1.fc	MV411_7_714_R1.fc	MV411_8_715_R1.fc	MV411_1_320_R1.qval	MV411_3_568_R1.qval	MV411_7_714_R1.qval	MV411_8_715_R1.qval	MV411_1_320_R1.pval	MV411_3_568_R1.pval	MV411_7_714_R1.pval	MV411_8_715_R1.pval	MV411_1_320_R1.start	MV411_3_568_R1.start	MV411_7_714_R1.start	MV411_8_715_R1.start	MV411_1_320_R1.end	MV411_3_568_R1.end	MV411_7_714_R1.end	MV411_8_715_R1.end	MV411_1_320_R1.summit	MV411_3_568_R1.summit	MV411_7_714_R1.summit	MV411_8_715_R1.summit
chr16	31195549	31195787	Interval_5751	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.16978	NA	NA	NA	7.6219	NA	NA	NA	11.11486	NA	NA	NA	31195549	NA	NA	NA	31195787	NA	NA	NA	139
chr16	31197473	31197697	Interval_5752	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.8314	NA	NA	NA	6.4041	NA	NA	NA	9.80675	NA	NA	NA	31197473	NA	NA	NA	31197697	NA	NA	NA	81
chr16	31243991	31244298	Interval_5753	3	3	FALSE	TRUE	TRUE	TRUE	NA	7.67283	7.50111	7.25856	NA	6.93043	10.95487	10.57336	NA	11.89108	15.25735	14.22336	NA	31244016	31244042	31243991	NA	31244298	31244295	31244292	NA	138	98	153
chr16	31253750	31254016	Interval_5754	2	2	TRUE	FALSE	FALSE	TRUE	6.87014	NA	NA	5.60827	8.42112	NA	NA	6.05265	12.28764	NA	NA	9.43736	31253773	NA	NA	31253750	31253954	NA	NA	31254016	94	NA	NA	124
chr16	31259917	31260111	Interval_5755	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.54709	NA	NA	NA	2.97149	NA	NA	NA	6.02002	NA	NA	NA	31259917	NA	NA	NA	31260111	NA	NA	NA	92
chr16	31264686	31264846	Interval_5756	1	1	TRUE	FALSE	FALSE	FALSE	6.02884	NA	NA	NA	5.74472	NA	NA	NA	9.43933	NA	NA	NA	31264686	NA	NA	NA	31264846	NA	NA	NA	61	NA	NA	NA
chr16	31344483	31344660	Interval_5757	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.93744	NA	NA	NA	5.91654	NA	NA	NA	9.29284	NA	NA	NA	31344483	NA	NA	NA	31344660	NA	NA	NA	104
chr16	31368167	31368333	Interval_5758	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.59191	NA	NA	NA	3.44173	NA	NA	NA	6.562	NA	NA	NA	31368167	NA	NA	NA	31368333	NA	NA	NA	30
chr16	31441487	31441726	Interval_5759	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.21177	NA	NA	NA	4.57988	NA	NA	NA	7.82326	NA	NA	NA	31441487	NA	NA	NA	31441726	NA	NA	NA	94
chr16	31443081	31443282	Interval_5760	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.73233	NA	NA	NA	7.77586	NA	NA	NA	11.27706	NA	NA	NA	31443081	NA	NA	NA	31443282	NA	NA	NA	85
chr16	31459257	31459482	Interval_5761	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.11273	NA	NA	NA	2.77846	NA	NA	NA	5.80092	NA	NA	NA	31459257	NA	NA	NA	31459482	NA	NA	NA	97
chr16	31874485	31874648	Interval_5762	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.43122	NA	NA	NA	4.90574	NA	NA	NA	8.17246	NA	NA	NA	31874485	NA	NA	NA	31874648	NA	NA	NA	50
chr16	34078753	34078914	Interval_5763	1	1	TRUE	FALSE	FALSE	FALSE	5.62638	NA	NA	NA	8.19024	NA	NA	NA	12.0501	NA	NA	NA	34078753	NA	NA	NA	34078914	NA	NA	NA	135	NA	NA	NA
chr16	34213131	34213413	Interval_5764	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.78646	NA	NA	NA	2.25005	NA	NA	NA	6.24795	NA	NA	NA	34213131	NA	NA	NA	34213413	NA	NA	NA	171	NA	NA
chr16	34572099	34572504	Interval_5765	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.66876	NA	NA	NA	7.27388	NA	NA	NA	12.26291	NA	NA	NA	34572099	NA	NA	NA	34572504	NA	NA	NA	193	NA	NA
chr16	34572888	34573310	Interval_5766	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.74139	NA	NA	NA	8.01042	NA	NA	NA	13.10203	NA	NA	NA	34572888	NA	NA	NA	34573310	NA	NA	NA	237	NA	NA
chr16	34573988	34574477	Interval_5767	2	2	FALSE	TRUE	FALSE	TRUE	NA	4.61257	NA	2.5263	NA	18.19212	NA	12.98731	NA	23.9012	NA	16.73076	NA	34574072	NA	34573988	NA	34574477	NA	34574410	NA	199	NA	281
chr16	34575909	34576479	Interval_5768	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.67441	NA	NA	NA	19.51969	NA	NA	NA	23.44826	NA	NA	NA	34575909	NA	NA	NA	34576479	NA	NA	NA	92
chr16	34581080	34581849	Interval_5769	2	2	FALSE	TRUE	FALSE	TRUE	NA	6.76262	NA	2.40664	NA	51.4157	NA	15.77005	NA	58.24581	NA	19.59923	NA	34581080	NA	34581162	NA	34581849	NA	34581676	NA	378	NA	300
chr16	34582036	34583959	Interval_5770	5	3	FALSE	TRUE	TRUE	TRUE	NA	4.91828;4.98011	2.08749	1.60643;4.31398	NA	44.04237;20.36107	6.60261	4.48996;37.18491	NA	50.49235;26.14644	10.7334	7.72391;41.37625	NA	34582036;34583418	34583050	34582142;34582711	NA	34583368;34583959	34583187	34582506;34583745	NA	215;207	64	109;395
chr16	34584817	34585031	Interval_5771	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	1.98195	NA	NA	NA	4.94817	NA	NA	NA	8.22608	NA	NA	NA	34584817	NA	NA	NA	34585031	NA	NA	NA	118
chr16	34585437	34585753	Interval_5772	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.79049	NA	NA	NA	10.50328	NA	NA	NA	14.1461	NA	NA	NA	34585437	NA	NA	NA	34585753	NA	NA	NA	246
chr16	34588062	34588750	Interval_5773	2	2	FALSE	TRUE	FALSE	TRUE	NA	3.75054	NA	2.00434	NA	11.34577	NA	6.34003	NA	16.71785	NA	9.73713	NA	34588062	NA	34588137	NA	34588750	NA	34588570	NA	205	NA	120
chr16	34588771	34588950	Interval_5774	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.96462	NA	NA	NA	13.7764	NA	NA	NA	17.54963	NA	NA	NA	34588771	NA	NA	NA	34588950	NA	NA	NA	64
chr16	34589398	34589645	Interval_5775	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.67119	NA	NA	NA	38.20028	NA	NA	NA	42.4028	NA	NA	NA	34589398	NA	NA	NA	34589645	NA	NA	NA	118
chr16	34590797	34591003	Interval_5776	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.03538	NA	NA	NA	1.51981	NA	NA	NA	4.28203	NA	NA	NA	34590797	NA	NA	NA	34591003	NA	NA	NA	1
chr16	34591710	34592178	Interval_5777	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	1.72572	3.08189	NA	NA	1.85171	11.68885	NA	NA	5.5401	15.38424	NA	NA	34591711	34591710	NA	NA	34591845	34592178	NA	NA	131	70
chr16	34592580	34593038	Interval_5778	3	3	FALSE	TRUE	TRUE	TRUE	NA	5.19684	3.0333	10.89349	NA	22.13276	13.4809	86.28322	NA	27.96706	17.84685	90.76681	NA	34592627	34592625	34592580	NA	34593038	34592792	34592962	NA	190	140	148
chr16	34595006	34595429	Interval_5779	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.38884	NA	NA	NA	21.81648	NA	NA	NA	27.64328	NA	NA	NA	34595006	NA	NA	NA	34595429	NA	NA	NA	219	NA	NA
chr16	34902384	34902668	Interval_5780	1	1	TRUE	FALSE	FALSE	FALSE	7.82753	NA	NA	NA	9.90543	NA	NA	NA	13.86022	NA	NA	NA	34902384	NA	NA	NA	34902668	NA	NA	NA	134	NA	NA	NA
chr16	35598955	35599194	Interval_5781	2	2	TRUE	FALSE	FALSE	TRUE	4.62094	NA	NA	6.2617	2.97418	NA	NA	7.05218	6.35746	NA	NA	10.51213	35598983	NA	NA	35598955	35599194	NA	NA	35599177	119	NA	NA	134
chr16	35600749	35601589	Interval_5782	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	10.85361	NA	NA	NA	19.49782	NA	NA	NA	23.42557	NA	NA	NA	35600749	NA	NA	NA	35601589	NA	NA	NA	222
chr16	46382914	46383124	Interval_5783	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.10457	NA	NA	NA	10.29796	NA	NA	NA	13.93534	NA	NA	NA	46382914	NA	NA	NA	46383124	NA	NA	NA	114
chr16	46386804	46387413	Interval_5784	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	2.25254	6.54747	NA	NA	3.04117	38.60595	NA	NA	6.88312	42.81152	NA	NA	46386880	46386804	NA	NA	46387115	46387413	NA	NA	32	130
chr16	46387647	46388106	Interval_5785	3	3	FALSE	TRUE	TRUE	TRUE	NA	3.09087	1.9352	5.93172	NA	5.51622	5.49827	71.74326	NA	10.26718	9.57629	76.16152	NA	46387647	46387864	46387737	NA	46388106	46388006	46388067	NA	196	31	192
chr16	46388477	46389096	Interval_5786	2	2	FALSE	TRUE	FALSE	TRUE	NA	4.11551	NA	2.78845	NA	32.32198	NA	33.04352	NA	38.4229	NA	37.1887	NA	46388477	NA	46388542	NA	46389055	NA	46389096	NA	201	NA	133
chr16	46389450	46390218	Interval_5787	3	3	FALSE	TRUE	TRUE	TRUE	NA	6.51528	2.16676	4.70942	NA	39.49538	7.08789	47.71708	NA	45.76992	11.25408	52.00161	NA	46389450	46389804	46389551	NA	46390218	46389989	46390135	NA	384	97	365
chr16	46390929	46391163	Interval_5788	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.91746	NA	NA	NA	17.42788	NA	NA	NA	21.30798	NA	NA	NA	46390929	NA	NA	NA	46391163	NA	NA	NA	133
chr16	46391251	46391473	Interval_5789	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.22786	NA	NA	NA	10.62306	NA	NA	NA	14.27499	NA	NA	NA	46391251	NA	NA	NA	46391473	NA	NA	NA	127
chr16	46391860	46392087	Interval_5790	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	2.79377	4.39288	NA	NA	4.99053	13.69375	NA	NA	9.01715	17.46049	NA	NA	46391860	46391861	NA	NA	46392049	46392087	NA	NA	157	128
chr16	46392934	46393259	Interval_5791	1	1	FALSE	TRUE	FALSE	FALSE	NA	2.64097	NA	NA	NA	2.93692	NA	NA	NA	7.06963	NA	NA	NA	46392934	NA	NA	NA	46393259	NA	NA	NA	121	NA	NA
chr16	46393393	46393657	Interval_5792	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	2.38921	3.25895	NA	NA	8.50083	13.28081	NA	NA	12.72531	17.03359	NA	NA	46393393	46393400	NA	NA	46393611	46393657	NA	NA	172	136
chr16	46393972	46394198	Interval_5793	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	2.46217	3.20841	NA	NA	3.6771	6.3429	NA	NA	7.6089	9.74021	NA	NA	46394004	46393972	NA	NA	46394125	46394198	NA	NA	50	98
chr16	46395029	46395193	Interval_5794	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.68145	NA	NA	NA	11.63992	NA	NA	NA	15.33488	NA	NA	NA	46395029	NA	NA	NA	46395193	NA	NA	NA	64
chr16	46396248	46396407	Interval_5795	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.56003	NA	NA	NA	5.06016	NA	NA	NA	8.35447	NA	NA	NA	46396248	NA	NA	NA	46396407	NA	NA	NA	99
chr16	46399033	46399852	Interval_5796	2	2	FALSE	TRUE	FALSE	TRUE	NA	5.66196	NA	2.84509	NA	42.15385	NA	24.99634	NA	48.50969	NA	29.029	NA	46399097	NA	46399033	NA	46399852	NA	46399623	NA	298	NA	362
chr16	46399909	46400342	Interval_5797	2	2	FALSE	TRUE	FALSE	TRUE	NA	5.46412	NA	2.68013	NA	26.79351	NA	17.60113	NA	32.75879	NA	21.48387	NA	46399909	NA	46400017	NA	46400342	NA	46400241	NA	221	NA	114
chr16	46400363	46400863	Interval_5798	2	2	FALSE	TRUE	FALSE	TRUE	NA	4.8292	NA	2.72224	NA	18.95238	NA	17.19772	NA	24.68748	NA	21.06885	NA	46400430	NA	46400363	NA	46400863	NA	46400770	NA	219	NA	286
chr16	46400975	46401794	Interval_5799	3	2	FALSE	TRUE	FALSE	TRUE	NA	5.22017	NA	3.10238;2.4222	NA	40.91164	NA	16.46511;21.34811	NA	47.22595	NA	20.31834;25.31601	NA	46401171	NA	46400975;46401330	NA	46401794	NA	46401200;46401612	NA	436	NA	89;158
chr16	46658957	46659224	Interval_5800	2	2	FALSE	TRUE	FALSE	TRUE	NA	5.43707	NA	3.99221	NA	3.35514	NA	2.60279	NA	7.65122	NA	5.6077	NA	46658980	NA	46658957	NA	46659224	NA	46659186	NA	131	NA	72
chr16	46878309	46878474	Interval_5801	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.60481	NA	NA	NA	5.74901	NA	NA	NA	9.08898	NA	NA	NA	46878309	NA	NA	NA	46878474	NA	NA	NA	31
chr16	46883842	46884401	Interval_5802	2	2	TRUE	FALSE	FALSE	TRUE	10.99762	NA	NA	10.17815	19.98591	NA	NA	22.9035	24.24787	NA	NA	26.9002	46883842	NA	NA	46884164	46884401	NA	NA	46884388	142	NA	NA	98
chr16	47018229	47018609	Interval_5803	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	5.58471	7.17944	NA	NA	5.51881	9.61274	NA	NA	9.59704	13.2183	NA	NA	47018292	47018229	NA	NA	47018437	47018609	NA	NA	60	142
chr16	47523500	47523659	Interval_5804	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.93744	NA	NA	NA	5.91654	NA	NA	NA	9.29284	NA	NA	NA	47523500	NA	NA	NA	47523659	NA	NA	NA	51
chr16	48188583	48188807	Interval_5805	1	1	FALSE	TRUE	FALSE	FALSE	NA	7.13636	NA	NA	NA	5.94946	NA	NA	NA	10.74759	NA	NA	NA	48188583	NA	NA	NA	48188807	NA	NA	NA	124	NA	NA
chr16	48318150	48318309	Interval_5806	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.56726	NA	NA	NA	3.19072	NA	NA	NA	6.27354	NA	NA	NA	48318150	NA	NA	NA	48318309	NA	NA	NA	57
chr16	48328680	48328839	Interval_5807	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.59191	NA	NA	NA	3.44173	NA	NA	NA	6.562	NA	NA	NA	48328680	NA	NA	NA	48328839	NA	NA	NA	50
chr16	48366518	48366750	Interval_5808	2	2	TRUE	FALSE	FALSE	TRUE	6.10979	NA	NA	5.02399	6.5059	NA	NA	4.0543	10.26399	NA	NA	7.24381	48366518	NA	NA	48366574	48366750	NA	NA	48366733	119	NA	NA	37
chr16	49368563	49368763	Interval_5809	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.80685	NA	NA	NA	6.69631	NA	NA	NA	10.12606	NA	NA	NA	49368563	NA	NA	NA	49368763	NA	NA	NA	129
chr16	49951719	49952298	Interval_5810	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.48393	NA	NA	NA	13.18306	NA	NA	NA	16.93363	NA	NA	NA	49951719	NA	NA	NA	49952298	NA	NA	NA	354
chr16	49952633	49952917	Interval_5811	2	2	TRUE	FALSE	FALSE	TRUE	6.20757	NA	NA	4.73915	6.01205	NA	NA	3.65233	9.72601	NA	NA	6.79448	49952633	NA	NA	49952671	49952917	NA	NA	49952830	172	NA	NA	95
chr16	50024992	50025218	Interval_5812	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.11054	NA	NA	NA	2.38071	NA	NA	NA	5.34378	NA	NA	NA	50024992	NA	NA	NA	50025218	NA	NA	NA	109
chr16	50209678	50209982	Interval_5813	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.15832	NA	NA	NA	2.62843	NA	NA	NA	5.63506	NA	NA	NA	50209678	NA	NA	NA	50209982	NA	NA	NA	145
chr16	50250971	50251130	Interval_5814	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.93024	NA	NA	NA	2.33953	NA	NA	NA	5.27817	NA	NA	NA	50250971	NA	NA	NA	50251130	NA	NA	NA	125
chr16	50273913	50274122	Interval_5815	1	1	TRUE	FALSE	FALSE	FALSE	5.3347	NA	NA	NA	4.45312	NA	NA	NA	8.01889	NA	NA	NA	50273913	NA	NA	NA	50274122	NA	NA	NA	118	NA	NA	NA
chr16	50276790	50277210	Interval_5816	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.72782	NA	NA	NA	6.24214	NA	NA	NA	9.63563	NA	NA	NA	50276790	NA	NA	NA	50277210	NA	NA	NA	109
chr16	50279143	50279460	Interval_5817	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.99963	NA	NA	NA	4.54703	NA	NA	NA	7.78275	NA	NA	NA	50279143	NA	NA	NA	50279460	NA	NA	NA	137
chr16	50281084	50281774	Interval_5818	3	3	TRUE	FALSE	TRUE	TRUE	49.86538	NA	23.61858	46.40039	194.64569	NA	87.7953	212.60583	199.80435	NA	92.83275	217.44762	50281145	NA	50281159	50281084	50281631	NA	50281596	50281774	232	NA	226	302
chr16	50281957	50282293	Interval_5819	3	3	TRUE	FALSE	TRUE	TRUE	7.18563	NA	4.81549	10.23733	8.9035	NA	3.40361	19.02336	12.80837	NA	7.30507	22.93976	50282049	NA	50281977	50281957	50282289	NA	50282210	50282293	99	NA	106	180
chr16	50547447	50547610	Interval_5820	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.40581	NA	NA	NA	5.13605	NA	NA	NA	8.43974	NA	NA	NA	50547447	NA	NA	NA	50547610	NA	NA	NA	29
chr16	50684033	50684432	Interval_5821	2	2	TRUE	FALSE	FALSE	TRUE	4.88783	NA	NA	6.16978	3.80222	NA	NA	7.6219	7.30656	NA	NA	11.11486	50684129	NA	NA	50684033	50684289	NA	NA	50684432	58	NA	NA	123
chr16	50685430	50685848	Interval_5822	2	2	TRUE	FALSE	FALSE	TRUE	4.42162	NA	NA	6.89563	3.38308	NA	NA	9.56059	6.83107	NA	NA	13.16474	50685611	NA	NA	50685430	50685848	NA	NA	50685754	110	NA	NA	207
chr16	50741893	50742190	Interval_5823	2	2	TRUE	FALSE	FALSE	TRUE	10.54419	NA	NA	9.98922	16.52842	NA	NA	16.461	20.70936	NA	NA	20.31423	50741931	NA	NA	50741893	50742176	NA	NA	50742190	105	NA	NA	144
chr16	52315166	52315343	Interval_5824	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.00936	NA	NA	NA	4.2852	NA	NA	NA	7.5007	NA	NA	NA	52315166	NA	NA	NA	52315343	NA	NA	NA	103
chr16	53054988	53055151	Interval_5825	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.8605	NA	NA	NA	4.32968	NA	NA	NA	7.55583	NA	NA	NA	53054988	NA	NA	NA	53055151	NA	NA	NA	56
chr16	53061944	53062201	Interval_5826	2	2	TRUE	FALSE	FALSE	TRUE	6.23066	NA	NA	11.72647	6.04577	NA	NA	21.5131	9.76308	NA	NA	25.48315	53061956	NA	NA	53061944	53062147	NA	NA	53062201	94	NA	NA	136
chr16	53094508	53094717	Interval_5827	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.42024	NA	NA	NA	3.20336	NA	NA	NA	6.29035	NA	NA	NA	53094508	NA	NA	NA	53094717	NA	NA	NA	117
chr16	53099512	53099843	Interval_5828	2	2	TRUE	FALSE	FALSE	TRUE	6.92443	NA	NA	6.89563	8.4998	NA	NA	9.56059	12.37751	NA	NA	13.16474	53099570	NA	NA	53099512	53099758	NA	NA	53099843	102	NA	NA	192
chr16	53434250	53434622	Interval_5829	2	2	TRUE	FALSE	FALSE	TRUE	9.45814	NA	NA	9.09031	13.34199	NA	NA	13.53877	17.42809	NA	NA	17.29719	53434250	NA	NA	53434300	53434622	NA	NA	53434505	95	NA	NA	83
chr16	53703776	53704206	Interval_5830	2	2	TRUE	FALSE	FALSE	TRUE	13.35073	NA	NA	11.62076	26.98442	NA	NA	23.11242	31.36305	NA	NA	27.11505	53703821	NA	NA	53703776	53704206	NA	NA	53704165	242	NA	NA	240
chr16	53804485	53804923	Interval_5831	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	7.25856	NA	NA	NA	10.57336	NA	NA	NA	14.22336	NA	NA	NA	53804485	NA	NA	NA	53804923	NA	NA	NA	247
chr16	55100041	55100475	Interval_5832	2	2	TRUE	FALSE	FALSE	TRUE	6.24536	NA	NA	3.89165	6.38975	NA	NA	2.89087	10.12629	NA	NA	5.93141	55100270	NA	NA	55100041	55100475	NA	NA	55100438	119	NA	NA	39
chr16	55279741	55279951	Interval_5833	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.80685	NA	NA	NA	6.69631	NA	NA	NA	10.12606	NA	NA	NA	55279741	NA	NA	NA	55279951	NA	NA	NA	153
chr16	55757878	55758037	Interval_5834	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.11054	NA	NA	NA	2.38071	NA	NA	NA	5.34378	NA	NA	NA	55757878	NA	NA	NA	55758037	NA	NA	NA	121
chr16	55833984	55834382	Interval_5835	3	3	TRUE	FALSE	TRUE	TRUE	4.82873	NA	5.17729	7.84937	3.25764	NA	3.82269	10.67409	6.68315	NA	7.76836	14.32761	55834212	NA	55834144	55833984	55834372	NA	55834382	55834322	58	NA	209	157
chr16	55839165	55839510	Interval_5836	3	3	TRUE	TRUE	FALSE	TRUE	5.35316	8.1171	NA	8.84049	4.4694	7.82529	NA	14.08615	8.04827	12.90591	NA	17.86746	55839238	55839243	NA	55839165	55839398	55839469	NA	55839510	111	83	NA	146
chr16	56048751	56049071	Interval_5837	3	3	TRUE	TRUE	FALSE	TRUE	6.81128	8.31223	NA	3.26635	7.24096	8.15064	NA	1.31684	11.03931	13.25517	NA	4.04063	56048843	56048751	NA	56048844	56049071	56049067	NA	56049003	114	135	NA	88
chr16	56406339	56406553	Interval_5838	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.02399	NA	NA	NA	4.0543	NA	NA	NA	7.24381	NA	NA	NA	56406339	NA	NA	NA	56406553	NA	NA	NA	98
chr16	56534980	56535478	Interval_5839	3	3	TRUE	FALSE	TRUE	TRUE	13.86283	NA	6.49291	24.67911	26.55902	NA	10.22587	76.08964	30.93333	NA	14.51252	80.5286	56534993	NA	56535052	56534980	56535381	NA	56535359	56535478	240	NA	155	214
chr16	56547586	56547809	Interval_5840	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.78059	NA	NA	NA	8.58652	NA	NA	NA	12.13913	NA	NA	NA	56547586	NA	NA	NA	56547809	NA	NA	NA	106
chr16	56679988	56680176	Interval_5841	1	1	TRUE	FALSE	FALSE	FALSE	6.74084	NA	NA	NA	7.83293	NA	NA	NA	11.67503	NA	NA	NA	56679988	NA	NA	NA	56680176	NA	NA	NA	120	NA	NA	NA
chr16	56858404	56858638	Interval_5842	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.61656	NA	NA	NA	1.74443	NA	NA	NA	4.5825	NA	NA	NA	56858404	NA	NA	NA	56858638	NA	NA	NA	148
chr16	56860431	56860604	Interval_5843	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.43668	NA	NA	NA	7.32712	NA	NA	NA	10.79709	NA	NA	NA	56860431	NA	NA	NA	56860604	NA	NA	NA	52
chr16	56862765	56863046	Interval_5844	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.05843	NA	NA	NA	4.92096	NA	NA	NA	8.19054	NA	NA	NA	56862765	NA	NA	NA	56863046	NA	NA	NA	129
chr16	56870973	56871454	Interval_5845	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	9.34712	NA	NA	NA	16.43925	NA	NA	NA	20.29118	NA	NA	NA	56870973	NA	NA	NA	56871454	NA	NA	NA	209
chr16	56888812	56889221	Interval_5846	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	9.43258	NA	NA	NA	16.06159	NA	NA	NA	19.90575	NA	NA	NA	56888812	NA	NA	NA	56889221	NA	NA	NA	121
chr16	56910571	56911118	Interval_5847	2	2	TRUE	FALSE	FALSE	TRUE	6.10979	NA	NA	4.49036	6.5059	NA	NA	4.30248	10.26399	NA	NA	7.5254	56910689	NA	NA	56910571	56910894	NA	NA	56911118	105	NA	NA	199
chr16	56911881	56912283	Interval_5848	3	3	TRUE	FALSE	TRUE	TRUE	5.97639	NA	4.58764	9.79906	5.97954	NA	3.07788	18.27382	9.69198	NA	6.93569	22.17334	56911881	NA	56911982	56911933	56912150	NA	56912106	56912283	149	NA	89	144
chr16	56917111	56917341	Interval_5849	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.94262	NA	NA	NA	7.26214	NA	NA	NA	10.72761	NA	NA	NA	56917111	NA	NA	NA	56917341	NA	NA	NA	92
chr16	56931596	56932054	Interval_5850	2	2	TRUE	FALSE	FALSE	TRUE	5.44199	NA	NA	4.78972	5.79931	NA	NA	5.06336	9.50577	NA	NA	8.36444	56931635	NA	NA	56931596	56932032	NA	NA	56932054	247	NA	NA	367
chr16	56951357	56951764	Interval_5851	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.34948	NA	NA	NA	7.63093	NA	NA	NA	11.12683	NA	NA	NA	56951357	NA	NA	NA	56951764	NA	NA	NA	285
chr16	56989356	56989539	Interval_5852	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.29188	NA	NA	NA	3.03199	NA	NA	NA	6.08658	NA	NA	NA	56989356	NA	NA	NA	56989539	NA	NA	NA	38
chr16	57039232	57039635	Interval_5853	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	8.73915	NA	NA	NA	15.4018	NA	NA	NA	19.22473	NA	NA	NA	57039232	NA	NA	NA	57039635	NA	NA	NA	224
chr16	57042207	57042373	Interval_5854	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.80685	NA	NA	NA	6.69631	NA	NA	NA	10.12606	NA	NA	NA	57042207	NA	NA	NA	57042373	NA	NA	NA	134
chr16	57185709	57185949	Interval_5855	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.98715	NA	NA	NA	8.42915	NA	NA	NA	11.96544	NA	NA	NA	57185709	NA	NA	NA	57185949	NA	NA	NA	93
chr16	57277703	57277978	Interval_5856	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.76879	NA	NA	NA	3.5756	NA	NA	NA	6.71104	NA	NA	NA	57277703	NA	NA	NA	57277978	NA	NA	NA	13
chr16	57336694	57336853	Interval_5857	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.19079	NA	NA	NA	4.55274	NA	NA	NA	7.78987	NA	NA	NA	57336694	NA	NA	NA	57336853	NA	NA	NA	53
