track name="Conventional SE with ABC gene assignments"
1_merged_PDX_cell_lines_AML_3536_lociStitched chr1 7960639 7971891 8020699 8031951 PARK7,PER3,
1_merged_PDX_cell_lines_AML_3537_lociStitched chr19 842433 853684 842433 853684 ELANE,CFD,AZU1,ATP8B3,PLEKHJ1,PRR22,CNN2,FSTL3,GPX4,MRPL54,PIAS4,SBNO2,SMIM24,TMEM259,ARID3A,CDC34,
1_merged_PDX_cell_lines_AML_3538_lociStitched chr14 68787052 68798297 69253769 69265014 ZFP36L1,
1_merged_PDX_cell_lines_AML_3539_lociStitched chr21 46616643 46627884 48036555 48047796 DIP2A,PCNT,PRMT2,
1_merged_PDX_cell_lines_AML_3540_lociStitched chr11 101546546 101557786 101417277 101428517 ,
1_merged_PDX_cell_lines_AML_3541_lociStitched chr7 93039483 93050722 92668797 92680036 ,
1_merged_PDX_cell_lines_AML_3542_lociStitched chr2 42096211 42107449 42323351 42334589 ,
1_merged_PDX_cell_lines_AML_3543_lociStitched chr3 153051059 153062296 152768848 152780085 RAP2B,
1_merged_PDX_cell_lines_AML_3544_lociStitched chr11 111411829 111423065 111282554 111293790 ,
1_merged_PDX_cell_lines_AML_3545_lociStitched chr22 30301073 30312309 30697062 30708298 CCDC157,TBC1D10A,
1_merged_PDX_cell_lines_AML_3546_lociStitched chr1 117606037 117617272 118148659 118159894 ,
1_merged_PDX_cell_lines_AML_3547_lociStitched chr5 143395210 143406445 142774775 142786010 NR3C1,
1_merged_PDX_cell_lines_AML_3548_lociStitched chr9 70074500 70085733 72689416 72700649 ,
1_merged_PDX_cell_lines_AML_3549_lociStitched chr1 156145647 156156877 156115438 156126668 BGLAP,SEMA4A,
1_merged_PDX_cell_lines_AML_3550_lociStitched chr3 193678938 193690164 193396727 193407953 ,
1_merged_PDX_cell_lines_AML_3551_lociStitched chr5 14200002 14211226 14200111 14211335 ,
1_merged_PDX_cell_lines_AML_3552_lociStitched chr2 166355624 166366843 167212134 167223353 ,
1_merged_PDX_cell_lines_AML_3553_lociStitched chr11 104661365 104672580 104532093 104543308 ,
1_merged_PDX_cell_lines_AML_3554_lociStitched chr2 47715911 47727125 47943050 47954264 ,
1_merged_PDX_cell_lines_AML_3555_lociStitched chr12 56715477 56726687 57109261 57120471 NACA,NAB2,TAC3,ZBTB39,HSD17B6,
1_merged_PDX_cell_lines_AML_3556_lociStitched chr7 2103030 2114240 2142665 2153875 CHST12,
1_merged_PDX_cell_lines_AML_3557_lociStitched chr6 43793536 43804742 43761273 43772479 ,
1_merged_PDX_cell_lines_AML_3558_lociStitched chr1 185600657 185611861 185569789 185580993 ,
1_merged_PDX_cell_lines_AML_3559_lociStitched chr8 113921221 113932424 114933450 114944653 ,
1_merged_PDX_cell_lines_AML_3560_lociStitched chr3 77173341 77184544 77222492 77233695 ,
1_merged_PDX_cell_lines_AML_3561_lociStitched chr9 4932374 4943576 4932374 4943576 CDC37L1,JAK2,
1_merged_PDX_cell_lines_AML_3562_lociStitched chr2 667790 678986 667790 678986 ,
1_merged_PDX_cell_lines_AML_3563_lociStitched chr6 36377467 36388658 36345244 36356435 ,
1_merged_PDX_cell_lines_AML_3564_lociStitched chr6 6400239 6411429 6400472 6411662 ,
1_merged_PDX_cell_lines_AML_3565_lociStitched chr6 44697559 44708746 44665296 44676483 RUNX2,
1_merged_PDX_cell_lines_AML_3566_lociStitched chr9 134401083 134412268 137292929 137304114 RXRA,
1_merged_PDX_cell_lines_AML_3567_lociStitched chr18 74479238 74490423 72146473 72157658 ,
1_merged_PDX_cell_lines_AML_3568_lociStitched chr20 60051621 60062803 58626676 58637858 ZNF512B,CDH26,SYCP2,
1_merged_PDX_cell_lines_AML_3569_lociStitched chr17 69168737 69179919 67164878 67176060 ,
1_merged_PDX_cell_lines_AML_3570_lociStitched chr3 45906810 45917991 45948302 45959483 ,
1_merged_PDX_cell_lines_AML_3571_lociStitched chr12 31316113 31327293 31469047 31480227 ,
1_merged_PDX_cell_lines_AML_3572_lociStitched chr2 68826850 68838030 69053982 69065162 ,
1_merged_PDX_cell_lines_AML_3573_lociStitched chr1 89631362 89642541 90096921 90108100 LRRC8C,
1_merged_PDX_cell_lines_AML_3574_lociStitched chr7 8124375 8135554 8164005 8175184 ,
1_merged_PDX_cell_lines_AML_3576_lociStitched chr8 49162662 49173840 50075221 50086399 ,
1_merged_PDX_cell_lines_AML_3575_lociStitched chr15 70257844 70269022 70550183 70561361 ,
1_merged_PDX_cell_lines_AML_3577_lociStitched chr1 12593873 12605057 12653886 12665062 PLOD1,DHRS3,
1_merged_PDX_cell_lines_AML_3578_lociStitched chr1 179968595 179979771 179937730 179948906 ,
1_merged_PDX_cell_lines_AML_3579_lociStitched chr7 17201962 17213135 17241586 17252759 ,
1_merged_PDX_cell_lines_AML_3580_lociStitched chr19 48871084 48882256 49374341 49385513 HSD17B14,NUCB1,EHD2,LIN7B,PLEKHA4,AKT1S1,FUZ,NUP62,PNKP,PPP1R15A,QPCTL,RUVBL2,SNRPD2,
1_merged_PDX_cell_lines_AML_3581_lociStitched chr10 99652202 99663371 101411959 101423128 ENTPD7,COX15,CUTC,SLC25A28,
1_merged_PDX_cell_lines_AML_3582_lociStitched chr11 19266914 19278083 19288461 19299630 ,
1_merged_PDX_cell_lines_AML_3583_lociStitched chr14 98166438 98177603 98632775 98643940 ,
1_merged_PDX_cell_lines_AML_3584_lociStitched chr1 26618071 26629235 26944562 26955726 ,
1_merged_PDX_cell_lines_AML_3585_lociStitched chr17 7878598 7889759 7781916 7793077 NAA38,KDM6B,CYB5D1,ALOX12,PER1,WRAP53,CNTROB,
1_merged_PDX_cell_lines_AML_3586_lociStitched chr3 72155341 72166500 72204492 72215651 ,
1_merged_PDX_cell_lines_AML_3587_lociStitched chr8 2725117 2736288 2582658 2593816 ,
1_merged_PDX_cell_lines_AML_3588_lociStitched chr18 48538647 48549804 46065018 46076175 CTIF,
1_merged_PDX_cell_lines_AML_3589_lociStitched chr3 113238712 113249867 112957559 112968714 ,
1_merged_PDX_cell_lines_AML_3590_lociStitched chr8 131910082 131921233 132922329 132933480 EFR3A,
1_merged_PDX_cell_lines_AML_3591_lociStitched chr7 155354960 155366097 155147641 155158792 ,
1_merged_PDX_cell_lines_AML_3592_lociStitched chr2 57595773 57606923 57822908 57834058 ,
1_merged_PDX_cell_lines_AML_3593_lociStitched chr17 29703041 29714188 28030059 28041206 ADAP2,SSH2,
1_merged_PDX_cell_lines_AML_3594_lociStitched chr9 108635849 108646996 111398129 111409276 ,
1_merged_PDX_cell_lines_AML_3595_lociStitched chr18 10474541 10485687 10474538 10485684 ,
1_merged_PDX_cell_lines_AML_3596_lociStitched chr12 1299911 1311056 1409077 1420222 ,
1_merged_PDX_cell_lines_AML_3597_lociStitched chr3 112455470 112466615 112174317 112185462 SLC35A5,
1_merged_PDX_cell_lines_AML_3598_lociStitched chr2 38067938 38079081 38295081 38306223 CYP1B1,
1_merged_PDX_cell_lines_AML_3601_lociStitched chr4 94891422 94902563 95812573 95823714 ,
1_merged_PDX_cell_lines_AML_3600_lociStitched chr21 15506828 15517969 16879147 16890288 ,
1_merged_PDX_cell_lines_AML_3599_lociStitched chr1 156250329 156261470 156220120 156231261 BGLAP,PAQR6,
1_merged_PDX_cell_lines_AML_3602_lociStitched chr9 122123108 122134247 124885387 124896526 ,
1_merged_PDX_cell_lines_AML_3603_lociStitched chr18 55243219 55254357 52910450 52921588 ,
1_merged_PDX_cell_lines_AML_3604_lociStitched chr13 50886163 50897296 51460299 51471432 RNASEH2B,
1_merged_PDX_cell_lines_AML_3605_lociStitched chr8 120801880 120813012 121814120 121825252 ENPP2,SNTB1,
1_merged_PDX_cell_lines_AML_3606_lociStitched chr16 11408097 11419228 11501953 11513084 LITAF,NUBP1,
1_merged_PDX_cell_lines_AML_3607_lociStitched chr17 3762732 3773861 3666026 3677155 ITGAE,P2RX1,SGSM2,SRR,CAMKK1,
1_merged_PDX_cell_lines_AML_3608_lociStitched chr8 124840000 124851129 125852242 125863371 NSMCE2,SQLE,
1_merged_PDX_cell_lines_AML_3609_lociStitched chr1 204098348 204109476 204067476 204078604 ,
1_merged_PDX_cell_lines_AML_3610_lociStitched chr7 132749006 132760132 132433765 132444892 ,
1_merged_PDX_cell_lines_AML_3611_lociStitched chr3 126486784 126497910 126205627 126216753 ,
1_merged_PDX_cell_lines_AML_3612_lociStitched chr3 8655443 8666567 8697129 8708253 ,
1_merged_PDX_cell_lines_AML_3613_lociStitched chr19 8567179 8578302 8632063 8643186 ZNF414,MYO1F,NDUFA7,PRAM1,RPS28,CD320,ICAM3,NACC1,TRIP10,RAB11B,ACP5,SNAPC2,ZNF627,
1_merged_PDX_cell_lines_AML_3614_lociStitched chr8 102580578 102591698 103592806 103603926 CTHRC1,UBR5,
1_merged_PDX_cell_lines_AML_3615_lociStitched chr5 57171213 57182332 56467040 56478159 MAP3K1,
1_merged_PDX_cell_lines_AML_3616_lociStitched chr3 197654144 197665262 197381015 197392133 ,
1_merged_PDX_cell_lines_AML_3617_lociStitched chr3 46495712 46506830 46537202 46548320 ,
1_merged_PDX_cell_lines_AML_3618_lociStitched chr9 5445637 5456754 5445637 5456754 PLGRKT,
1_merged_PDX_cell_lines_AML_3619_lociStitched chr2 28617215 28628332 28840082 28851199 ,
1_merged_PDX_cell_lines_AML_3620_lociStitched chr5 131205784 131216900 130541477 130552593 HINT1,
1_merged_PDX_cell_lines_AML_3621_lociStitched chr6 13294419 13305531 13294651 13305763 ,
1_merged_PDX_cell_lines_AML_3622_lociStitched chr3 112372483 112383594 112091330 112102441 ,
1_merged_PDX_cell_lines_AML_3623_lociStitched chr12 4144500 4155610 4253666 4264776 C12orf4,RAD51AP1,
1_merged_PDX_cell_lines_AML_3625_lociStitched chr21 45634135 45645243 47054049 47065157 ,
1_merged_PDX_cell_lines_AML_3624_lociStitched chr15 89102291 89113399 89645522 89656630 ,
1_merged_PDX_cell_lines_AML_3626_lociStitched chr1 41732809 41743917 42198480 42209588 FOXJ3,HIVEP3,NFYC,ZNF684,
1_merged_PDX_cell_lines_AML_3627_lociStitched chr5 107976627 107987734 107312328 107323435 ,
1_merged_PDX_cell_lines_AML_3628_lociStitched chr6 161366020 161377126 161787052 161798158 ,
1_merged_PDX_cell_lines_AML_3629_lociStitched chr14 75331989 75343094 75798692 75809797 ,
1_merged_PDX_cell_lines_AML_3630_lociStitched chr11 33904056 33915161 33925603 33936708 ,
1_merged_PDX_cell_lines_AML_3631_lociStitched chr7 30025167 30036269 30064783 30075885 ,
1_merged_PDX_cell_lines_AML_3632_lociStitched chr7 139907833 139918932 139607632 139618731 ,
1_merged_PDX_cell_lines_AML_3633_lociStitched chr16 11790671 11801770 11884527 11895626 CIITA,
1_merged_PDX_cell_lines_AML_3634_lociStitched chr11 14536757 14547846 14558303 14569392 PDE3B,
1_merged_PDX_cell_lines_AML_3635_lociStitched chr4 73586977 73598064 74452694 74463781 ,
1_merged_PDX_cell_lines_AML_3636_lociStitched chr5 76657134 76668219 75952959 75964044 ,
1_merged_PDX_cell_lines_AML_3637_lociStitched chr13 114273885 114284970 115039360 115050445 CDC16,CHAMP1,CUL4A,MCF2L,PCID2,TFDP1,TMEM255B,
1_merged_PDX_cell_lines_AML_3638_lociStitched chr10 22675763 22686846 22964692 22975775 ,
1_merged_PDX_cell_lines_AML_3639_lociStitched chr20 47997888 48008969 46626632 46637713 ,
1_merged_PDX_cell_lines_AML_3640_lociStitched chr4 42635931 42647012 42637948 42649029 ,
1_merged_PDX_cell_lines_AML_3641_lociStitched chr9 9841327 9852405 9841327 9852405 ,
1_merged_PDX_cell_lines_AML_3642_lociStitched chr1 226671093 226682171 226858794 226869872 PSEN2,ITPKB,PARP1,
1_merged_PDX_cell_lines_AML_3643_lociStitched chr10 125151626 125162703 126840195 126851272 EDRF1,
1_merged_PDX_cell_lines_AML_3644_lociStitched chr8 89751009 89762083 90763237 90774311 DECR1,NBN,
1_merged_PDX_cell_lines_AML_3645_lociStitched chr2 203932230 203943302 204796953 204808025 ,
1_merged_PDX_cell_lines_AML_3646_lociStitched chr3 32839586 32850654 32881078 32892146 ,
1_merged_PDX_cell_lines_AML_3647_lociStitched chr1 26369824 26380891 26696315 26707382 SH3BGRL3,
1_merged_PDX_cell_lines_AML_3650_lociStitched chr7 77236944 77248008 76866261 76877325 ,
1_merged_PDX_cell_lines_AML_3649_lociStitched chr8 133534593 133545657 134546836 134557900 ST3GAL1,
1_merged_PDX_cell_lines_AML_3648_lociStitched chr14 60064844 60075908 60531562 60542626 ,
1_merged_PDX_cell_lines_AML_3651_lociStitched chr16 54276875 54287936 54310787 54321848 RPGRIP1L,
1_merged_PDX_cell_lines_AML_3652_lociStitched chr3 45942281 45953340 45983773 45994832 ,
1_merged_PDX_cell_lines_AML_3654_lociStitched chr1 59688514 59699572 60154186 60165244 FGGY,JUN,
1_merged_PDX_cell_lines_AML_3653_lociStitched chr9 2653865 2664923 2653865 2664923 VLDLR,
1_merged_PDX_cell_lines_AML_3655_lociStitched chr13 23460285 23471340 24034424 24045479 ,
1_merged_PDX_cell_lines_AML_3656_lociStitched chr4 157034599 157045651 157955751 157966803 ,
1_merged_PDX_cell_lines_AML_3658_lociStitched chr5 132683815 132694867 132019507 132030559 ,
1_merged_PDX_cell_lines_AML_3657_lociStitched chr22 44448729 44459781 44844609 44855661 PARVG,SAMM50,
1_merged_PDX_cell_lines_AML_3659_lociStitched chr10 95959957 95971007 97719714 97730764 ,
1_merged_PDX_cell_lines_AML_3660_lociStitched chr3 113740323 113751372 113459170 113470219 ,
1_merged_PDX_cell_lines_AML_3661_lociStitched chr2 241725340 241736389 242664755 242675804 ATG4B,DTYMK,ING5,THAP4,
1_merged_PDX_cell_lines_AML_3663_lociStitched chr4 76985256 76996304 77906409 77917457 ,
1_merged_PDX_cell_lines_AML_3664_lociStitched chr7 129008037 129019085 128648091 128659139 ,
1_merged_PDX_cell_lines_AML_3662_lociStitched chr11 129943825 129954873 129813720 129824768 NFRKB,
1_merged_PDX_cell_lines_AML_3665_lociStitched chr11 101508133 101519180 101378864 101389911 ,
1_merged_PDX_cell_lines_AML_3666_lociStitched chr12 32515083 32526129 32668017 32679063 ,
1_merged_PDX_cell_lines_AML_3667_lociStitched chr3 37167840 37178886 37209331 37220377 TRANK1,
1_merged_PDX_cell_lines_AML_3668_lociStitched chr19 7343936 7354983 7408840 7419885 ,
1_merged_PDX_cell_lines_AML_3669_lociStitched chr4 95593733 95604777 96514884 96525928 UNC5C,
1_merged_PDX_cell_lines_AML_3670_lociStitched chr19 15459993 15471036 15570804 15581847 WIZ,AKAP8L,RASAL3,
1_merged_PDX_cell_lines_AML_3671_lociStitched chrX 119661600 119672642 118795563 118806605 ,
1_merged_PDX_cell_lines_AML_3673_lociStitched chr8 119973140 119984182 120985380 120996422 ,
1_merged_PDX_cell_lines_AML_3672_lociStitched chr12 635212 646254 744378 755420 NINJ2,
1_merged_PDX_cell_lines_AML_3674_lociStitched chr17 64073466 64084507 62150826 62161867 CD79B,ERN1,LRRC37A3,
1_merged_PDX_cell_lines_AML_3675_lociStitched chr3 43385528 43396565 43427020 43438057 ,
1_merged_PDX_cell_lines_AML_3676_lociStitched chr18 22821632 22832668 20401595 20412631 ,
1_merged_PDX_cell_lines_AML_3677_lociStitched chr4 139205693 139216728 140126847 140137882 ,
1_merged_PDX_cell_lines_AML_3678_lociStitched chr12 87130395 87141430 87524172 87535207 ,
1_merged_PDX_cell_lines_AML_3679_lociStitched chr14 75180650 75191685 75647353 75658388 FOS,
1_merged_PDX_cell_lines_AML_3680_lociStitched chr12 104561813 104572847 104955591 104966625 BTBD11,
1_merged_PDX_cell_lines_AML_3681_lociStitched chr1 231416568 231427600 231552314 231563346 EGLN1,
1_merged_PDX_cell_lines_AML_3682_lociStitched chr1 201707835 201718867 201676963 201687995 IPO9,TIMM17A,
1_merged_PDX_cell_lines_AML_3683_lociStitched chr17 74518573 74529604 72514712 72525743 CD300LB,FDXR,
1_merged_PDX_cell_lines_AML_3684_lociStitched chr20 62972556 62983586 61603908 61614938 ,
1_merged_PDX_cell_lines_AML_3686_lociStitched chr20 32532219 32543249 31120022 31131051 ASXL1,DNMT3B,NOL4L,
1_merged_PDX_cell_lines_AML_3685_lociStitched chr17 21368796 21379825 21272108 21283137 LLGL1,MAP2K3,
1_merged_PDX_cell_lines_AML_3687_lociStitched chr10 22627158 22638186 22916087 22927115 ,
1_merged_PDX_cell_lines_AML_3688_lociStitched chr2 110851491 110862519 111609068 111620096 ,
1_merged_PDX_cell_lines_AML_3689_lociStitched chr3 160398067 160409085 160115855 160126873 IL12A,IFT80,
1_merged_PDX_cell_lines_AML_3690_lociStitched chr2 1604618 1615636 1608390 1619408 ,
1_merged_PDX_cell_lines_AML_3691_lociStitched chr4 140232887 140243903 141154041 141165057 ,
1_merged_PDX_cell_lines_AML_3692_lociStitched chr18 58532558 58543571 56199790 56210803 ,
1_merged_PDX_cell_lines_AML_3693_lociStitched chr7 150513496 150524507 150210584 150221595 ,
1_merged_PDX_cell_lines_AML_3694_lociStitched chr3 129945264 129956274 129664107 129675117 ,
1_merged_PDX_cell_lines_AML_3695_lociStitched chr1 202800756 202811766 202769884 202780894 ARL8A,ADIPOR1,RABIF,
1_merged_PDX_cell_lines_AML_3696_lociStitched chr22 36415754 36426763 36811799 36822808 ,
1_merged_PDX_cell_lines_AML_3697_lociStitched chr21 33298795 33309804 34671100 34682109 ,
1_merged_PDX_cell_lines_AML_3698_lociStitched chr10 45367484 45378491 45862932 45873939 ,
1_merged_PDX_cell_lines_AML_3699_lociStitched chr19 18168342 18179347 18279152 18290157 ,
1_merged_PDX_cell_lines_AML_3700_lociStitched chr15 42601452 42612455 42893650 42904653 ,
1_merged_PDX_cell_lines_AML_3701_lociStitched chr9 129481985 129492987 132244264 132255266 DOLK,
1_merged_PDX_cell_lines_AML_3702_lociStitched chr8 107510194 107521195 108522422 108533423 ANGPT1,
1_merged_PDX_cell_lines_AML_3703_lociStitched chr1 172389483 172400484 172358623 172369624 ,
1_merged_PDX_cell_lines_AML_3704_lociStitched chr8 109383537 109394534 110395766 110406763 ,
1_merged_PDX_cell_lines_AML_3705_lociStitched chr2 223869187 223880181 224733904 224744898 WDFY1,
1_merged_PDX_cell_lines_AML_3706_lociStitched chr16 29004278 29015271 29015599 29026592 LAT,
1_merged_PDX_cell_lines_AML_3707_lociStitched chr3 129572625 129583618 129291468 129302461 PLXND1,
1_merged_PDX_cell_lines_AML_3708_lociStitched chr7 128313076 128324069 127953129 127964122 ,
1_merged_PDX_cell_lines_AML_3709_lociStitched chr12 89855065 89866056 90248842 90259833 ,
1_merged_PDX_cell_lines_AML_3710_lociStitched chr4 151401358 151412348 152322510 152333500 ,
1_merged_PDX_cell_lines_AML_3711_lociStitched chr6 22145276 22156264 22145505 22156493 ,
1_merged_PDX_cell_lines_AML_3712_lociStitched chr1 158281984 158292967 158251774 158262757 ,
1_merged_PDX_cell_lines_AML_3714_lociStitched chr2 47733440 47744419 47960579 47971558 ,
1_merged_PDX_cell_lines_AML_3713_lociStitched chr2 235959482 235970461 236868126 236879105 ,
1_merged_PDX_cell_lines_AML_3715_lociStitched chr2 195556046 195567025 196420770 196431749 ,
1_merged_PDX_cell_lines_AML_3716_lociStitched chr2 217215847 217226825 218080570 218091548 ,
1_merged_PDX_cell_lines_AML_3717_lociStitched chr1 89753080 89764054 90218639 90229613 LRRC8B,LRRC8C,
1_merged_PDX_cell_lines_AML_3718_lociStitched chr12 132436147 132447120 133012733 133023706 ,
1_merged_PDX_cell_lines_AML_3719_lociStitched chr17 64918525 64929496 62914643 62925614 ,
1_merged_PDX_cell_lines_AML_3720_lociStitched chr20 13610512 13621483 13591159 13602130 ,
1_merged_PDX_cell_lines_AML_3721_lociStitched chr12 3722744 3733713 3831910 3842879 TULP3,
1_merged_PDX_cell_lines_AML_3722_lociStitched chr2 58954888 58965857 59182023 59192992 ,
1_merged_PDX_cell_lines_AML_3723_lociStitched chr19 47483182 47494149 47986439 47997406 BCAM,C5AR2,CCDC114,CCDC9,DACT3,HSD17B14,LIG1,KPTN,
1_merged_PDX_cell_lines_AML_3724_lociStitched chr9 74273224 74284189 76888140 76899105 ,
1_merged_PDX_cell_lines_AML_3725_lociStitched chr1 226060046 226071009 226247747 226258710 ACBD3,
1_merged_PDX_cell_lines_AML_3726_lociStitched chr13 91309108 91320069 91961362 91972323 ,
1_merged_PDX_cell_lines_AML_3727_lociStitched chr3 127728293 127739253 127447136 127458096 ,
1_merged_PDX_cell_lines_AML_3728_lociStitched chr6 26215228 26226186 26215456 26226414 TRIM38,ZNF391,
1_merged_PDX_cell_lines_AML_3729_lociStitched chr1 206765605 206776563 206938950 206949908 ,
1_merged_PDX_cell_lines_AML_3730_lociStitched chr12 119586321 119597276 120024126 120035081 ,
1_merged_PDX_cell_lines_AML_3731_lociStitched chr2 230581879 230592832 231446594 231457547 ,
1_merged_PDX_cell_lines_AML_3732_lociStitched chr11 34804657 34815608 34826204 34837155 ,
1_merged_PDX_cell_lines_AML_3733_lociStitched chr12 66385671 66396616 66779451 66790396 ,
1_merged_PDX_cell_lines_AML_3734_lociStitched chrX 44336084 44347028 44195330 44206274 ,
1_merged_PDX_cell_lines_AML_3735_lociStitched chr19 46713164 46724104 47216421 47227361 ARHGAP35,PAFAH1B3,SAE1,ZC3H4,CALM3,DACT3,FKRP,PPP5D1,PTGIR,STRN4,CCDC61,OPA3,SLC1A5,
1_merged_PDX_cell_lines_AML_3736_lociStitched chr1 94598667 94609607 95064223 95075163 F3,
1_merged_PDX_cell_lines_AML_3737_lociStitched chr7 44991545 45002485 45031144 45042084 TBRG4,
1_merged_PDX_cell_lines_AML_3738_lociStitched chr20 62125706 62136645 60700762 60711701 ADRM1,LAMA5,LSM14B,PSMA7,SS18L1,
1_merged_PDX_cell_lines_AML_3739_lociStitched chr2 43103442 43114374 43330580 43341513 ,
1_merged_PDX_cell_lines_AML_3740_lociStitched chr21 46421782 46432714 47841696 47852627 DIP2A,
1_merged_PDX_cell_lines_AML_3741_lociStitched chr16 78890326 78901257 78924223 78935154 ,
1_merged_PDX_cell_lines_AML_3742_lociStitched chr2 214741029 214751951 215605753 215616675 ,
1_merged_PDX_cell_lines_AML_3743_lociStitched chr1 160446163 160457084 160415953 160426874 ,
1_merged_PDX_cell_lines_AML_3744_lociStitched chr14 89362840 89373760 89829184 89840104 ,
1_merged_PDX_cell_lines_AML_3745_lociStitched chr13 30614391 30625310 31188528 31199447 ,
1_merged_PDX_cell_lines_AML_3746_lociStitched chr7 99089122 99100040 98686745 98697663 ,
1_merged_PDX_cell_lines_AML_3747_lociStitched chr1 156742696 156753612 156712488 156723404 PRCC,ISG20L2,HDGF,MRPL24,NTRK1,SH2D2A,
1_merged_PDX_cell_lines_AML_3748_lociStitched chr18 63946296 63957212 61613530 61624446 ,
1_merged_PDX_cell_lines_AML_3749_lociStitched chr3 143969737 143980651 143688579 143699493 ,
1_merged_PDX_cell_lines_AML_3750_lociStitched chr10 88381924 88392836 90141681 90152593 PTEN,
1_merged_PDX_cell_lines_AML_3751_lociStitched chr15 62935222 62946134 63227421 63238333 APH1B,RPS27L,
1_merged_PDX_cell_lines_AML_3752_lociStitched chr10 127916519 127927431 129714783 129725695 EBF3,PTPRE,
1_merged_PDX_cell_lines_AML_3753_lociStitched chr2 20347381 20358291 20547142 20558052 HS1BP3,WDR35,
1_merged_PDX_cell_lines_AML_3754_lociStitched chr9 37989126 38000035 37989123 38000032 ALDH1B1,POLR1E,SHB,TPM2,
1_merged_PDX_cell_lines_AML_3755_lociStitched chr7 16413340 16424249 16452965 16463874 ,
1_merged_PDX_cell_lines_AML_3756_lociStitched chr3 13065820 13076726 13107320 13118226 RPL32,
1_merged_PDX_cell_lines_AML_3757_lociStitched chr15 65830615 65841519 66122953 66133857 DENND4A,ZNF609,
1_merged_PDX_cell_lines_AML_3758_lociStitched chr9 29315269 29326173 29315267 29326171 ,
1_merged_PDX_cell_lines_AML_3759_lociStitched chr19 51816129 51827033 52319382 52330286 CLDND2,LAIR1,SIGLEC8,ZNF614,SIGLEC9,ZNF175,ZNF350,
1_merged_PDX_cell_lines_AML_3760_lociStitched chr10 61984459 61995362 63744218 63755121 RTKN2,
1_merged_PDX_cell_lines_AML_3762_lociStitched chr17 77400147 77411047 75396229 75407129 ,
1_merged_PDX_cell_lines_AML_3761_lociStitched chr17 50944037 50954937 49021398 49032298 ANKRD40,
1_merged_PDX_cell_lines_AML_3763_lociStitched chr17 64055124 64066024 62132484 62143384 ,
1_merged_PDX_cell_lines_AML_3764_lociStitched chr6 26268401 26279293 26268629 26279521 BTN3A3,ABT1,BTN2A2,
1_merged_PDX_cell_lines_AML_3765_lociStitched chr3 52194367 52205253 52228383 52239269 ,
1_merged_PDX_cell_lines_AML_3766_lociStitched chr16 58850097 58860977 58884001 58894881 ,
1_merged_PDX_cell_lines_AML_3767_lociStitched chr9 121388290 121399170 124150568 124161448 ,
1_merged_PDX_cell_lines_AML_3768_lociStitched chr1 37842928 37853807 38308600 38319479 C1orf109,CDCA8,MTF1,OXCT2,YRDC,
1_merged_PDX_cell_lines_AML_3769_lociStitched chr6 137692594 137703472 138013731 138024609 ,
1_merged_PDX_cell_lines_AML_3770_lociStitched chr3 72134844 72145717 72183995 72194868 ,
1_merged_PDX_cell_lines_AML_3771_lociStitched chr14 89612617 89623490 90078961 90089834 ,
1_merged_PDX_cell_lines_AML_3772_lociStitched chr1 89814404 89825277 90279963 90290836 GCLM,LRRC8D,LRRC8C,GBP2,RPL5,
1_merged_PDX_cell_lines_AML_3773_lociStitched chr6 41956586 41967455 41924324 41935193 ,
1_merged_PDX_cell_lines_AML_3774_lociStitched chr12 128910884 128921747 129395429 129406292 SLC15A4,GLT1D1,
1_merged_PDX_cell_lines_AML_3775_lociStitched chr6 13919020 13929883 13919251 13930114 ,
1_merged_PDX_cell_lines_AML_3776_lociStitched chr18 10259892 10270753 10259889 10270750 ,
1_merged_PDX_cell_lines_AML_3777_lociStitched chr22 23239900 23250761 23582087 23592948 ,
1_merged_PDX_cell_lines_AML_3778_lociStitched chr6 67881404 67892265 68591297 68602157 ,
1_merged_PDX_cell_lines_AML_3779_lociStitched chr11 46552738 46563597 46574288 46585147 MDK,
1_merged_PDX_cell_lines_AML_3780_lociStitched chr19 51563551 51574409 52066804 52077662 ZNF175,C19orf48,SIGLEC8,ZNF432,
1_merged_PDX_cell_lines_AML_3782_lociStitched chr2 96523735 96534593 97189472 97200330 ARID5A,ANKRD23,
1_merged_PDX_cell_lines_AML_3781_lociStitched chr10 17225641 17236499 17267640 17278498 STAM,ST8SIA6,VIM,
1_merged_PDX_cell_lines_AML_3783_lociStitched chr20 47762386 47773244 46391130 46401988 SULF2,
1_merged_PDX_cell_lines_AML_3784_lociStitched chr1 61037374 61048230 61503046 61513902 ,
1_merged_PDX_cell_lines_AML_3785_lociStitched chr14 20468084 20478938 20936243 20947097 RNASE1,
1_merged_PDX_cell_lines_AML_3786_lociStitched chr5 172683042 172693895 172110045 172120898 STK10,
1_merged_PDX_cell_lines_AML_3787_lociStitched chr22 40457028 40467881 40853032 40863885 ,
1_merged_PDX_cell_lines_AML_3788_lociStitched chr1 17428911 17439762 17755407 17766258 ATP13A2,
1_merged_PDX_cell_lines_AML_3789_lociStitched chr13 36412514 36423364 36986651 36997501 CCNA1,
1_merged_PDX_cell_lines_AML_3790_lociStitched chr10 62231293 62242137 63991052 64001896 ,
1_merged_PDX_cell_lines_AML_3791_lociStitched chr20 37983254 37994096 36611656 36622498 EIF6,RPRD1B,TTI1,
1_merged_PDX_cell_lines_AML_3792_lociStitched chr1 185282569 185293408 185251701 185262540 ,
