,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
HOXB6,13.0,5.0,4.0,10.0,5.0,5.0,3.0,7.38
ENO3,64.0,97.0,104.0,73.0,64.0,46.0,50.0,102.0
PFN1,13139.0,24087.0,21657.0,15853.0,12942.0,11595.0,11785.0,23507.0
RNF167,2149.2,3703.2,3571.4,2494.0,1767.0,1778.3,1572.1,3589.6
SLC25A11,807.83,1587.8,1426.6,954.98,946.0,743.73,795.91,1637.4
RASD1,0.0,3.0,3.0,3.0,5.0,0.0,2.0,2.0
CHRNE,1.0,10.21,5.08,3.0,4.22,2.0,2.12,8.1
RAI1,1149.3,1847.2,1443.4,1057.0,783.75,703.86,676.79,1448.9
NUP88,1473.7,2261.8,2382.9,1612.4,1306.6,1232.5,1196.8,2532.4
C1QBP,3527.0,6153.0,5870.0,4306.0,3955.0,3261.0,3199.0,7269.0
SLC6A4,2.0,1.0,0.0,1.0,0.0,3.0,2.0,5.0
BLMH,771.0,1462.0,1419.0,905.0,766.0,722.0,728.0,1487.0
CPD,2701.0,3624.0,3947.0,2590.0,2299.0,2396.0,2228.0,4455.0
GOSR1,1199.0,1784.0,1780.0,1473.0,1126.0,1111.0,1027.0,2087.0
CCDC47,3014.0,4128.9,4440.0,3268.0,2646.0,2567.0,2514.0,5216.0
MED31,101.8,136.31,205.65,124.42,113.58,111.75,107.97,262.37
DRG2,582.84,1106.5,1021.9,634.0,643.85,491.92,493.8,1131.8
FTSJ3,1506.5,2252.9,2197.0,1682.3,1405.0,1238.0,1161.5,2846.3
AKAP10,507.0,780.0,812.0,582.0,507.0,470.0,446.0,942.0
SMARCD2,2156.0,4032.0,3677.0,2512.0,2069.0,1785.0,1785.0,3929.0
ICAM2,60.84,166.3,142.75,90.79,56.85,43.88,60.95,100.75
SYNGR2,695.0,1545.0,1155.0,751.0,850.0,571.0,585.0,1236.0
B9D1,20.0,75.05,53.07,34.0,37.0,29.0,24.0,45.0
UTP6,2116.0,3386.0,3824.0,2487.0,2318.0,2093.0,2122.0,4262.0
DDX5,10290.0,14815.0,15827.0,11162.0,9868.4,9126.0,8891.5,19605.0
C17orf75,165.0,242.03,316.03,231.0,160.0,152.0,148.0,297.0
CYTH1,450.0,826.0,756.0,551.0,441.0,366.0,330.0,765.0
PSMD11,1549.0,2563.0,2363.0,1645.0,1470.0,1320.0,1215.0,2735.0
LGALS3BP,35.0,46.0,40.0,29.0,24.0,32.0,29.0,52.0
CCL7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL2,18.0,30.0,47.0,11.0,14.0,18.0,12.0,25.0
CCL1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PEX12,71.0,142.0,136.0,97.0,81.0,77.0,84.0,138.0
DHX58,25.0,53.0,52.0,40.0,17.0,24.0,14.0,47.0
KAT2A,886.0,1681.9,1532.0,976.0,1028.0,767.0,738.0,1744.0
RAB5C,2492.0,3961.7,3657.0,2655.0,2285.0,1994.0,1930.0,4233.0
NAGLU,122.0,237.0,189.0,126.0,132.0,90.0,127.0,223.0
HSD17B1P1,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
HSD17B1,95.86,123.23,128.1,108.7,66.15,53.52,60.19,123.88
MLX,1314.4,2248.7,2166.1,1518.9,1315.1,1075.6,1001.9,2443.9
CNTNAP1,37.49,57.0,66.0,39.0,26.0,15.0,17.0,49.0
ABI3,22.0,33.26,20.0,28.37,18.0,15.0,14.4,38.3
EZH1,329.0,558.0,608.0,423.0,290.0,296.0,274.0,524.0
DLX4,90.0,144.0,107.0,106.0,57.0,59.0,56.0,116.0
PPP1R9B,3999.0,5761.0,5549.0,4591.0,3390.0,3238.0,2900.0,6449.0
COL1A1,4.0,13.0,4.0,5.0,9.0,3.0,4.0,12.0
SGCA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PTGES3L-AARSD1,51.45,61.11,101.51,39.14,42.0,35.96,35.99,75.1
MRPL27,374.0,680.0,604.0,432.0,439.0,354.0,386.0,799.0
VAT1,2230.0,4047.0,3624.0,2672.0,1837.0,1669.0,1533.0,3221.0
LRRC59,3700.9,6305.5,5885.6,4213.7,3469.8,3105.4,3032.9,6733.3
RND2,0.0,5.0,0.0,3.0,1.0,1.0,4.0,3.0
ALOX12,170.93,285.81,311.51,193.77,75.0,88.0,57.54,133.81
HDAC5,993.0,1935.0,1724.0,1008.0,880.0,724.0,791.0,1599.0
ABCC3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
LUC7L3,3599.0,5258.0,6068.0,4749.0,4055.0,4440.0,3753.0,8580.0
MPP2,53.0,71.0,70.0,63.0,43.0,38.0,31.0,73.0
SMURF2,391.0,519.0,628.0,445.0,364.0,403.0,364.0,737.0
DUSP3,2480.0,4179.0,3994.0,2842.0,3035.0,2496.0,2523.0,5368.0
EFTUD2,2640.0,4918.0,4408.0,3003.0,2904.0,2426.0,2333.0,5119.0
SLC16A6,4.0,10.0,25.0,13.72,17.0,20.72,24.72,20.5
PRKAR1A,4693.0,6046.0,6506.0,5090.0,3780.0,4177.0,3727.0,7682.0
EFNB3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
FAM20A,2.0,6.0,4.0,4.0,1.0,0.0,6.0,5.0
YWHAE,9686.0,14790.0,15819.0,11375.0,10516.0,11003.0,9870.0,20676.0
MMD,273.0,343.0,363.0,331.0,211.0,252.0,194.0,469.0
RANGRF,190.11,446.47,378.01,252.63,223.66,153.37,155.38,406.33
DPH1,352.38,715.45,540.78,365.21,330.8,258.11,222.43,660.67
MAP2K6,71.0,118.0,120.0,79.0,84.0,71.0,83.0,154.0
DHRS7B,190.0,346.0,305.0,220.0,208.0,163.0,157.0,345.0
WSB1,1677.0,2749.0,3318.0,2209.0,2045.0,2225.0,1982.0,3951.0
RCVRN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SLC9A3R1,2333.2,4001.7,3629.0,2704.9,2123.5,2055.0,1934.4,3778.1
MYH3,59.0,89.0,95.0,75.0,63.0,74.0,50.0,146.0
NAT9,279.0,551.0,482.0,371.0,328.0,254.0,260.0,593.0
TMEM104,674.0,1138.0,853.0,656.0,570.0,430.0,438.0,981.0
VTN,2.0,2.41,0.0,1.0,3.55,0.0,1.0,4.0
TNFAIP1,256.0,407.0,423.0,274.0,243.0,196.0,222.0,415.0
IFT20,150.05,233.67,278.53,186.28,155.4,156.15,134.1,324.82
TMEM97,3898.9,6892.3,8511.5,5683.7,3457.6,3771.9,3735.9,6499.2
CDR2L,54.0,91.0,98.0,70.0,58.0,54.0,56.0,99.0
PMP22,98.0,143.0,136.0,106.0,102.0,101.0,95.0,173.0
UNC119,283.0,587.0,527.0,336.0,328.0,237.0,275.0,586.0
ALDOC,2302.0,4553.0,5619.0,3501.3,1731.5,1757.4,1906.2,3172.0
SUPT6H,3481.0,4911.0,4748.0,3505.0,2653.0,2307.0,2230.0,5168.0
RAB34,695.0,1351.0,1362.0,842.0,757.0,539.0,648.0,1355.0
PHF12,1281.0,1891.1,1791.6,1387.0,1072.0,952.0,892.0,1997.0
TMEM33,1894.0,2425.0,2439.0,1995.0,1673.0,1801.0,1526.0,3342.0
GABRA4,29.0,28.0,32.0,21.0,7.0,9.0,14.0,16.0
GNRHR,1.0,7.0,5.0,1.0,3.0,2.0,4.0,3.0
SLAIN2,1090.0,1462.0,1558.0,1223.0,1003.0,989.0,951.0,1886.0
OCIAD1,1536.0,2344.0,2667.0,1970.0,1682.0,1625.0,1642.6,3179.0
DCUN1D4,461.0,672.0,685.0,575.0,488.0,565.0,470.0,1001.0
USP46,208.0,361.0,387.0,244.0,225.0,234.0,204.0,484.0
SULT1E1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHIC2,158.0,262.0,285.0,219.0,138.0,125.0,135.0,255.0
CRACD,3.0,7.0,9.0,6.0,1.0,1.0,0.0,11.0
LAMTOR3,401.0,671.0,738.0,474.0,503.0,580.0,507.0,981.0
NFKB1,856.0,1255.0,1221.0,861.0,714.0,637.0,572.0,1302.0
AREG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANBA,524.56,891.0,976.0,649.0,664.0,597.0,575.0,1222.0
UBE2D3,4629.0,5806.0,6801.0,5220.0,3626.0,3948.0,3597.0,7938.0
MAPK10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
ELF2,983.0,1337.0,1526.0,1101.0,940.0,915.0,906.0,1810.0
NDUFC1,189.0,343.0,365.0,200.0,235.0,195.0,220.0,424.0
TBC1D9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZNF330,987.0,1439.0,1692.0,1172.0,902.0,908.0,931.0,1846.0
INPP4B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GAB1,18.0,21.0,25.0,13.0,14.0,9.0,12.0,34.0
KLHL2,325.82,503.98,556.0,416.0,320.0,324.0,334.0,596.0
RPL34,2995.0,6966.0,7049.0,3980.0,3877.0,3205.0,3153.0,7000.0
WFS1,2.0,6.0,3.0,4.0,4.0,1.0,1.0,2.0
GRPEL1,1342.0,2423.0,2349.0,1588.0,1336.0,1207.0,1250.0,2643.0
GAR1,544.0,692.0,933.0,683.0,458.0,526.0,410.0,1363.0
FRG1,910.63,1363.8,1647.3,1256.7,792.17,872.92,782.9,1844.9
CLCN3,770.0,1002.0,1061.0,796.0,622.0,674.0,616.0,1142.0
GALNT7,757.0,1012.0,1023.0,785.0,777.73,817.0,702.27,1454.0
DHX15,4313.0,6692.0,6930.0,4696.0,4600.0,4316.0,4246.0,8372.0
SEPSECS,331.0,489.0,540.0,422.0,326.0,378.0,359.0,622.0
CPZ,6.75,10.7,14.0,8.61,15.0,8.0,14.0,22.63
TRIM2,4.0,4.0,9.0,13.0,1.0,2.0,1.0,3.0
SLC2A9,182.0,387.0,336.0,190.0,237.0,204.0,187.0,407.0
FBXW7,643.0,941.0,992.0,770.0,606.0,621.0,593.0,1158.0
NEIL3,259.0,391.0,468.0,322.0,264.0,232.0,223.0,524.0
TBC1D19,19.0,23.0,32.0,24.0,23.0,13.0,16.0,24.0
NSD2,4316.0,7276.0,6913.0,4854.0,3884.0,3387.0,3345.0,7413.0
SH3D19,2.2,3.02,3.2,0.0,2.4,2.42,0.0,1.0
STIM2,183.0,230.0,245.0,181.0,166.0,189.0,138.0,344.0
NKX3-2,17.0,55.0,62.0,44.0,20.0,37.0,23.0,41.0
MFSD10,1120.0,3164.0,2245.0,1216.0,1408.0,1017.0,983.0,2007.0
BST1,69.0,132.0,137.0,75.0,85.0,85.0,73.0,163.0
RAPGEF2,148.0,234.0,237.0,162.0,120.0,124.0,99.0,230.0
HGFAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX25,1.0,4.0,1.0,1.0,4.0,0.0,3.0,6.0
LRP2BP,2.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0
UFSP2,181.93,294.45,333.92,265.36,158.43,169.29,158.62,334.18
KLF3,251.0,329.0,419.0,316.0,230.0,241.0,218.0,416.0
KLHL5,147.0,176.93,185.98,122.0,109.0,105.0,112.0,207.0
NCAPG,1614.6,2356.9,2699.7,2007.4,1730.9,1772.5,1597.2,3226.5
UGDH,422.0,594.0,721.24,523.0,336.32,343.0,314.0,640.0
PPARGC1A,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CRYAB,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
HTATIP2,429.0,761.0,791.0,575.0,437.0,393.0,366.0,842.0
CTSC,1982.0,3012.0,3096.0,2324.0,2054.0,1729.0,1749.0,3692.0
CCDC34,281.0,440.0,494.0,362.0,276.0,346.0,281.0,662.0
ZBTB16,52.0,71.0,48.0,39.0,24.0,27.0,16.0,46.0
ELP4,420.0,583.0,670.0,521.0,452.0,442.0,450.0,805.0
ZPR1,1210.0,2182.0,2087.0,1484.0,1306.3,1148.0,1071.0,2505.0
MTCH2,1391.0,2626.0,2444.0,1700.0,1702.0,1328.0,1319.0,3040.0
FNBP4,2011.0,2899.0,3105.0,2378.0,2047.0,2109.0,1845.0,4021.0
TECTA,5.0,5.28,6.0,5.0,1.0,1.0,2.0,3.0
SC5D,912.0,1018.0,1485.0,1194.0,689.0,914.0,754.0,1398.0
CRTAM,2.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0
B3GAT1,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
HSPA8,24396.0,38778.0,38322.0,27362.0,25925.0,22367.0,22705.0,49371.0
VWA5A,74.0,157.0,151.0,120.0,49.0,58.0,57.0,85.0
DNAJC4,358.98,683.85,567.91,460.96,268.99,235.0,215.0,450.95
SIAE,294.96,534.58,572.56,410.08,399.71,408.42,382.31,803.39
SNX15,205.0,380.0,327.0,224.0,156.0,160.0,136.0,336.0
LPXN,2109.0,3348.0,3424.0,2564.0,1714.0,1647.0,1530.0,3285.0
DTX4,577.0,1115.0,891.0,572.0,543.0,415.0,397.0,888.0
ATG2A,347.0,642.0,493.0,351.0,310.0,252.0,228.0,431.0
EHD1,809.0,1433.0,1395.0,858.0,699.0,564.0,528.0,1163.0
OSBP,1949.0,3118.0,3128.0,2179.0,1531.0,1504.0,1481.0,2949.0
UNC93B1,1426.0,2954.0,2216.0,1437.1,1460.0,1034.0,1071.0,2390.0
PUS3,167.0,278.0,295.0,209.0,173.0,146.0,149.0,375.0
DCPS,436.0,784.0,712.0,517.0,409.0,314.0,336.0,805.0
KMT5B,873.0,1174.0,1369.0,988.0,848.0,829.0,796.0,1594.0
FOXRED1,360.0,682.0,670.0,436.0,433.0,369.0,365.0,780.0
PPP6R3,2646.0,3632.0,3859.0,2957.0,2382.0,2562.0,2227.0,4676.0
NRXN2,62.0,77.0,86.0,68.0,28.0,17.0,28.0,68.0
MS4A6A,3015.0,4732.0,5001.0,3496.0,3960.0,3828.0,3487.0,7935.0
MS4A4A,120.0,217.0,222.0,151.0,138.0,167.0,123.0,250.0
ST3GAL4,763.0,1352.0,1208.0,888.0,665.0,565.0,542.0,1283.0
CPT1A,3592.0,6179.0,6013.0,4121.0,4155.0,3665.0,3395.0,8128.0
CCND1,94.91,158.66,144.96,136.84,47.0,55.26,47.0,93.0
CCDC86,622.32,987.81,966.0,730.93,586.0,451.0,459.0,1010.0
PRPF19,2731.0,5154.0,4661.0,3035.0,2912.0,2371.0,2430.0,5305.0
TMEM109,1348.0,2472.0,2071.0,1359.0,1107.0,909.0,940.0,1860.0
HPX,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
TRIM3,36.0,84.0,75.0,54.0,38.0,25.0,34.0,53.0
CHORDC1,1063.0,1331.0,1450.0,1208.0,1022.0,1092.0,1037.0,2121.0
ANAPC15,480.68,778.4,792.84,565.06,450.72,392.81,391.73,965.8
PANX1,406.0,610.0,635.0,409.0,333.0,326.0,340.0,556.0
ARHGEF17,95.0,171.23,165.47,106.0,100.0,62.0,96.0,231.0
CEP164,631.0,1058.0,955.0,754.0,646.0,564.0,446.0,1127.0
RNF141,264.0,424.0,406.0,308.0,248.0,253.0,235.0,452.0
CEP126,1.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0
EIF4G2,15957.0,24104.0,25011.0,17977.0,15440.0,15838.0,14837.0,28809.0
IL10RA,219.0,427.0,360.0,248.0,253.0,242.0,242.0,446.0
GALNT18,6.0,6.0,10.0,4.0,3.0,2.0,3.0,12.0
BIRC2,551.0,752.0,907.0,674.0,514.0,597.0,530.0,985.0
UBE4A,1738.2,2308.9,2194.8,1625.4,1294.4,1270.4,1245.1,2418.1
DDX6,5094.0,7117.0,7569.0,5450.0,4097.0,4246.0,3778.0,7846.0
UPK2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
CBL,3475.0,5015.0,4604.0,3359.0,2484.0,2338.0,2285.0,4591.0
NECTIN1,763.0,1190.0,988.0,738.0,498.0,387.0,377.0,830.0
HIPK3,3707.0,4063.0,4498.0,3807.0,2980.0,3630.0,3197.0,6254.0
FBXO3,351.0,563.0,646.0,460.0,369.0,410.0,376.0,765.0
PDHX,578.11,760.0,847.0,672.03,517.04,533.03,489.0,969.03
SLC1A2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMD9,354.0,696.0,717.0,475.0,459.0,415.0,360.0,832.0
SLC15A3,75.0,173.0,172.0,88.0,80.0,46.0,65.0,113.0
CD5,0.0,0.0,1.0,5.0,3.0,0.0,0.0,2.0
ACCS,109.0,235.0,206.0,158.0,114.0,122.0,100.0,222.0
MDK,9.0,20.0,11.0,14.0,1.0,5.0,7.0,9.0
AMBRA1,553.0,872.0,782.0,527.0,416.0,341.0,354.0,741.0
MADD,1716.0,2914.0,2695.0,1809.0,1534.0,1383.0,1414.0,2719.0
PTPMT1,360.41,612.42,633.71,440.49,381.59,344.8,352.78,786.69
NAA40,539.0,897.0,796.0,555.0,500.0,443.0,477.0,1051.0
CARS1,1044.0,1908.0,1836.0,1251.0,902.0,828.0,847.0,1670.0
SLC22A18,71.0,192.0,127.0,86.0,66.0,55.0,85.0,144.0
CD81,1422.0,2944.0,2539.0,1735.0,1749.0,1379.0,1438.0,3072.0
SLC35F2,122.0,220.0,169.0,124.0,170.0,151.0,149.0,302.0
C11orf21,429.0,915.0,855.0,580.0,595.0,459.0,430.0,958.0
SOX6,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0
C11orf58,3149.0,4473.0,4946.0,3519.0,2730.0,3086.0,2721.0,5743.0
PITPNM1,675.0,1072.0,879.0,659.0,483.0,344.0,388.0,852.0
RPS13,4932.0,10965.0,10668.0,6548.0,6623.0,5410.0,5666.0,11593.0
AIP,670.0,1182.0,1296.0,855.0,667.0,594.0,627.0,1372.0
NUP98,3454.0,5337.0,4763.0,3438.0,2957.0,2502.0,2357.0,4933.0
NDUFS8,365.0,816.0,647.0,450.0,474.0,338.0,373.0,749.0
TCIRG1,1434.1,3093.6,2593.9,1702.6,1431.0,1175.0,1164.0,2438.5
CHKA,493.3,945.0,964.21,660.02,641.45,590.45,545.26,1235.7
EXPH5,10.0,8.0,16.0,16.0,4.0,6.0,6.0,5.0
HPS5,738.0,1210.0,1285.0,907.0,815.0,861.0,767.0,1596.0
GTF2H1,978.0,1560.0,1723.0,1212.0,1069.0,1041.0,1003.0,1999.0
VWF,80.0,142.0,172.0,87.86,26.0,27.0,35.0,29.0
PSMD9,428.9,769.43,765.52,481.25,510.59,351.48,372.72,886.57
P3H3,6.0,4.0,4.0,6.0,0.0,4.0,2.0,3.0
PPFIBP1,350.0,435.0,540.0,355.0,187.0,177.0,161.97,325.0
PRPF40B,25.91,80.9,75.47,46.85,41.49,39.01,35.07,93.95
CD69,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
PRDM4,411.0,645.0,733.0,527.99,439.0,442.99,443.0,917.99
CLEC2B,2.0,3.0,6.0,1.0,1.0,8.0,0.0,4.0
COQ5,297.0,619.0,622.0,390.0,319.0,269.0,287.0,657.0
SELPLG,1479.0,2584.0,2454.0,1788.0,1461.0,1099.0,1267.0,2293.0
CORO1C,2160.0,3672.0,3709.0,2570.0,1818.0,1923.0,1810.0,3740.0
ASIC1,175.0,231.0,237.0,205.0,178.0,146.0,113.0,278.0
CAPRIN2,48.0,79.0,75.0,82.0,58.0,56.0,65.0,131.0
TSPAN11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
KCTD10,907.0,1533.0,1545.9,1128.0,738.0,732.0,681.0,1517.0
SLC11A2,400.0,617.0,603.0,444.0,372.0,364.0,368.0,725.0
MLEC,7856.9,13594.0,11992.0,8486.9,7353.4,6680.0,6424.9,13330.0
MVK,602.11,1165.1,1265.1,704.02,563.01,449.02,465.01,981.04
CSRNP2,259.0,409.0,472.0,302.0,223.0,242.0,198.0,473.0
CAMKK2,1009.0,1626.0,1544.0,1040.0,878.0,833.0,819.0,1696.0
BIN2,3819.0,6198.0,7045.0,5026.0,2710.0,2821.0,2672.0,5450.0
IL23A,16.0,47.0,62.0,41.0,14.0,14.0,15.0,28.0
ATP5F1B,9468.0,19232.0,18196.0,10641.0,11150.0,8915.0,8977.0,19853.0
PTGES3,8349.0,12686.0,14269.0,10194.0,8476.0,8820.0,7752.0,17729.0
BCL7A,595.0,981.0,856.0,662.0,446.0,410.0,418.0,926.0
RSRC2,1551.0,2093.0,2343.0,1644.0,1202.0,1298.0,1232.0,2753.0
CYP27B1,17.0,41.0,25.0,27.0,14.0,13.0,10.0,38.0
LIN7A,0.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0
KRT18,124.85,253.74,276.72,157.0,122.94,94.74,117.0,186.0
ACSS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TNS2,48.0,63.0,54.0,36.0,27.0,27.0,25.0,59.0
GLI1,6.0,13.0,18.0,10.0,3.0,2.0,4.0,10.0
PPM1H,17.0,20.0,13.0,15.0,8.0,24.0,13.0,25.0
METAP2,3170.0,4880.0,5495.0,4247.0,3246.0,3458.0,3251.0,6930.0
LTA4H,456.84,755.14,888.82,591.42,513.6,507.0,443.7,1006.8
ELK3,271.0,348.91,381.96,314.0,207.0,246.0,219.0,410.0
SLC6A12,2.0,11.0,7.0,3.0,0.0,2.0,2.0,5.0
WNT5B,5.0,16.0,12.0,14.0,5.0,4.0,1.0,4.0
MAGOHB,389.0,650.0,629.0,496.0,420.0,393.0,428.0,817.0
TRPV4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ITFG2,301.4,558.59,550.84,386.18,363.09,276.0,289.89,697.12
FOXM1,1610.4,2728.1,2405.0,1881.4,1475.9,1253.7,1172.9,2719.8
PRR4,8.85,9.5,3.54,4.18,6.12,6.39,1.48,5.08
PARP11,422.0,494.0,591.0,476.0,387.0,391.0,349.0,640.0
ARPC3,4154.0,7541.0,8470.0,5584.0,5246.0,4788.0,4820.0,10543.0
GPN3,505.06,822.1,911.07,590.05,518.0,605.18,522.14,1135.0
VPS29,753.0,1197.0,1351.0,1019.0,925.0,847.0,852.0,1920.0
FGF6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MYL2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RAD51AP1,617.0,852.0,958.0,732.0,576.0,600.0,581.0,1130.0
CUX2,13.0,28.0,15.0,21.0,14.0,16.0,17.0,34.0
SH2B3,1760.0,2849.0,2677.0,2135.0,1598.0,1438.0,1422.0,2588.0
AKAP3,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
MANSC1,11.0,14.0,11.0,2.0,6.0,7.0,5.0,8.0
DUSP16,64.0,97.0,106.0,76.0,24.0,31.0,25.0,46.0
CREBL2,445.0,571.0,668.0,503.0,378.0,368.0,332.0,733.0
ACAD10,366.0,754.0,789.0,444.0,386.0,364.0,334.0,799.0
ALDH2,12.82,26.67,46.0,21.29,31.51,23.0,28.68,31.31
CDKN1B,1793.0,2461.0,2703.0,2112.0,1316.0,1473.0,1286.0,2994.0
GPRC5D,3.0,3.0,9.0,2.0,3.0,6.0,0.0,2.0
NAA25,1056.0,1511.0,1536.0,1178.0,1001.0,941.0,883.0,1797.0
GSG1,12.0,10.0,7.0,16.0,37.0,27.0,31.0,43.0
SCNN1A,0.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
LTBR,1000.0,1660.0,1392.0,1050.0,960.0,790.0,788.0,1490.0
OGFOD2,105.51,301.58,229.33,156.47,149.53,122.06,131.97,211.82
CDK2AP1,174.25,234.39,236.4,193.0,175.26,180.1,137.55,367.76
OAS3,2.0,7.0,5.0,4.0,2.0,5.0,1.0,3.0
OAS2,143.0,269.0,234.0,147.0,77.0,120.0,86.0,149.0
MGP,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
RASAL1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
ARHGDIB,15594.0,24785.0,25442.0,18969.0,15969.0,15270.0,14386.0,32982.0
GTF2H3,1066.0,1746.0,1799.0,1176.0,1046.0,975.0,951.0,1948.0
EIF2B1,1045.4,1766.8,1785.4,1190.3,1135.3,993.09,972.18,2196.5
DDX55,966.64,1463.2,1507.6,1156.7,1053.7,1154.9,997.82,2153.5
SLC38A1,370.0,442.0,493.0,365.0,152.0,211.0,200.0,322.0
ENDOU,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
SPRING1,795.0,1170.0,1105.0,789.0,642.0,529.0,570.0,1252.0
VDR,906.0,1433.0,1466.0,1038.0,776.0,723.0,700.0,1601.0
RFC5,585.18,1014.0,1046.0,688.23,681.47,580.0,507.99,1222.6
STX2,175.0,224.0,259.0,180.0,172.0,169.0,154.0,327.0
ADGRD1,11.0,24.0,37.0,13.0,14.0,12.0,9.0,34.0
COPZ1,1705.0,3152.0,3158.0,2007.0,1783.0,1556.0,1515.0,3392.0
TBC1D30,255.0,534.0,944.0,588.0,319.0,329.0,420.0,715.0
CAND1,2789.0,4047.0,4425.0,3069.0,2726.0,2776.0,2759.0,5141.0
RAB5B,1841.0,3050.0,3133.0,2416.0,1727.0,1646.0,1652.0,3280.0
MDM1,251.0,354.0,384.0,254.0,230.0,267.0,248.0,490.0
NUP107,1318.0,2034.0,2112.0,1483.0,1414.0,1331.0,1247.0,2706.0
CNOT2,1505.6,2151.5,2391.7,1870.6,1368.4,1412.0,1379.0,2820.7
TIMELESS,1878.0,3117.0,2888.0,2077.0,1973.0,1469.0,1509.0,3471.0
CPSF6,2822.0,3939.0,4098.0,3175.0,2486.0,2546.0,2337.0,5132.0
KRR1,1426.0,1824.7,2033.6,1618.6,1118.2,1351.4,1167.0,2231.6
MRPL51,1475.3,2679.0,2643.0,1778.7,1561.4,1468.4,1314.7,2980.9
GAPDH,49903.0,91160.0,89183.0,56924.0,44484.0,37726.0,39352.0,77416.0
NOP2,1579.0,2552.0,2280.7,1562.4,1561.0,1021.7,1265.4,2910.9
CHD4,9124.3,14380.0,13282.0,9606.9,7346.3,6599.1,6287.5,13756.0
ACRBP,139.0,205.0,186.0,144.0,74.0,90.0,94.0,193.0
UHRF1BP1L,2100.0,2597.0,2865.0,2209.0,1537.0,1664.0,1557.0,3079.0
COPS7A,582.0,1095.0,1038.0,649.0,530.0,530.0,482.0,1121.0
ING4,324.0,656.0,634.0,431.0,326.0,341.0,306.0,697.0
GNB3,9.68,19.2,23.55,17.62,12.89,6.41,5.85,16.6
CDCA3,515.32,964.8,909.45,617.38,574.11,460.59,398.15,1043.4
CHPT1,35.0,40.0,41.0,37.0,24.16,23.25,22.0,44.0
USP5,1494.0,2597.0,2241.0,1508.0,1342.0,1089.0,1105.0,2548.0
TPI1,10045.0,19368.0,18570.0,12281.0,9837.0,8548.0,8540.0,18646.0
GNPTAB,878.0,1209.0,1262.0,887.0,762.0,675.0,668.0,1353.0
SPSB2,66.0,118.0,83.0,71.0,57.0,51.0,70.0,129.0
ENO2,343.0,788.0,951.0,590.0,198.0,285.0,268.0,500.0
ATN1,820.0,1150.0,1082.0,833.0,486.0,447.0,406.0,819.0
C12orf57,247.28,507.7,455.0,233.89,182.6,196.57,178.03,354.53
PTPN6,5994.0,9921.0,9323.0,6602.0,4906.0,4161.0,4211.0,8902.0
LPCAT3,904.89,1509.3,1312.7,946.57,848.71,703.3,670.52,1527.6
NT5DC3,268.0,425.0,377.0,290.0,246.0,215.0,194.0,449.0
NANOG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SUDS3,1217.0,1919.0,1948.0,1490.0,1265.0,1267.0,1096.0,2377.0
