KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
RPS5P3,0,0,0,0,0,0,1,0
RPS6,29086,53308,55185,36335,27438,24676,25213,55192
RPS6KA1,4020,7389,6820,4733,3616,2971,3048,6372
RPS6KA2,121,219,208,157,103,94,84,170
RPS6KA3,3073,3950,4280,3185,2363,2325,2204,4549
RPS6KA4,1643,3200,2521,1590,1646,1164,1309,2713
RPS6KA5,267.84,356.73,464.79,337.39,216.2,239,234.64,434.28
RPS6KB1,1143,1482,1536,1257,1027,1084,1034,2081
RPS6KB2,496,953.17,786,572,468,372,396,946
RPS6KB2-AS1,0,2.83,0,0,0,0,0,0
RPS6KC1,222,368,319,264,203,204,202,396
RPS6KL1,130,245,219,127,139,87,92,224
RPS6P12,0,0,0,0,0,0,0,1
RPS6P16,0,1.78,0,0,0,0,0,0
RPS6P25,4,14,5,2,5,5,6,8
RPS6P26,0,0,1,0,0,0,0,0
RPS6P3,2,0,0,0,0,0,0,1
RPS6P8,0,0,2,1,0,3,0,2
RPS7,10131,20345,20522,12776,11264,9354.1,9787.4,21449
RPS7P1,54.29,116.5,122.35,73,55.78,50.62,47.74,103.81
RPS7P10,6.58,11.34,11.09,3.86,6.24,5.98,3.85,6.85
RPS7P11,7.52,10.72,12.21,8.11,3.41,2.29,2.04,10.68
RPS7P15,0,0,0,0,0,1,0,1
RPS7P3,1,0,0,0,0,0,0,0
RPS7P4,0,0,0,0,1,0,0,0
RPS8,18552,37519,37228,22542,19633,16748,17146,37328
RPS8P10,0,1,5,0.51,2,0.5,0.5,1
RPS8P3,0,0,0,1,0,0,0,0
RPS9,10507,22211,23056,12441,10914,9275,9348,22128
RPS9P1,0,0,1.72,0,0,0,0,0
RPSA,17240,32940,33849,20446,18796,15949,16345,36315
RPSAP12,4.37,13.9,10.28,17.09,2.96,6.09,7.16,6.92
RPSAP13,1,3,3,0,1,1,0,0
RPSAP15,16.14,39.54,40.1,25.81,13.1,5.62,15.2,37.61
RPSAP16,0,0,0,0,0,1,0,0
RPSAP17,0,1.16,0,0,1,0,1,0
RPSAP18,1,0.85,3,4.04,0,2,1,2.02
RPSAP19,9.81,14.87,8.08,5.26,6.4,3.13,4.34,13.66
RPSAP2,0,0,0,0,0,0,0,1
RPSAP21,0,0,1,0,0,0,0,0
RPSAP22,0,1,0,0,1,0,0,0
RPSAP26,3.04,5.05,6.33,1.72,4.91,2.87,7.17,8.53
RPSAP29,0,0,1,0,0,0,0,0
RPSAP36,0,0,1,0,0,0,0,0
RPSAP4,0,1,0,0,0,0,0,1
RPSAP41,4.52,13.11,13.73,10.59,6.21,5.22,9.95,12.05
RPSAP45,0,0,0,0,1,0,1,1
RPSAP46,4,3,4,3,4,3,1,2
RPSAP47,0,0,2.02,0,0,1.01,1.04,0
RPSAP54,3.18,6.09,2.13,4.06,1.11,1.01,1.12,3.09
RPSAP55,0,0,0,0,0,0,0,1
RPSAP56,1,1,1,0,0,1,0,0
RPSAP58,90.65,244.42,216.76,102.14,94.22,83.62,84.05,170.27
RPSAP6,0,0,0,1,1,0,0,2
RPSAP61,0,1,2,0,2,1,0,1
RPSAP63,1,0,0,0,0,0,0,0
RPSAP8,0,0,1,0,0,0,0,0
RPSAP9,1.99,4.34,5.02,2.22,0,1.01,1.03,4.31
RPTOR,775,1319,1131,698,650,504,494,1147
RPUSD1,326,725,532,363,336,285,261,594
RPUSD2,256,483,360,310,221,198,197,427
RPUSD3,420,777,699,478,422,375,375,835
RPUSD4,555.11,942.34,919.11,592.42,540.92,473.44,453.25,993.23
RRAD,0,0,2,1,1,0,0,2
RRAGA,305,669,667,449,368,320,329,677
RRAGAP1,0,0,0,0,0,0,0,1
RRAGB,1,0,0,0,0,0,0,0
RRAGC,388,633.46,726.18,504,463.06,447.86,410.55,882.1
RRAGD,124,214,289,179,119,138,139,242
RRAS,75,140,138,112,65,58,65,113
RRAS2,0,3,2,4,1,0,5,3
RRAS2P2,1,0,1,0,0,1,0,4
RRBP1,4520,6779,6008,5253,3273,2944,2765,6646
RREB1,4743,6887,6093,4644,3217,3255,3034,6215
RRH,2,3,2,5,2,3,1,6
RRM1,2894,4775,4857,3343,3105,2899,2801,5902
RRM2,5419.2,8292.2,9491,6722.9,5168.8,5454.7,5093.5,9921.8
RRM2B,1747,2254,2377,1804,1727,1966,1633,3201
RRM2P2,1,0,0,0,1,0,0,1
RRM2P3,5,1,1,3,3,1,1,3
RRN3,1155,1617.8,1848.4,1305,1136.7,1185.7,995.14,2165.9
RRN3P1,70.43,114.41,143.36,106.31,104.09,95.39,96.54,217.13
RRN3P2,59.21,91.26,107.81,52.5,65.04,52.48,62.3,130
RRN3P3,66.49,119.6,111.4,84.48,66.03,71.48,57.04,127.9
RRNAD1,127.35,261.71,239.96,143.59,134.34,116.94,96.74,243.28
RRP1,1024,1538,1511,1042,866,732,705,1721
RRP12,1217,2004,1809,1303,1077,937.54,856,2096
RRP15,479,764,803,547,478,516,433,1022
RRP1B,1787,2660,2406,1894,1489,1453,1296,2856
RRP36,507,781.91,754,580,501,409,448.81,972.39
RRP7A,1271.5,2319.1,2024.8,1360.6,1274.3,1037.7,1045.7,2439.6
RRP7BP,212.63,401.43,350.32,259.21,242.32,207.41,151.17,423.56
RRP8,404,634,687,469,363,354,314,716
RRP9,502,912,801,608,483,397,368,886
RRS1,1365.8,2099.8,2083,1577.8,1365,1305,1072,2970
RRS1-AS1,2,5,8,1,3,3,2,6
RSAD1,262,545,443,330,306,253,266,526
RSAD2,33,67,46,53,32,37,31,63
RSBN1,766,905,1002,835,505,591,502,1089
RSBN1L,1041,1484,1731,1327,1014,1154,977,2089
RSC1A1,17.68,0,0,0,0,0,0,0
RSF1,2140.6,2780.6,3153.1,2528.4,1755,1936.6,1756,3665
RSF1-IT2,0,0,0,0,0,0,0,1
RSKR,103.33,212.85,204.87,147.02,141.18,124.68,138.76,314.29
RSL1D1,7386,11271,12247,9440,6549,6835,6508,13785
RSL1D1-DT,0,3,1,0,1,0,1,2
RSL24D1,2882,4278,5268,3728,2678,3072,2813,5902
RSL24D1P1,0,0,0,1,0,0,2,0
RSL24D1P11,1,0,3,0,0,0,0,0
RSL24D1P6,0,0,1,1,1,0,0,1
RSPH1,10,8,10,5,5,3,4,6
RSPH10B,1.11,1.61,3.09,7.33,3.26,1.52,3.06,1.77
RSPH10B2,2.04,3.5,1.4,0.63,0,3.64,3.08,1.5
RSPH14,0.82,3.56,0,0,0,0,0,0.03
RSPH3,314,392,540,377,251,273,232,488
RSPH4A,0,5,4,2,2,2,4,10
RSPH6A,0,0,0,1,0,0,0,0
RSPH9,6.51,9.9,7.57,13.04,7.6,5.41,11.01,9.77
RSPO1,2,1,7,2,3,0,0,3
RSPO2,1,3,4,0,1,2,5,2
RSPO3,1,2,3,1,3,4,2,1
RSPO4,1,4,0,0,1,0,0,1
RSPRY1,825,1199,1305,976,742,702,649,1352
RSRC1,1122,1798.3,1744,1366,1117,1195,1116,2299
RSRC2,1551,2093,2343,1644,1202,1298,1232,2753
RSRP1,840,1287,1471,1050,1053,985.04,869,2330
RSU1,824,1332,1278,989,918,878,837,1833
RTBDN,0,0,0,1,0,0,3,0
RTCA,784,1414,1648,1042,747,709,688,1523
RTCA-AS1,6,13,5,2,3,3,1.58,4
RTCB,1096,1974,1962,1271,1307,1092,1025,2316
RTEL1,320.89,546.67,493,330.1,335.94,218.98,237.17,485.2
RTEL1-TNFRSF6B,125.09,224.41,202,125.72,123.81,107.02,92.83,243.01
RTEL1P1,2,2,1,1,0,2,0,1
RTF1,2232,3652,3658,2611,2205,2268,2037,4487
RTF2,1740,3183,3284.8,2131.5,1829,1679,1533,3834
RTKN,169,236,247,154,146,124,118,247
RTKN2,0,2,3,1,0,0,2,1
RTL10,579.6,1093.8,951.54,609.32,561.13,485.57,432.35,1043.8
RTL3,19,34,32,25,23,18,12,38
RTL5,111,181,192,126,140,102,108,258
RTL6,731,1084,1009,708,523,406,459,939
RTL8A,100,216,163,144,114,81,85,172
RTL8C,52,97,72,48,64,32,50,67
RTL9,0,2,0,0,0,0,0,0
RTN1,0,0,0,0,0,0,0,1
RTN2,213,438,459,292,176,168,172,294
RTN3,2604,4871,4986,3381,2895,2739,2801,5329
RTN3P1,0,1,3,2,0,1,0,1
RTN4,2037,3465,3660,2547,1926,2011,1916,4032
RTN4IP1,147,234,213,180,136,146,132,298
RTN4R,36,116,73,46,61,43,56,71
RTN4RL1,0,1,3,2,0,0,2,1
RTN4RL2,32.12,50.75,37.87,29,33.5,31.54,36.85,60.01
RTP1,0,1,0,0,0,0,0,1
RTP2,0,2,0,0,0,0,0,0
RTP4,29,70,80,47,27,19,25,69
RTRAF,1035,1895,1969,1338,1286,1219,1096,2434
RTTN,311,498,473,303,256,234,227,457
RUBCN,315,507,516,363,298,305,278,554
RUBCNL,0,0,5,2,0,0,1,0
RUFY1,819,1303,1300,972,791,711,673,1590
RUFY1-AS1,0,0,2,1,2,2,0,0
RUFY2,142,167,195,176,140,157,145,298
RUFY3,17,23,21,13,19,11,10,31
RUFY4,4,13,2,2,6,7,6,21
RUNDC1,372,717,706,452,374,333,338,809
RUNDC3A,8,23,10,9,4,3,2,12
RUNDC3A-AS1,0,0,0,1,2,0,0,0
RUNDC3B,0,3,0,2,2,3,2,5
RUNX1,8959,11859,12699,10516,7496,8244,7361,14485
RUNX2,2247,2960,3444,2734,1539,1656,1515,3022
RUNX2-AS1,0,0,1,0,1,0,0,2
RUNX3,2218,4133,3548,2675,1953,1770,1733,3441
RUNX3-AS1,0,0,0,0,1,0,0,0
RUSC1,307,607,534,414,310,265,270,609
RUSC1-AS1,212.8,432.82,512.05,314.84,250.54,270.06,226.63,509.79
RUSC2,39,54,48,36,17,10,12,19
RUSF1,816,1545.3,1387.2,860.16,835.15,664.26,688.35,1354.7
RUVBL1,1650.8,2865.2,2745.1,1947.3,1617.7,1359.4,1289.5,3285
RUVBL1-AS1,0,0,0,0,0,0,1,0
RUVBL2,3226,5630,5560,3882,3132,2772,2630,5822
RWDD1,447,545,732,548,431,449,372,913
RWDD2A,66,96,100,74,44,45,47,78
RWDD2B,408,678,664,457,458,431,414,951
RWDD3,71.44,115.9,119.43,113.73,69.96,89.61,69.32,174.15
RWDD4,455.85,574.86,616.9,460.3,387,450,387.87,752.52
RWDD4P1,2.99,0,4.17,3.64,0,3.99,0,2.7
RWDD4P2,10.15,14.14,12.93,19.06,10,4.01,7.13,18.78
RXFP1,414,533,678,457,349,391,356,707
RXFP2,0,0,0,1,0,0,0,0
RXFP4,0,0,1,1,0,0,0,0
RXRA,2932,5957,4967,3231,2738,2302,2226,4932
RXRB,664.01,1324.2,1187.4,798.72,686.01,586.46,578.29,1187.6
RXYLT1,236,335,331,244,198,203,189,374
RYBP,688,888,1058,839,568,650,578,1092
RYK,155,201,246,209,122,155,162,304
RYKP1,1,2,3,0,1,1,0,3
RYR1,0,0,1,0,0,0,0,0
RYR2,1,2,0,3,4,1,0,0
RYR3,24,19,40,19,16,18,24,36.52
S100A1,9,15,23,8.13,13,7,5,29
S100A10,771,1709,1916,1135,803,819,824,1587
S100A11,1120,2141,1953,1306,1246,1082,1228,2550
S100A11P1,0,0,0,0,1,0,0,0
S100A12,1,0,0,0,1,0,1,0
S100A13,17,28.86,30,25.61,36,25,21.88,61.98
S100A14,0,0,1,0,0,0,1,0
S100A16,0,0,0,1,0,0,0,0
S100A2,1,4,5,0,2,0,0,2
S100A3,0,0,1,0,2,0,0,0
S100A4,1595,3424,3353,2031,2575,2006,2079,4542
S100A5,1,0,3,0,0,1,1,0
S100A6,278,636,619,384,382,311,328,636
S100A8,2,11,11,3,18,14,15,31
S100A9,9,19,19,15,29,33,17,43
S100B,10,18,13,14,22,16,23,37
S100P,1,3,2,2,3,3,3,5
S100PBP,591,931,956,686,570,575,515,1008
S100Z,1,0,0,4,0,1,1,3
S1PR2,66,94,109,69,30,28,18,55
S1PR3,712,1124,1114,820,689,675,596,1326
S1PR4,2,2,0,0,1,2,1,1
S1PR5,19,36,25,27,22,23,23,42
SAA2,0,0,0,0,0,1,0,0
SAAL1,478,804,823,608,496,487,472,1022
SAC3D1,117,239,180,143,114,101,94,201
SACM1L,1477,2038,2199,1476,1247,1309,1253,2610
SACS,2175,2711,2886,2275,1681,1721,1686,3389
SAE1,3471,6276,6012,4133,3569,3045,3070,6921
SAFB,3945.1,5650.3,5921.9,4470.7,3238.4,2912.9,2648.5,6668.1
SAFB2,2692.9,3800.7,3887.1,3065.3,2046.6,1992.1,1864.5,4640.9
SAG,0,1,1,0,0,0,0,0
SAGE1,0,0,1,0,0,0,0,0
SALL4,18,39,30,28,21,28,28,35
SALL4P6,0,0,1,0,0,0,0,0
SAMD1,999,1580,1461,1183,860,737,740,1687
SAMD10,302,488,425,338,236,169,180,450
SAMD11,4.15,15.49,11.16,12.56,2.05,0,6.18,3.1
SAMD11P1,0,1,0,0,0,0,2,0
SAMD12,0,0,1,0,0,0,0,0
SAMD13,39,59,104.88,62,49,46,42,97
SAMD14,0,4,2,0,1,0,0,3
SAMD15,58,69,49,43,43,32,29,79
SAMD3,0,2,1,1,1,1,0,0
SAMD4A,0,1,0,0,0,0,0,1
SAMD4B,1808,2822,2275,1825,1307,1228,1099,2200
SAMD8,196,288,371,264,146,184,191,302
SAMD9,1256,1406,1599,1245,822,946,831,1590
SAMD9L,106,157,171,123,99,147,95,158
SAMHD1,5311.3,8069.5,7562.7,5329.5,6051.4,5696.4,5502.9,11194
SAMM50,1016,1700,1645,1112,1058,838,919,1873
SAMSN1,85,125,118,72,59,81,97,139
SAP130,812,1124,985,817,639,563,522,1085
SAP18,2595,4201,4608,3190,2633,2462,2388,5347
SAP18P2,0,1,0,0,0,0,0,0
SAP18P3,1,0,0,0,0,0,0,0
SAP25,42.44,73.19,47.23,38.69,41.27,36.22,32.18,63.35
SAP30,148,241,254,190,147,167,137,319
SAP30-DT,7,24,22,19,8,15,3,30
SAP30BP,757,1296,1295,871,645,665,624,1335
SAP30L,389,622,548,454,404,344,378,704
SAP30L-AS1,5,5,1,3,4,2,2,3
SAPCD1,27.33,49.18,64.56,57.68,32.87,33.17,36.07,99.12
SAPCD1-AS1,0.12,4.77,0.77,0,4.46,0.93,8.69,3.88
SAPCD2,843,1647.5,1390.4,967.13,828,640.59,636,1408
SAPCD2P3,0,0,0,0,0,1,1,0
SAPCD2P4,0,0,1,0,0,0,0,0
SAR1A,1549,2332,2643,1915,1451.2,1589,1448,3243
SAR1B,508.02,730.59,840.67,591.53,596.9,577.34,594.76,1122.8
SARAF,4088,6978,7863,5542,4191,4406,4129,8317
SARDH,126,203,188,132,57,51,67,114
SARM1,16.62,24.54,8.22,27.33,10.1,3.62,2.66,33.7
SARNP,1229.6,1893.7,2078.7,1409.8,1170,1156.2,1025.2,2433.4
SARS1,1262,2137,2128,1386,1116,935,985,2250
SARS2,453.61,871.33,735.42,535.15,425.99,399.34,385.23,822.11
SART1,1620,2659,2652,2048,1477,1287,1251,2920
SART3,1131,1607,1603,1182,895,840,781,1709
SASH1,687,995,881,624,871,827,859,1607
SASH3,571,1053,933,654,537,440,474,940
SASS6,474,530,629,593,430,469,407,812
SAT1,359,675,791,511,399,433,417,848
SAT2,43,118,102,68,50,43,54,103
SATB1,7896,11206,11900,8912,6540,6897,6568,12508
SATB1-AS1,305,478,530,396,310,337,305,655
SATB2,2073.9,2864.2,2804.7,2189.9,1548.9,1601,1558.7,2871.9
SATB2-AS1,4.06,16.84,11.27,3.09,4.07,3,9.32,4.06
SAV1,619.89,887.86,971.79,701.93,558.91,594,571.66,1143.4
SAXO1,0,0,0,0,0,0,0,2
SAXO2,2,4,1,1,1,0,1,1
SAYSD1,94,192,178,111,134,104,95,217
SBDS,487,868,859,634,498,543,503,941
SBDSP1,103,195,155,120,86,74,74,196
SBF1,1510,3116,2351,1443,1409,963,1087,2265
SBF2,246.4,321.72,324.96,228.29,177.31,167,175.18,372.05
SBF2-AS1,108.6,177.28,185.04,136.71,113.69,101,112,204.95
SBK1,7,13,5,10,8,3,6,7
SBK3,0,0,0,1,0,0,0,0
SBNO1,3199,4542.9,4747,3621.9,2868,2846,2811,5703
SBNO1-AS1,19,32.08,31.05,27.07,39,33,24.04,42.03
SBNO2,965,1742,1425,911,848,603,641,1316
SBSN,0,0,2,1,1,0,1,2
SBSPON,10,12,9,21,13,24,25,36
SC5D,912,1018,1485,1194,689,914,754,1398
SCAANT1,0,1,0,0,0,0,1,0
SCAF1,1969,3192,2629,2059,1491,1193,1183,2582
SCAF11,5279,6875,7279,5369,4496,4756,4507,8645
SCAF4,1620,2456,2387,1832,1372,1312,1264,2710
SCAF8,1447.5,2176.2,2139.4,1577.1,1311.2,1239.8,1194.1,2353.8
SCAI,245.15,249.75,380.61,277.3,209.32,224.37,190,394.37
SCAMP1,852,921,1011,919,659,804,783,1413
SCAMP1-AS1,49,74,104,58,64,39,52,96
SCAMP2,1456,2702,2342,1720,1400,1140,1162,2428
SCAMP3,812,1421,1313,869,730,516,576,1339
SCAMP4,733.62,1450.4,1177.4,906,680.13,568.13,563,1186.1
SCAMP5,101,223,183,107,120,116,84,224
SCAND1,286.56,657.08,520.01,334.27,301.37,244.88,275.54,545.05
SCAND2P,259.64,321.96,363.66,264.01,205.83,182.83,174.22,432.1
SCAP,901,1542,1312,859,767,547,611,1286
SCAPER,220,328,353,253,169,209,182,387
SCARA3,0,0,2,0,0,0,1,0
SCARA5,0,0,1,0,1,0,0,0
SCARB1,1615,2687,2349,1728,1474,1134,1193,2432
SCARB2,362,504,541,373,379,330,342,691
SCARF1,15,23,29,12,18,19,19,36
SCARF2,12,29,25,12,14,9,11,33
SCARNA10,6.77,5.05,7,3,0,1.68,1,26.44
SCARNA12,1.29,3.94,7.9,0,4.16,0,0,10.88
SCARNA13,2,2.13,2,1,0,0,0,6
SCARNA16,0.63,0,0.48,1.85,0,0,0,0
SCARNA17,0,0,0,0,0,0,0,0.5
SCARNA2,7,16,16,6,2,2,6,33
SCARNA22,0,1,0,0,0,0,0,0
SCARNA5,0,0,0,0,1,0,1,2
SCARNA6,2,0,0,1,0,0,0,0
SCARNA7,47,35,65,50,13,23,28,102
SCARNA9,87,204,263,139,108,103,107,324
SCART1,34,68,65,51,28,24,32,49
SCAT1,71,109,126,92,43,57,53,102
SCAT2,4,5,6,6,2,5,2,12
SCAT8,4,3,4,2,4,4,4,5
SCCPDH,490,990,923,641,598,504,470,1033
SCD,27915,44200,49721,34376,21902,23045,22513,40134
SCD5,28,41,53,31,10,25,16,50
SCDP1,6,10,4,7,7,1,1,5
SCFD1,745,1006,1211,879,677,693,619,1347
SCFD2,355,567,611,377,345,293,320,639
SCG2,6,7,9,12,3,1,8,0
SCG3,10,17,30,15,29,16,19,43
SCG5,3,11,18,10,6,6,14,13
SCG5-AS1,0,1,0,0,0,0,0,0
SCGB1B2P,0,2,1,0,0,0,0,1
SCGB2B2,2,0,1,0,0,0,0,2
SCGB3A1,0,0,0,0,0,0,0,2
SCHIP1,0,0,0,0,0,0,0,0.98
SCIMP,242,384,343,261.95,189,152,152,313
SCIN,0,0,1,0,0,0,0,0
SCIRT,6,21,22,20,9,7,13,9
SCLT1,457,694.97,725.93,503,403.98,468.98,456.99,831.99
SCLY,468.45,680,601,449,407.98,327.97,337,731.67
SCMH1,715,1130,967,751,620,489,532,1091
SCML1,195,283,343,278,166,230,225,425
SCML2,494,683,630,474,358,390,346,721
SCML2P2,3,5,3,2,1,2,1,2
SCN11A,0,0,2,0,2,1,1,1
SCN1B,0,2,4,3,3,0,1,4
SCN2B,1,0,0,0,0,0,0,0
SCN3B,0,0,0,0,1,1,0,1
SCN4A,10,25,25,12,1,4,6,4
SCN4B,0,5,2,0,0,0,2,1
SCN5A,1,1,2,0,0,2,2,1
SCN7A,5,5,1,3,2,1,0,2
SCN8A,0,0,2,1,0,0,1,1
SCN9A,1,0,0,0,0,0,0,0
SCNM1,905,1447,1521,1039,868,860,746,1780
SCNN1A,0,2,3,3,2,3,3,2
SCNN1D,12,44,32,22,21,19,22,44
SCO1,1345,1928,1762,1249,1063,1039,905,1961
SCO2,20.79,19.93,29.14,17.97,23.49,14.04,5.83,32.37
SCOC,457,657,762,564,395,452,430,858
SCOC-AS1,15,15,18,16,11,14,14,32
SCOCP1,0,0,1,2,0,0,0,1
SCP2,1281,2069,2497,1677,1488,1538,1364,2990
SCPEP1,705,1358,1432,943,683,620,568,1260
SCRG1,0,1,0,0,0,2,0,0
SCRIB,1631,2955,2357,1612,1442,1073,1048,2508
SCRN1,3,10,4,3,1,2,1,0
SCRN2,147,286,285,172,134,114,151,249
SCRN3,343,400,437,393,324,321,372,627
SCRT1,0,3,1,1,0,0,0,0
SCUBE1,622,924,817,607,313,272,253,559
SCUBE1-AS1,3,0,4,2,1,0,1,0
SCUBE1-AS2,0,0,0,1,0,0,0,0
SCUBE2,0,3,2,2,0,1,0,3
SCUBE3,2,1,2,3,4,6,3,5
SCX,7,14,15,11,10,9,5,7
SCYL1,659,1195,1036,693,562,437,515,963
SCYL2,1496,1926,1960,1589,1125,1322,1145,2246
SCYL2P1,1,1,4,1,0,2,0,0
SCYL3,205.41,322.94,360.41,248.56,203.88,197.67,187.54,375.24
SDAD1,1260,1736,1951,1420,1277,1338,1191,2435
SDAD1P1,54,72,71,50,22,31,31,70
SDAD1P2,0,0,2,1,0,2,2,4
SDC1,1,3,7,3,3,1,2,4
SDC2,979,1409,1520,1122,785,998,922,1588
SDC3,26,34,31,18,15,21,14,26
SDC4,7,19,19,23,3,12,4,15
SDCBP,1483,2204,2575,1863,1460,1580,1500,2849
SDCBP2,3,14,8,4,4,5,13,9
SDCBP2-AS1,44,77,77,52,40,34,45,106
SDCBPP3,0,0,1,1,1,0,0,1
SDCCAG8,316.92,477.63,491.85,385.71,276.28,241.91,285.84,525.9
SDE2,571,801,837,581,441,468,442,810
SDF2,354,625,608,433,371.43,338.36,326.02,789
SDF2L1,276,563,484,277,356,260,233,601
SDF4,1906,3252,2978,2181,1858,1496,1589,3523
SDHA,2272,3917.9,3872.9,2587,2431,2019.9,2114.1,4510.8
SDHAF1,141,299,260,200,177,148,115,274
SDHAF2,314.37,639.54,593.76,376.79,320.41,284.46,286.79,692.47
SDHAF3,242,399,426,279,269,266,213,551
SDHAF4,113,239,209,129,100,88,98,219
SDHAP1,69.72,147.44,135.19,75.68,71.16,72.63,66.81,123.52
SDHAP2,12.75,4.42,8.58,5.23,0,6.26,0,15.81
SDHAP3,3.01,2.02,4.05,2.02,1.01,1,3.87,3.01
SDHB,864,1516,1596,1027,980,848,827,1810
SDHC,1867,3552,3395.9,2178,1876,1595,1550,3468
SDHCP2,0,0,0,0,0,0,0,1
SDHD,1502,2547,2717,1758,1663.9,1570.9,1460.8,3197.5
SDHDP6,0,0,0,0,3.02,0,0,0
SDK1,9,26,15,20,11,15,8,25
SDK2,48,108,83,76,46,45,49,118
SDR39U1,327.93,682.12,642.08,410.64,414.68,287.93,328.08,660.18
SDS,2,7,3,1,0,1,2,7
SDSL,40,48,35,32,23,18,27,52
SEBOX,1,0,0,0,0,0,0,0
SEC11A,1215,2013,2220,1428,1174,1099,1134,2403
SEC11B,0,0,1,0,0,0,0,0
SEC11C,685,1169,1226,856,614,635,551,1256
SEC13,1100,2024,1872,1206,1064,868,926,1920
SEC13P1,1,1,2,2,2.17,1,0,2
SEC14L1,646,1167,1085,782,653.55,539,509,1148.3
SEC14L1P1,11,13,19,13,9,11,10,18
SEC14L2,5,21,10.18,11,8,9,8,13
SEC14L3,0,0,0,1,0,0,1,0
SEC14L5,0,1,1,1,0,1,1,1
SEC16A,3191.9,5312.8,4359,3118,2803,2346.9,2330.9,4901.9
SEC16B,22.01,37.61,49.72,23.77,21.7,14.91,8.79,20.69
SEC1P,0,2,2,0,0,1,0,1
SEC22A,179,254,330,219,182,175.54,141,370
SEC22B,1603.5,2257.9,2534.9,1890.8,1317.7,1453.7,1383.4,2943.8
SEC22B2P,0,0,0,1.04,0,0,0,0
SEC22B4P,7.46,9.11,8.15,8.21,9.34,5.3,5.59,5.24
SEC22C,557,849,789,572,476,446,433,894
SEC23A,772,1049,1111,769,603,594,546,1105
SEC23B,1694,2772,2735,1825,1357,1329,1249,2563
SEC23IP,1795,2624,2531,2022,1695,1643,1671,3135
SEC24A,1084,1197.4,1261.6,1019.5,700.1,820.66,752.24,1411.2
SEC24B,592,839,823,557,485,502,475,910
SEC24B-AS1,6,5,7,7,6,9,5,7
SEC24C,2684.6,4809.2,4535,3051.4,2453.9,2077.4,2135.4,4434.3
SEC24D,1400,2227,2328,1572,1103,1053,1131,1835
SEC31A,2543.6,3790.8,3918,2659.9,2106,1994.8,2075.1,3970.6
SEC31B,93.5,212.41,205.4,188.98,122.99,137.73,101.51,227.97
SEC61A1,6222.8,11533,10160,7154.3,5688,4837.5,4732.7,10124
SEC61A2,158,251.11,274,195,185.03,166.12,134,319.08
SEC61B,831,1699,1555,1101,856,726,712,1588
SEC61G,747,1028,1267,1008,621,622,581,1481
SEC62,2588,3486,3954,3087,2874,3237,2784,5914
SEC62-AS1,0,0,1,0,0,0,1,0
SEC63,4230.6,5453.5,6622.4,5362.6,3827.8,4255.6,3744.8,8194.4
SEC63P1,22.1,13.07,21.14,21.18,9.09,18.3,18.08,26.39
SECISBP2,612,909,963,690,608,552,559,1145
SECISBP2L,638,820,1009,667,478,547,522,921
SECTM1,34,61,59,38,42,41,24,77
SEH1L,1931,2892,3221,2275,2127,2201,1986,3996
SEL1L,2701,3466,3579,2722,2025,2293,2097,3966
SEL1L2,0,0,1,0,0,0,0,0
SEL1L3,1351,2128,2048,1438,391,381,387,715
SELENBP1,0,1,0,0,0,1,0,2
SELENOF,1727,2582,3051,2193,1908,2100,1984,4117
SELENOH,602,1317,1147.8,706,784,541,565,1375
SELENOI,1326,1680.9,1824,1376.9,1139,1060,980,2140
SELENOK,273,574,629,345,349,265,242,607
SELENOKP1,0,0,1,0,0,0,0,0
SELENOM,1,6,3,1,2,1,7,2
SELENON,894,1282.8,1119,792,714,620,572.98,1168
SELENOO,175.98,392.95,351.98,209.92,233.96,181.94,195,367.98
SELENOP,1,1.77,0,0,0,1,0,0
SELENOS,244,530,479,322,273,250,263,512
SELENOT,1136,1598,1845,1301,1298,1175,1155,2203
SELENOTP1,2.03,1.01,0,0,0,0,1,2
SELENOW,96,265,241,139,117,115,125,271
SELL,11,16,19,17,5,0,4,3
SELPLG,1479,2584,2454,1788,1461,1099,1267,2293
SEM1,1326,2147,2427,1800,1248,1217,1101,2893
SEM1P1,0,0,0,1,0,0,0,0
SEMA3A,4,7,4,4,5,4,5,7
SEMA3B,5,16,15,18,11,9,11,14
SEMA3D,0,0,1,0,1,0,0,0
SEMA3F,27,66,66,33,23,18,27,56
SEMA3F-AS1,15.02,18.59,38.91,33.24,30.46,17.63,10.45,62.01
SEMA3G,75,111,95,64,63,66,58,154
SEMA4A,999,1900,1521,1137,1020,879,988,1723
SEMA4B,79,230,181,128,100,67,78,145
SEMA4C,408,791,755,479,417,364,376,711
SEMA4D,1849,2977,2773,1985,1389,1233,1276,2537
SEMA4F,11,6,9,9,5,9,10,14
SEMA4G,21,36.32,32.45,23,18.36,13,14.51,38.03
SEMA5A,1,2,0,1,0,1,0,1
SEMA5B,1,5,4,3,2,1,3,0
SEMA6A,15,16,18,21,13,11,8.24,29
SEMA6A-AS1,3,10,13,7,9,4,10.76,17
SEMA6A-AS2,0,0,0,0,0,1,0,0
