,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
HNRNPMP1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
AC021231.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
TMC3-AS1,0.47,0.35,0.21,0.42,0.47,0.34,0.22,0.09
AC087482.1,0.03,0.02,0.02,0.0,0.0,0.0,0.03,0.03
AC011921.1,0.23,0.15,0.0,0.19,0.74,0.26,0.0,0.23
AC091117.1,1.97,1.29,1.42,1.04,1.18,2.77,1.13,1.19
AC025580.2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
AL590133.2,16.68,29.89,20.91,22.98,40.04,39.46,33.07,20.4
DEPDC1P1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
AC046168.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
AC090825.1,1.56,1.34,1.21,0.14,0.95,1.99,1.28,0.91
AC013356.3,0.0,0.14,0.0,0.17,0.0,0.0,0.0,0.0
AC108449.2,6.62,6.93,5.54,8.06,3.73,6.88,6.51,4.86
AC087286.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
AC103740.1,0.0,0.01,0.01,0.03,0.0,0.17,0.0,0.0
AL136295.3,0.36,0.0,0.21,0.0,0.0,0.13,0.17,0.28
AC087286.3,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
AC090907.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
AC026770.1,0.0,0.0,0.0,0.0,0.0,0.24,0.26,0.0
DCAF13P3,0.06,0.12,0.07,0.1,0.0,0.19,0.07,0.11
AC087473.1,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
AC090695.1,0.0,0.04,0.12,0.17,0.07,0.0,0.08,0.1
GH1,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
AC066612.2,0.0,0.0,0.27,0.0,0.0,0.0,0.19,0.0
AC025040.2,0.04,0.1,0.02,0.0,0.16,0.04,0.09,0.0
AC079328.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05
AC087721.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
AC021231.2,0.0,0.0,0.08,0.35,0.0,0.16,0.0,0.14
AC090970.1,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGIF2-RAB5IF,0.25,0.48,0.32,0.25,0.66,0.77,0.38,1.2
AC021739.2,0.0,0.0,0.06,0.16,0.0,0.0,0.11,0.1
AC010809.2,0.19,0.18,0.05,0.08,0.0,0.2,0.11,0.24
BMF-AS1,0.08,0.0,0.72,0.0,0.0,0.0,0.0,0.55
HNRNPA1P45,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC242376.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.13
AC012291.2,0.0,0.0,0.47,0.0,0.43,0.0,0.0,0.0
CTXND1,0.02,0.07,0.03,0.04,0.01,0.03,0.04,0.02
HNRNPCP3,0.11,0.0,0.06,0.09,0.0,0.35,0.0,0.05
AC046168.2,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.0
AC091100.1,0.03,0.02,0.04,0.03,0.0,0.03,0.0,0.0
AC011767.1,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.19
AC027237.3,0.0,0.11,0.0,0.07,0.0,0.0,0.1,0.18
UBE2Q2P2,0.53,0.22,0.63,1.25,0.37,1.04,1.05,0.61
THTPA,8.78,10.1,8.33,6.07,7.77,6.18,9.78,6.7
AC010247.2,0.38,0.29,0.53,0.57,0.08,0.12,0.48,0.21
MAPK6-DT,0.0,0.21,0.06,0.09,0.11,0.12,0.39,0.05
AC105339.3,0.16,0.2,0.18,0.26,0.0,0.25,0.0,0.11
AC012414.3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
LINC02352,0.16,0.73,0.71,0.49,0.05,0.23,0.58,0.47
AC087286.4,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
ADNP-AS1,0.9,0.51,0.41,0.9,0.36,0.54,1.65,0.75
AC078909.1,4.75,4.4,2.36,2.23,1.63,0.7,3.75,1.65
AHCYP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
NDUFAF4P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
AC079203.2,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0
AC084757.2,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.12
LINC01169,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0
AC027228.1,0.0,0.0,0.0,0.63,0.0,0.0,0.93,0.0
AC036108.1,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
SORD2P,1.03,2.64,1.49,0.78,1.15,0.67,0.79,1.12
AC023355.1,0.7,0.44,0.56,0.88,0.47,0.48,0.4,0.49
TFDP1P3,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0
MRPL46,19.59,23.92,19.56,19.15,20.29,18.72,21.4,16.97
TPM1-AS,0.06,0.0,0.02,0.05,0.0,0.0,0.0,0.01
AC090519.1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
AL132640.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
AC009268.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
UBE2Q2L,0.0,0.19,0.25,0.1,0.74,0.0,0.0,0.06
HNRNPA1P5,0.09,0.0,0.05,0.0,0.1,0.1,0.0,0.0
AC027243.1,0.14,0.26,0.24,0.11,0.3,0.0,0.16,0.07
AL117209.1,0.0,0.0,0.08,0.12,0.33,0.0,0.0,0.0
ANP32AP1,0.45,0.26,0.16,0.38,0.15,0.21,0.56,0.2
LINC02169,3.5,7.93,5.96,7.34,10.37,8.41,9.22,8.15
LINC01583,0.03,0.02,0.03,0.07,0.0,0.0,0.0,0.0
AC051619.4,0.38,0.0,0.08,0.63,0.15,0.31,0.17,0.0
AL136295.4,1.27,2.15,0.55,0.97,0.04,1.18,0.65,0.6
AL136295.5,0.99,1.96,0.93,0.98,1.33,1.27,1.39,1.18
AC022306.1,0.0,0.09,0.12,0.08,0.15,0.1,0.17,0.0
AC091045.1,0.66,0.28,0.75,0.18,0.09,0.2,0.26,0.31
AC051619.5,0.21,0.0,0.75,0.47,0.43,0.23,0.0,0.18
AC027020.1,0.18,0.56,0.22,0.0,0.0,0.2,0.51,0.44
AC013452.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.1
AC140725.1,0.45,0.0,0.16,0.45,1.07,0.0,0.0,0.28
AC090971.3,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.04
AC090607.2,0.62,0.89,0.73,0.51,2.27,0.52,0.37,0.97
AC025430.1,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0
KRT8P23,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
CERNA1,0.08,0.07,0.0,0.08,0.0,0.0,0.0,0.0
TYRO3P,0.0,0.02,0.09,0.07,0.08,0.05,0.06,0.05
AC015712.2,0.66,0.97,0.45,1.11,0.37,0.4,0.61,0.6
AC021755.2,0.0,0.14,0.0,0.0,0.0,0.24,0.0,0.0
RBM17P4,0.0,0.0,0.0,0.0,0.0,0.3,0.24,0.03
AC073167.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC025043.1,0.0,0.0,0.23,0.0,0.2,0.0,0.23,0.18
AC015712.4,0.11,0.31,0.0,0.0,0.36,0.0,0.0,0.02
AC074212.1,4.32,4.88,4.68,4.83,3.72,4.03,3.12,2.83
AC108449.3,0.62,0.58,0.55,1.19,0.0,0.47,0.84,0.32
EEF1A1P22,0.12,0.04,0.03,0.05,0.12,0.0,0.0,0.0
AC020661.3,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.28
AC125257.1,3.38,2.75,3.1,3.85,4.2,5.12,4.09,4.07
AC079328.2,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.05
AC007000.3,0.2,0.24,0.34,0.0,0.2,0.0,0.0,0.73
AC090971.4,0.04,0.0,0.02,0.0,0.0,0.0,0.05,0.02
AC100830.1,0.0,0.06,0.08,0.0,0.1,0.0,0.06,0.11
ST20-AS1,0.83,1.56,2.18,0.92,0.5,1.08,0.44,0.53
AC111152.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
AL132640.2,0.0,0.0,0.0,0.0,0.05,0.05,0.23,0.02
AC013452.2,0.28,0.18,0.08,0.11,0.0,0.0,0.0,0.0
PIGHP1,0.23,0.14,0.0,0.37,1.19,0.51,0.27,0.0
AC027559.1,0.83,1.55,1.0,1.38,1.52,0.87,0.67,0.63
AC009996.1,0.17,0.33,0.3,0.43,0.54,0.0,0.21,0.41
DNM1P47,0.03,0.02,0.01,0.01,0.02,0.01,0.03,0.02
AC068831.3,6.55,7.43,8.01,9.24,11.02,9.3,7.35,9.38
AC066613.1,0.23,0.12,0.32,0.0,0.08,0.0,1.1,0.26
AC084759.2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
AC087612.1,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.0
IQCH-AS1,1.04,1.16,1.3,1.32,1.27,1.39,1.31,1.25
AC092868.1,2.35,2.2,1.8,1.32,1.91,1.75,1.75,1.82
AC027176.2,0.28,0.09,0.08,0.45,0.0,0.0,0.0,0.13
AC066613.2,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
LINC01220,0.3,0.57,0.43,0.49,0.46,0.16,0.71,0.35
AC104759.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGB1P8,0.1,0.12,0.11,0.24,0.0,0.31,0.22,0.32
AC012379.2,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
AC024337.1,0.05,0.03,0.0,0.0,0.1,0.05,0.0,0.02
AC124248.1,0.0,0.3,0.55,0.0,0.5,0.53,0.55,0.0
AC084757.3,0.04,0.0,0.02,0.06,0.0,0.04,0.0,0.0
HSP90B2P,0.15,0.19,0.11,0.13,0.03,0.06,0.07,0.06
AC105339.4,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0
AC023906.4,0.12,0.28,0.13,0.09,0.24,0.11,0.14,0.27
AC023906.5,49.45,50.55,47.86,55.03,39.39,46.79,44.64,50.94
AC013391.2,0.57,0.18,0.17,0.46,0.3,0.0,0.34,0.14
LINC00677,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0
CSPG4P11,0.04,0.03,0.0,0.02,0.05,0.0,0.02,0.03
LINC00933,0.0,0.08,0.0,0.05,0.39,0.0,0.06,0.17
AC092757.2,0.0,0.0,0.0,0.15,0.0,0.0,0.22,0.0
CRTC3-AS1,0.17,0.22,0.7,0.14,0.36,0.0,0.34,0.16
HSPE1P3,0.0,0.0,0.55,0.73,1.03,0.0,0.0,0.89
NCAPGP2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSA2P4,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
TUBAP11,0.0,0.04,0.0,0.05,0.0,0.07,0.0,0.06
AC068234.1,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.0
AC007907.1,0.72,0.23,0.21,0.0,0.38,0.0,0.43,0.34
AC015660.2,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0
PCSK6-AS1,0.18,0.23,0.0,0.0,0.0,0.0,0.0,0.0
AC022558.1,0.0,0.23,0.21,0.0,0.0,0.0,0.42,0.0
AC004943.2,1.27,1.51,1.55,1.14,1.28,1.13,1.52,1.06
AC012236.1,0.2,0.57,0.0,0.14,0.0,0.22,0.0,0.18
AL138976.2,0.47,0.1,0.0,0.38,0.16,0.17,0.0,0.07
AC009065.1,0.34,0.0,0.0,0.37,0.14,0.22,0.16,0.08
HMGB1P6,135.14,133.8,138.7,142.19,152.77,127.39,132.71,129.35
AC008915.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.05
AC093525.1,0.38,0.0,0.18,0.22,0.0,0.0,0.0,0.0
AL596325.1,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
ANP32BP1,0.57,0.12,0.35,0.58,0.13,0.31,0.36,0.81
AC104758.1,1.6,0.72,1.23,0.0,0.0,1.21,1.74,0.0
AC013726.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
AC020978.1,0.0,0.0,0.95,0.32,0.0,0.91,0.48,0.39
AC012640.2,0.93,0.72,0.97,0.34,0.74,0.67,1.46,0.54
AC027682.1,0.0,0.2,0.18,0.17,0.0,0.34,0.12,0.2
AC022558.2,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
AC009093.1,0.07,0.12,0.06,0.15,0.1,0.18,0.08,0.14
AC002519.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.04
AC138028.3,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0
AL606760.3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
AC083843.2,2.35,1.94,1.83,2.24,1.79,1.99,2.05,1.58
AC018845.1,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
LYPD8,0.0,0.0,0.0,0.0,0.14,0.0,0.17,0.0
AC072061.1,0.29,0.27,0.32,0.11,0.36,0.34,0.07,0.26
AL365361.1,0.79,0.67,0.82,0.94,0.71,0.91,1.08,0.74
Z97653.1,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERC2P10,0.67,0.95,0.7,0.76,0.47,0.34,0.5,0.47
RAB43P1,0.37,0.36,0.0,0.0,0.44,0.0,0.0,0.0
AL390728.6,4.31,3.99,6.16,5.19,8.35,11.04,10.33,7.75
AC007599.1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
AC105411.1,0.05,0.14,0.09,0.09,0.43,0.4,0.43,0.25
AC034105.2,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0
AC009113.1,1.09,1.58,1.14,1.19,1.05,1.53,1.31,1.21
AC092384.2,0.22,0.21,0.29,0.23,0.36,0.32,0.25,0.2
NR4A1AS,0.0,0.25,1.23,0.72,0.01,0.2,0.22,0.36
AC107375.1,1.21,1.76,1.06,1.32,1.72,1.36,1.49,1.26
AC106820.2,0.13,0.24,0.19,0.19,0.25,0.15,0.19,0.3
ACTG1P15,0.0,0.0,0.0,0.07,0.08,0.09,0.0,0.0
AC017071.1,0.1,0.02,0.02,0.05,0.0,0.0,0.0,0.0
HNRNPLP2,2.43,1.51,1.38,1.02,1.44,1.3,1.6,0.93
NDUFA5P11,0.69,0.0,0.0,0.55,0.76,0.0,0.0,1.0
AC022819.1,0.0,0.01,0.01,0.0,0.02,0.04,0.02,0.02
AC023825.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.04
AC011939.1,0.38,0.12,0.16,0.31,0.1,0.0,0.11,0.09
AC007342.1,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
AC011840.2,0.0,0.16,0.03,0.0,0.1,0.22,0.12,0.05
AC105036.1,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0
AC051619.6,0.0,0.12,0.0,0.15,0.0,0.0,0.0,0.0
AC009065.2,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
AC022167.1,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0
AC109449.1,0.18,0.09,0.08,0.07,0.18,0.15,0.21,0.04
AC084782.1,0.0,0.0,0.0,0.07,0.0,0.09,0.04,0.0
AL050341.2,2.68,3.33,2.74,2.84,3.2,3.68,5.17,4.05
AC027682.2,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02124,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
AC124068.1,10.22,16.46,11.78,13.41,12.67,9.87,11.94,11.3
AC034105.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
AC009133.2,0.0,9.56,8.19,2.02,3.38,4.99,0.0,10.46
AL138756.1,6.51,8.36,7.49,7.25,6.11,5.87,6.82,6.48
IL21R-AS1,0.0,0.1,0.07,0.03,0.04,0.14,0.08,0.1
RBM15B,15.28,15.67,12.6,14.59,12.8,11.53,11.69,10.89
AC107068.1,0.48,0.49,0.63,0.61,0.75,0.7,0.66,0.61
AC087761.1,0.23,0.0,0.14,0.0,0.0,0.0,0.0,0.0
AL049838.1,0.09,0.0,0.05,0.0,0.0,0.0,0.0,0.0
AC099668.1,0.83,0.09,0.0,0.71,0.44,0.0,0.67,0.0
AC009120.2,1.73,2.73,2.45,3.09,3.84,4.51,3.76,2.92
AC093010.2,0.13,0.12,0.16,0.11,0.08,0.11,0.14,0.07
CDC37P1,0.09,0.06,0.06,0.0,0.0,0.0,0.0,0.18
AC018845.2,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
AL928711.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
AC017100.1,0.14,0.23,0.21,0.36,0.44,0.0,0.08,0.14
AC025287.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.09
AL353796.1,0.54,0.64,0.56,0.69,0.75,0.74,0.51,0.68
AL133279.3,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.01
AL133338.1,0.26,0.46,0.48,0.43,0.36,0.49,0.36,0.24
TGFBR3L,3.04,1.81,1.67,2.51,3.08,2.24,1.7,1.12
AC027601.1,0.28,0.35,0.2,0.27,0.24,0.47,0.3,0.27
AC107871.1,3.24,3.78,3.15,3.77,3.27,2.57,3.44,2.66
AC132938.1,0.0,0.39,0.0,0.0,0.67,0.0,0.0,0.0
AC007494.1,0.0,0.09,0.08,0.11,0.0,0.0,0.0,0.0
AC040169.1,0.79,1.18,1.24,1.93,2.24,1.19,1.9,1.78
AL031716.1,0.0,0.0,0.0,0.0,0.27,0.29,0.0,0.37
HOXB7,0.23,0.74,0.89,0.58,0.53,1.13,0.34,0.39
AC007608.2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
NORAD,66.08,58.41,59.43,65.25,57.01,65.32,59.95,56.55
LCMT1-AS2,0.09,0.07,0.07,0.05,0.01,0.09,0.07,0.08
AC051619.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
AC013355.1,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
AC104938.1,0.0,0.0,0.0,0.15,0.0,0.01,0.0,0.09
AC009090.1,0.0,0.4,0.0,0.49,0.0,1.4,0.0,0.3
AL162632.3,0.0,0.0,0.03,0.04,0.05,0.0,0.05,0.0
AL031600.1,0.89,0.71,1.04,0.9,1.63,1.49,1.06,1.17
ABCB10P4,0.03,0.0,0.02,0.03,0.0,0.0,0.0,0.0
AC092620.2,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.02
AC009088.1,0.12,0.22,0.07,0.1,0.12,0.0,0.14,0.11
GOLGA2P11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04
AL512408.1,0.89,0.87,0.75,0.74,0.92,0.43,0.42,0.66
AC092332.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
AC023824.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
NSFP1,0.0,0.0,0.09,0.0,0.0,0.0,0.15,0.0
AC104794.3,2.57,3.54,3.21,3.06,3.07,4.01,3.23,3.07
AC007342.3,0.14,0.04,0.04,0.06,0.02,0.07,0.02,0.03
AF274858.1,0.7,1.2,0.67,0.07,0.49,0.25,0.76,0.56
AC106886.1,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.1
MIR762HG,1.47,1.61,2.79,1.94,2.98,1.09,1.79,1.36
AC126773.3,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
AC007611.1,0.34,0.21,0.1,0.1,0.0,0.12,0.13,0.05
AC093752.3,0.42,0.41,0.0,0.0,0.05,0.25,0.12,0.17
AC009163.3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
AC034111.1,0.11,0.03,0.06,0.03,0.04,0.09,0.04,0.05
AC106820.3,0.48,0.0,0.85,0.0,1.04,0.54,1.13,0.46
SPDYE6,1.26,1.1,1.27,0.73,1.01,0.98,0.77,0.83
AL512604.3,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0
AC008074.2,2.66,1.74,2.34,2.33,2.43,2.83,3.85,2.57
LINC01070,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0
AC012435.2,0.18,0.22,0.22,0.29,0.27,0.43,0.33,0.21
AOC4P,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
AC005606.1,1.72,3.53,2.4,1.85,1.9,3.2,2.4,2.42
AL157700.1,0.0,0.18,0.03,0.0,0.0,0.06,0.13,0.05
AC138028.4,3.51,5.24,4.45,4.24,4.76,4.01,6.14,3.72
ULK4P2,0.36,1.6,1.41,1.27,0.42,1.56,1.86,1.5
AL032819.1,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.26
MMP2-AS1,0.21,0.0,0.24,0.0,0.2,0.0,0.22,0.0
AC008915.2,0.0,1.66,0.73,0.38,0.97,0.0,1.87,0.2
CSPG4P13,1.46,1.17,1.24,1.06,0.64,0.48,0.38,0.16
AC023825.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
AC233702.1,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
AC011468.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
MTCYBP28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
AC093249.2,0.0,0.2,0.0,0.5,0.0,0.0,0.37,0.0
SYNGR2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
AC141586.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
AC126696.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
AL162741.1,0.0,0.06,0.0,0.0,0.1,0.05,0.06,0.12
LINC02137,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0
AC002464.1,1.33,1.84,1.42,1.81,1.13,1.67,2.35,1.92
AL807752.5,0.0,0.23,0.14,0.2,0.12,0.0,0.42,0.11
LINC02240,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0
LINC02846,0.19,0.53,0.38,0.21,0.26,0.14,0.15,0.42
AC124798.1,7.74,9.26,10.08,10.33,10.39,10.9,12.49,9.2
AC010889.1,0.35,0.22,0.4,0.35,0.24,0.39,0.27,0.26
AC105020.2,0.45,0.14,0.41,0.19,0.23,0.25,0.54,0.11
AP000842.3,0.12,0.13,0.12,0.26,0.0,0.0,0.0,0.08
AC092718.2,0.29,0.02,0.0,0.05,0.03,0.03,0.06,0.0
CD2BP2-DT,0.99,2.06,1.37,1.19,1.19,1.26,1.26,1.11
CCDC187,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
UBL5P4,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0
AC009119.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDM7A-DT,0.09,0.0,0.02,0.05,0.0,0.0,0.0,0.03
ZNRD2-AS1,0.31,0.73,0.45,0.66,0.34,0.2,0.61,0.25
AC105020.3,0.0,0.0,0.17,0.0,0.0,0.26,0.0,0.0
AC099778.1,0.98,1.04,1.02,0.97,0.9,0.61,0.94,1.36
PMF1-BGLAP,2.97,3.05,3.48,1.85,2.55,2.88,2.75,2.26
SUB1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0
AC007608.3,0.12,0.1,0.06,0.12,0.08,0.33,0.13,0.06
AP001063.1,0.51,0.49,1.51,1.25,2.44,2.02,0.62,1.35
AL035071.1,0.65,1.11,0.84,0.85,1.37,2.05,1.69,1.39
LINC02166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
SNHG19,89.19,181.91,127.37,79.78,144.35,112.72,119.55,108.65
AC124944.2,0.85,0.97,0.86,0.89,1.0,0.88,0.87,1.14
AC139887.3,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
AC026471.1,7.61,6.74,6.5,5.02,4.83,3.76,4.23,3.74
AC105036.3,2.17,2.47,1.04,1.31,1.04,0.52,1.27,0.81
AC093525.2,0.45,0.09,0.0,0.09,0.22,0.0,0.0,0.0
AL359711.2,0.0,0.28,0.38,0.27,0.11,0.35,0.0,0.05
AC068338.2,0.67,0.93,0.94,1.32,0.97,0.82,1.15,1.01
AC022167.2,1.32,2.02,1.33,2.09,1.07,0.73,1.46,0.93
AC009019.1,0.0,0.0,0.0,0.0,0.49,1.03,0.0,0.0
AC098818.2,0.06,0.14,0.05,0.1,0.09,0.16,0.11,0.15
AC137932.1,0.89,0.87,1.29,1.34,1.24,1.17,1.0,1.48
SLX1B-SULT1A4,2.96,3.16,0.64,2.8,3.1,3.24,3.22,3.05
AL133367.1,0.7,0.67,0.73,0.76,0.5,0.54,0.46,0.39
TBC1D3G,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
AC019294.2,0.45,0.09,0.16,0.14,0.29,0.1,0.11,0.33
AC092115.1,0.74,0.69,0.84,0.62,0.87,0.55,0.73,0.87
AC106820.4,0.13,0.09,0.16,0.08,0.22,0.15,0.17,0.14
AC095057.3,0.95,1.02,1.02,0.6,0.81,1.25,1.35,0.93
ACTG1P16,0.08,0.0,0.09,0.07,0.0,0.0,0.0,0.0
AC108206.1,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0
AC009088.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
AC092375.2,0.37,0.52,0.54,0.49,0.6,0.58,0.58,0.63
MRC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
AL008727.1,0.03,0.01,0.0,0.01,0.03,0.0,0.06,0.02
AC009812.4,0.21,0.53,0.78,0.83,0.96,1.4,1.0,0.92
COX6CP1,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0
HSPB9,0.04,0.02,0.14,0.32,0.04,0.0,0.09,0.11
AC104024.2,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.03
AC007541.1,0.0,0.03,0.06,0.04,0.0,0.0,0.0,0.03
AC079148.1,0.12,0.08,0.28,0.1,0.12,0.0,0.28,0.06
AC133555.4,0.0,0.0,30.31,0.0,34.03,47.71,0.0,67.05
HEXA-AS1,0.16,0.14,0.08,0.11,0.16,0.17,0.12,0.15
AC138811.2,0.0,1.35,0.77,0.92,0.32,0.56,0.3,0.96
AC012173.1,0.43,0.0,0.25,0.0,0.0,0.49,0.0,0.0
AC024270.1,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0
DNM1P34,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01
AL353708.1,0.2,0.08,0.15,0.32,0.53,0.49,0.45,0.34
AC106028.3,0.31,0.19,0.28,0.36,0.35,0.23,0.6,0.41
AC026803.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
AC109460.1,0.87,0.93,1.04,1.15,0.39,0.48,0.87,0.39
AC027373.1,0.3,0.14,0.09,0.06,0.08,0.32,0.17,0.28
AC120024.1,0.27,0.28,0.0,0.0,0.18,0.0,0.1,0.0
AC026464.3,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
AC007610.2,0.17,0.21,0.0,0.0,0.0,0.0,0.0,0.0
AC087481.1,0.19,0.54,0.38,0.62,0.38,0.2,0.44,0.18
LDC1P,1.21,0.68,0.54,0.53,0.35,0.37,0.55,0.51
LINC00562,0.12,0.15,0.1,0.14,0.38,0.21,0.13,0.18
WBP11P1,0.08,0.0,0.0,0.02,0.0,0.0,0.04,0.02
LINC02867,0.0,0.04,0.04,0.06,0.14,0.53,0.0,0.23
